,pH,AK,AP,OM,NH4,NO3,Wc,Pb,Salt,Bacillus firmus,Bacillus megaterium,Bacillus thuringiensis,Bacillus subtilis,Bacillus subterraneus,Bacillus asahii,Bacillus pumilus,Candidimonas bauzanensis,Fictibacillus phosphorivorans,Aspergillus niger,Fusarium oxysporum,Chaetomium globosum,Gymnascella hyalinospora,Penicillium chrysogenum,Fusarium solani,Trichocladium asperum,Aspergillus ustus,Aspergillus terreus,Pseudallescheria boydii
Bacillus pumilus,0.131010870989018,0.0667337159977643,0.575389690929623,0.243978294120392,0.344805944997955,0.385283175143482,0.4773496172214,0.309754351202268,0.128375578453634,0.000356901847526204,0.0253786140333451,0.213813222008418,0.576901714252256,0.0685266560631285,0.0342075225048197,0,1,1,1,1,1,1,1,1,1,1,0.622907284543392,0.781154884095584
Candidimonas bauzanensis,0.00501852801343899,0.0058276160580249,0.0296686496626021,0.171858893905095,0.260808851389965,0.200977343274995,0.474763882057883,0.986073834519836,0.282114676258211,0.214411460753368,0.523539803136868,0.203340497705637,0.0230946335458447,0.542551394427332,0.370222312224838,0.150377361412039,0,1,1,1,1,0.620524021202018,1,1,1,0.00223740177542713,1,1
Fictibacillus phosphorivorans,0.46046056790773,0.330053909100615,0.648788188073947,0.0481910155595196,0.257461944358105,0.362793094131943,0.405418569562578,0.859747591907592,0.402170294578291,0.041169342039506,0.337907813819924,0.173344954082858,0.869303355533913,0.863183337595796,0.0260432032081212,0.0196756499352293,0.43710730629187,0,1,1,1,1,1,1,1,1,0.0489863986900889,1
Aspergillus niger,0.545471934834256,0.0135900596301211,0.196440384304644,0.0233630936517273,0.38614398987924,0.170730575515397,0.788296831096621,0.103699572365772,0.118271349128461,0.709630889393782,0.617606936861482,0.0742129478097393,0.346613078125572,0.877386712792246,0.305201478976078,0.156959281567003,0.741913438017,0.398780252528752,0,1,1,1,1,1,1,1,1,1
Fusarium oxysporum,0.455869498277381,0.150002578798618,0.450435850675768,0.0972411710270628,0.0288689253769953,0.0928993473700679,0.0271669037610436,0.36745593866174,0.0306540903183236,0.877814619919048,0.633600979804599,0.581176488077168,0.143801473059871,0.360015479759016,0.183594788618839,0.685389385373296,0.739705348714089,0.809268200972659,0.221095919192975,0,1,1,1,1,1,1,1,1
Chaetomium globosum,0.371443104852492,0.0283742677236766,0.00768224625820695,0.00965893034844598,0.45560041276966,0.100432388692175,0.340416682781041,0.0829515814834191,0.718015001495041,0.480101065881317,0.930939602828318,0.00130752884348158,0.351134876091964,0.335245370985148,0.706468289681701,0.279441001289056,0.757423867175647,0.648681177061699,0.00426198760785584,0.510574794212069,0,1,1,1,1,1,1,1
Gymnascella hyalinospora,0.159617702662913,0.00371408265389119,0.000783008763695268,0.000642039584436032,0.10353748335999,0.401627753118899,0.0889949727708929,0.997745366533592,0.466238085508096,0.6441283876502,0.736197010478983,0.0011022549313657,0.0296544558903018,0.208931747128899,0.0421273305056418,0.177632231862151,0.00174304500337645,0.114317376165819,0.717007619982677,0.320203801391012,0.106111780607918,0,0.36238550565,1,1,0.753059385975837,1,1
Penicillium chrysogenum,0.122123961562513,0.0149558509297766,0.0924746729381435,0.218723790011202,0.35535458726706,0.573483181570995,0.608731315305898,0.822477159357621,0.349342363728436,0.378428755466799,0.757486087742126,0.22113142073061,0.345915621854244,0.706004839035503,0.00372756054558758,0.0193493842529391,0.0140678153101452,0.114642087046455,0.772514306597749,0.670271868826363,0.327168764508084,0.00100662640458333,0,1,1,1,1,1
Fusarium solani,0.187070717096812,0.822569853961201,0.473085928495441,0.282903941704367,0.926742468262581,0.0771725168901262,0.903939262590751,0.815856120430453,0.322268578798442,0.141590194468412,0.202360474931835,0.0391470053592919,0.287424276682922,0.685625654332711,0.741518685448169,0.104814820714084,0.178357978296883,0.0082940534355338,0.914164974899992,0.0684467015191149,0.157336334712428,0.72356731668899,0.596480911552689,0,1,1,1,1
Trichocladium asperum,0.944156942375262,0.897565150415298,0.55304534882027,0.783711062588951,0.0986736865910143,0.564493904778134,0.144344879437743,0.34716449753553,0.431152898346272,0.316748082083298,0.629138519341355,0.697692164853863,0.187403785731888,0.34376986180782,0.359103814952975,0.469442066618762,0.530730541026272,0.725140490975289,0.89974868394736,0.11547020703974,0.360544900872421,0.950346761821386,0.0321763045763979,0.0911875016137249,0,1,1,1
Aspergillus ustus,0.0992513380347398,0.0860858027009621,0.0644607350232503,0.353712837569026,0.174671734376221,0.948949061878211,0.416014797651092,0.385795941985037,0.084891275533517,0.241617337231543,0.830470897095798,0.25151388825994,0.20762941164229,0.987910051299855,0.145111485689777,0.216968143456096,5.93475271996586e-06,0.6049070894661,0.858996214678012,0.808926160534789,0.902669130357508,0.00213331270814685,0.0236908471288965,0.436257291046313,0.429082353181891,0,1,1
Aspergillus terreus,0.757193941015725,0.059407335263538,0.167949772477217,0.0208693617940593,0.212132194900966,0.313127046626534,0.307340880819809,0.990715649101888,0.628065593899238,0.0567301353770918,0.374399591488148,0.0164825059902741,0.781852384142266,0.970999190414714,0.000717137946364478,0.00175466840716448,0.666264137698658,0.000132395672135375,0.422912664932583,0.41602782993907,0.478297604761368,0.0155470117626336,0.00605961615788805,0.00821332882700756,0.237303666382376,0.43770556058857,0,0.0540327103762226
Pseudallescheria boydii,0.144349021097658,0.000126514307738484,0.00379490809708346,0.00109584173468565,0.271330221487695,0.260808851389965,0.324895385721478,0.301620200491458,0.355452559965518,0.192341605976486,0.27652844495069,0.000280342370212705,0.25514287027432,0.893930888533265,0.00769439282736921,0.00222426252484961,0.192994727379238,0.0228183037609927,0.0387507917392397,0.160173120414727,0.0103544085572303,0.00363724498887672,0.00577163782130341,0.096732938158513,0.20021178986303,0.327396015456083,0.000146430109420657,0
