"","X1","X2","elements","filed","Kingdom","Phylum","Class","Order","Family","Genus","Species","group","igraph.degree","igraph.closeness","igraph.betweenness","igraph.cen.degree"
"bac_ASV_113",28.382335869047,8.46620355503287,"bac_ASV_113","bac","Bacteria","Proteobacteria","Betaproteobacteria","Unassigned","Unassigned","Unassigned","Unassigned","bac",8,0.273385636692818,806.919489609876,8
"bac_ASV_114",18.8441555575218,-18.6362475121413,"bac_ASV_114","bac","Bacteria","Proteobacteria","Betaproteobacteria","Nitrosomonadales","Nitrosomonadaceae","Nitrosospira","Unassigned","bac",0,0,0,0
"bac_ASV_1159",19.7787335611221,1.42227098174557,"bac_ASV_1159","bac","Unassigned","Unassigned","Unassigned","Unassigned","Unassigned","Unassigned","Unassigned","bac",20,0.318341531974701,3771.48104653412,20
"bac_ASV_116",-4.2451688968864,1.05532824786635,"bac_ASV_116","bac","Bacteria","Proteobacteria","Betaproteobacteria","Unassigned","Unassigned","Unassigned","Unassigned","bac",4,0.212775951150775,1359.4472854141,4
"bac_ASV_1168",-15.2978858731498,-18.4683572544189,"bac_ASV_1168","bac","Bacteria","Proteobacteria","Betaproteobacteria","Unassigned","Unassigned","Unassigned","Unassigned","bac",13,0.302201467645097,343.003674313385,13
"bac_ASV_117",40.169969821835,-2.17811041796532,"bac_ASV_117","bac","Bacteria","Proteobacteria","Gammaproteobacteria","Unassigned","Unassigned","Unassigned","Unassigned","bac",0,0,0,0
"bac_ASV_118",-16.0935784724705,-5.25028030539681,"bac_ASV_118","bac","Bacteria","Cyanobacteria","Chloroplast","Unassigned","Chloroplast","Streptophyta","Unassigned","bac",2,0.20600272851296,1043.1653953398,2
"bac_ASV_1180",20.6921413093242,15.9632708109502,"bac_ASV_1180","bac","Bacteria","Unassigned","Unassigned","Unassigned","Unassigned","Unassigned","Unassigned","bac",11,0.28508495909377,1183.18850186429,11
"bac_ASV_12",-6.9361366349999,19.8356070417426,"bac_ASV_12","bac","Bacteria","Proteobacteria","Gammaproteobacteria","Unassigned","Unassigned","Unassigned","Unassigned","bac",21,0.306288032454361,567.442577757742,21
"bac_ASV_122",-19.0078679158955,19.0385643236532,"bac_ASV_122","bac","Bacteria","Unassigned","Unassigned","Unassigned","Unassigned","Unassigned","Unassigned","bac",4,0.236553524804178,75.9551992826212,4
"bac_ASV_123",-27.9377532590688,-21.5150772179078,"bac_ASV_123","bac","Bacteria","Bacteroidetes","Sphingobacteriia","Sphingobacteriales","Chitinophagaceae","Flavitalea","Flavitalea_gansuensis","bac",4,0.257825839499146,65.9729357430529,4
"bac_ASV_124",33.3355310553199,20.2363778997801,"bac_ASV_124","bac","Bacteria","Acidobacteria","Acidobacteria_Gp16","Unassigned","Unassigned","Gp16","Unassigned","bac",0,0,0,0
"bac_ASV_127",-25.2028167178787,-43.3491702722781,"bac_ASV_127","bac","Bacteria","Unassigned","Unassigned","Unassigned","Unassigned","Unassigned","Unassigned","bac",2,0.229135053110774,1.20608458682442,2
"bac_ASV_129",13.5894736985839,17.0476195024935,"bac_ASV_129","bac","Bacteria","Verrucomicrobia","Spartobacteria","Unassigned","Unassigned","Spartobacteria_genera_incertae_sedis","Unassigned","bac",7,0.277403551745254,414.998663917472,7
"bac_ASV_1292",-18.1579335311779,-45.1787730365136,"bac_ASV_1292","bac","Bacteria","Proteobacteria","Betaproteobacteria","Rhodocyclales","Rhodocyclaceae","Unassigned","Unassigned","bac",7,0.246061922868007,299.539744236295,7
"bac_ASV_13",19.5463933760962,-14.6625059635293,"bac_ASV_13","bac","Archaea","Thaumarchaeota","Unassigned","Nitrososphaerales","Nitrososphaeraceae","Nitrososphaera","Unassigned","bac",1,0.169472502805836,0,1
"bac_ASV_130",-24.6551473426638,-23.7108358366044,"bac_ASV_130","bac","Bacteria","Gemmatimonadetes","Gemmatimonadetes","Gemmatimonadales","Gemmatimonadaceae","Gemmatimonas","Gemmatimonas_aurantiaca","bac",14,0.303010033444816,484.083328462001,14
"bac_ASV_131",8.50501436738822,15.1912699255907,"bac_ASV_131","bac","Bacteria","Proteobacteria","Gammaproteobacteria","Pseudomonadales","Pseudomonadaceae","Pseudomonas","Pseudomonas_corrugata","bac",5,0.217893217893218,714.883373047178,5
"bac_ASV_132",-9.76507300071771,-16.8258430410063,"bac_ASV_132","bac","Bacteria","Actinobacteria","Actinobacteria","Gaiellales","Gaiellaceae","Gaiella","Gaiella_occulta","bac",6,0.255499153976311,32.5190920010513,6
"bac_ASV_133",16.1413253777338,-0.723271299623018,"bac_ASV_133","bac","Bacteria","Proteobacteria","Betaproteobacteria","Neisseriales","Neisseriaceae","Unassigned","Unassigned","bac",16,0.307535641547862,1839.55542703673,16
"bac_ASV_1339",15.5244557772669,-5.9554775839433,"bac_ASV_1339","bac","Bacteria","Proteobacteria","Deltaproteobacteria","Desulfuromonadales","Geobacteraceae","Geobacter","Unassigned","bac",7,0.262608695652174,571.128833275073,7
"bac_ASV_134",-9.07365412288062,-38.1841544057231,"bac_ASV_134","bac","Bacteria","candidate_division_WPS-1","Unassigned","Unassigned","Unassigned","WPS-1_genera_incertae_sedis","Unassigned","bac",20,0.322419928825623,568.577727900231,20
"bac_ASV_135",-25.2396595277174,-32.3932803854525,"bac_ASV_135","bac","Bacteria","Proteobacteria","Alphaproteobacteria","Rhizobiales","Unassigned","Unassigned","Unassigned","bac",18,0.302605210420842,1050.74534086804,18
"bac_ASV_136",30.5811240801417,21.1907852384158,"bac_ASV_136","bac","Bacteria","Unassigned","Unassigned","Unassigned","Unassigned","Unassigned","Unassigned","bac",0,0,0,0
"bac_ASV_137",26.3087688714544,23.8726580951739,"bac_ASV_137","bac","Bacteria","Chloroflexi","Unassigned","Unassigned","Unassigned","Unassigned","Unassigned","bac",0,0,0,0
"bac_ASV_138",-20.7041051089707,19.9514010881365,"bac_ASV_138","bac","Bacteria","Proteobacteria","Alphaproteobacteria","Sphingomonadales","Sphingomonadaceae","Unassigned","Unassigned","bac",2,0.247947454844007,88.0572532904461,2
"bac_ASV_141",-3.52686528025562,-40.8908704563534,"bac_ASV_141","bac","Bacteria","Proteobacteria","Betaproteobacteria","Unassigned","Unassigned","Unassigned","Unassigned","bac",7,0.255787690570299,1436.84283988944,7
"bac_ASV_1417",-10.3924669345132,-40.5054525343885,"bac_ASV_1417","bac","Bacteria","Proteobacteria","Deltaproteobacteria","Desulfuromonadales","Geobacteraceae","Geobacter","Unassigned","bac",15,0.302605210420842,2133.94472513963,15
"bac_ASV_142",-28.1815476007974,-33.0675052888369,"bac_ASV_142","bac","Bacteria","Proteobacteria","Gammaproteobacteria","Xanthomonadales","Xanthomonadaceae","Arenimonas","Arenimonas_daechungensis","bac",10,0.263525305410122,618.562649598863,10
"bac_ASV_143",-13.4233808008027,24.6486064778322,"bac_ASV_143","bac","Bacteria","Proteobacteria","Betaproteobacteria","Burkholderiales","Unassigned","Unassigned","Unassigned","bac",17,0.300996677740864,435.905727558802,17
"bac_ASV_144",-0.707999397398941,22.1679653937773,"bac_ASV_144","bac","Bacteria","Proteobacteria","Gammaproteobacteria","Unassigned","Unassigned","Unassigned","Unassigned","bac",4,0.273385636692818,127.075100773735,4
"bac_ASV_145",-22.0806497176669,-16.3812681926214,"bac_ASV_145","bac","Bacteria","Proteobacteria","Alphaproteobacteria","Alphaproteobacteria_incertae_sedis","Unassigned","Rhizomicrobium","Unassigned","bac",4,0.245528455284553,989.173308027515,4
"bac_ASV_148",-6.38380005087329,-31.0137343039587,"bac_ASV_148","bac","Bacteria","Proteobacteria","Betaproteobacteria","Burkholderiales","Burkholderiaceae","Burkholderia","Burkholderia_ubonensis","bac",19,0.320594479830149,1879.37441538122,19
"bac_ASV_149",-28.4764674602866,-39.4755699905449,"bac_ASV_149","bac","Bacteria","Unassigned","Unassigned","Unassigned","Unassigned","Unassigned","Unassigned","bac",2,0.219796215429403,0.890397100652571,2
"bac_ASV_15",-3.38617797606437,-6.29848938973095,"bac_ASV_15","bac","Bacteria","Acidobacteria","Acidobacteria_Gp1","Unassigned","Unassigned","Gp1","Unassigned","bac",1,0.179122182680902,0,1
"bac_ASV_152",19.2350458696808,9.6893437928805,"bac_ASV_152","bac","Bacteria","Bacteroidetes","Sphingobacteriia","Sphingobacteriales","Chitinophagaceae","Unassigned","Unassigned","bac",20,0.320141342756184,2062.69238245725,20
"bac_ASV_153",22.5092167420583,36.8696061616444,"bac_ASV_153","bac","Bacteria","Proteobacteria","Betaproteobacteria","Unassigned","Unassigned","Unassigned","Unassigned","bac",1,0.156260779579165,0,1
"bac_ASV_155",16.721949103384,20.908828289671,"bac_ASV_155","bac","Bacteria","Gemmatimonadetes","Gemmatimonadetes","Gemmatimonadales","Gemmatimonadaceae","Gemmatimonas","Gemmatimonas_aurantiaca","bac",3,0.246061922868007,26.2383763596653,3
"bac_ASV_156",27.9241976678242,0.954852516262294,"bac_ASV_156","bac","Bacteria","Acidobacteria","Acidobacteria_Gp1","Unassigned","Unassigned","Gp1","Unassigned","bac",11,0.278426551936079,240.589632231548,11
"bac_ASV_157",33.6220601828327,22.1613360220651,"bac_ASV_157","bac","Bacteria","Proteobacteria","Gammaproteobacteria","Chromatiales","Chromatiaceae","Unassigned","Unassigned","bac",0,0,0,0
"bac_ASV_159",1.328861470848,-13.5212313136748,"bac_ASV_159","bac","Bacteria","Acidobacteria","Acidobacteria_Gp3","Unassigned","Unassigned","Gp3","Unassigned","bac",4,0.230769230769231,934.568561271177,4
"bac_ASV_16",9.39092224093056,13.2213490140766,"bac_ASV_16","bac","Bacteria","Acidobacteria","Acidobacteria_Gp2","Unassigned","Unassigned","Gp2","Unassigned","bac",11,0.276388041488713,887.375830202912,11
"bac_ASV_161",-11.8176558743297,-42.6476551700099,"bac_ASV_161","bac","Bacteria","Proteobacteria","Gammaproteobacteria","Xanthomonadales","Xanthomonadaceae","Rhodanobacter","Rhodanobacter_umsongensis","bac",14,0.299405155320555,189.590080538251,14
"bac_ASV_162",28.3886674791435,26.7104789246897,"bac_ASV_162","bac","Bacteria","Verrucomicrobia","Subdivision3","Unassigned","Unassigned","Subdivision3_genera_incertae_sedis","Unassigned","bac",0,0,0,0
"bac_ASV_164",9.19597217028044,-17.131595526864,"bac_ASV_164","bac","Bacteria","Planctomycetes","Planctomycetia","Planctomycetales","Planctomycetaceae","Gemmata","Gemmata_obscuriglobus","bac",0,0,0,0
"bac_ASV_165",17.8158839889007,34.9924902597001,"bac_ASV_165","bac","Bacteria","Bacteroidetes","Sphingobacteriia","Sphingobacteriales","Chitinophagaceae","Terrimonas","Unassigned","bac",4,0.218313253012048,637.095032297675,4
"bac_ASV_169",18.2211190624097,11.1463597098844,"bac_ASV_169","bac","Bacteria","Bacteroidetes","Sphingobacteriia","Sphingobacteriales","Chitinophagaceae","Unassigned","Unassigned","bac",17,0.30546190155091,915.855034308167,17
"bac_ASV_17",-17.3488603623862,-19.6342224554449,"bac_ASV_17","bac","Bacteria","Proteobacteria","Alphaproteobacteria","Sphingomonadales","Sphingomonadaceae","Sphingomonas","Unassigned","bac",14,0.307953772943576,190.22631268353,14
"bac_ASV_170",2.4690308096615,-8.57859746131714,"bac_ASV_170","bac","Bacteria","Acidobacteria","Acidobacteria_Gp6","Unassigned","Unassigned","Gp6","Unassigned","bac",1,0.166605369621184,0,1
"bac_ASV_171",33.348702151496,7.53034498087218,"bac_ASV_171","bac","Bacteria","Acidobacteria","Acidobacteria_Gp1","Unassigned","Unassigned","Gp1","Unassigned","bac",2,0.199823555359506,452,2
"bac_ASV_173",10.1095716304944,-13.3316205980913,"bac_ASV_173","bac","Bacteria","Proteobacteria","Betaproteobacteria","Unassigned","Unassigned","Unassigned","Unassigned","bac",7,0.291318327974277,292.24994146976,7
"bac_ASV_178",-10.7331752511969,27.9758095508972,"bac_ASV_178","bac","Bacteria","Proteobacteria","Alphaproteobacteria","Rhizobiales","Unassigned","Unassigned","Unassigned","bac",14,0.301798800799467,241.0430700579,14
"bac_ASV_179",-26.2196068589316,-38.7883158537709,"bac_ASV_179","bac","Bacteria","candidate_division_WPS-1","Unassigned","Unassigned","Unassigned","WPS-1_genera_incertae_sedis","Unassigned","bac",7,0.281541330018645,1920.32054043924,7
"bac_ASV_18",-6.57344592154734,-17.4739568429761,"bac_ASV_18","bac","Bacteria","Proteobacteria","Gammaproteobacteria","Xanthomonadales","Sinobacteraceae","Steroidobacter","Unassigned","bac",2,0.240829346092504,16.8916583362689,2
"bac_ASV_180",34.4806717572364,-13.7669921882646,"bac_ASV_180","bac","Bacteria","Proteobacteria","Alphaproteobacteria","Sphingomonadales","Sphingomonadaceae","Novosphingobium","Unassigned","bac",0,0,0,0
"bac_ASV_185",-21.5389578599947,-22.3811822033066,"bac_ASV_185","bac","Bacteria","Proteobacteria","Betaproteobacteria","Burkholderiales","Burkholderiaceae","Burkholderia","Unassigned","bac",15,0.310486634681289,1212.60750931775,15
"bac_ASV_186",10.3220320724787,9.97223953379259,"bac_ASV_186","bac","Bacteria","Acidobacteria","Acidobacteria_Gp1","Unassigned","Unassigned","Gp1","Unassigned","bac",14,0.300198807157058,1137.1201011534,14
"bac_ASV_187",0.961650067726453,-10.2852626505147,"bac_ASV_187","bac","Bacteria","Verrucomicrobia","Subdivision3","Unassigned","Unassigned","Subdivision3_genera_incertae_sedis","Unassigned","bac",1,0.178416699487987,0,1
"bac_ASV_188",-19.2275675605231,-41.8353099403084,"bac_ASV_188","bac","Bacteria","Bacteroidetes","Cytophagia","Cytophagales","Unassigned","Chryseolinea","Chryseolinea_serpens","bac",10,0.29244673983215,591.047051646414,10
"bac_ASV_189",-21.5556393891112,-32.5080104082319,"bac_ASV_189","bac","Bacteria","Proteobacteria","Alphaproteobacteria","Rhizobiales","Unassigned","Unassigned","Unassigned","bac",22,0.321048901488306,1129.27683466174,22
"bac_ASV_19",-15.5405860600464,-46.456336088927,"bac_ASV_19","bac","Bacteria","Acidobacteria","Acidobacteria_Gp1","Unassigned","Unassigned","Telmatobacter","Telmatobacter_bradus","bac",6,0.261095100864553,144.261357452663,6
"bac_ASV_190",-19.0318680538645,-17.3037114767388,"bac_ASV_190","bac","Bacteria","Unassigned","Unassigned","Unassigned","Unassigned","Unassigned","Unassigned","bac",11,0.281541330018645,485.690093826765,11
"bac_ASV_191",39.0397146256516,-6.36554215708547,"bac_ASV_191","bac","Bacteria","Proteobacteria","Betaproteobacteria","Burkholderiales","Comamonadaceae","Unassigned","Unassigned","bac",0,0,0,0
"bac_ASV_192",41.4818116685893,-0.531126641766392,"bac_ASV_192","bac","Bacteria","Bacteroidetes","Sphingobacteriia","Sphingobacteriales","Chitinophagaceae","Niastella","Niastella_yeongjuensis","bac",0,0,0,0
"bac_ASV_194",-29.3428888643966,-23.9268563990696,"bac_ASV_194","bac","Bacteria","Proteobacteria","Alphaproteobacteria","Rhizobiales","Unassigned","Unassigned","Unassigned","bac",3,0.222385861561119,269.294646136744,3
"bac_ASV_196",-12.8254106063207,-5.48837744321028,"bac_ASV_196","bac","Bacteria","Proteobacteria","Deltaproteobacteria","Desulfuromonadales","Geobacteraceae","Geobacter","Unassigned","bac",3,0.215406562054208,59.9788841321852,3
"bac_ASV_197",-26.6866872783307,-28.8938297485483,"bac_ASV_197","bac","Bacteria","Verrucomicrobia","Subdivision3","Unassigned","Unassigned","Subdivision3_genera_incertae_sedis","Unassigned","bac",13,0.288718929254302,414.293599850319,13
"bac_ASV_2",20.2297217952812,-4.18576302567309,"bac_ASV_2","bac","Bacteria","Proteobacteria","Gammaproteobacteria","Unassigned","Unassigned","Unassigned","Unassigned","bac",10,0.271745650869826,557.675285908825,10
"bac_ASV_20",2.83432732092632,-1.73543400072905,"bac_ASV_20","bac","Bacteria","Proteobacteria","Alphaproteobacteria","Sphingomonadales","Sphingomonadaceae","Sphingomonas","Sphingomonas_jaspsi","bac",3,0.22108345534407,461.189000250364,3
"bac_ASV_200",12.6074013519895,37.588383858622,"bac_ASV_200","bac","Bacteria","Acidobacteria","Acidobacteria_Gp10","Unassigned","Unassigned","Gp10","Unassigned","bac",5,0.237545883586786,1610.68414345486,5
"bac_ASV_202",7.26232660722966,12.8546041624231,"bac_ASV_202","bac","Bacteria","Verrucomicrobia","Spartobacteria","Unassigned","Unassigned","Spartobacteria_genera_incertae_sedis","Unassigned","bac",5,0.249862107004964,214.058516059745,5
"bac_ASV_204",-29.483405410843,-30.431452297206,"bac_ASV_204","bac","Bacteria","Acidobacteria","Acidobacteria_Gp1","Unassigned","Unassigned","Gp1","Unassigned","bac",8,0.260195290063182,201.983036407337,8
"bac_ASV_205",2.9858240608684,1.54941217534717,"bac_ASV_205","bac","Bacteria","Acidobacteria","Acidobacteria_Gp3","Unassigned","Unassigned","Gp3","Unassigned","bac",3,0.219796215429403,413.034225125306,3
"bac_ASV_206",-14.0693738636137,-38.4997541273666,"bac_ASV_206","bac","Bacteria","Acidobacteria","Acidobacteria_Gp1","Unassigned","Unassigned","Gp1","Unassigned","bac",20,0.313061506565308,690.014022161854,20
"bac_ASV_207",-14.3768674107347,-41.1253524796358,"bac_ASV_207","bac","Bacteria","Proteobacteria","Alphaproteobacteria","Rhizobiales","Bradyrhizobiaceae","Unassigned","Unassigned","bac",15,0.305874409182984,221.245249522089,15
"bac_ASV_21",-0.890529003848306,-25.4195733312427,"bac_ASV_21","bac","Archaea","Thaumarchaeota","Unassigned","Nitrososphaerales","Nitrososphaeraceae","Nitrososphaera","Unassigned","bac",3,0.269162210338681,31.4243287463213,3
"bac_ASV_210",-23.6880926989296,-34.0320598117157,"bac_ASV_210","bac","Bacteria","Actinobacteria","Actinobacteria","Gaiellales","Gaiellaceae","Gaiella","Gaiella_occulta","bac",18,0.312629399585921,897.344241723552,18
"bac_ASV_211",31.1545221905545,10.1011915792284,"bac_ASV_211","bac","Bacteria","Bacteroidetes","Sphingobacteriia","Sphingobacteriales","Chitinophagaceae","Niastella","Niastella_koreensis","bac",6,0.263525305410122,102.102050489867,6
"bac_ASV_213",16.9118919830912,11.5220860017072,"bac_ASV_213","bac","Bacteria","Bacteroidetes","Unassigned","Unassigned","Unassigned","Unassigned","Unassigned","bac",16,0.302605210420842,809.151744136072,16
"bac_ASV_214",25.3295854717924,-5.94510240406336,"bac_ASV_214","bac","Bacteria","Planctomycetes","Planctomycetia","Planctomycetales","Planctomycetaceae","Unassigned","Unassigned","bac",4,0.257825839499146,473.438882230378,4
"bac_ASV_217",-17.0926188399276,-42.5667141586573,"bac_ASV_217","bac","Bacteria","Proteobacteria","Betaproteobacteria","Neisseriales","Neisseriaceae","Crenobacter","Crenobacter_luteus","bac",13,0.300198807157058,852.623054621316,13
"bac_ASV_218",-18.2477465983925,-14.2164594965759,"bac_ASV_218","bac","Bacteria","Gemmatimonadetes","Gemmatimonadetes","Gemmatimonadales","Gemmatimonadaceae","Gemmatimonas","Gemmatimonas_aurantiaca","bac",2,0.232904884318766,18.0863335335902,2
"bac_ASV_219",-27.0363233110559,-41.6942651771334,"bac_ASV_219","bac","Bacteria","Gemmatimonadetes","Gemmatimonadetes","Gemmatimonadales","Gemmatimonadaceae","Gemmatimonas","Gemmatimonas_aurantiaca","bac",1,0.216435738174869,0,1
"bac_ASV_22",19.3956579064101,40.1109217995929,"bac_ASV_22","bac","Bacteria","Nitrospirae","Nitrospira","Nitrospirales","Nitrospiraceae","Nitrospira","Unassigned","bac",3,0.203778677462888,482.156496968781,3
"bac_ASV_220",41.3221674974449,-4.64659652946571,"bac_ASV_220","bac","Bacteria","Bacteroidetes","Sphingobacteriia","Sphingobacteriales","Chitinophagaceae","Niastella","Niastella_populi","bac",0,0,0,0
"bac_ASV_221",1.80123939429206,41.8258025473406,"bac_ASV_221","bac","Bacteria","Verrucomicrobia","Subdivision3","Unassigned","Unassigned","Subdivision3_genera_incertae_sedis","Unassigned","bac",1,0.134781315084796,0,1
"bac_ASV_223",19.903046144083,41.5664129409116,"bac_ASV_223","bac","Bacteria","Unassigned","Unassigned","Unassigned","Unassigned","Unassigned","Unassigned","bac",2,0.158336246067808,138.656995754366,2
"bac_ASV_224",41.4003981440393,14.6372470475447,"bac_ASV_224","bac","Bacteria","Gemmatimonadetes","Gemmatimonadetes","Gemmatimonadales","Gemmatimonadaceae","Gemmatimonas","Gemmatimonas_aurantiaca","bac",0,0,0,0
"bac_ASV_226",30.3185880668318,6.93278100148362,"bac_ASV_226","bac","Bacteria","Actinobacteria","Actinobacteria","Actinomycetales","Micrococcaceae","Arthrobacter","Arthrobacter_ramosus","bac",7,0.268206039076377,1635.3377988972,7
"bac_ASV_227",17.5879154021897,0.88072323252775,"bac_ASV_227","bac","Archaea","Thaumarchaeota","Unassigned","Nitrosopumilales","Nitrosopumilaceae","Nitrosopumilus","Unassigned","bac",18,0.297049180327869,765.149704984349,18
"bac_ASV_228",-12.9224736611862,-17.0603957383723,"bac_ASV_228","bac","Bacteria","Proteobacteria","Alphaproteobacteria","Rhodospirillales","Rhodospirillaceae","Dongia","Unassigned","bac",11,0.291318327974277,46.3405801802482,11
"bac_ASV_229",-8.85594036175481,18.1090143363761,"bac_ASV_229","bac","Bacteria","Gemmatimonadetes","Gemmatimonadetes","Gemmatimonadales","Gemmatimonadaceae","Gemmatimonas","Gemmatimonas_aurantiaca","bac",20,0.316561844863732,863.088243463041,20
"bac_ASV_23",15.4853786910191,12.1060013326652,"bac_ASV_23","bac","Bacteria","Proteobacteria","Gammaproteobacteria","Xanthomonadales","Xanthomonadaceae","Unassigned","Unassigned","bac",14,0.305874409182984,1170.97044796487,14
"bac_ASV_230",15.2966588376744,35.7160843035142,"bac_ASV_230","bac","Bacteria","Proteobacteria","Betaproteobacteria","Burkholderiales","Burkholderiaceae","Burkholderia","Unassigned","bac",6,0.213578500707214,1104.87947911487,6
"bac_ASV_232",-15.1673689848761,25.5123587150372,"bac_ASV_232","bac","Bacteria","Unassigned","Unassigned","Unassigned","Unassigned","Unassigned","Unassigned","bac",15,0.302201467645097,446.848442119628,15
"bac_ASV_235",-8.36760026953875,-35.1917778801007,"bac_ASV_235","bac","Bacteria","Unassigned","Unassigned","Unassigned","Unassigned","Unassigned","Unassigned","bac",21,0.320594479830149,2634.58465200582,21
"bac_ASV_239",25.2171117660796,-19.652530871914,"bac_ASV_239","bac","Bacteria","Proteobacteria","Alphaproteobacteria","Rhizobiales","Xanthobacteraceae","Pseudolabrys","Pseudolabrys_taiwanensis","bac",0,0,0,0
"bac_ASV_24",11.3209100129434,34.9754132939027,"bac_ASV_24","bac","Bacteria","Unassigned","Unassigned","Unassigned","Unassigned","Unassigned","Unassigned","bac",5,0.180982820615262,2379.36114377168,5
"bac_ASV_242",-7.04404417435465,-21.8789118872692,"bac_ASV_242","bac","Bacteria","Proteobacteria","Gammaproteobacteria","Xanthomonadales","Xanthomonadaceae","Dokdonella","Dokdonella_fugitiva","bac",13,0.297049180327869,164.851782376775,13
"bac_ASV_244",-16.2570543309343,-39.4619875344789,"bac_ASV_244","bac","Bacteria","Proteobacteria","Gammaproteobacteria","Unassigned","Unassigned","Unassigned","Unassigned","bac",18,0.299009900990099,309.360532342025,18
"bac_ASV_245",39.9892865631584,12.596863837428,"bac_ASV_245","bac","Bacteria","Proteobacteria","Alphaproteobacteria","Rhizobiales","Bradyrhizobiaceae","Bradyrhizobium","Unassigned","bac",1,1,0,1
"bac_ASV_247",-11.7474250214585,3.55664013845687,"bac_ASV_247","bac","Bacteria","Acidobacteria","Acidobacteria_Gp3","Unassigned","Unassigned","Gp3","Unassigned","bac",3,0.208467556373677,26.0529447515075,3
"bac_ASV_248",25.7700333824224,31.6807501839643,"bac_ASV_248","bac","Bacteria","Acidobacteria","Acidobacteria_Gp15","Unassigned","Unassigned","Gp15","Unassigned","bac",0,0,0,0
"bac_ASV_25",27.053011286576,-17.049562528543,"bac_ASV_25","bac","Bacteria","Proteobacteria","Betaproteobacteria","Unassigned","Unassigned","Unassigned","Unassigned","bac",0,0,0,0
"bac_ASV_252",38.1608767521845,15.8952258344615,"bac_ASV_252","bac","Bacteria","Acidobacteria","Acidobacteria_Gp1","Unassigned","Unassigned","Gp1","Unassigned","bac",1,1,0,1
"bac_ASV_253",19.9183231625764,12.0573974786631,"bac_ASV_253","bac","Bacteria","Proteobacteria","Gammaproteobacteria","Pseudomonadales","Pseudomonadaceae","Pseudomonas","Pseudomonas_granadensis","bac",15,0.280495356037152,3309.22773756196,15
"bac_ASV_255",0.16448266888009,-36.0774354819269,"bac_ASV_255","bac","Bacteria","Candidatus_Saccharibacteria","Unassigned","Unassigned","Unassigned","Saccharibacteria_genera_incertae_sedis","Unassigned","bac",7,0.266001174398121,193.076082352501,7
