"igraph.degree","igraph.closeness","igraph.betweenness","igraph.cen.degree"
3,0.243417517463729,168.352794560322,3
2,0.201065246338216,18.7518929967325,2
1,0.175785797438882,0,1
2,0.18680412371134,77.1349965931253,2
2,0.192356687898089,140.168980722605,2
2,0.182440596053161,18.2125000906875,2
3,0.199823555359506,553.271610553238,3
5,0.266001174398121,81.9374015233355,5
4,0.247405789186237,49.8052418922833,4
6,0.237545883586786,675.074135319315,6
3,0.233625580195977,2.25204264177983,3
1,0.235324675324675,0,1
2,0.13857448761089,0.5,2
3,0.254637436762226,1.92243537256255,3
11,0.277743715511956,142.217780720556,11
13,0.282242990654206,351.514450540636,13
1,0.214793741109531,0,1
8,0.240063593004769,3086.65001193905,8
2,0.175649476541295,452,2
3,0.195006457167456,229.972543304417,3
3,0.243941841680129,998.840387623925,3
3,0.186189889025894,480.096618599538,3
9,0.277743715511956,132.456967322479,9
1,0.189144050104384,0,1
1,0.189144050104384,0,1
1,0.17551336691205,0,1
4,0.247947454844007,890.80646306135,4
1,1,0,1
3,0.191219924018573,119.951638550756,3
1,0.163243243243243,0,1
14,0.284369114877589,3004.61740616462,14
5,0.258709308966305,173.817984742522,5
2,0.232904884318766,2.54517967031304,2
1,1,0,1
1,0.203778677462888,0,1
4,0.224813895781638,795.655910164036,4
2,0.182147165259349,29.4254668056999,2
1,0.176059075009716,0,1
4,0.2326656394453,753.792521211797,4
2,0.23459347488348,17.7338540368057,2
4,0.239809422975119,131.368652571037,4
6,0.262913522925131,121.101113493251,6
1,0.236306729264476,0,1
4,0.252367688022284,11.63677202486,4
4,0.26321905868681,28.4663844168587,4
2,0.239555790586991,7.91647554263894,2
1,0.207702888583219,0,1
1,0.19154334038055,0,1
1,0.19154334038055,0,1
4,0.252367688022284,10.5996416320078,4
1,1,0,1
4,0.218103033220992,543.327761129763,4
5,0.252086811352254,665.127919949519,5
2,0.221515892420538,1.52907137091665,2
8,0.247135842880524,881.992920018772,8
1,0.166238532110092,0,1
3,0.196529284164859,97.6187491380419,3
4,0.207322654462243,175.063455445015,4
1,0.214184397163121,0,1
2,0.221515892420538,23.810181002306,2
2,0.166605369621184,785.294839200601,2
2,0.192193466270683,452,2
1,0.181127548980408,0,1
2,0.195680345572354,5.38551839423807,2
1,1,0,1
1,0.23242688558235,0,1
1,0.181563126252505,0,1
1,1,0,1
1,0.219796215429403,0,1
2,0.228211586901763,38.3543853061063,2
1,0.171266540642722,0,1
1,0.18695831613702,0,1
1,0.168966803431555,0,1
1,0.234108527131783,0,1
1,0.166605369621184,0,1
