"","Sample_1","Sample_2","bMNTD","mean_bMNTD","sd_bMNTD","bNTI","Group_1","Group_2","Site1","Site2","RCb"
"101","sample2","sample16",0.00138320978096929,0.00130354929992926,0.000608913438644951,0.130823982497909,"Group1","Group3","sample16","sample2",1
"102","sample3","sample16",0.000875947798347593,0.000774584755275557,0.000377415241796665,0.2685716734425,"Group1","Group3","sample16","sample3",1
"103","sample4","sample16",0.00042991697921811,0.000592966238437821,0.000360691718198258,-0.452046029873327,"Group1","Group3","sample16","sample4",1
"104","sample5","sample16",0.000148519307003377,0.000120667599871865,0.000101671763346268,0.273937484851679,"Group1","Group3","sample16","sample5",1
"105","sample6","sample16",0.00180685735641542,0.00209237761508789,0.00129320594971913,-0.220784832249248,"Group1","Group3","sample16","sample6",1
"106","sample7","sample16",0.0031769740793636,0.00382360314064148,0.00117684715398381,-0.549458830816678,"Group2","Group3","sample16","sample7",1
"107","sample8","sample16",0.00131283518639634,0.00122528947691568,0.000569537660943294,0.153713644389478,"Group2","Group3","sample16","sample8",1
"108","sample9","sample16",0.00777070827938762,0.00551029337969328,0.00114221418431589,1.97897638703216,"Group2","Group3","sample16","sample9",1
"109","sample18","sample17",5.81268936613233e-05,7.09022089934731e-05,5.6121043530047e-05,-0.227638592024933,"Group3","Group3","sample17","sample18",1
"110","sample2","sample17",0.00128766173702967,0.0015656059309139,0.000966930997387582,-0.287449874536202,"Group1","Group3","sample17","sample2",1
"111","sample3","sample17",0.00111093011305242,0.000948185284499673,0.000448437905994784,0.362914968554498,"Group1","Group3","sample17","sample3",1
"112","sample4","sample17",0.000334522363556279,0.000655346472951509,0.000468911542165026,-0.684188979255965,"Group1","Group3","sample17","sample4",1
"113","sample5","sample17",0.000185796906074398,0.000292240587418748,0.000278138196897464,-0.382700695307916,"Group1","Group3","sample17","sample5",1
"114","sample6","sample17",0.00140042658266708,0.00148428987533535,0.000763274858784335,-0.109872992282028,"Group1","Group3","sample17","sample6",1
"115","sample7","sample17",0.00296004017565169,0.00366051642396658,0.00109323442228128,-0.640737461278608,"Group2","Group3","sample17","sample7",1
"116","sample8","sample17",0.00134682231950988,0.00146445751458203,0.000683093209888832,-0.172209580433814,"Group2","Group3","sample17","sample8",1
"117","sample9","sample17",0.00664606118444762,0.00471985970555652,0.00112133184085201,1.7177800618125,"Group2","Group3","sample17","sample9",1
"118","sample2","sample18",0.00115839617730676,0.00147849760414303,0.00095926444778317,-0.333694663214103,"Group1","Group3","sample18","sample2",1
"119","sample3","sample18",0.00137438341719945,0.00079972668343989,0.000422177888432524,1.36117203080712,"Group1","Group3","sample18","sample3",1
"120","sample4","sample18",0.000305395816927163,0.000499598976922358,0.000353907696415432,-0.548739578037407,"Group1","Group3","sample18","sample4",1
"121","sample5","sample18",5.35342560830742e-05,4.17152080191135e-05,3.12060115717156e-05,0.378742667476071,"Group1","Group3","sample18","sample5",1
"122","sample6","sample18",0.00135346131258259,0.0017470602728207,0.000928567239793298,-0.42387771544227,"Group1","Group3","sample18","sample6",1
"123","sample7","sample18",0.00319529557800884,0.00356043400782157,0.0010394999827339,-0.351263526577861,"Group2","Group3","sample18","sample7",1
"124","sample8","sample18",0.00115380634268096,0.00123000956006994,0.000563615147986024,-0.135204345840032,"Group2","Group3","sample18","sample8",1
"125","sample9","sample18",0.00709216074264892,0.00486723667730009,0.000965746212810091,2.30383928597021,"Group2","Group3","sample18","sample9",1
"126","sample3","sample2",0.00320581145473232,0.00217878293802806,0.0010403971610488,0.987150441345822,"Group1","Group1","sample2","sample3",1
"127","sample4","sample2",0.000628284125945996,0.000832588554610857,0.000401244234061052,-0.509177232522609,"Group1","Group1","sample2","sample4",1
"128","sample5","sample2",0.0004557146193991,0.000607452733546002,0.000342352223596685,-0.443222224622264,"Group1","Group1","sample2","sample5",1
"129","sample6","sample2",0.00182590021489302,0.00273708134234727,0.00150631213093713,-0.604908576874684,"Group1","Group1","sample2","sample6",1
"130","sample7","sample2",0.0064820324074692,0.00527538287663005,0.00178514794232908,0.675938112594095,"Group2","Group1","sample2","sample7",1
"131","sample8","sample2",0.00132818989335433,0.00141588803139307,0.000656264096537651,-0.133632387481528,"Group2","Group1","sample2","sample8",1
"132","sample9","sample2",0.00751284873399981,0.00599921748441692,0.00146585949155771,1.03258958877049,"Group2","Group1","sample2","sample9",1
"133","sample4","sample3",0.000712389650431788,0.00029073557814231,0.000134460785739273,3.13588880186293,"Group1","Group1","sample3","sample4",1
"134","sample5","sample3",0.000416979418320631,0.00024013739672455,0.000119354353487888,1.48165539360931,"Group1","Group1","sample3","sample5",1
"135","sample6","sample3",0.00417060563793863,0.0018493490530025,0.000788725036506716,2.94304919648175,"Group1","Group1","sample3","sample6",1
"136","sample7","sample3",0.00503334765953471,0.00424946398940217,0.00106607215607261,0.73530076333703,"Group2","Group1","sample3","sample7",1
"137","sample8","sample3",0.00317724743396378,0.00238096281483162,0.000865566226356363,0.919958051602991,"Group2","Group1","sample3","sample8",1
"138","sample9","sample3",0.00802577494961359,0.00536880892339931,0.00101731329291375,2.61174806691486,"Group2","Group1","sample3","sample9",1
"139","sample5","sample4",0.000165511338610003,6.70757925014348e-05,3.723860787162e-05,2.643373416319,"Group1","Group1","sample4","sample5",1
"140","sample6","sample4",0.00141537379372939,0.00107638402717529,0.000588134382900815,0.576381480848182,"Group1","Group1","sample4","sample6",1
"141","sample7","sample4",0.00490613713111144,0.00484061709867727,0.00260029334004918,0.025197169651992,"Group2","Group1","sample4","sample7",1
"142","sample8","sample4",0.00282639206630985,0.00175185732638379,0.000851996471814872,1.26119623199512,"Group2","Group1","sample4","sample8",1
"143","sample9","sample4",0.0092435504064281,0.00537147003910786,0.00128895320504918,3.00405038146633,"Group2","Group1","sample4","sample9",1
"144","sample6","sample5",0.000468201972744624,0.000618181787482815,0.000298410573843751,-0.502595510629328,"Group1","Group1","sample5","sample6",1
"145","sample7","sample5",0.00347365711883184,0.00392272390518012,0.00253493267063092,-0.17715136640553,"Group2","Group1","sample5","sample7",1
"146","sample8","sample5",0.00132642183099532,0.00109411894061745,0.000769568002494366,0.301861420465653,"Group2","Group1","sample5","sample8",1
"147","sample9","sample5",0.00742872659201025,0.00469303797733613,0.000962013041471853,2.84371260756361,"Group2","Group1","sample5","sample9",1
"148","sample7","sample6",0.00273597409271099,0.00266107527061838,0.000781093751699391,0.0958896700039527,"Group2","Group1","sample6","sample7",1
"149","sample8","sample6",0.00188837355347633,0.00149080103375556,0.000759226330546224,0.523654809804528,"Group2","Group1","sample6","sample8",1
"150","sample9","sample6",0.0124503054550793,0.00489081107032741,0.00159875973133818,4.72834925509698,"Group2","Group1","sample6","sample9",1
"151","sample8","sample7",0.000415961813109809,0.000512498214118872,0.00015250290518261,-0.633013521240582,"Group2","Group2","sample7","sample8",1
"152","sample9","sample7",0.00282416538754154,0.0022864765646481,0.000763362660692214,0.704368775918216,"Group2","Group2","sample7","sample9",1
"153","sample9","sample8",0.00219454638886294,0.00147822120233312,0.000450301516401902,1.59076787538614,"Group2","Group2","sample8","sample9",1
