Sample	readssum	SampleID	library	plate	well	well2	row	num
L1P31B12	418	L1P31B12	L1	Plate31	Positive	Positive	B	12
L1P32B12	481	L1P32B12	L1	Plate32	Positive	Positive	B	12
L1P33B12	1161	L1P33B12	L1	Plate33	Positive	Positive	B	12
L1P34B12	498	L1P34B12	L1	Plate34	Positive	Positive	B	12
L1P35B12	742	L1P35B12	L1	Plate35	Positive	Positive	B	12
L1P36B12	448	L1P36B12	L1	Plate36	Positive	Positive	B	12
L1P37B12	121	L1P37B12	L1	Plate37	Positive	Positive	B	12
L1P38B12	168	L1P38B12	L1	Plate38	Positive	Positive	B	12
L1P39B12	111	L1P39B12	L1	Plate39	Positive	Positive	B	12
L1P40B12	612	L1P40B12	L1	Plate40	Positive	Positive	B	12
L1P41B12	1484	L1P41B12	L1	Plate41	Positive	Positive	B	12
L1P42B12	1771	L1P42B12	L1	Plate42	Positive	Positive	B	12
L1P43B12	74	L1P43B12	L1	Plate43	Positive	Positive	B	12
L1P44B12	184	L1P44B12	L1	Plate44	Positive	Positive	B	12
L1P45B12	181	L1P45B12	L1	Plate45	Positive	Positive	B	12
