Wavelength	Amplitude_1	Amplitude_2	Amplitude_3	Amplitude_4	Amplitude_5	Amplitude_6	Amplitude_7
924	34.16866667	409.9695	347.6825	113.191	15.302	0.049	-0.513333333
925	31.095	397.4185	361.0185	127.894	15.822	-4.842	-2.592666667
926	26.846	382.971	371.9945	125.633	44.462	2.694	1.391333333
927	25.76766667	370.458	381.492	142.249	20.63	-2.986	0.881333333
928	21.78433333	355.998	392.018	158.757	13.97	-5.248	7.794666667
929	20.644	341.4985	403.6555	164.571	23.192	4.058	-2.674
930	17.39333333	328.2875	414.1395	169.441	19.712	0.624	6.139333333
931	14.27433333	318.0565	421.0825	182.493	22.262	3.274	-8.335333333
932	13.51866667	309.031	430.1055	195.927	3.782	5.155	1.552666667
933	10.23133333	295.447	444.565	223.154	55.586	11.624	-0.348666667
934	13.63233333	280.7765	447.635	240.097	27.464	-2.938	7.612
935	6.447333333	265.55	451.3125	253.9	36.876	-2.62	-2.144
936	6.971333333	250.3155	459.529	259.882	37.09	2.531	2.716
937	6.078666667	235.3395	464.1125	283.867	45.672	6.327	-0.428
938	5.699666667	227.0835	475.273	303.77	70.022	-5.776	-2.203333333
939	6.534	209.414	478.1565	317.877	39.294	9.289	1.541333333
940	5.104666667	200.047	477.064	338.78	60.342	10.068	-1.626
941	2.298666667	188.437	480.461	358.579	76.362	5.426	-4.107333333
942	2.89	176.873	481.6655	383.846	74.258	-3.405	2.822666667
943	4.517	162.9615	476.8765	395.083	91.312	5.638	-0.444
944	1.489	152.4845	476.6495	419.142	85.816	-1.615	5.945333333
945	3.846666667	141.0505	474.4465	444.4	102	-4.217	2.206
946	1.747	127.313	477.6745	459.741	114.152	2.053	1.355333333
947	-2.665	119.7355	470.9035	488.76	125.516	10.664	-6.896
948	2.408333333	113.099	464.167	515.477	125.836	-5.288	2.026666667
949	3.936333333	107.3595	460.6945	532.227	133.428	2.468	-1.830666667
950	0.338	96.179	456.131	561.522	140.69	3.906	-0.671333333
951	2.345333333	86.4555	445.28	577.602	167.242	6.031	-0.87
952	1.613333333	86.6035	439.541	607.216	190.888	8.418	0.799333333
953	0.645666667	75.49	432.4405	629.947	181.03	1.868	-1.231333333
954	-1.931666667	68.2385	425.669	648.213	219.85	15.427	3.844666667
955	-3.579	63.5275	415.311	675.52	231.724	7.098	-3.663333333
956	0.190666667	53.3345	403.9985	701.497	244.3	17.985	-2.24
957	1.962666667	51.8755	394.6795	709.818	269.226	13.675	-0.395333333
958	-0.817	47.9595	383.7405	737.129	280.48	11.37	3.26
959	-1.936333333	43.2235	372.414	760.04	303.602	8.038	-3.759333333
960	0.330333333	40.813	359.514	780.694	332.104	15.087	-0.265333333
961	-0.668666667	34.411	342.4415	798.662	347.028	18.634	-2.311333333
962	0.018666667	28.0425	334.2565	814.377	388.338	16.536	2.207333333
963	-0.324	26.7645	322.5905	837.981	386.668	10.903	1.383333333
964	-0.207	17.2385	313.521	845.782	429.402	9.193	3.727333333
965	-0.026333333	23.972	299.992	859.803	453.21	8.971	-0.839333333
966	-0.735	19.674	287.913	880.675	501.568	12.636	4.510666667
967	0.781	13.192	267.909	891.096	527.09	26.39	0.286666667
968	-2.995	10.203	265.202	898.586	554.304	29.693	5.2
969	-1.102333333	12.4235	247.3535	918.599	597.364	28.172	5.919333333
970	-0.051	16.176	230.9165	917.08	623.552	42.51	-0.661333333
971	-1.223666667	10.9245	222.491	921.984	652.386	38.658	0.508
972	-2.23	9.2645	210.9675	933.537	683.45	42.48	-1.080666667
973	-1.413333333	11.7315	198.8705	931.725	739.162	37.058	5.556
974	0.737333333	5.6625	192.506	931.986	770.694	44.306	-1.408
975	-0.105666667	5.37	174.296	945.553	800.1	45.212	-3.844
976	1.952666667	8.915	169.37	938.597	862.056	45.092	-0.138666667
977	0.926666667	6.7375	157.4545	940.894	895.272	57.934	-0.734666667
978	-1.237333333	3.325	142.809	932.031	940.742	62.151	1.975333333
979	-1.648666667	0.432	135.5225	924.317	964.698	63.663	7.662
980	-1.851666667	1.8755	124.53	911.609	1011.398	82.377	-1.929333333
981	-1.345333333	4.37	119.011	905.454	1056.464	76.217	2.596666667
982	3.287	10.4905	109.7385	895.074	1118.738	83.796	3.037333333
983	1.100333333	0.718	100.5365	886.556	1153.776	97.526	6.346666667
984	-0.052333333	1.168	94.6945	870.329	1180.226	96.185	7.456666667
985	2.525	-0.077	91.8335	868.936	1233.624	106.554	0.086666667
986	-0.737	1.4805	78.443	851.35	1263.216	117.767	3.793333333
987	0.787333333	2.225	72.834	833.003	1304.474	118.683	6.098
988	-0.579	-1.932	67.23	814.097	1350.718	127.83	8.607333333
989	1.811	3.6	61.111	795.464	1389.818	148.037	16.198
990	1.170666667	-2.085	55.853	774.569	1436.568	148.945	1.947333333
991	0.329666667	-1.8575	52.7595	746.079	1445.332	168.812	9.52
992	0.310666667	-2.1275	49.8855	732.645	1512.422	184.022	12.22733333
993	0.799333333	0.8735	40.792	706.731	1524.332	190.558	10.868
994	3.336333333	1.068	37.0085	701.725	1556.176	199.523	11.054
995	0.965666667	2.266	37.0445	674.086	1593.908	202.394	6.443333333
996	1.534	3.432	33.0655	646.921	1618.348	223.383	12.96733333
997	2.138	-1.641	27.8275	624.378	1661.706	239.919	14.152
998	-1.641	4.419	28.2105	600.05	1701.122	247.112	17.64466667
999	0.733	1.976	22.679	577.078	1703.576	272.719	15.148
1000	1.658666667	-2.7555	22.615	557.619	1728.086	277.084	16.32466667
1001	0.889	0.593	10.966	531.759	1743.816	291.234	27.08
1002	0.150666667	-2.289	15.2615	514.622	1772.706	315.803	27.20866667
1003	-0.549333333	0.3395	9.4265	490.09	1780.006	330.525	26.94866667
1004	0.173666667	-0.719	10.4335	456.319	1764.954	338.405	27.94733333
1005	-0.799333333	-1.1655	17.246	442.66	1799.458	367.549	30.88133333
1006	1.309333333	-2.5375	10.6335	428.357	1830.562	374.958	32.802
1007	0.045333333	0.1285	10.4125	395.447	1830.984	396.786	38.39866667
1008	0.193	-0.259	7.6825	377.415	1821.814	411.331	40.19066667
1009	2.778333333	5.03	5.8195	360.595	1804.044	434.367	42.034
1010	-3.428666667	0.418	9.825	337.014	1806.384	447.306	52.482
1011	-1.991666667	-2.3205	2.848	314.588	1816.438	471.165	54.38133333
1012	0.698	-2.3755	3.123	302.554	1792.758	483.399	54.66866667
1013	2.021666667	3.4575	3.6645	283.391	1783.544	502.008	54.55733333
1014	0.982	-3.2475	6.734	254.813	1768.574	524.58	58.338
1015	0.352666667	0.3135	1.162	248.236	1750.528	537.824	68.18933333
1016	0.356333333	0.008	5.353	234.452	1749.142	563.284	67.74933333
1017	0.608666667	-0.785	1.715	215.979	1720.076	578.297	71.04666667
1018	1.006	1.0235	-1.2555	195.096	1720.424	595.815	81.908
1019	-0.071333333	2.1535	2.99	184.852	1658.4	624.386	86.95466667
1020	2.471333333	-2.273	0.748	163.446	1653.324	640.424	90.03533333
1021	1.098666667	0.7945	-3.943	158.554	1599.984	655.396	98.66333333
1022	0.126333333	0.794	-4.204	145.796	1572.602	676.967	103.984
1023	1.329666667	-1.3305	-0.1745	138.449	1546.786	690.077	105.0806667
