#OTUID	KO1	KO2	KO3	KO4	KO5	KO6	OE1	OE2	OE3	OE4	OE5	OE6	WT1	WT2	WT3	WT4	WT5	WT6
ASV_269	28	8	34	19	21	15	6	8	4	23	25	16	11	18	15	24	18	15
ASV_306	19	18	27	8	17	22	20	18	9	13	10	11	11	8	46	23	4	19
ASV_324	21	5	20	23	10	30	8	5	22	14	15	21	31	21	11	13	25	13
ASV_280	21	16	18	36	20	16	24	16	12	15	13	13	13	12	15	19	10	16
ASV_262	23	19	10	5	9	28	14	11	5	13	14	31	7	19	19	15	9	37
ASV_300	8	20	41	12	12	14	14	33	15	15	10	15	16	10	22	15	12	15
ASV_393	17	10	15	32	23	17	13	8	26	16	22	7	10	22	12	22	15	12
ASV_1414	14	16	42	50	3	14	16	14	2	12	25	14	2	5	10	24	5	19
ASV_342	20	19	8	21	18	18	22	14	14	15	27	32	19	12	19	9	16	7
ASV_260	21	19	15	12	2	10	28	22	16	11	14	26	19	14	19	14	11	21
ASV_282	15	7	53	21	39	26	5	33	4	4	13	12	11	7	17	2	16	11
ASV_897	25	14	16	11	13	21	19	23	11	9	19	16	18	26	11	7	16	16
ASV_275	9	15	48	0	0	27	1	7	8	27	4	10	4	59	2	46	6	7
ASV_312	18	12	21	35	43	14	18	19	3	9	11	16	6	3	22	14	19	5
ASV_277	12	15	60	27	5	15	9	13	11	15	10	19	11	13	11	20	9	13
ASV_291	18	11	13	12	23	15	15	7	32	16	7	15	32	15	14	13	18	14
ASV_268	23	4	18	12	11	17	10	50	12	15	23	20	8	10	8	14	21	16
ASV_327	23	14	5	17	5	12	34	24	10	18	21	29	14	13	13	12	10	26
ASV_270	20	12	2	13	22	37	9	15	12	9	21	25	11	10	23	21	7	16
ASV_287	11	9	27	18	7	29	24	17	14	7	30	25	6	19	20	23	3	4
ASV_321	12	25	18	21	15	21	15	18	12	15	14	17	13	14	18	11	9	17
ASV_331	15	29	20	11	28	27	11	7	16	7	13	15	6	13	13	12	15	13
ASV_285	20	15	10	11	3	16	12	20	24	13	17	24	14	16	19	28	8	21
ASV_2368	12	20	14	12	5	9	19	24	12	18	22	15	15	13	20	13	19	14
ASV_515	18	17	9	11	2	16	28	18	12	14	24	31	15	20	10	14	11	17
ASV_305	9	10	9	13	13	9	35	8	9	24	15	15	6	26	18	25	23	16
ASV_308	25	16	3	17	60	13	23	23	5	11	11	13	16	18	5	8	2	5
ASV_297	16	12	5	8	6	34	50	18	11	9	22	25	13	12	14	5	15	10
ASV_2201	18	17	25	6	12	60	11	29	6	15	13	12	3	7	12	4	7	12
ASV_307	28	27	40	10	20	21	5	10	5	11	19	7	6	8	21	14	7	12
ASV_292	19	17	13	7	44	12	13	21	7	6	10	7	7	5	31	14	11	10
ASV_315	14	11	25	20	10	24	18	11	14	15	11	8	7	11	37	14	14	6
ASV_295	17	14	14	22	10	14	20	17	12	13	12	23	17	14	9	15	9	18
ASV_323	5	22	15	26	15	12	12	18	11	12	8	22	22	10	10	10	19	8
ASV_948	17	16	11	19	23	16	18	18	13	19	12	14	15	15	18	11	8	12
ASV_296	13	4	3	9	3	2	5	27	4	47	45	17	2	11	13	36	9	16
ASV_314	11	11	6	7	10	27	6	18	26	26	15	33	17	5	12	27	10	12
ASV_316	6	12	8	8	2	4	13	8	4	17	9	11	10	13	23	19	5	87
ASV_317	59	3	77	7	1	7	5	9	7	9	10	26	1	6	12	20	2	3
ASV_302	9	5	1	6	7	3	23	23	28	18	26	21	13	14	21	19	15	16
ASV_310	7	9	7	9	4	7	21	22	11	29	12	48	2	5	3	5	53	13
ASV_303	22	13	0	1	1	10	11	17	53	18	9	24	18	0	6	3	6	63
