Species	Healthy01	Healthy02	Healthy03	Healthy04	Healthy05	Healthy06	Healthy07	Healthy08	Healthy09	Healthy10	Patients01	Patients02	Patients03	Patients04	Patients05	Patients06	Patients07	Patients08	Patients09	Patients10
Species15	0.000114327	0	0	0	0	0	7.44E-05	0	0	0.01380778	0.000569455	0	8.95E-05	0	0	0	0	0	0	0
Species16	0.000439976	0	0.003198398	0	0.000724148	0.000376454	0.002704241	4.44E-05	0	0.003865682	0	0	0.008210695	0.000636843	0	0	0	0	0	0
Species17	2.22E-05	0	0	0	0.000815409	0	0.002610154	0	0.001269818	0.000485908	0	0	0	0	0	6.63E-05	0	0	7.17E-05	0
Species18	0	5.95E-05	0	0	3.63E-05	0	0.000168483	0	0	0.00017755	0	0	0.000577647	0.000140245	1.82E-05	6.34E-05	0	0	0	0
Species19	0.00153125	0.001916119	0	0.006945351	0.004480975	0	0.003178824	0.000578959	0.001758194	0.012907508	0.002273684	0	0.015877752	0	0	0.002391557	0.000627307	0.014474304	0.0026729	0
Species20	0.0010265	4.19E-05	0	0	0	0.07815455	0.019854051	0.00262086	0	0.02276256	0.000985435	0	0.010535827	0	0	0.000172008	0.020412125	0.028368183	0	0
Species21	0	0.002153884	0	0.000442428	0	0.034265503	0	0.000599684	0	0	2.30E-05	0	0	0.02486871	5.89E-05	0	0.023488124	6.69E-05	0	0
Species22	0	0	0	0	0.001305458	0	0	0.001556692	0	0	0	0	0.000634807	0	0	0	0.000104899	0	0	0
Species23	0	0	0	0	0	0	0	0.000945304	0	0.002837465	0	0	0	0	0	0	0	0	0	0
Species24	0.015384497	0.002721997	0	0	0.023648795	0	0.01509598	0.017869708	0	0	0.114497672	0	0.002037487	0	0	0	0	0	0	0
Species25	0	0	0	0	0.001492801	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Species26	0.000412644	0	0	0.030984018	0.001252436	0.008610474	0.009067316	0.003823154	0.000496263	0.005262236	4.89E-05	0	0.006102935	0	0	6.93E-06	0	0	0	0
Species27	0	0	0.201584695	0	0	0.069422949	0.000326322	0.001815023	0.029294032	0.017496151	0	0.031316298	1.43E-05	0	0.000180239	1.17E-05	0	0.023713271	0	0.000236197
Species28	0	0.000243068	0	0.001002936	0	0	0.000426901	0	0	6.39E-05	0	0	2.01E-05	0	0	0	0	0	0	0
Species29	0.003578361	0.002873013	0	0.001171289	0.001740879	0.000100545	0	0.002140771	0.000111249	0	0	0.044917397	8.44E-05	8.72E-05	0.00998544	0.011664989	0.017594043	0.006204934	0.504674228	0.005674128
Species30	0	0	0	0	0	0.026501072	0	0	0	0	0	0	0	0	0	5.14E-06	9.81E-05	0.00088205	0	0
Species31	0	0	0.093519159	0	0	0	0.011485891	0	0	0.028378108	0	0	6.61E-05	0	0	0	0	0	0	0
Species32	0	0	0	0	0	0	0	0	0	0	0.000277906	0	0	0	0	0	0	0.00022797	0.000269746	0
Species33	0.000311983	4.45E-05	0.010125622	0.004120845	0	9.89E-05	0.000497147	0	0	0.000564965	0	0	0.000110838	0	0	1.96E-05	0	0.00367573	0.000148945	0
Species34	0	0.003441655	0	0.035810487	0	0.026071928	0.047828061	0.008568692	0	0.018694048	0	0	0	0	0	0.000835546	0	0.012177269	0	0
Species35	0.00052886	0	0	0	0	0	0	0.000270157	0	3.10E-06	0	0	0.003246253	4.27E-05	0	0	0	0	0	0
Species36	0.003678689	0	0.017764938	0.00535751	0.0003922	0.002172275	0.003669478	0	0.000780509	0.002392576	0.009187751	9.65E-05	0.017587439	0.000644461	6.22E-05	0.000154002	0	0.001135326	0.009226707	0
