	Species01	Species02	Species03	Species04	Species05	Species06	Species07	Species08	Species09	Species10	Species11	Species12	Species13	Species14	Species15	Species16	Species17	Species18	Species19	Species20	Species21	Species22	Species23	Species24	Species25	Species26	Species27	Species28	Species29	Species30	Species31	Species32	Species33	Species34	Species35	Species36
Species11	0.0396	0.9505	0.2277	0.9109	0.0099	0.0198	0.0099	0.0099	0.0198	0.0693	1	0.0099	0.0099	0.0198	0.0099	0.0099	0.0297	0.0099	0.7921	0.6931	0.1584	0.0099	0.1188	0.7426	0.0495	0.0891	0.0198	0.0594	0.0099	0.1485	0.0099	0.3465	0.6535	0.0099	0.0099	0.0198
Species12	0.8218	0.3267	0.2376	0.0099	0.0198	0.3168	0.1089	0.9703	0.0396	0.2376	0.0099	1	0.0099	0.0099	0.0099	0.0099	0.0099	0.0099	0.3663	0.0198	0.0891	0.0099	0.0099	0.4554	0.0396	0.4455	0.2376	0.8317	0.0297	0.2673	0.0099	0.8812	0.3465	0.2277	0.0396	0.2277
Species13	0.0198	0.0099	0.0099	0.0099	0.0099	0.0099	0.4059	0.0099	0.0594	0.0099	0.0099	0.0099	1	0.0099	0.0099	0.0099	0.0099	0.0099	0.6832	0.0099	0.1584	0.0099	0.0099	0.0297	0.0099	0.0099	0.2574	0.0198	0.8713	0.1188	0.0099	0.3762	0.7624	0.0099	0.0099	0.8119
Species14	0.0099	0.0099	0.0297	0.0099	0.0099	0.0099	0.1683	0.0099	0.6139	0.0099	0.0198	0.0099	0.0099	1	0.0099	0.0891	0.0099	0.0099	0.3267	0.0099	0.0396	0.0099	0.0396	0.6733	0.6931	0.0891	0.0693	0.2178	0.198	0.8713	0.0099	0.099	0.8416	0.0099	0.0297	0.8218
Species15	0.0099	0.0099	0.0099	0.0099	0.0099	0.0198	0.0396	0.0099	0.0099	0.0099	0.0099	0.0099	0.0099	0.0099	1	0.0099	0.0099	0.0099	0.6139	0.0099	0.3465	0.0099	0.4455	0.0396	0.2178	0.0495	0.3069	0.1188	0.0495	0.0198	0.0099	0.5941	0.7822	0.0099	0.0198	0.2079
Species16	0.099	0.0099	0.0396	0.3564	0.0099	0.0099	0.0099	0.0099	0.0792	0.0099	0.0099	0.0099	0.0099	0.0891	0.0099	1	0.1188	0.0099	0.396	0.0297	0.1683	0.0099	0.0099	0.0099	0.0099	0.0297	0.0198	0.0198	0.4554	0.1089	0.0099	0.2475	0.0891	0.0099	0.0099	0.0594
Species17	0.0495	0.0099	0.0099	0.0099	0.0099	0.0099	0.2475	0.0099	0.0198	0.0099	0.0297	0.0099	0.0099	0.0099	0.0099	0.1188	1	0.0198	0.5545	0.1287	0.198	0.0198	0.4554	0.2376	0.4158	0.5446	0.3762	0.2178	0.297	0.0099	0.0198	0.1881	0.6832	0.0099	0.0891	0.2376
Species18	0.1188	0.3861	0.0198	0.1089	0.0099	0.0099	0.0594	0.0099	0.0099	0.0099	0.0099	0.0099	0.0099	0.0099	0.0099	0.0099	0.0198	1	0.0099	0.0198	0.0099	0.0099	0.2277	0.0099	0.0099	0.6931	0.5446	0.0594	0.3564	0.9505	0.0099	0.1287	0.0495	0.0099	0.0297	0.6139
Species19	0.4653	0.2079	0.2673	0.3366	0.0198	0.0396	0.0792	0.8317	0.7327	0.0099	0.7921	0.3663	0.6832	0.3267	0.6139	0.396	0.5545	0.0099	1	0.0297	0.0693	0.1089	0.1782	0.0297	0.0693	0.505	0.5248	0.5743	0.7426	0.4554	0.4455	0.2277	0.2178	0.0099	0.0792	0.0792
Species20	0.0396	0.0099	0.0495	0.0099	0.0099	0.0099	0.198	0.0099	0.3564	0.0099	0.6931	0.0198	0.0099	0.0099	0.0099	0.0297	0.1287	0.0198	0.0297	1	0.0099	0.0792	0.0099	0.8812	0.2376	0.6139	0.0198	0.1386	0.0099	0.0297	0.2475	0.5248	0.6337	0.0198	0.5941	0.3762
Species21	0.0495	0.4752	0.0099	0.0495	0.0792	0.0198	0.1188	0.4257	0.9406	0.099	0.1584	0.0891	0.1584	0.0396	0.3465	0.1683	0.198	0.0099	0.0693	0.0099	1	0.198	0.0594	0.1287	0.7426	0.8614	0.5446	0.297	0.6436	0.1188	0.297	0.5644	0.6337	0.495	0.0099	0.0099
Species22	0.2277	0.3762	0.0495	0.4257	0.0099	0.4554	0.0099	0.2079	0.0099	0.3762	0.0099	0.0099	0.0099	0.0099	0.0099	0.0099	0.0198	0.0099	0.1089	0.0792	0.198	1	0.0099	0.3663	0.0099	0.8614	0.0099	0.1188	0.0099	0.8416	0.0099	0.3663	0.297	0.0099	0.0099	0.0099
Species23	0.604	0.0792	0.6337	0.9703	0.0495	0.1386	0.0396	0.8515	0.6337	0.2376	0.1188	0.0099	0.0099	0.0396	0.4455	0.0099	0.4554	0.2277	0.1782	0.0099	0.0594	0.0099	1	0.3366	0.1386	0.4257	0.0693	0.0099	0.2376	0.099	0.1287	0.4455	0.495	0.6238	0.3564	0.9109
Species24	0.1881	0.2178	0.1089	0.0198	0.1881	0.5347	0.8317	1	0.2079	0.0891	0.7426	0.4554	0.0297	0.6733	0.0396	0.0099	0.2376	0.0099	0.0297	0.8812	0.1287	0.3663	0.3366	1	0.0198	0.3663	0.4653	0.1584	0.198	0.8317	0.2178	0.0693	0.0297	0.1386	0.9802	0.1782
Species25	0.5149	0.0693	0.0297	0.2079	0.0099	0.198	0.0891	0.0693	0.0495	0.0099	0.0495	0.0396	0.0099	0.6931	0.2178	0.0099	0.4158	0.0099	0.0693	0.2376	0.7426	0.0099	0.1386	0.0198	1	0.4356	0.4158	0.0198	0.8218	0.8515	0.0099	0.7921	0.9109	0.0099	0.2277	0.2277
Species26	0.3267	0.0099	0.1089	0.0198	0.0792	0.3762	0.4455	0.8515	0.0891	0.2376	0.0891	0.4455	0.0099	0.0891	0.0495	0.0297	0.5446	0.6931	0.505	0.6139	0.8614	0.8614	0.4257	0.3663	0.4356	1	0.1485	0.2178	0.0495	0.1683	0.9703	0.8317	0.0198	0.0297	0.0594	0.9604
Species27	0.5149	0.0297	0.4653	0.9406	0.0099	0.0099	0.0099	0.0396	0.5248	0.0099	0.0198	0.2376	0.2574	0.0693	0.3069	0.0198	0.3762	0.5446	0.5248	0.0198	0.5446	0.0099	0.0693	0.4653	0.4158	0.1485	1	0.3762	0.0099	0.2475	0.0198	0.2376	0.0099	0.6436	0.1584	0.0099
Species28	0.1683	0.0099	0.1188	0.5842	0.0594	0.3762	0.0099	0.3069	0.0891	0.5149	0.0594	0.8317	0.0198	0.2178	0.1188	0.0198	0.2178	0.0594	0.5743	0.1386	0.297	0.1188	0.0099	0.1584	0.0198	0.2178	0.3762	1	0.0099	0.6733	0.0099	0.6436	0.2376	0.0099	0.0099	0.0396
Species29	0.6238	0.0099	0.2574	0.6733	0.1584	0.297	0.0099	0.0099	0.3366	0.0099	0.0099	0.0297	0.8713	0.198	0.0495	0.4554	0.297	0.3564	0.7426	0.0099	0.6436	0.0099	0.2376	0.198	0.8218	0.0495	0.0099	0.0099	1	0.0495	0.0099	0.0198	0.703	0.297	0.0099	0.0198
Species30	0.2871	0.0594	0.7426	0.1485	0.0198	0.4257	0.099	0.1782	0.0297	0.4653	0.1485	0.2673	0.1188	0.8713	0.0198	0.1089	0.0099	0.9505	0.4554	0.0297	0.1188	0.8416	0.099	0.8317	0.8515	0.1683	0.2475	0.6733	0.0495	1	0.0198	0.0297	0.9604	0.2178	0.1188	0.9307
Species31	0.9703	0.8515	0.0099	0.3168	0.0099	0.0198	0.0099	0.0099	0.0495	0.0099	0.0099	0.0099	0.0099	0.0099	0.0099	0.0099	0.0198	0.0099	0.4455	0.2475	0.297	0.0099	0.1287	0.2178	0.0099	0.9703	0.0198	0.0099	0.0099	0.0198	1	0.3465	0.901	0.0099	0.0099	0.2475
Species32	0.1881	0.0495	0.3663	0.505	0.1782	0.0297	0.9505	0.2673	0.0099	0.8911	0.3465	0.8812	0.3762	0.099	0.5941	0.2475	0.1881	0.1287	0.2277	0.5248	0.5644	0.3663	0.4455	0.0693	0.7921	0.8317	0.2376	0.6436	0.0198	0.0297	0.3465	1	0.0495	0.6634	0.7723	0.9505
Species33	0.0198	0.099	0.0297	0.0099	0.9901	0.0099	0.099	0.1683	0.1287	0.1485	0.6535	0.3465	0.7624	0.8416	0.7822	0.0891	0.6832	0.0495	0.2178	0.6337	0.6337	0.297	0.495	0.0297	0.9109	0.0198	0.0099	0.2376	0.703	0.9604	0.901	0.0495	1	0.0891	0.2871	0.8614
Species34	0.0099	0.0099	0.0099	0.0099	0.0099	0.0099	0.0198	0.0099	0.1485	0.0099	0.0099	0.2277	0.0099	0.0099	0.0099	0.0099	0.0099	0.0099	0.0099	0.0198	0.495	0.0099	0.6238	0.1386	0.0099	0.0297	0.6436	0.0099	0.297	0.2178	0.0099	0.6634	0.0891	1	0.0099	0.7624
Species35	0.3861	0.6535	0.0099	0.0693	0.0099	0.0297	0.0099	0.5347	0.3663	0.1485	0.0099	0.0396	0.0099	0.0297	0.0198	0.0099	0.0891	0.0297	0.0792	0.5941	0.0099	0.0099	0.3564	0.9802	0.2277	0.0594	0.1584	0.0099	0.0099	0.1188	0.0099	0.7723	0.2871	0.0099	1	0.0099
Species36	0.1584	0.0396	0.2673	0.7525	0.0099	0.0297	0.0099	0.1287	0.4752	0.0099	0.0198	0.2277	0.8119	0.8218	0.2079	0.0594	0.2376	0.6139	0.0792	0.3762	0.0099	0.0099	0.9109	0.1782	0.2277	0.9604	0.0099	0.0396	0.0198	0.9307	0.2475	0.9505	0.8614	0.7624	0.0099	1
