,Healthy01,Healthy02,Healthy03,Healthy04,Healthy05,Healthy06,Healthy07,Healthy08,Healthy09,Healthy10,Patients01,Patients02,Patients03,Patients04,Patients05,Patients06,Patients07,Patients08,Patients09,Patients10
Pathway81,5.43773,0,33.1791,11.3516,1.92064,2.63731,6.57563,3.92516,3.9378,0.97398,13.5738,1.53533,48.4403,3.70531,17.9706,43.7391,10.7676,49.1951,12.9138,359.663
Pathway82,0,0,0,0,0,0,0,0,0,0,0,3.63765,0,0,0,4.02021,0,1.12633,0,0
Pathway83,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.01399,0,4.94578,0,14.1925,0
Pathway84,0,0,4.40729,10.8478,0,0,0,1.32223,0,0,0,47.7635,0,0,43.554,57.6008,0,12.1443,523.157,83.1051
Pathway85,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.73761,0,14.4211,0,48.9952,0
Pathway86,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Pathway87,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Pathway88,10.2398,13.2335,0,14.553,11.9281,0,3.01337,5.29746,12.0959,5.08013,4.48502,165.066,1.59743,0,59.281,117.745,97.3338,41.7033,402.074,210.175
Pathway89,19.0372,7.66844,26.5829,17.2261,17.9557,12.7565,23.915,1.87682,3.21575,43.4302,10.142,9.60901,127.603,9.3116,4.67269,35.5635,1.83575,31.1152,1.61271,0
Pathway90,0,1.94852,0,0,0,0,0,0.844706,0,0,0,0,0,0,0,0,0,0,0,0
Pathway91,16.5553,7.47101,2.01313,21.176,1.4278,1.3677,0,1.48383,7.98951,0.8398,9.55193,25.6168,4.04989,0,8.71935,25.2197,17.6194,8.74608,116.835,75.4505
Pathway92,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Pathway93,9.04398,11.8428,0,12.8774,10.5047,0,2.64149,4.64617,10.6933,4.45735,3.93242,154.617,1.39845,0,55.8983,105.95,92.8119,37.0211,422.819,197.25
Pathway94,1.45805,8.97335,9.44236,0,1.87141,0,0,4.17979,0,1.70436,26.2737,16.5701,0,0,5.95815,15.8712,12.4725,4.40253,66.2656,49.2751
Pathway95,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.77302
Pathway96,188.905,251.525,37.7852,23.1753,136.74,85.6491,9.68192,28.9228,127.837,48.2503,131.834,165.624,10.523,206.744,88.4739,134.874,197.909,35.8726,336.088,106.977
Pathway97,450.525,522.924,615.632,490.315,574.488,558.759,640.032,444.077,613.789,475.677,466.049,477.71,504.106,555.2,502.631,594.908,462.847,353.738,369.11,208.997
Pathway98,174.373,144.894,417.954,247.1,128.195,279.94,215.615,191.368,211.726,261.239,210.856,410.32,332.529,70.2959,337.351,428.255,269.611,316.521,826.203,678.33
Pathway99,143.484,136.755,390.697,185.976,122.874,357.314,453.736,189.97,258.064,184.954,179.314,283.607,245.475,253.726,233.522,396.069,207.033,226.011,163.831,310.014
Pathway100,2.30448,3.76902,0,0,0,0,0,1.8175,0,0,0,0,0,0,5.53542,43.6572,28.1074,2.35282,291.872,61.1258
