"","ID","num"
"663","P0663",1
"664","P0664",1
"665","P0665",8
"666","P0666",35
"667","P0667",4
"668","P0668",9
"669","P0669",2
"670","P0670",9
"671","P0671",3
"672","P0672",2
"673","P0673",3
"674","P0674",2
"675","P0675",6
"676","P0676",8
"677","P0677",8
"678","P0678",13
"679","P0679",5
"680","P0680",42
"681","P0681",22
"682","P0682",28
"683","P0683",9
"684","P0684",5
"685","P0685",10
"686","P0686",7
"687","P0687",10
"688","P0688",2
"689","P0689",11
"690","P0690",18
"691","P0691",12
"692","P0692",3
"693","P0693",24
"694","P0694",6
"695","P0695",2
"696","P0696",7
"697","P0697",2
"698","P0698",9
"699","P0699",8
"700","P0700",5
"701","P0701",17
"702","P0702",14
"703","P0703",43
"704","P0704",24
"705","P0705",73
"706","P0706",8
"707","P0707",8
"708","P0708",8
"709","P0709",3
"710","P0710",12
"711","P0711",39
"712","P0712",4
"713","P0713",2
"714","P0714",29
"715","P0715",1
"716","P0716",1
"717","P0717",7
"718","P0718",20
"719","P0719",4
"720","P0720",21
"721","P0721",4
"722","P0722",3
"723","P0723",18
"724","P0724",16
"725","P0725",76
"726","P0726",3
"727","P0727",2
"728","P0728",2
"729","P0729",24
"730","P0730",9
"731","P0731",13
"732","P0732",5
"733","P0733",12
"734","P0734",44
"735","P0735",18
"736","P0736",43
"737","P0737",13
"738","P0738",1
"739","P0739",8
"740","P0740",4
"741","P0741",1
"742","P0742",20
"743","P0743",16
"744","P0744",20
"745","P0745",13
"746","P0746",1
"747","P0747",20
"748","P0748",37
"749","P0749",1
"750","P0750",3
"751","P0751",5
"752","P0752",3
"753","P0753",2
"754","P0754",5
"755","P0755",27
"756","P0756",10
"757","P0757",6
"758","P0758",4
"759","P0759",8
"760","P0760",10
"761","P0761",2
"762","P0762",21
"763","P0763",3
"764","P0764",3
"765","P0765",43
"766","P0766",19
"767","P0767",29
"768","P0768",66
"769","P0769",80
"770","P0770",8
"771","P0771",1
"772","P0772",3
"773","P0773",12
"774","P0774",10
"775","P0775",25
"776","P0776",13
"777","P0777",1
"778","P0778",31
"779","P0779",7
"780","P0780",13
"781","P0781",13
"782","P0782",8
"783","P0783",79
"784","P0784",14
"785","P0785",12
"786","P0786",3
"787","P0787",9
"788","P0788",9
"789","P0789",2
"790","P0790",9
"791","P0791",3
"792","P0792",28
"793","P0793",6
"794","P0794",1
"795","P0795",5
"796","P0796",8
"797","P0797",22
"798","P0798",18
"799","P0799",3
"800","P0800",12
"801","P0801",8
"802","P0802",1
"803","P0803",2
"804","P0804",4
"805","P0805",3
"806","P0806",19
"807","P0807",25
"808","P0808",16
"809","P0809",2
"810","P0810",2
"811","P0811",10
"812","P0812",5
"813","P0813",7
"814","P0814",1
"815","P0815",1
"816","P0816",9
"817","P0817",75
"818","P0818",7
"819","P0819",16
"820","P0820",5
"821","P0821",8
"822","P0822",5
"823","P0823",12
"824","P0824",2
"825","P0825",7
"826","P0826",7
"827","P0827",8
"828","P0828",12
"829","P0829",10
"830","P0830",4
"831","P0831",7
"832","P0832",9
"833","P0833",5
"834","P0834",4
"835","P0835",25
"836","P0836",2
"837","P0837",10
"838","P0838",21
"839","P0839",3
"840","P0840",2
"841","P0841",86
"842","P0842",102
"843","P0843",6
"844","P0844",1
"845","P0845",5
"846","P0846",9
"847","P0847",14
"848","P0848",32
"849","P0849",7
"850","P0850",21
"851","P0851",7
"852","P0852",20
"853","P0853",18
"854","P0854",31
"855","P0855",12
"856","P0856",6
"857","P0857",21
"858","P0858",17
"859","P0859",4
"860","P0860",4
"861","P0861",24
"862","P0862",13
"863","P0863",20
"864","P0864",12
"865","P0865",16
"866","P0866",4
"867","P0867",13
"868","P0868",3
"869","P0869",12
"870","P0870",7
"871","P0871",3
"872","P0872",20
"873","P0873",18
"874","P0874",2
"875","P0875",7
"876","P0876",21
"877","P0877",63
"878","P0878",2
"879","P0879",18
"880","P0880",53
"881","P0881",2
"882","P0882",2
"883","P0883",1
"884","P0884",1
"885","P0885",12
"886","P0886",16
"887","P0887",9
"888","P0888",65
"889","P0889",10
"890","P0890",5
"891","P0891",25
"892","P0892",8
"893","P0893",8
"894","P0894",5
"895","P0895",4
"896","P0896",5
"897","P0897",2
"898","P0898",3
"899","P0899",36
"900","P0900",22
"901","P0901",69
"902","P0902",14
"903","P0903",7
"904","P0904",12
"905","P0905",3
"906","P0906",2
"907","P0907",11
"908","P0908",5
"909","P0909",18
"910","P0910",7
"911","P0911",3
"912","P0912",10
"913","P0913",6
"914","P0914",20
"915","P0915",21
"916","P0916",21
"917","P0917",42
"918","P0918",27
"919","P0919",18
"920","P0920",36
"921","P0921",6
"922","P0922",9
"923","P0923",27
"924","P0924",38
"925","P0925",36
"926","P0926",92
"927","P0927",22
"928","P0928",28
"929","P0929",31
"930","P0930",3
"931","P0931",9
"932","P0932",30
"933","P0933",4
"934","P0934",12
"935","P0935",29
"936","P0936",10
"937","P0937",3
"938","P0938",7
"939","P0939",6
"940","P0940",18
"941","P0941",5
"942","P0942",6
"943","P0943",5
"944","P0944",15
"945","P0945",4
"946","P0946",7
"947","P0947",12
"948","P0948",5
"949","P0949",3
"950","P0950",33
"951","P0951",56
"952","P0952",2
"953","P0953",8
"954","P0954",2
"955","P0955",3
"956","P0956",6
"957","P0957",7
"958","P0958",5
"959","P0959",12
"960","P0960",13
"961","P0961",23
"962","P0962",6
"963","P0963",9
"964","P0964",3
"965","P0965",15
"966","P0966",12
"967","P0967",3
"968","P0968",9
"969","P0969",5
"970","P0970",1
"971","P0971",3
"972","P0972",1
"973","P0973",3
"974","P0974",1
"975","P0975",2
"976","P0976",24
"977","P0977",26
"978","P0978",9
"979","P0979",16
"980","P0980",15
"981","P0981",8
"982","P0982",11
"983","P0983",5
"984","P0984",100
"985","P0985",12
"986","P0986",5
"987","P0987",9
"988","P0988",4
"989","P0989",12
"990","P0990",12
"991","P0991",7
"992","P0992",8
"993","P0993",10
"994","P0994",3
"995","P0995",1
"996","P0996",3
"997","P0997",16
"998","P0998",10
"999","P0999",15
"1000","P1000",4
"1001","P1001",11
"1002","P1002",5
"1003","P1003",4
"1004","P1004",5
"1005","P1005",5
"1006","P1006",6
"1007","P1007",12
"1008","P1008",2
"1009","P1009",25
"1010","P1010",9
"1011","P1011",6
"1012","P1012",7
"1013","P1013",5
"1014","P1014",1
"1015","P1015",4
"1016","P1016",4
"1017","P1017",2
"1018","P1018",3
"1019","P1019",14
"1020","P1020",3
"1021","P1021",11
"1022","P1022",15
"1023","P1023",4
"1024","P1024",3
"1025","P1025",14
"1026","P1026",91
"1027","P1027",20
