NO,Composition
P0017,Ruxiang;Moyao;Badou;Husuibu;Banxia;Danggui;Mangxiao;Dahuang;Xiejie;Zirantong;Wumingyi
P0018,Hugu;Guijia;Danggui;Rougui;Dilong;Liuxi;Liulu;Qilinxian;Zirantong;Yanhusuo
P0019,Baji;Danggui;Shengdihuang;Shaoyao;Chuangong;Dahuang
P0020,Baifuzi;Xuduan;Fangfeng
P0021,Jiegen;Baizhi;Gancao;Chuangong;Shangui;Xixin;Wuchuan;Xuduan;Danggui;Liuxi;Xiangfu;Huajiao;Chishao;Zelan;Baiyangpi
P0022,Baiyangpi;Jiegen;Chishao;Chuangong;Baizhi;Shangui;Xixin;Gancao;Huajiao;Wuchuan;Xuduan;Liuxi;Zelan;Danggui;Xiangfu
P0023,Chuangong;Chishao;Danggui;Baihe;Shengdihuang;Cebai;Jingjie;Xijiao;Mudanpi;Huangqin;Huanglian;Zhizi;Yujin;Dahuang
P0024,Baihe;Chuangong;Danggui;Baishao;Jingjie
P0025,Shengdihuang;Danggui;Baiji;Husuibu;Lurong;Xuduan;Heshouwu;Gancao
P0026,Buguzhi;Husuibu;Duzhong;Chuanliuxi;Xuduan;Roucongrong;Heidou;Danggui;Jixieteng;Sanqi;Hupo;Xiejie;Chenxiang
P0027,Baipu;Jiumazhendai;Luanfa;Danggui;Chishao;Shengdihuang;Taoren
P0028,Wuchuan;Caowu;Dahuang;Wulinzhi;Rougui;Muxiang;Xixin;Xiangfu;Yanhusuo;Sanleng;Wushu;Chaihu;Qingpi;Zhishi;Taoren;Honghua;Sumu;Bajiaohuixiang;Xiaohuixiang;Danggui;Gancao;Fengfang;Puhuang;Yinggu;Tubiechong;Guanghuang;Sanqi;Huajiao;Chenpi;Wuyao;Shedan;Xieguanemaohui
P0029,Bashuang;Qianniuzi;Dahuang;Xiejie;Zhusha;Shexiang
P0030,Dilong;Shixie;Tugou;Shuizhi;Tubiechong;Ruxiang;Moyao;Xiejie;Tianleishi
P0031,Piaojiao
P0032,Danggui;Wuyao;Zhishi;Sumu;Mudanpi;Shihu;Qingjiu;Chishao;Yinhua;Taoren;Honghua;Zicao;Houjiang;Dahuang;Ruxiang;Moyao;Gancao
P0033,Zirantong;Ruxiang;Moyao;Tubiechong
P0034,Shanzhizhu;Heshouwu;Huangsigua;Yunmushi;Zirantong
P0035,Gutongqian;Ruxiang;Moyao
P0036,Buguzhi;Ruxiang;Zirantong;Shitingzhi;Mubiezi;Xuduan;Wuguji;Wugui
P0037,Danggui;Shudihuang;Baishao;Honghua;Ruxiang;Fulin;Husuibu;Chenpi;Moyao;Dingxiang
P0038,Wujiapi;Shechuangzi;Chenxiang;Dingxiang;Chuanliuxi;Fulin;Lianrui;Roucongrong;Tusizi;Danggui;Shudihuang;Mudanpi;Mugua;Liuxi;Renshen;Muxiang
P0039,Renshen;Baishu;Gancao;Fulin;Shengdihuang;Danggui;Baishao;Chuangong;Huangqi;Rougui
P0040,Danggui;Chuangong;Chishao;Shengbian;Baishao;Liuxi;Xuduan;Baizhi;Duzhong;Husuibu;Wujiapi;Qianghuo;Duhuo;Tiannanxin;Fangfeng;Rougui;Ruxiang;Moyao;Muxiang;Dingpi;Bajiaohuixiang
P0041,Danggui;Chuangong;Baishao;Shengdihuang;Buguzhi;Muxiang;Wulinzhi;Digupi;Fangfeng;Ruxiang;Moyao;Xiejie
P0042,Danggui;Chuangong;Baishao;Shudihuang;Muxiang;Mudanpi;Ruxiang;Moyao;Husuibu;Zirantong;Honghua;Xiejie;Zhusha;Dingxiang;Renshen;Hugu;Gutongqian
P0043,Baishu;Cangshu;Chenpi;Banxia;Tiannanxin;Fulin;Muxiang;Huoxiang;Gancao
P0044,Huangqi;Baishao;Sangzhi;Dangshen;Shudihuang;Mudanpi;Fulin;Qilinxian;Honghua;Heshouwu;Duhuo;Taoren;Danggui;Mugua;Chishao;Chuangong;Duzhong;Dilong;Fangji;Xiangfu;Gancao
P0045,Huangqi;Renshen;Gancao;Banxia;Baishao;Duhuo;Fangfeng;Baishu;Fulin;Zexie;Chaihu;Lianqiao;Qianghuo
P0046,Huangqi;Dangshen;Dingxiang;Danggui;Xiejie;Husuibu;Beiwuwei;Wujiapi;Moyao;Gancao;Fulin
P0047,Cansha
P0048,Wuchuan;Caowu;Husuibu;Chenpi;Ruxiang;Moyao;Shanmu
P0049,Zaojia;Mubiezi;Zijinpi;Baizhi;Banxia;Wuyao;Chuangong;Danggui;Wuchuan;Bajiaohuixiang;Zuonacao;Caowu;Muxiang
P0050,Chenxiang;Roucongrong;Liuxi;Danggui;Hugu;Lizi;Muxiang;Husuibu;Fuzi;Yunnaqi;Gancao;Xuduan;Shudihuang;Duhuo;Baizhi;Liujilu;Chuangong;Huangqi;Taoren;Mudanpi;Guijia;Dahuang
P0051,Duhuo;Wulinzhi;Ruxiang;Baizhi;Beihuixiang;Fangfeng;Baicaoshuang;Moyao;Shengdihuang;Chishao;Danggui;Baizhi;Jiegen;Caowu
P0052,Ruxiang;Moyao;Baiwojuzi;Wumei;Bailimi
P0053,Caowu;Shengdihuang;Tiannanxin;Banxia;Jiangcan;Wuyao
P0054,Chidili
P0055,Danggui;Chuangong;Shaoyao;Huangqi;Liangjiang;Pingpeng;Muxiang;Huangqin;Huanglian;Renshen;Dahuang;Rougui;Shengdihuang;Gancao
P0056,Shaoyao;Ruxiang;Jiegumu;Danggui;Chuangong;Zirantong
P0057,Mubiezi;Wuchuan;Tubiechong;Lujiao;Chuanshanjia;Tianma;Caowu;Chuangong;Shengma;Danggui;Naoyanghua;Xiangfu;Jiangcan;Wugong;Banao
P0058,Hupo;Xiejie;Jinfen;Zhusha
P0059,Chilian;Wuchuan;Tiannanxin;Shaoyao;Danggui;Husuibu;Liuxi;Xixin;Chixiaodou;Zirantong;Qingsangtan
P0060,Dahuang;Danggui;Chuangong
P0061,Dahuang;Chuangong;Jingjie;Tubiechong;Puhuang;Danggui;Rougui;Gancao;Taoren
P0062,Danggui;Chentangzi;Moyao;Mahuang;Xiangmo;Shengdihuang;Jiecaizi;Xiangfu;Shaoyao;Ruxiang
P0063,Tiannanxin;Shaoyao;Husuibu;Heidou;Dalijian;Wuchuan;Zirantong;Xiejie;Xixin;Baizhi;Mubiezi;Chuanliuxi;Moyao;Ruxiang;Qingsangtan
P0064,Dahuang;Danggui;Shexiang
P0065,Qingsangtan;Lijian;Husuibu;Tiannanxin;Baishao;Liuxi;Wuchuan;Heidou;Zirantong;Mubiezi;Xixin;Jiangxiang;Fengxiang;Ruxiang;Moyao;Xiejie
P0066,Baishu;Danggui;Baizhi;Gancao;Moyao;Ruxiang;Shengdihuang
P0067,Zijintengpi;Jiangxiang;Xuduan;Buguzhi;Wumingyi;Hupo;Puhuang;Liuxi;Danggui;Taoren;Dahuang;Mangxiao
P0068,Mudanpi;Danggui;Husuibu;Honghua;Xuduan;Ruxiang;Moyao;Taoren;Chuangong;Chishao;Shengdihuang
P0069,Danggui;Chuangong;Baishao;Shudihuang;Fangfeng;Lianqiao;Qianghuo;Duhuo;Ruxiang;Moyao;Baizhi;Xuduan;Duzhong
P0070,Dahuang;Danggui;Shexiang
P0071,Dahuang;Danggui
P0072,Danggui;Moyao;Shaoyao;Muxiang;Baizhi;Wuchuan;Chuangong;Shengdihuang;Yujin
P0073,Zelan;Danggui;Shaoyao;Baizhi;Chuangong;Rougui;Xuduan;Liuxi;Wuchuan;Huajiao;Jiegen;Gancao;Baiyangpi;Xixin
P0074,Chuangong;Danggui;Moyao;Ruxiang;Sumu
P0075,Danggui;Shengdihuang;Huajiao;Fuzi;Zelan;Chuangong;Gancao;Moyao;Ruxiang
P0076,Danggui;Shaoyao;Xuduan;Shengdihuang;Baizhi;Huangqin;Gancao;Liuxi
P0077,Danggui;Zexie;Chuangong;Honghua;Taoren;Mudanpi;Sumu
P0078,Danggui;Dahuang;Shengdihuang
P0079,Danggui;Chishao;Huajiao;Guijia;Qianjinteng;Husuibu;Chuangong;Ruxiang;Hugu;Moyao;Zirantong
P0080,Danggui;Honghua;Taoren;Gancao;Chishao;Wuyao;Xiangfu;Sumu;Rougui
P0081,Baicaoshuang;Chidou;Pingpeng;Fushe
P0082,Shexiang;Binpian;Jinfen;Yinfen;Zhusha;Minfan;Zaojia;Xixin;Qiangxiao;Jinbo;Yinbo;Jinbuhuan
P0083,Tubiechong;Mangxiao;Xiejie;Zirantong;Wuyao;Tugou;Yanhusuo;Danggui;Taoren;Qilinxian;Chuanliuxi;Shexiang;Xiangfu;Muxiang;Xuduan;Wujiapi;Hougu;Sumu;Beimu;Chenpi;Zelan;Wulinzhi;Tusizi
P0084,Shengdihuang;Jiu
P0085,Shengdihuang;Jiu;Taoren;Mudanpi;Rougui
P0086,Shudihuang;Danggui;Qianghuo;Kushen;Xuduan
P0087,Danggui;Rougui;Dilong;Mahuang;Sumu;Duhuo;Huangbai;Gancao;Qianghuo;Taoren
P0088,Diyu;Juan
P0089,Tubiechong;Ruxiang;Zirantong;Xiejie;Zhusha;Danggui;Shexiang;Moyao
P0090,Baishatang
P0091,Sanqi;Xiejie;Huanglian;Xieyutan;Wumingyi;Shila;Ruxiang;Moyao;Shanyangxie;Shengdihuang;Honghua;Tubiechong;Taoren;Xuduan;Dilong;Niuhuang;Chishao;Danggui;Xiepo;Zhenzhu;Yuanshe;Binpian;Renshen;Xiongdan;Ercha
P0092,Zelan;Danggui;Honghua;Mudanpi;Qingniuhuang;Taoren;Chishao
P0093,Chishao;Xiangfu;Yanhusuo;Sanleng;Honghua;Taoren;Husuibu;Qingpi;Wushu;Wuyao;Muxiang;Sumu;Danggui
P0094,Shexiang;Ruxiang;Zirantong;Honghua;Danggui;Sharen;Sanqi;Xiangfu;Wushu;Mutong;Suoyang;Qilinxian;Wujiapi;Shengdihuang;Wuzhuyu;Duzhong;Mubiezi;Caowu;Banxia;Zhusha;Shengdihuang;Wuchuan;Ganqi;Chishao;Xixin;Jiqiao;Sumu;Qianghuo;Duhuo;Gongdingxiang;Bajiaohuixiang;Moyao;Heshouwu;Wuchuan;紫花地丁;Chenpi;Tubiechong;Qingpi;Songjie;Gancao;Taoren;海马;Sanleng;Husuibu;Hugu;Buguzhi;Baizhi;Lujiao;钧麻;刺猬皮;碎蛇;Zelan;红Liuxi;Qiancao;干Jiu
P0095,Chaihu;Huangqin;Wulinzhi;Taoren;Danggui;Chishao;Chuangong;Honghua;Sumu;Xuduan;Husuibu;Sanleng;Fushui;Wushu
P0096,Danggui;Wujiapi;Shengdihuang;Buguzhi;Husuibu;Shidagonglao;Yiniren;Zijinpi;Muxiang;Qianghuo;Chuangong;Duzhong;Wushu;Taoren;Hugu
P0097,Danggui;Chuangong;Tubiechong;Xiejie;Moyao;Ruxiang;Zirantong;Maqianzi;Mahuang
P0098,Ruxiang;Tubiechong;Fangfeng;Danggui;Mudanpi;Mutong;Sanqi;Tianguazi;Husuibu;Baishao;Gancao;Zhishi;Sumu;Taoren;Jianghuang;Moyao;Xiejie;Liujilu;Xuduan;Chishao;Jiegen;Honghua;Sanleng;Zirantong
P0099,Dahuang;Qingpi;Liujilu;Sumu;Taoren;Zhishi;Wujiapi;Chuangong;Tubiechong;Jiangxiang;Shanzha;Sanleng;Honghua;Linxiaohua;Danggui;Chishao;Yanhusuo;Qilinxian;Chuanliuxi;Binlang;Mudanpi;Ruxiang;Xiangfu;Moyao;Wushu;Zirantong;Xiejie
P0100,Chishao;Sumu;Jiqiao;Honghua;Sanqi;Dahuang;Ruxiang;Shengdihuang;Zexie;Tubiechong;Zelan;Danggui;Taoren;Xiejie;Moyao
P0101,Xiangfu;Puhuang;Baiji;Chishao;Chenpi;Wulinzhi;Sanqi;Muxiang;Dahuang;Yanhusuo;Xuduan;Wuyao;Sanleng;Wushu;Honghua;Chuangong;Yujin;Zhishi;Mudanpi;Qingpi;Fangfeng;Qilinxian;Danggui
P0102,Ruxiang;Sumu;Moyao;Zirantong;Dilong;Wumingyi;Danggui;Tubiechong;Xiejie;Dahuang;Mangxiao;Husuibu;Maqianzi
P0103,Chenxiang;Moyao;Qilinxian;Hugu;Ercha;Tubiechong;Baishao;Zhusha;Ruxiang;Xiejie;Shexiang;Liuxi;Dingxiang;Wujiapi;Duzhong;Buguzhi;Xiaohuixiang;Maidong;知母;Zirantong;Hougu;Bajiaohuixiang;Xixin;Fulin;Danggui;Huangbai;Tusizi;枸杞;橘红;京皮;山药;Qianghuo;Duhuo;Yanhusuo;Mudanpi;Chuangong;Shengdihuang;Mugua;西香
P0104,Xiepo;Dangshen;Husuibu;Shengdihuang;Shanyangxie;Xuduan;Danggui;Dilong;Wumingyi;Chishao;Honghua;Qianghuo;Jinbiantubiechong;Huafen;Shizhi;Taoren;Ruxiang;Moyao;Sumu;Sanqi
P0105,Dinggongteng;Shengdihuang;Mahuang;Qianghuo;Danggui;Chuangong;Baizhi;Buguzhi;Ruxiang;Zaojia;Chenpi;Cangshu;Houpu;Xiangfu;Muxiang;Jiqiao;Baishu;山药;黄精;Tusizi;Xiaohuixiang;Kuxinren;Zexie;Wulinzhi;Cansha
P0106,Shexiang;Moyao;Hongliangzi;Wuyao;Dilong;Wuchuan;Caowu;Wulinzhi;Mubiezi;Huixiang;Qianniuzi;Husuibu;Qilinxian;Jinmaogouji;Fangfeng;Zirantong;Yuyuliang;Chenpi;Qingpi
P0107,Cangshu;Rougui;Shudihuang;Moyao;Gancao;Puhuang
P0108,Hugu;Chuanshanjia;Ruxiang;Moyao;Guijia;Danggui;Zijinpi;Gutongqian;Husuibu
P0109,Mahuang;Xieyutan;Ruxiang
P0110,Ruxiang;Huajiao;Danggui;Moyao;Chishao;Chuangong;Zirantong;Yanhusuo
P0111,Caowu;Cangshu;Wancansha
P0112,Baiziren;Renshen;Fulin;Yuanzhi;Fulin;Suanzaoren
P0113,Dongguapi;Niupijiao
P0114,Ruxiang;Moyao
P0115,Baizhi;Zijinpi;Liujilu;Danggui;Chishao;Qianniuzi;Chuanliuxi;Shengdihuang;Chuangong;Ruxiang;Moyao;Buguzhi;Mutong;Zirantong;Caowu;Muxiang;Wuchuan;Huoxiang;Husuibu;Muzei;Rougui;Qianghuo;Duhuo;Shudihuang;Liuxi
P0116,Yinsicao;Xiaoji
P0117,Huaruishi;Liuhuang
P0118,Chuangong;Danggui;Fangfeng;Jingjie;Qianghuo;Baizhi;Xixin;Manjinzi;Danshen;Ruxiang;Moyao;Taoren;Sumu;Zelan
P0119,Mangxiao;Tubiechong;Zirantong;Xiejie;Muxiang;Danggui;Taoren;Wushu;Wujiapi;Hougu;Yanhusuo;Sanleng;Sumu;Wulinzhi;Chishao;Jiucaizi;Puhuang;Buguzhi;Chenpi;Chuanbei;Jiqiao;Zhusha;Gegen;Sangjisheng;Rougui;Wuyao;Qianghuo;Shexiang;Duzhong;Qingjiu;Qianhu;Tugou;Qingpi
P0120,Qianghuo;Duhuo;Qingjiu;Jiangcan;Quanxie;Cangshu;Baizhi;Chuanshanjia;Wugong;Wuchuan;Caowu;Danggui;Shengdihuang;Mahuang
P0121,Fengkefen;Baicaoshuang
P0122,Fengxianhuagen
P0123,Fulin;Danggui;Maidong;Renshen;Huangqin;Caolongdan;Taoren
P0124,Fuzi;Qianniuzi
P0125,Fuzi;Guijia;Hugu;Lixie;Qianjinteng;Buguzhi;Baizhi;Husuibu;Zirantong;Xuduan;Chishao;Danggui;Rougui;Liuxi;Wuyao;Moyao;Ruxiang
P0126,Huangyangmu;Chuangong;Qingniuhuang;Danshen;Xixin;Shegan;Gualou;Yinchenjingao
P0127,Chaihu;Tianhuafen;Danggui;Honghua;Gancao;Chuanshanjia;Dahuang;Taoren
P0128,Chenpi;Qianniuzi;Gancao;Yanhusuo;Huixiang;Chuanshanjia;Muxiang;Danggui;Ruxiang;Moyao
P0129,Gancao;Fulin;Rougui;Kuxinren
P0130,Gancao;Fulin;Kuxinren;Renshen
P0131,Gansong;黄荆;Jiecaizi;赤蓼花;欓子;Jiangcan;螟蛉壳
P0132,Oujie
P0133,Wuchuan;Caowu;Xixin;Baizhi;Danggui;Pixie;Honghua
P0134,Husuibu;Zirantong;Hugu;Guijia;Moyao
P0135,Huanggualou;Rendong藤;Ruxiang;Sumu;Moyao;Gancao
P0136,Dahuang;Gancao;Mangxiao;Taoren;Danggui
P0137,Danggui;密蒙花;Huanglian;Shudihuang;楮实子;覆盆子;枸杞;Xuanshen;Lianqiao;Fangfeng;Shihu草;Chenpi;Baishao
P0138,Shengdihuang;Fuzi;Jiangcan;Puhuang;Cangshu;Gutongqian;Danggui
P0139,Rougui;Danggui;Puhuang;Dahuang
P0140,Shengdihuang
P0141,Haijinsha;Dahuang;Ruxiang;Moyao;Xiejie
P0142,Gualou;Rendong;Ruxiang;Sumu;Moyao;Gancao
P0143,Qingpi;Qianghuo;Danggui;Honghua;Sumu;Shengdihuang;Duzhong;Muxiang;Chenpi;Mudanpi;Mutong;Chuangong;Gancao
P0144,Zelan;Baibu;Liujilu;Houjiang;Sumu;Chenpi;Ruxiang;Gancao;Moyao;金Yinhua
P0145,Wujiapi;Qiancao;Liujilu;Honghua;Qingniuhuang;Jiqiao;Wushu;Wuyao;京Sanleng;Taoren;Chishao;Danggui
P0146,Yangzhizhuo;Dahuang;Chishao;Danggui;Honghua;Shengdihuang;Mudanpi;Tugou;土虱
P0147,Danggui;Yanhusuo;Zijinpi;Bajiaohuixiang;Wuchuan;Caowu;Gancao;Zirantong;Honghua;Puhuang;Danshen;Wulinzhi;Gansong;Shannai;Sharen
P0148,Dahuang;玄明粉;Taoren;Danggui;Honghua;鳖甲;Jiqiao;Yanhusuo;Shengdihuang;Mutong
P0149,Chuanshanjia;Danggui;Honghua;Sumu;Shengdihuang;Qilinxian;Wujiapi;Chuangong;Ruxiang;Moyao;Huafen;Gancao;Taoren;Xiejie;Dahuang
P0150,Renshen;Huangqi;Danggui;Baishao;Baishu;Fangfeng;Fulin;Shengdihuang;Chenpi;Gancao
P0151,Chishao;Danggui;Chuangong;Sumu;Chenpi;Ruxiang;Taoren;Xuduan;Wuyao;Moyao;Mutong;Gancao
P0152,Danggui;Taoren;Xiangfu;Wushu;Sanleng;Chishao;Chenxiang;Binlang;Jiangxiang;Ruxiang;Moyao;Gancao;Shexiang;Muxiang;Tubiechong;Wuyao;Jiqiao;Yanhusuo;Sumu;Jianghuang;鳖甲;Mudanpi
P0153,Gougu;Tianlingai;牛皮;Tiannanxin
P0154,Cangshu;Caowu;Shengjiang;Zirantong;Ruxiang;Moyao;Wulinzhi
P0155,Shuizhi;Tianxianzi;Moyao;Ruxiang;羊胫骨;大叶Wujuzi;Pixie;Fangfeng;Chishao;Caowu;Zirantong;梧桐泪
P0156,黄牛胫骨;定器
P0157,Baicaoshuang;蚌粉
P0158,Shudihuang;Chixiaodou;Ganjiang;藁本;Mahuang;Chuangong;Qianghuo;Gansong;Danggui;Wuchuan;Gancao;Huoxiang;Xiangmo;Caowu;Baizhi
P0159,Bailian;Baiji;Tiannanxin;Shaoyao;Danggui;Husuibu;Wuchuan;Liuxi;Baicaoshuang;Chixiaodou
P0160,干过腊鱼霜;山椒
P0161,Sumu;Honghua;Taoren;Chuanshanjia;Yanhusuo;Mudanpi;红曲;Xiangfu;Jiangxiang;麦芽;通草;Shanzha;Puhuang;Chishao
P0162,Liuxi;Wuchuan;Tiannanxin;Xixin;Heshouwu;Jiegen;Shangui;Danggui;Zirantong;Bailian;Chishao;Husuibu;Moyao;Qianghuo;Chixiaodou
P0163,Hugu;Mugua;Chuangong;Chuanliuxi;Danggui;Tianma;Wujiapi;Honghua;Xuduan;Baiqiegen;Yuzhu;Qingjiu;Fangfeng;Sangzhi
P0164,黄荆;Xuduan;Duhuo;Qingjiu;Haitongpi;鸡骨;Hugu;Longjiang;犬骨
P0165,Hugu;Guijia;Danggui;阳起石;Jianghuang;Husuibu;Zirantong;Chishao;Tianguazi;Moyao
P0166,Danggui;Chuangong;Shudihuang;Baishao;Qianghuo;Duzhong;Duhuo;Xuduan;Honghua;Mugua;Hugu;Sanqi;黑枣;Husuibu;Yinyanghuo;Wujiapi;Buguzhi;菟丝饼;海风藤;胡桃;伸筋草;Liujilu
P0167,虎杖;Chishao
P0168,Dahuang;Taoren;Sumu;Jianghuang;Mangxiao;Binlang;Qianniuzi;Sanleng;Xiangfu;Chishao;Badou;Honghua;Rougui;Wuyao;Muxiang
P0169,Hupo;京Sanleng;Qianniuzi;Danggui;Moyao;Dahuang
P0170,接骨虫;Naoyanghua;Huangqi;Danggui;枣仁;Jiegen;Gancao;Renshen
P0171,槐角;Qingjiu;Baishu;Xuduan;Shengdihuang;Badou;Fuzi
P0172,Huangqi;Chishao;Shudihuang;Ganjiang;Fuzi;Xuduan;Shengdihuang;Danggui;Mutong
P0173,Zhishi;Huangqi;Gancao;Hongzao
P0174,Huangqi;Chuangong;Gancao;Danggui;Shaoyao;Shengjiang
P0175,Wuchuan;Caowu;Fengxiang;Danggui;Chishao;Duhuo;Chuangong;Xixin;Baizhi;Shangui;Baijiang;黄姜;Wujiapi;Jiegen;Husuibu;Cangshu;Heshouwu;知母;Moyao;Liuxi
P0176,Heidou;Puhuang;Danggui;Shengdihuang;Chishao;Ganjiang;茄种
P0177,Wujiapi;Chuanliuxi;Danggui;Gancao;木耳;黄麻;Lujiao;Chuanshanjia;Zirantong;Husuibu
P0178,Tubiechong;Xiejie;Danggui;Zirantong;Ruxiang
P0179,Wuchuan;Caowu;Wulinzhi;Mubiezi;Husuibu;Qilinxian;Jinmaogouji;Zirantong;Dilong;Wuyao;Qingpi;Chenpi;Huixiang;Ruxiang;Hongliangzi;Moyao;Shexiang;Qianniuzi;Yuyuliang
P0180,Chuangong;Danggui;Qianghuo;Duhuo;Mugua;Bajiaohuixiang;Xiaohuixiang;Rougui;Gancao;Wuyao;Wuchuan;Hugu;Zirantong
P0181,Wulinzhi;Buguzhi;Chishao;Wuchuan;Caowu;Zhizi;Qianniuzi;Qianniuzi;Heshouwu;土朱
P0182,Tubiechong;Wujiapi;Liujilu;Taoren;Shanzha;Dahuang;Yanhusuo;Wushu;Mudanpi;Danggui;Liuxi;Honghua;Xiangfu;Sanleng;Jiangxiang;Linxiaohua;Sumu;Qingpi;Zhishi;Chishao;Qilinxian;Binlang;Chuangong;Ruxiang;Moyao
P0183,Qingsangtan;Danggui;Liuxi;Chuangong;Chishao;Shudihuang;Heidou;Heshouwu;Tiannanxin;Baizhi;Songjie;Duzhong;Buguzhi;Qianghuo;Duhuo;Cangshu;Fangfeng;Jingjie;Husuibu;Jiegen;Lijian;Xuduan;Caowu;Wuchuan;Rougui;Mubiezi;Bajiaohuixiang;Dilong;Bailian;Baiji;Xixin;Jiangxiang;Tanxiang;Songxiang;Fengxiang;Wulinzhi;Jinmo;Xiejie;Ruxiang;Moyao
P0184,Qingsangtan;Dalijian;Husuibu;Tiannanxin;Chishao;Baishao;Liuxi;Wuchuan;Xiongheidou;Zirantong;Mubiezi;Xixin;Moyao;Ruxiang;Baijiaoxiang;Xiejie
P0185,Jingjie;Fengxiang;Tanxiang;Jiangxiang;Caowu;Shangui;Danggui;Cangshu;Qianghuo;Baiji;乌豆;Dilong;滴青;Shexiang;Chuangong;Wulinzhi;Ruxiang;Moyao;Wuchuan;Husuibu;Chuanliuxi;Xixin;花桑木;Baizhi;Chishao;Qianniuzi;Tiannanxin;Zirantong;Dalijian;Mubiezi
P0186,Chuangong;Qingpi;Gancao;Baishao;滑石;Mudanpi;Taoren
P0187,蝙蝠;Danggui;Husuibu;Rougui;Buguzhi;Dahuang
P0188,Danggui;Honghua;Taoren;Gancao;Chaihu;Dahuang;Shengdihuang;Puhuang
P0189,Sumu;Wushu;Muxiang;Chenpi
P0190,Danggui;Chishao;Jianghuang;伸筋草;Songjie;Haitongpi;Luodeda打;路路通;Qianghuo;Fangfeng;Xuduan;Gancao
P0191,Heshouwu;Danggui;Chishao;Baizhi;Wuyao;Jiqiao;Fangfeng;Gancao;Chuangong;Chenpi;Xiangfu;Zisu;Qianghuo;Duhuo;Rougui
P0192,Danggui;Chuangong;Baishao;Shengdihuang;Taoren;Liuxi;Yanhusuo;Honghua;Rougui
P0193,Shengdihuang;Honghua;Danggui;槐花;Mutong;Digupi;Chenpi;Qingpi;Xiangfu;Wuyao;Baizhi;Gancao
P0194,Danggui;Yanhusuo;Shengdihuang;Danshen;Muxiang;Duhuo;Taoren;Moyao;Honghua;Liuxi;Sangzhi
P0195,Sanleng;Wushu;Huangbai;Huanglian;Qingpi;Chishao;Zisu;Xiangfu;Chaihu;Ruxiang;Honghua;Sumu;石菖蒲;千里马
P0196,Tubiechong;Xiejie;西Honghua;Ruxiang;Moyao;Liuxi;Baizhi;Ercha;Husuibu;Duzhong;Xuduan;赤木;Danggui;Shengdihuang;Chuangong;Zirantong;Taoren;Dahuang;Maqianzi;Zhusha;Binpian;蜜糖
P0197,Danggui;Qianghuo;Duhuo;Jingjie;Chuangong;Taoren;Mutong;Wuyao;Xuduan;Chenpi;Wujiapi;Honghua;Fangfeng;Sumu;Ruxiang;Moyao;Gancao
P0198,Tubiechong;Danggui;Ruxiang;Zirantong;Sanqi
P0199,Ruxiang;Moyao;Chishao;Baizhi;Chuangong;Danggui;Shengdihuang;Mudanpi;Gancao
P0200,Danggui;Sumu;Luodeda打;Chuangong;Honghua;Ruxiang;Moyao;Sanqi;Chishao;Chenpi;Tubiechong;紫荆藤
P0201,Danggui;Shengdihuang;Qingpi;天门冬;Qianghuo;Xuduan;Honghua;Sumu;Chenpi;Fangfeng;Zhishi;Gancao;Chuangong;Baishao;Wujiapi;Ruxiang;Moyao
P0202,Baizhi;Chuanshanjia;Xiaohuixiang;Gancao;Danggui;Chuangong;Duhuo;Qianghuo;Mugua;Rougui;淮乌;Caowu;Shexiang
P0203,Taoren;Sanleng;Wushu
P0204,Dahuang;Danggui;Taoren
