处方编号,处方组成
P0166,当归、川芎、熟地黄、白芍、羌活、杜仲、独活、续断、红花、木瓜、虎骨、三七、黑枣、骨碎补、淫羊藿、五加皮、补骨脂、菟丝饼、海风藤、胡桃、伸筋草、刘寄奴
P0167,虎杖、赤芍
P0168,大黄、桃仁、苏木、姜黄、芒硝、槟榔、牵牛子、三棱、香附、赤芍、巴豆、红花、肉桂、乌药、木香
P0169,琥珀、京三棱、牵牛子、当归、没药、大黄
P0170,接骨虫、闹洋花、黄芪、当归、枣仁、桔梗、甘草、人参
P0171,槐角、秦艽、白术、续断、桂枝、巴豆、附子
P0172,黄芪、赤芍、熟地黄、干姜、附子、续断、桂枝、当归、木通
P0173,枳实、黄芪、甘草、红枣
P0174,黄芪、川芎、甘草、当归、芍药、生姜
P0175,川乌、草乌、枫香、当归、赤芍、独活、川芎、细辛、白芷、山桂、白姜、黄姜、五加皮、桔梗、骨碎补、苍术、何首乌、知母、没药、牛膝
P0176,黑豆、蒲黄、当归、桂枝、赤芍、干姜、茄种
P0177,五加皮、川牛膝、当归、甘草、木耳、黄麻、鹿角、穿山甲、自然铜、骨碎补
P0178,土鳖虫、血竭、当归、自然铜、乳香
P0179,川乌、草乌、五灵脂、木鳖子、骨碎补、威灵仙、金毛狗脊、自然铜、地龙、乌药、青皮、陈皮、茴香、乳香、红娘子、没药、麝香、牵牛子、禹余粮
P0180,川芎、当归、羌活、独活、木瓜、八角茴香、小茴香、肉桂、甘草、乌药、川乌、虎骨、自然铜
P0181,五灵脂、补骨脂、赤芍、川乌、草乌、栀子、牵牛子、牵牛子、何首乌、土朱
P0182,土鳖虫、五加皮、刘寄奴、桃仁、山楂、大黄、延胡索、莪术、牡丹皮、当归、牛膝、红花、香附、三棱、降香、凌霄花、苏木、青皮、枳实、赤芍、威灵仙、槟榔、川芎、乳香、没药
P0183,青桑炭、当归、牛膝、川芎、赤芍、熟地黄、黑豆、何首乌、天南星、白芷、松节、杜仲、补骨脂、羌活、独活、苍术、防风、荆芥、骨碎补、桔梗、栗间、续断、草乌、川乌、肉桂、木鳖子、八角茴香、地龙、白蔹、白芨、细辛、降香、檀香、松香、枫香、五灵脂、京墨、血竭、乳香、没药
P0184,青桑炭、大栗间、骨碎补、天南星、赤芍、白芍、牛膝、川乌、雄黑豆、自然铜、木鳖子、细辛、没药、乳香、白胶香、血竭
