处方编号,处方组成
P0606,乳香、没药、自然铜、古铜钱、甜瓜子、络户绵、当归、芍药、川芎、草乌
P0607,半夏、自然铜、乳香、古铜钱、没药、骨碎补
P0608,水蛭、没药、乳香、木鳖子、藿香、木香、附子、草乌、绵子灰、自然铜、血余炭
P0609,竹茹、乱发、延胡索
P0610,水蛭、麝香、古铜钱、自然铜
P0611,接骨铜、土鳖虫
P0612,虎骨、龟甲、黄芪、牛膝、萆薢、续断、乳香
P0613,当归、红花、桃仁、大黄、自然铜、土鳖虫、黄麻、乳香、没药、儿茶、朱砂、雄黄、骨碎补、古铜钱、麝香
P0614,没药、血竭、丁香、虎骨、乳香、骨碎补、桑白皮、赤小豆
P0615,当归、续断、骨碎补、牛膝、桃仁、金银花
P0616,虎睛、金箔、银箔、朱砂、茯苓、羚羊角、远志、人参、麦冬、蒲黄
P0617,五灵脂、木鳖子、穿山甲、地龙、黄麻、麝香、芸香、乳香、古铜钱、自然铜、草乌、全蝎、当归、京墨
P0618,益母草、一重担
P0619,干姜、肉桂、牛膝、羌活、川芎、细辛、姜黄、芍药、草乌、川乌、骨碎补、当归、苍术、木鳖肉、没药、何首乌、桔梗、乳香、赤小豆、白芷、海桐皮
P0620,铅丹、密陀僧、自然铜、朱砂、血竭、乳香、没药、黄蜡、白矾、腊月猪脂
P0621,没药、血竭、丁香、虎骨、乳香、骨碎补、桑白皮、赤小豆
P0622,古铜钱、乳香、没药、轻粉
P0623,清麻油、黄芪、木通、苦杏仁、皂荚、乱发
P0624,水蛭、自然铜、当归、无名异、乳香、没药、透罗绵、血余炭、苍术、五灵脂、草乌、古铜钱
P0625,乳香、没药、花椒、古铜钱、马兰花、白芷、川乌、自然铜、白胶香、当归、木香、赤芍、草乌、密陀僧、川芎、红豆蔻
P0626,当归、黄芪、赤芍、牛膝、肉桂、白芷、紫金皮、川乌、乳香、没药
P0627,没药、乳香、当归、花椒、自然铜、赤芍、败龟板、虎骨、白芷、骨碎补、千金藤
P0628,白蔹、白芨、天南星、芍药、当归、细辛、赤小豆、百草霜
P0629,乳香、没药、血竭、贝母、羌活、木香、厚朴、川乌、草乌、白芨、麝香、紫荆皮、香附、小茴香、甲珠、自然铜、木瓜、肉桂、当归、独活、续断、虎骨、川芎
P0630,乳香、没药、骨碎补、当归、芒硝、血竭、土鳖虫
P0631,人参、龙骨、赤石脂、乳香、没药、血竭、轻粉、贝母、珍珠、冰片
P0632,乳香、没药、血竭
P0633,紫金皮
P0634,茴香、樟脑、红花
P0635,滴花烧酒、樟脑、罂粟
P0636,藏瓜姜糟、熟地黄、生姜、艾叶
P0637,珍珠、滑石、炉甘石、芒硝、乳香、荸荠
P0638,没药、乳香、轻粉、儿茶、龙骨、铅丹、血竭、冰片、珍珠、百草霜
P0639,防风、荆芥、川芎、甘草、当归、黄柏、苍术、牡丹皮、花椒、苦参
P0640,松香、铅丹、蒺藜、白鲜皮
P0641,白蔹、白芨、白芷、碧芦皮
P0642,白芷、天南星、白术、何首乌、桔梗、羌活、独活、白芍、白杨皮、川芎、茯苓、白蔹、当归、薏苡仁、骨碎补、牛膝、续断、川乌、细辛、肉桂、枫香、乳香、没药
P0643,麻油、松香、白蜡、黄蜡、轻粉、冰片、麝香、鸡蛋白
P0644,百草
P0645,藿香、艾叶、蓖麻子、草乌、荆芥、乌药、桂枝、蜂房、藁本、秦艽、全蝎、枳壳、威灵仙、桃仁、黄芩、玄参、木香、独活、苦杏仁、肉桂、麻黄、白鲜皮、天南星、当归、檀香、僵蚕、附子、皂荚、香附、莱菔子、生地黄、苍术、羌活、紫荆皮、贝母、牛膝、白蔹、骨碎补、防风、赤芍、清风藤、苏木、细辛、五加皮、川芎、蝉蜕、良姜、大风子、连翘、丁香、甘草、栀子、鳖甲、白芨、续断、红花、紫丁皮、半夏、白芷、苦参、血余炭、大黄、蜈蚣、蛇蜕、槐枝、桃枝、柳枝、桑枝、榆枝、松香、百草霜
P0646,白芷、肉桂、当归、玄参、大黄、赤芍、木鳖子、血余炭、生地黄
P0647,斑蝥、黄蜡、猪脂
P0648,生地黄、苍术、枳壳、五加皮、莪术、桃仁、山柰、当归、川乌、陈皮、乌药、三棱、大黄、何首乌、草乌、柴胡、防风、刘寄奴、皂荚、羌活、威灵仙、赤芍、天南星、香附、荆芥、白芷、海风藤、藁本、续断、良姜、独活、麻黄、甘松、连翘、川芎、血余炭、铅丹、肉桂、麝香、木香、附子、冰片、樟脑、小茴香、乳香、没药、阿魏、细辛
P0649,生地黄、苍术、枳壳、五加皮、莪术、桃仁、山柰、当归、川乌、陈皮、乌药、三棱、大黄、何首乌、草乌、柴胡、防风、刘寄奴、皂荚、川芎、肉桂、羌活、威灵仙、赤芍、天南星、香附、荆芥、白芷、海风藤、藁本、续断、良姜、独活、麻黄、甘松、连翘
P0650,沥青、威灵仙、蓖麻子、黄蜡、乳香、没药、麻油、木鳖子
P0651,荜茇、良姜、细辛
P0652,蓖麻子、木鳖子、苍耳、雄黄、金毛狗脊
P0653,槟榔、黄连、木香、龙骨
P0654,续断、当归、乳香、没药、骨碎补、自然铜、五加皮、红花、威灵仙、苏木、川芎、五倍子、无名异、赤芍
P0655,补骨脂
P0656,花椒、兽脑骨、红内消、白芷
P0657,香油、黄蜡、密陀僧、乳香、没药
P0658,龙眼、冰片
P0659,人参、茯苓、山药、熟地黄、当归、地骨皮
P0660,紫金皮、苍术、皂角、鸡脚风叶、骨碎补
P0661,赤地利、黄柏、石灰
P0662,生地黄、麻脂、薰陆香、丁香、铅丹、蜡
P0663,赤石脂
P0664,葱白
P0665,栀子、天南星、草乌、川乌、半夏、红花、桃仁、苦杏仁
P0666,白芷、大黄、黄连、白芨、白蔹、黄芩、木鳖子、黄柏、羌活、独活、金毛狗脊、苦杏仁、当归、芍药、川芎、肉苁蓉、生地黄、前胡、肉桂、柴胡、荆芥、黄芪、连翘、防风、蓖麻子、乳香、没药、血竭、樟脑、血余炭、香油、飞丹、麝香、槐枝、柳枝
P0667,沥青、铅丹、乳香、油
P0668,当归、赤芍、乌药、小油、没药、乳香、琥珀、沥青、铅丹
P0669,沥青、小油
P0670,肉苁蓉、穿山甲、铅丹、龙骨、虎骨、白芨、木鳖子、天灵盖、寒食面
P0671,蚕砂、绿豆粉、枯矾
P0672,生地黄、木香
P0673,生地黄、藏瓜姜糟、生姜
P0674,生地黄、酒糟
P0675,地菘、石灰、旋覆花、葛叶、青蒿、麦冬
P0676,乳香、没药、血竭、香油、三七、冰片、樟脑、铅丹
P0677,乳香、没药、血竭、冰片、樟脑、金不换、铅丹、茶油清
P0678,羌活、独活、荆芥、薄荷、苍术、大黄、黄柏、当归、蒲黄、防风、白芷、刘寄奴、紫荆皮
P0679,石灰、血竭、松香、乳香、没药
P0680,生地黄、薄荷、独活、赤芍、川芎、羌活、连翘、香附、荆芥、当归、防风、桃仁、薏苡仁、青皮、五加皮、牡丹皮、杜仲、黄柏、延胡索、白芍、白芷、牛膝、红花、白鲜皮、木通、苏木、木瓜、甘草、厚朴、紫苏梗、枳实、枳壳、秦艽、续断、黄芪、甘松、三棱、山柰、玄参、刘寄奴、骨碎补、铅丹
P0681,当归、三棱、莪术、独活、白芷、川芎、羌活、杜仲、川牛膝、防风、肉桂、红花、续断、防己、五加皮、骨碎补、赤芍、刘寄奴、秦艽、葱白、土鳖虫、血余炭
P0682,当归、川芎、白芨、赤芍、大黄、苏木、血藤、郁金、良姜、刘寄奴、五加皮、青木香、羌活、姜黄、桑寄生、三棱、莪术、黄柏、血余炭、土鳖虫、红花、桃仁、川牛膝、延胡索、秦艽、防风、白鲜皮、葱白
P0683,麝香、血竭、红花、冰片、乳香、没药、朱砂、儿茶、当归
P0684,芙蓉叶、紫金皮、独活、天南星、白芷
P0685,乳香、没药、当归、川芎、地龙、细辛、羌活、蛤粉、铅丹、蒲黄
P0686,川乌、草乌、乳香、龙骨、蟾酥、没药、花椒
P0687,当归、川芎、白芍、肉桂、山柰、麝香、红花、紫丁香根、升麻、防风
P0688,生地黄、生姜
P0689,血竭、降香、灯心草、龙骨、苏木、红花、当归、乳香、没药、新鸡、桔梗
P0690,乱发、蓖麻子、猪脂、麻油、威灵仙、熟地黄、独活、金银花、当归、白芷、川乌、草乌、肉桂、乳香、没药、铅丹、松香、麝香
P0691,川乌、草乌、当归、红花、肉桂、白芷、桃仁、防风、赤芍、补骨脂、穿山甲、羌活
P0692,牡蛎、赤石脂、国丹
P0693,当归、生地黄、川芎、白芍、荆芥、防风、钩藤、八角茴香、木瓜、五加皮、白芷、紫荆皮、羌活、槟榔、杜仲、补骨脂、五灵脂、威灵仙、乳香、没药、乌药、自然铜、牛膝、天南星
P0694,紫荆皮、天南星、芙蓉叶、独活、白芷、赤芍
P0695,附子、猪脂
P0696,土鳖虫、红花、大仙人柴、古铜钱、自然铜、乳香、没药
P0697,蝮蛇、紫花地丁
P0698,生地黄、当归、附子、大黄、续断、肉桂、琥珀、枳壳、桃仁
P0699,猪毛、松香、葱白、大蒜、姜、定油、铅丹、樟脑
P0700,香油、铅丹、巴豆、木鳖子、穿山甲
P0701,川乌、甘草、大黄、当归、赤芍、白芷、连翘、白蔹、肉桂、木鳖子、槐枝、柳枝、桃枝、桑枝、枣枝、苦参、皂角
P0702,阿魏、荜澄茄、桃仁、胡椒、乳香、没药、三棱、青皮、莪术、五灵脂、血竭、白信、冰片、麝香
P0703,枳壳、青皮、川楝子、大风子、赤石脂、僵蚕、赤芍、肉桂、天麻、小茴香、蛇床子、甘草、乌药、牛膝、羌活、黄柏、补骨脂、威灵仙、川乌、当归、木香、细辛、续断、菟丝子、白蔹、桃仁、附子、川芎、草乌、杜仲、远志、穿山甲、香附、白术、陈皮、清风藤、轻粉、儿茶、公丁香、樟脑、没药、血竭、乳香
P0704,厚朴、阿魏、赤芍、椿皮、木瓜、当归、白芷、松节、苏木、生地黄、肉桂、玄参、香油、樟脑、鹿角、丁香、肉桂、乳香、没药、羌活、独活、荜茇、良姜、大黄
P0705,枳壳、防风、苦杏仁、泽泻、地榆、天麻、五味子、川乌、浙贝母、猪苓、赤石脂、白蔹、甘草、赤芍、五加皮、栀子、薄荷、山药、何首乌、羌活、苦参、青皮、黄芩、补骨脂、熟地黄、香附、远志、半夏、独活、荆芥、麻黄、肉苁蓉、小茴香、草乌、白芷、陈皮、前胡、银花、牛膝、藁本、附子、八角茴香、木通、五灵脂、肉桂、连翘、僵蚕、续断、蛇床子、桔梗、大黄、当归、知母、茵陈、细辛、黄柏、乌药、苍耳子、川芎、生地黄、杜仲、苍术、玄参、川楝子、桃仁、蒺藜、楮实子、大风子、清风藤、菟丝子、白术、穿山甲、蜈蚣
P0706,桂枝、威灵仙、防风、五加皮、细辛、荆芥、乳香、没药
P0707,宽筋藤、钩藤、忍冬藤、王不留行、刘寄奴、防风、大黄、荆芥
P0708,肉桂、芸苔子、白芥子、木鳖子、大黄、龟甲、虎骨、赤狗脑骨
P0709,百草霜、飞罗面、生姜
P0710,海桐皮、透骨草、乳香、没药、当归、花椒、川芎、红花、威灵仙、白芷、甘草、防风
P0711,白附子、川乌、草乌、木鳖子、金银花、苍术、赤芍、连翘、黄芩、何首乌、大风子、白芷、火麻仁、蓖麻子、干姜、当归、花椒、血余炭、骨碎补、蜈蚣、僵蚕、防风、细辛、蝉蜕、天南星、半夏、马钱子、黄柏、独活、荆芥、红花、西茜、蛇床子、孩儿茶、姜黄、粉草、猪油、麻油、桐油
P0712,当归、苏木、红花、胡桃
P0713,枇杷叶、穿山甲
P0714,雄鸡毛、桑树炭、松节、嫩松心、侧柏、当归、牛膝、何首乌、黑豆、天南星、骨碎补、熟地黄、羌活、独活、赤芍、川芎、白芷、细辛、肉桂、川乌、草乌、木鳖子、木香、五灵脂、降香、乳香、没药、枫香、百草霜
P0715,松香
P0716,藏红花
P0717,降香、当归、穿山甲、血竭、乳香、没药、红公鸡
P0718,独活、何首乌、天南星、白芷、羌活、当归、骨碎补、苏木、牛膝、赤芍、红花、川芎、细辛、川乌、桔梗、降香、枫香、血竭、乳香、没药
P0719,天花粉、白芷、赤芍、郁金
P0720,虎骨、石斛、赤芍、白芨、川芎、羌活、桂枝、杜仲、生地黄、川乌、白蔹、穿山甲、独活、麻黄、透骨草、当归、草乌、红花、大黄、防风、甘草
P0721,虎骨、金毛狗脊、穿山甲、骨碎补
P0722,黄柏、松香、鸡子
P0723,乳香、没药、羌活、紫苏、细辛、草乌、蛇含石、厚朴、白芷、降香、当归、苏木、檀香、龙骨、天南星、轻粉、麝香、花蕊石
P0724,白芥子、甘遂、地龙、威灵仙、急性子、透骨草、麻根、细辛、乌梅、穿山甲、血余炭、江子、全蝎、防风、草乌、紫硇砂
P0725,川芎、白芷、生地黄、熟地黄、当归、白术、陈皮、香附、枳壳、乌药、半夏、青皮、细辛、知母、苦杏仁、桑白皮、黄连、黄芩、黄柏、栀子、苍术、大黄、柴胡、薄荷、赤芍、木通、桃仁、玄参、猪苓、泽泻、桔梗、前胡、升麻、麻黄、牛膝、杜仲、山药、远志、续断、良姜、何首乌、甘草、连翘、藁本、茵陈、地榆、防风、荆芥、羌活、独活、金银花、蒺藜、苦参、僵蚕、天麻、天南星、川乌、威灵仙、白鲜皮、五加皮、清风藤、益母草、两头尖、五倍子、大风子、巴豆、穿山甲、芫花、蜈蚣、苍耳子、桃枝、柳枝、槐枝、桑枝、楝枝、楮枝
P0726,黄柏、黄芩、萝卜叶
P0727,黄柏、半夏
P0728,麻油、藤黄
P0729,川乌、草乌、降香、枫香、肉桂、松香、姜黄、乳香、没药、细辛、当归、赤芍、羌活、独活、川芎、蒲黄、白芷、五加皮、桔梗、骨碎补、苍术、何首乌、川牛膝、姜黄
P0730,黄芪、当归、附子、白芷、川芎、续断、细辛、薤白、猪脂
P0731,苍术、赤芍、白芷、当归、苦参、乳香、独活、川芎、天南星、草乌、没药、天花粉、木鳖子
P0732,茴香、丁香、樟脑、红花、白酒
P0733,羚羊血、没药、漏芦、红花、大黄、麝香、升麻、白芨、栀子、甘草、雄黄、白敛
P0734,穿山甲、五倍子、防风、当归、羌活、独活、白芷、黄连、枳壳、肉桂、皂荚、木鳖子、全蝎、细辛、黄柏、桃仁、川芎、诃子、天南星、青皮、杜仲、三棱、莪术、川乌、附子、厚朴、香附、地龙、大黄、槟榔、续断、骨碎补、蜈蚣、马钱子、蛇蜕、木香、乌蛇肉、威灵仙、天麻、刘寄奴、红花、首乌藤、海风藤、土鳖虫
P0735,红花、没药、白芷、当归、白附子、钩藤、紫草、栀子、黄药子、甘草、刘寄奴、牡丹皮、冰片、生地黄、乳香、露蜂房、大黄、白药子
P0736,肉桂、血竭、乳香、没药、丁香、樟脑、儿茶、川乌、草乌、附子、当归、川芎、桃仁、赤芍、杜仲、补骨脂、续断、菟丝子、威灵仙、白蔹、细辛、远志、陈皮、香附、白术、穿山甲、木香、枳壳、青皮、清风藤、大风子、僵蚕、天麻、蛇床子、小茴香、川楝子、乌药、甘草、牛膝、羌活、黄柏、广丹、麻油
P0737,轻粉、红粉、乳香、没药、儿茶、血竭、铅丹、蜂蜡、血余炭、蛇蜕、香油、麝香、冰片
P0738,绿豆粉
P0739,辣椒、羌活、川乌、独活、甘松、樟脑、冰片、丁香
P0740,桂枝、丁香、肉桂、糯米
P0741,鸡血藤
P0742,生地黄、当归、大黄、刘寄奴、雄鼠屎、闹洋花、红花、肉桂、川乌、草乌、大戟、芫花、甘草、甘遂、五灵脂、穿山甲、紫荆皮、血余炭、土鳖虫、野苎根
P0743,肉桂、白芷、当归、玄参、赤芍、生地黄、大黄、木鳖子、阿魏、轻粉、槐枝、柳枝、血余炭、铅丹、乳香、没药
P0744,黄柏、防风、玄参、赤芍、白芷、生地黄、大黄、当归、肉桂、海藻、昆布、苍术、金银花、皂角刺、山慈姑、桂枝、贝母、何首乌、苦参、连翘
P0745,乱发、蓖麻子、生地黄、玄参、大黄、当归、赤芍、白芷、肉桂、松香、铅丹、乳香、没药
P0746,肥皂子
P0747,骨碎补、续断、马钱子、白芨、芒硝、草乌、川乌、牛膝、苏木、杜仲、伸筋草、透骨草、羌活、独活、麻黄、五加皮、皂角核、红花、泽兰、虎骨
P0748,血余炭、大黄、威灵仙、雄鼠粪、川乌、草乌、刘寄奴、土鳖虫、羌活、独活、红花、蛇床子、苍术、当归、天南星、半夏、白芥子、桃仁、樟冰、甘松、山柰、花椒、皂荚、穿山甲、荜茇、没药、乳香、白芷、烟叶、商陆、闹洋花、艾叶、凤仙花、生姜、葱白、韭菜、大蒜
P0749,大黄
P0750,马鞭草、雄鼠粪、僵蚕
P0751,耳草叶、雪里开、水圹叶、乌苞叶、紫金皮
P0752,小黄米面、皂角、发灰
P0753,五灵脂、小茴香
P0754,天南星、木鳖子、没药、肉桂、乳香
P0755,川乌、草乌、羌活、独活、穿山甲、防风、荆芥、大黄、黄芩、黄柏、蛇蜕、角针、管仲、元武版、连翘、五倍子、蝉蜕、蜈蚣、甘草、桔梗、当归、川芎、赤芍、杜仲、白芷、金银花、僵蚕
P0756,续断、桂枝、附子、白芨、白蔹、当归、桑白皮、独活、狗脊、黄米
P0757,五加皮、乳香、没药、土鳖虫、骨碎补、白芨
P0758,猕猴项骨、水獭骨、猫儿项骨、龟甲
P0759,肉桂、芸苔子、白芥子、木鳖子、大黄、龟甲、虎骨、赤狗脑骨
P0760,白芍、补骨脂、自然铜、没药、羊胫骨、茯苓、骨碎补、川乌、木鳖子、虎骨
P0761,栀子、飞罗面
P0762,自然铜、荆芥、防风、五加皮、皂角、茜草、续断、羌活、独活、乳香、没药、桂枝、白芨、血竭、芒硝、螃蟹、骨碎补、接骨木、红花、赤芍、土鳖虫
P0763,陈烂麻根、羊耳朵、乱发
P0764,马钱子、枳壳、草乌
P0765,川芎、牛膝、草乌、香附、红花、陈皮、续断、麻黄、桑枝、细辛、防风、羌活、五加皮、山药、白芷、清风藤、远志、桃仁、白蔹、何首乌、天麻、熟地黄、当归、杜仲、桃枝、威灵仙、连翘、穿山甲、乌药、苍术、赤芍、独活、槐枝、荆芥、蜈蚣、榆枝、僵蚕、苦参、金银花、柳枝、大风子、大黄、川乌
P0766,当归、独活、秦艽、苍术、白芷、杜仲、羌活、川乌、干姜、良姜、荆芥、防风、草乌、川芎、玄参、生地黄、甘草、麻黄、穿山甲
P0767,川乌、草乌、苦参、皂角、大黄、当归、白芷、赤芍、连翘、白芨、白蔹、木鳖子、乌药、肉桂、五灵脂、穿山甲、两头尖、羌活、透骨草、槐枝、桃枝、桑枝、柳枝、香油、铅丹、乳香、没药、麝香、苏合香
P0768,大黄、川乌、栀子、柴胡、生地黄、威灵仙、薄荷、白芍、木通、乌药、泽泻、当归、桑白皮、枳壳、何首乌、陈皮、香附、青皮、白芷、知母、杜仲、黄柏、甘草、细辛、银花、黄芩、蒺藜、苦杏仁、黄连、桃仁、玄参、白术、防风、猪苓、僵蚕、桔梗、升麻、白鲜皮、麻黄、山药、远志、牛膝、藁本、良姜、贝母、续断、全蝎、坤草、文蛤、独活、天麻、柳枝、穿山甲、苍术、荆芥、苦参、芫花、蜈蚣、大风子、苍耳子、两头尖、茵陈、五加皮、槐枝、榆枝、秦艽
P0769,川芎、白芷、生地黄、熟地黄、当归、白术、苍术、陈皮、香附、枳壳、乌药、半夏、青皮、细辛、知母、贝母、苦杏仁、桑白皮、黄连、黄芩、黄柏、栀子、大黄、柴胡、薄荷、赤芍、木通、桃仁、玄参、猪苓、泽泻、桔梗、前胡、升麻、麻黄、牛膝、杜仲、山药、远志、续断、良姜、何首乌、甘草、连翘、藁本、茵陈、地榆、防风、荆芥、羌活、独活、金银花、蒺藜、苦参、僵蚕、天麻、天南星、川乌、草乌、威灵仙、白鲜皮、五加皮、清风藤、益母草、两头尖、五倍子、大风子、巴豆、穿山甲、芫花、蜈蚣、苍耳子、桃枝、柳枝、榆枝、槐枝、桑枝、楝枝、楮枝、枫枝
P0770,生猪油、芸香、樟脑、白芨、儿茶、轻粉、乳香、没药
P0771,松香
P0772,石灰、血竭、鸡子
P0773,乳香、没药、血竭、儿茶、龙骨、轻粉、大黄、水银、冰片、樟脑、麝香、麻油
P0774,天花粉、黄柏、姜黄、大黄、白芷、厚朴、陈皮、甘草、苍术、天南星
P0775,金雀花根、生地黄、红花、牡丹皮、银花、川乌、草乌、五加皮、防风、荆芥、桃仁、苏木、牛蒡子、甘松、当归、三棱、莪术、赤芍、续断、骨碎补、樟脑、狗胆、自然铜、古铜钱、松香
P0776,当归、川芎、苍术、白芷、赤芍、木鳖子、大黄、草乌、香油、沥青、松香、乳香、没药
P0777,松香
P0778,白胶香、大黄、黄芩、铅丹、全蝎、半夏、虎骨、防风、当归、独活、穿山甲、乳香、川芎、木香、明矾、白蔹、姜黄、木鳖子、龙骨、白芨、血竭、没药、白芷、黄柏、五灵脂、芍药、蓖麻子、栀子、黄连、羌活、香油
P0779,松香、良姜、乳香、木鳖子、川乌、小油、苦杏仁
P0780,当归、白芷、苦杏仁、玄参、皂角、草乌、连须叶葱、滴青、白胶香、乳香、没药、黄蜡、乱发
P0781,当归、川芎、苍术、白芷、赤芍、木鳖子、大黄、草乌、香油、沥青、松香、乳香、没药
P0782,沥青、威灵仙、蓖麻子、黄蜡、木鳖子、没药、乳香、小油
P0783,大黄、贝母、草乌、地骨皮、黄芩、黄柏、黄连、天花粉、小蓟、大蓟、赤蔹、白蔹、马鞭草、威灵仙、白芨、赤芍、肉桂、玄参、细辛、当归、川芎、白芍、刘寄奴、牡丹皮、苏木、红花、蜂房、血余炭、马勃、良姜、续断、桑寄生、木鳖子、无名异、桃仁、连翘、金银花、乌梢蛇、金毛狗脊、象皮、羌活、独活、淫羊藿、青皮、五加皮、地龙、蛇蜕、蜈蚣、白芷、防风、黄芪、姜黄、穿山甲、虾蟆、血见愁、僵蚕、半夏、龟甲、乌药、皂角刺、天麻、地榆、艾叶、苦参、天南星、皂荚、甘松、山柰、藁本、骨碎补、全蝎、麻黄、蝉蜕、五倍子、清风藤、何首乌、白鲜皮、木通、百合
P0784,生地黄、赤芍、当归、石南藤、白芷、骨碎补、五灵脂、肉桂、山桂皮、荆芥、桔梗、川乌、草乌、雄黑豆
P0785,川乌、防己、山柰、透骨草、延胡索、干姜、辣椒、蟾酥、樟脑、薄荷脑、冰片、冬青
P0786,马钱子、麻黄、乳香
P0787,草乌、川乌、细辛、闹洋花、苍术、桂枝、白芷、艾叶、麝香
P0788,硫黄、雄黄、肉桂、朱砂、川乌、草乌、麝香、全蝎、蜈蚣
P0789,石灰、韭菜
P0790,密陀僧、铅丹、自然铜、黄蜡、猪油、乳香、没药、松香、麻油
P0791,芒硝、雄黄、麝香
P0792,当归、三棱、莪术、独活、白芷、川芎、羌活、红花、川牛膝、防风、肉桂、杜仲、续断、、防己、五加皮、骨碎补、赤芍、刘寄奴、秦艽、葱白、土鳖虫、血余炭、龙骨、乳香、没药、血竭、麝香
P0793,桑枝、槐枝、榆枝、柳枝、桃枝、枸杞枝
P0794,狗骨
P0795,川乌、草乌、天南星、半夏、花椒
P0796,龙骨、白芷、铅丹、软石膏、血竭、乳香、没药、樟脑
P0797,当归、川乌、白芨、防风、木鳖子、生地黄、连翘、草乌、肉桂、乌药、白芷、皂角刺、大黄、赤芍、血余炭、白蔹、没药、槐枝、柳枝、桑枝、枣枝、桃枝
P0798,凤仙花、栀子、细辛、红花、独活、当归、乳香、没药、羌活、苏木、樟脑、甘草、公丁香、血余炭、石膏、山柰、红粘谷子、血竭
P0799,蓖麻子、草乌、乳香
P0800,丁香、麝香、野驼脂、腊月猪脂、羌活、川芎、木鳖子、防风、天花粉、附子、细辛、牛膝
P0801,牡蛎、白矾、铅丹、腻粉、雄黄、雌黄、麝香、血竭
P0802,木鳖子
P0803,木鳖子、大鲫鱼
P0804,木鳖子、肉桂、芸苔子、丁香
P0805,木香、槟榔、当归
P0806,木香、川乌、地骨皮、羌活、甘草、白芷、八角茴香、天南星、蓖麻子、肉桂、巴豆、细辛、大黄、荆芥、黄连、防风、苦参、生姜、生葱
P0807,白凤仙、紫丁香根、当归、自然铜、血竭、没药、川芎、赤芍、古铜钱、红花、川牛膝、五加皮、石菖蒲、苍术、木香、秦艽、蛇床子、附子、肉桂、半夏、石斛、萆薢、鹿角、虎骨、麝香
P0808,羌活、麻黄、当归、公丁香、独活、附子、苍术、草乌、升麻、红花、半夏、川乌、白芷、姜皮、桂枝、菖蒲
P0809,生地黄、木香
P0810,黄药子、芒硝
P0811,威灵仙、荆芥、防风、木香、当归、乌药、木瓜、桂枝、红花、续断
P0812,穿山甲、丁皮、当归、百草霜、枇杷叶
P0813,牛黄、雄黄、乳香、没药、丁香、麝香、芒硝
P0814,广东羊皮金纸
P0815,平胃散
P0816,血竭、藁本、茴香、乳香、没药、轻粉、铅丹、黄蜡、麻油
P0817,藿香、白芷、当归、贝母、大风子、木香、白蔹、乌药、生地黄、莱菔子、丁香、白芨、僵蚕、细辛、蓖麻子、檀香、秦艽、蜂房、防风、五加皮、苦参、肉桂、蝉蜕、丁皮、白鲜皮、羌活、桂枝、全蝎、赤芍、高良姜、玄参、天南星、鳖甲、荆芥、两头尖、独活、苏木、枳壳、连翘、威灵仙、桃仁、牛膝、红花、续断、花百头、苦杏仁、苍术、艾叶、藁本、骨碎补、川芎、黄芩、麻黄、甘草、栀子、川乌、皂荚、半夏、草乌、紫荆皮、清风藤、大黄、蜈蚣、蛇蜕、槐枝、桃枝、柳枝、桑枝、楝枝、榆枝、楮枝、血余炭、麻油、松香、百草霜
P0818,川乌、草乌、桂枝、当归、甘松、紫荆皮、细辛
P0819,当归、木鳖子、知母、五倍子、细辛、白芷、槐枝、柳枝、血竭、乳香、没药、轻粉、雄黄、麝香、松香、沥青
P0820,松香、葱白、生姜、烧酒、米醋
P0821,血竭、黄柏、甘草、白芷、白蔹、白芨、当归、密陀僧
P0822,血竭、铅丹、白蔹、白芨、葛布
P0823,当归、姜黄、紫荆皮、细辛、大黄、川乌、皂角、肉桂、透骨草、丁香、白芷、红花
P0824,黄连、槟榔
P0825,大黄、芙蓉叶、黄芩、黄柏、花粉、滑石、铅丹
P0826,苍耳子、樟木子、樟木皮、防风、薄荷、黄柏、苍术
P0827,良姜、吴茱萸、金毛狗脊、木鳖子、白胶香、龟甲、牛膝、当归
P0828,天花粉、黄柏、姜黄、白芷、陈皮、甘草、苍术、天南星、厚朴、石菖蒲、郁金、半夏
P0829,天花粉、黄柏、大黄、姜黄、白芷、厚朴、陈皮、甘草、苍术、天南星
P0830,乳香、没药、滑石、冰片
P0831,乳香、松香、枫香、五倍子、狗骨、锅底墨、小麦
P0832,青娘子、红娘子、蓖麻子、当归、白芷、栀子、乳香、松香、香油
P0833,乳香、沥青、黄蜡、白胶香、苦杏仁
P0834,花蕊石、试剑草、乳香、新瓦末
P0835,乳香、没药、血竭、阿魏、麝香、大黄、黄连、黄柏、防风、荆芥、芍药、白芷、玄参、当归、连翘、巴豆、苏木、大风子、木鳖子、穿山甲、铅丹、槐枝、桃枝、柳枝、清麻油
P0836,当归、赤芍
P0837,朱砂、麝香、丁香、乌梅、川乌、草乌、当归、山柰、乳香、皂角
P0838,黄荆、紫荆皮、当归、五加皮、木瓜、丹参、羌活、赤芍、白芷、姜黄、独活、甘草、秦艽、天花粉、牛膝、川芎、连翘、威灵仙、木防己、防风、马钱子
P0839,罗裙带叶、杉木、槐枝
P0840,耳草叶、泽兰
