Species	C1	C2	C3	C4	C5	C6	C7	C8	C9	C10	E1	E2	E3	E4	E5	E6	E7	E8	E9	E10	Y1	Y2	Y3	Y4	Y5	Y6	Y7	Y8	Y9	Y10
Species63	2	34	76	20	18	6	9	21	31	73	24	17	14	4	9	43	26	16	24	37	7	26	13	19	10	14	12	8	27	41
Species64	4	10	3	6	10	0	4	5	18	10	4	3	12	3	4	27	15	3	27	9	5	9	0	20	2	4	6	6	8	103
Species65	8	334	12	8	11	12	6	9	17	15	13	10	12	5	10	33	13	34	9	27	10	10	13	35	5	2	20	29	2	16
Species66	4	52	19	40	9	28	19	27	103	11	26	1	14	9	8	31	29	20	24	17	9	23	12	15	2	16	20	16	29	83
Species67	12	17	9	6	12	41	3	22	13	10	15	28	6	10	48	36	10	19	12	13	8	12	0	10	55	1	6	6	10	15
Species68	10	49	26	48	32	11	8	13	27	13	10	20	13	12	39	28	26	21	25	77	13	16	9	19	71	58	19	78	21	11
Species69	16	33	16	16	12	2	18	28	80	6	25	26	116	31	18	53	32	40	78	84	24	152	18	25	3	23	84	21	53	48
Species70	1	17	13	4	0	22	1	13	11	3	17	4	47	0	2	2	10	3	1	1	4	3	3	8	2	5	3	3	4	0
Species71	0	3	11	7	51	5	0	10	12	12	14	14	8	2	8	13	19	12	0	5	4	0	3	15	1	22	5	2	5	8
Species72	11	48	143	37	75	22	14	54	41	38	35	37	27	27	28	93	42	44	47	25	19	187	12	49	7	61	17	43	33	198
Species73	1	9	3	8	76	2	0	7	18	3	8	3	4	1	4	3	9	6	8	14	11	0	1	10	1	9	3	9	6	0
Species74	0	0	0	3	0	0	0	3	0	0	0	0	0	1	1	7	1	0	0	4	2	0	0	1	1	3	0	0	2	14
Species75	160	345	286	775	404	179	79	190	257	294	677	419	340	189	60	477	274	206	235	273	143	417	90	148	124	127	249	369	174	276
Species76	927	354	1114	424	390	609	884	674	223	708	196	256	711	1074	2498	420	527	431	85	632	849	109	790	226	1806	70	694	252	563	490
Species77	47	106	48	35	39	78	24	41	94	29	10	31	32	27	140	76	49	64	128	129	34	105	18	68	97	89	42	160	66	10
Species78	12	44	8	5	5	3	13	27	18	3	7	42	23	7	12	18	14	19	22	5	13	10	16	24	2	9	36	7	32	109
Species79	23	48	102	21	51	6	15	32	32	43	36	46	41	12	6	47	50	48	52	45	27	13	9	39	5	51	22	19	26	90
Species80	10	24	27	31	25	96	24	14	28	53	34	23	13	15	25	27	31	20	13	40	11	36	8	28	44	80	13	100	20	42
Species81	2	51	64	24	29	2	5	41	30	25	79	11	13	5	7	27	16	12	15	24	23	27	3	31	2	11	24	12	18	10
Species82	19	11	3	5	43	12	2	2	12	59	24	47	4	4	4	19	35	16	24	6	8	2	12	14	1	14	5	8	7	26
Species83	3	11	4	2	2	4	2	8	19	0	14	3	38	6	11	27	8	4	11	5	5	9	6	2	0	1	8	2	8	0
Species84	6	46	24	4	20	6	6	11	21	62	4	18	6	12	6	18	21	11	16	12	5	12	39	35	3	20	28	9	8	14
Species85	2	51	10	22	19	42	10	7	44	100	15	7	13	7	39	37	20	9	46	8	5	58	7	23	4	32	11	5	21	19
Species86	11	87	126	13	8	3	2	8	28	43	19	4	5	14	11	12	25	7	43	14	37	44	45	46	1	29	7	13	25	21
Species87	0	2	2	2	2	0	0	0	3	0	0	1	0	0	1	0	5	3	0	3	2	0	2	3	0	4	1	1	2	0
Species88	8	51	35	17	34	8	5	16	28	27	12	16	52	11	15	21	12	18	41	44	18	17	4	35	4	47	16	6	19	18
Species89	8	10	19	7	0	0	8	2	11	0	0	6	3	15	4	8	1	0	30	12	6	32	4	17	0	9	8	15	18	46
Species90	125	97	207	242	136	76	21	611	582	51	188	130	163	44	921	188	306	158	639	402	63	408	52	73	80	155	137	178	106	280
Species91	13	22	37	29	21	33	12	15	37	16	29	39	35	5	19	25	29	34	22	82	5	13	0	30	9	122	10	99	24	10
Species92	1321	1559	1284	5608	1604	812	603	2451	8245	1202	9718	2096	5166	532	3778	5848	1842	2002	5712	2121	697	1467	1435	1113	769	1097	4554	573	3158	8316
Species93	2	12	18	1	7	7	9	7	15	4	7	35	6	2	9	10	6	7	11	33	11	15	5	34	8	30	8	12	4	33
Species94	1	11	11	2	0	2	5	6	6	0	3	3	6	4	6	5	1	33	6	11	1	11	1	16	0	5	3	4	1	0
Species95	16	83	25	11	64	6	38	55	52	0	19	12	21	8	18	49	21	20	26	28	11	30	33	50	0	18	19	36	46	0
Species96	0	0	0	0	19	0	0	6	0	0	0	0	0	5	0	0	0	0	0	0	0	0	0	0	0	126	0	0	5	0
Species97	4	31	2	6	1	0	4	2	9	0	17	0	0	0	5	2	18	2	2	6	0	2	2	5	1	7	13	4	5	1
Species98	2	10	15	1	2	12	5	4	14	8	1	18	0	2	2	2	8	17	4	74	1	10	0	12	20	36	4	82	12	3
Species99	1	11	3	7	0	0	2	5	5	0	5	0	0	3	5	2	2	4	37	3	1	2	0	4	0	4	4	0	2	0
Species100	32	109	46	19	3	7	56	34	101	3	8	18	9	9	39	21	41	39	80	77	20	68	18	67	3	49	20	63	60	26
Species101	3	33	21	0	12	0	2	44	5	4	10	16	11	4	7	6	15	8	45	16	6	6	4	10	6	11	14	12	17	6
Species102	2	0	8	1	2	0	1	5	3	0	0	3	0	0	0	14	8	6	0	9	0	0	2	2	0	8	2	0	9	0
Species103	2	30	8	3	141	5	11	11	16	0	0	16	13	5	6	8	13	10	8	29	5	12	11	14	0	10	10	14	12	0
Species104	19	90	116	31	10	10	14	29	84	3	8	10	12	14	45	33	39	49	59	63	15	47	8	63	8	43	37	39	60	6
Species105	5	38	23	16	44	14	6	25	45	59	32	17	26	15	13	79	47	13	44	65	8	12	8	14	16	17	29	34	22	27
Species106	12	29	26	25	40	21	32	53	119	11	31	14	55	18	20	53	48	33	31	28	17	31	15	44	7	112	29	31	35	35
Species107	6	25	12	16	28	14	7	18	31	9	26	21	25	6	14	15	22	24	27	20	9	9	10	11	8	28	10	8	40	8
Species108	0	22	19	14	24	21	8	6	27	17	34	22	4	2	0	10	15	18	31	58	11	14	10	19	1	46	8	25	22	5
Species109	3	9	10	5	28	4	2	3	46	7	11	13	6	0	5	16	24	14	8	32	3	4	2	15	0	7	24	3	17	8
Species110	0	0	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0
Species111	0	12	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	17	0	0	0	0	0	2	0
Species112	0	0	0	0	0	0	0	0	0	0	0	0	0	0	42	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Species113	15	25	13	27	15	4	2	68	134	10	40	20	123	26	55	28	53	9	145	57	30	80	18	57	19	21	18	41	123	10
Species114	800	79	98	29	215	207	1254	34	49	252	11	97	104	171	463	13	100	360	11	22	1111	12	315	27	36	26	808	28	82	144
Species115	119	75	92	37	296	52	29	50	34	87	0	85	0	36	34	105	45	80	0	0	42	0	30	0	0	0	49	0	0	0
Species116	0	12	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Species117	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Species118	214	184	269	659	391	270	202	154	227	372	367	348	204	219	172	451	242	176	402	124	248	393	216	72	293	74	219	126	216	716
Species119	0	9	5	4	0	0	0	1	5	4	0	0	11	1	4	2	2	0	4	7	1	0	1	5	3	0	2	0	7	0
Species120	4049	1670	1603	1559	3249	2799	2889	697	612	1597	2781	2891	2440	5332	2545	956	2517	2374	4685	1538	5018	3524	4766	462	380	566	3279	3184	525	1630
Species121	2	7	8	6	2	0	0	4	14	0	5	6	6	1	7	9	4	6	14	0	3	7	6	9	1	0	2	4	9	1
Species122	0	0	0	104	0	0	0	0	143	0	0	0	0	0	0	0	108	0	0	0	0	0	0	98	0	0	0	0	223	0
Species123	0	0	29	285	113	0	457	29	0	0	0	0	790	77	249	66	155	201	0	0	334	0	0	86	2432	0	15	50	1129	128
Species124	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	6	0	12	0	0	0	0	0	0	50	0	0	21	0
Species125	24	0	0	0	0	0	3	0	0	0	0	0	22	4	7	0	0	10	0	0	4	0	9	0	0	0	5	0	6	0
Species126	0	4	0	9	0	0	0	0	0	0	0	0	0	3	3	9	4	0	0	0	0	0	3	0	0	0	6	0	0	0
Species127	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Species128	0	21	88	3	26	40	4	0	0	50	0	0	0	0	4	32	5	3	31	0	0	0	0	0	0	0	0	0	0	0
Species129	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Species130	56	98	253	44	125	33	237	111	144	343	220	206	210	179	5	570	144	183	172	321	29	53	53	107	7	37	353	43	228	1541
Species131	0	0	0	0	0	0	0	0	0	0	0	0	0	0	6	0	0	0	0	0	0	25	0	0	0	0	0	0	0	0
Species132	0	15	6	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Species133	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Species134	0	7	0	2	0	0	5	3	1	0	5	0	0	0	0	11	0	0	15	0	0	0	0	0	0	0	0	0	2	5
Species135	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Species136	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Species137	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Species138	6	21	8	5	0	0	2	8	14	0	0	0	0	3	6	5	6	10	20	15	2	25	3	7	0	20	14	11	10	5
Species139	0	0	9	0	0	0	0	0	115	0	0	0	0	0	0	0	0	0	0	0	0	0	0	5	0	0	0	0	0	0
Species140	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Species141	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Species142	0	0	0	0	0	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Species143	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Species144	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Species145	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Species146	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Species147	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	90	0
Species148	7	42	10	16	32	20	37	21	23	18	47	76	35	32	8	33	43	21	50	27	6	9	2	27	16	15	25	11	22	30
Species149	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Species150	22	35	21	54	87	97	13	42	21	25	18	16	18	8	26	35	28	22	40	23	25	27	5	11	54	4	28	4	52	30
Species151	23	72	47	15	8	6	13	33	48	4	20	15	17	11	29	24	40	34	47	88	9	52	5	46	2	39	27	41	37	2
Species152	11	40	23	45	46	14	14	27	77	52	6	25	24	11	23	42	18	32	94	16	7	15	4	51	6	18	15	18	32	34
Species153	54	450	1215	97	321	132	133	2823	119	380	91	260	152	528	142	150	130	178	130	136	62	99	48	353	38	604	84	150	73	163
Species154	12	35	27	9	24	26	7	23	25	73	10	18	24	3	2	25	33	25	16	6	10	95	7	9	0	31	7	1	37	45
Species155	1	3	2	0	3	4	0	8	11	0	4	1	5	1	1	1	4	3	1	0	2	0	0	6	0	2	2	0	3	5
Species156	0	2	13	3	3	0	0	7	4	0	0	10	0	3	5	4	0	0	2	4	1	0	0	8	0	7	2	0	5	0
Species157	14	22	25	8	19	63	6	26	29	27	39	15	6	7	30	23	17	9	9	15	16	10	6	15	28	53	18	2	17	15
Species158	25	60	20	23	33	6	12	26	50	15	11	11	40	54	41	52	38	35	95	78	22	119	20	26	4	28	38	39	104	129
Species159	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Species160	5	32	17	17	17	6	4	28	40	19	5	9	3	6	17	18	24	20	25	18	3	12	2	25	2	11	12	10	24	22
Species161	6	48	23	16	78	17	7	11	16	11	19	5	6	5	14	8	35	8	9	10	29	12	18	16	14	56	43	15	20	23
Species162	6	8	23	2	27	6	0	11	24	9	7	1	1	1	5	11	9	4	7	4	14	14	2	10	3	4	4	0	6	9
Species163	1	15	2	4	8	7	3	7	38	9	2	4	11	18	1	12	12	2	0	22	4	0	3	4	3	10	4	2	13	3
Species164	0	3	0	2	0	0	0	0	4	0	0	0	8	0	4	0	5	0	0	0	4	1	0	0	0	0	0	0	17	0
Species165	2	4	0	2	0	0	0	3	17	0	3	0	0	1	4	4	10	2	2	0	2	3	4	2	2	2	4	1	4	34
Species166	4	26	19	33	9	25	2	15	50	22	8	30	48	4	9	18	18	25	9	40	5	17	18	12	5	31	18	10	8	16
Species167	26	42	36	45	45	31	19	20	35	59	12	16	27	8	14	22	46	15	12	18	41	7	9	34	8	14	31	4	20	57
Species168	6	22	8	14	21	10	11	23	25	6	16	3	15	4	6	59	24	12	7	8	11	10	12	21	5	9	5	8	20	95
Species169	2	39	13	19	30	11	12	6	15	6	14	14	20	1	10	32	18	16	25	8	7	14	4	21	3	8	14	33	19	17
Species170	23	105	97	77	49	70	13	56	130	90	162	65	102	11	52	107	71	85	103	56	43	82	20	84	12	63	45	33	55	88
Species171	301	37	18	6	107	0	64	6	18	70	5	10	34	73	33	0	17	50	20	0	65	0	41	17	3	50	51	7	17	44
Species172	13	10	0	104	30	14	0	12	14	0	45	12	8	4	80	19	60	10	641	18	6	32	0	5	11	0	33	3	33	152
Species173	11	45	12	8	28	7	4	9	19	15	31	21	16	6	13	19	50	11	18	3	10	33	4	7	1	34	12	4	14	49
Species174	7	77	58	19	60	61	42	46	27	98	16	117	32	8	11	45	32	27	111	2	22	38	1	25	17	7	18	7	28	50
Species175	1	29	10	6	7	10	6	0	14	4	3	7	9	0	4	10	8	2	22	9	8	2	2	7	9	6	7	0	6	6
Species176	6	12	6	16	18	19	3	14	40	9	7	3	9	8	17	30	25	27	13	14	9	11	5	8	19	6	22	0	15	19
Species177	4	15	17	5	4	6	2	5	21	0	33	13	14	0	14	14	17	16	2	4	18	10	2	4	0	5	6	2	14	31
Species178	10	31	6	17	30	7	9	19	31	35	19	25	12	7	169	58	15	17	136	16	15	12	77	56	5	99	13	8	14	187
Species179	2	22	14	9	7	2	17	24	41	7	5	9	90	12	18	13	18	4	39	18	8	35	11	20	1	31	12	14	38	1
Species180	4	42	49	19	6	41	7	18	37	29	16	10	28	8	13	16	24	19	27	22	12	183	1	20	4	19	44	11	23	65
Species181	14	40	17	32	61	15	7	17	37	20	3	30	12	11	12	66	27	31	7	6	18	86	4	8	4	16	19	3	12	44
Species182	52699	6271	7977	60469	18150	64126	48358	4138	4052	35500	1919	11622	21659	61286	53425	23327	36005	29270	1055	1046	55297	862	54248	7184	89355	2269	28954	8965	27810	22367
Species183	4	14	17	19	27	17	9	10	42	39	5	6	17	1	5	13	20	14	34	20	6	7	3	9	11	13	11	0	8	18
Species184	9	61	109	35	41	21	1	48	38	31	90	21	57	34	38	73	42	36	25	35	21	108	3	30	5	65	14	20	52	41
Species185	18	50	44	20	59	34	6	41	67	27	32	33	41	26	20	92	79	33	61	49	41	36	15	51	9	23	35	26	59	54
Species186	6	32	15	13	29	8	9	12	38	47	13	41	11	10	14	17	18	7	18	12	9	1	4	17	8	9	6	7	19	11
Species187	37	21	15	12	11	9	28	11	8	21	6	26	22	3	18	42	26	17	16	10	27	0	38	9	5	4	10	6	34	20
Species188	2	40	5	8	11	4	0	5	35	2	26	5	9	2	20	50	18	5	18	17	9	15	4	4	2	1	11	4	18	86
Species189	9	12	5	5	20	4	10	33	18	9	7	8	2	10	9	13	11	14	5	9	7	164	14	21	0	22	12	2	8	11
Species190	44	484	159	52	70	29	23	90	216	23	30	44	39	37	135	87	105	83	257	168	43	150	32	146	16	134	90	96	180	18
Species191	3	14	38	8	22	11	6	40	29	0	28	2	14	7	11	14	9	21	23	33	20	19	5	28	2	11	22	28	47	0
Species192	10	29	4	8	15	0	8	6	45	9	7	6	6	0	11	20	9	4	92	7	3	20	2	31	2	30	16	23	29	7
Species193	7	416	11	15	22	7	22	38	31	13	14	6	57	12	40	18	29	21	30	28	15	24	14	22	14	18	22	5	29	12
Species194	11	33	33	12	7	12	2	11	28	9	12	11	50	13	43	12	15	9	27	37	8	8	9	12	6	8	14	17	26	7
Species195	134	133	111	48	74	17	134	63	151	34	72	14	106	204	94	114	106	113	118	113	131	102	173	103	12	66	177	64	125	39
Species196	0	4	7	11	0	0	0	5	23	0	10	0	4	0	2	7	0	2	29	7	0	0	0	7	0	10	4	0	18	0
Species197	19	49	30	52	76	17	8	36	33	43	21	29	5	10	11	27	36	47	34	17	15	317	8	25	3	26	13	12	28	36
Species198	14	26	21	5	12	4	3	19	29	19	6	12	11	59	10	11	19	13	43	24	12	29	4	18	4	8	9	13	19	19
Species199	7	77	131	19	94	60	9	21	43	128	94	94	21	14	6	35	41	72	27	18	17	20	10	25	3	14	23	11	18	64
Species200	70	94	64	54	159	85	150	62	26	120	56	186	18	22	31	53	65	31	133	38	26	13	69	33	19	19	46	16	17	184
