Sample	Sample1	Sample2	Sample3	Sample4	Sample5	Sample6	Sample7	Sample8	Sample9	Sample10	Sample11	Sample12	Sample13	Sample14	Sample15
OTU_367	0	62	832	11	68	75	61	78	92	22	106	110	51	119	129
OTU_63	0	0	0	0	3	18	192	92	3	0	173	263	555	376	110
OTU_138	1	31	3	1	37	217	84	92	144	16	170	222	396	219	111
OTU_41	83	203	6	59	1108	19	56	80	27	81	0	0	0	0	0
OTU_128	0	0	0	0	1675	10	1	0	0	0	0	0	0	0	0
OTU_191	0	49	234	1	17	224	229	264	181	178	14	133	104	50	7
OTU_259	0	3	625	0	23	269	93	327	156	103	42	0	0	22	15
OTU_88	0	0	1	0	1	25	151	54	21	0	378	264	319	164	300
OTU_200	0	119	754	77	94	66	122	63	65	34	63	37	101	20	59
OTU_242	0	0	0	113	0	2	4	0	1	1493	6	3	5	2	38
OTU_36	0	237	300	0	325	63	123	229	83	140	20	30	20	47	33
OTU_194	0	0	0	0	0	221	8	4	315	12	418	101	101	192	276
OTU_64	0	65	79	19	120	87	79	115	120	103	271	137	169	128	140
OTU_166	6	70	234	21	67	287	196	241	192	201	11	42	15	36	9
OTU_62	0	63	117	0	11	199	195	237	181	285	12	205	52	49	6
OTU_122	0	0	11	28	3	41	27	44	86	53	300	224	315	296	169
OTU_127	1	198	101	235	237	299	157	171	32	75	2	58	10	9	2
OTU_226	0	1	64	50	0	197	296	156	699	79	3	14	10	2	0
OTU_149	7	104	175	164	4	190	426	111	268	12	21	20	5	14	12
OTU_38	0	7	283	0	224	64	190	246	218	288	0	0	0	0	0
OTU_241	0	0	80	0	5	176	158	191	544	62	62	31	90	72	46
OTU_360	0	0	0	0	0	0	5	0	0	1	171	98	312	254	629
OTU_142	0	34	227	43	52	95	119	173	122	101	51	175	90	87	95
OTU_292	0	118	187	32	163	121	210	199	157	200	2	19	2	14	5
OTU_230	0	28	1098	1	0	78	64	76	32	47	0	0	0	0	0
OTU_151	66	163	24	49	75	57	389	266	68	66	52	37	64	36	11
OTU_914	0	538	126	0	0	138	131	151	193	123	0	0	0	0	0
OTU_24	0	61	25	0	33	243	353	236	82	353	2	0	4	3	0
OTU_492	0	3	1387	0	0	1	0	0	0	0	0	0	0	0	0
OTU_132	0	19	192	60	0	30	116	94	117	83	132	94	82	252	100
OTU_112	0	392	10	142	1	49	86	39	190	448	3	2	1	2	1
OTU_287	0	68	68	17	727	191	165	77	38	3	0	2	1	0	4
OTU_334	0	0	0	0	0	76	72	20	115	0	134	134	249	371	181
OTU_113	0	0	0	0	0	33	29	32	2	0	306	330	269	271	71
OTU_440	0	0	372	0	7	355	120	212	254	0	19	3	0	1	0
OTU_39	0	64	15	44	79	150	377	248	41	197	4	72	38	0	13
OTU_306	0	10	20	18	4	14	56	54	420	658	21	9	14	41	1
OTU_493	0	0	5	0	0	31	118	21	174	973	0	0	0	1	0
OTU_545	0	29	905	0	0	325	17	11	10	16	0	1	0	4	0
OTU_133	0	0	97	0	5	166	149	96	211	107	31	201	139	82	32
OTU_381	0	0	0	0	0	194	209	87	664	1	43	22	17	45	19
OTU_486	0	0	53	34	31	89	211	288	46	542	1	3	0	0	0
OTU_274	0	0	35	0	13	279	400	221	133	9	11	87	86	16	0
OTU_422	0	0	98	5	0	43	59	24	95	12	365	132	203	112	140
OTU_581	0	6	1258	0	0	0	0	4	1	1	1	0	0	0	0
OTU_101	626	269	1	357	13	0	0	0	0	0	0	1	1	2	0
OTU_130	0	0	0	12	0	21	6	0	277	0	287	43	115	163	343
OTU_115	0	0	0	0	0	22	59	56	65	1053	1	0	0	0	0
OTU_301	0	0	0	0	0	4	7	5	14	0	283	232	104	374	232
OTU_71	631	344	0	247	16	0	0	0	0	0	0	0	0	0	0
OTU_66	13	164	25	50	398	27	59	71	23	56	19	82	59	149	34
OTU_153	0	8	98	26	81	260	132	146	60	69	31	144	81	63	29
OTU_121	0	0	29	18	7	44	132	136	40	10	140	168	222	201	72
OTU_266	0	32	33	18	156	26	19	11	79	119	113	104	306	105	96
OTU_144	3	0	82	5	13	185	109	91	96	12	107	239	70	125	77
OTU_682	0	4	1197	0	0	0	0	0	9	0	0	0	0	0	0
OTU_481	0	1	999	0	0	157	8	13	0	0	0	1	0	0	0
OTU_150	0	0	0	0	7	1	12	15	1015	120	0	0	3	0	0
OTU_204	0	34	173	5	65	50	39	73	72	39	131	200	166	74	49
OTU_354	0	0	25	0	0	9	3	8	21	0	232	31	258	114	462
OTU_288	101	12	27	37	3	0	961	0	1	0	5	0	1	1	2
OTU_110	4	96	17	30	1	35	159	8	57	7	148	133	109	158	179
OTU_69	509	309	4	265	26	6	0	2	0	1	0	1	0	2	0
OTU_192	0	21	112	28	126	59	70	81	98	517	0	9	1	1	0
OTU_171	0	78	48	660	5	29	93	94	12	23	2	27	4	5	19
OTU_162	0	5	210	3	108	56	77	105	177	355	0	1	1	0	0
OTU_299	0	0	17	12	45	156	91	56	366	18	77	44	60	90	51
OTU_237	0	18	116	0	644	42	41	40	57	104	1	2	0	14	0
OTU_74	0	5	35	0	9	63	235	440	57	84	4	94	13	31	6
OTU_93	0	75	86	30	70	61	158	320	67	132	6	30	8	28	4
OTU_359	0	0	0	0	0	2	0	3	0	0	411	63	208	224	158
OTU_309	0	53	108	0	39	66	41	111	291	327	13	3	4	5	4
OTU_267	0	1	0	0	4	52	44	63	47	60	178	89	162	204	157
OTU_234	0	50	78	2	279	98	195	178	8	170	0	0	0	0	0
OTU_179	0	149	16	0	31	28	122	298	6	398	0	0	0	0	0
OTU_333	0	0	0	0	0	55	93	61	74	2	177	90	279	169	43
OTU_694	0	0	6	0	0	491	48	56	319	2	46	9	12	37	16
OTU_217	0	3	471	136	54	44	149	18	36	27	5	63	19	10	6
OTU_238	0	0	0	29	605	13	14	23	0	5	48	88	95	43	66
OTU_146	0	1	22	0	22	68	91	100	82	642	0	0	0	0	0
OTU_387	1	5	25	0	30	175	124	52	165	18	156	28	95	49	101
OTU_302	0	0	0	0	0	54	45	41	7	0	271	155	322	96	13
OTU_160	0	40	68	67	25	54	132	277	116	163	15	15	11	13	6
OTU_99	28	62	58	8	158	24	28	84	22	63	86	69	75	88	145
OTU_244	0	0	6	0	10	276	74	189	51	7	99	64	119	68	34
OTU_199	0	0	0	93	0	8	7	8	6	1	178	124	208	128	233
OTU_198	0	0	0	0	2	3	6	25	10	0	258	56	250	213	166
OTU_270	0	93	232	304	23	38	51	40	51	147	0	9	1	0	0
OTU_187	0	13	22	0	8	63	360	62	158	8	81	40	46	96	27
OTU_247	0	0	0	0	1	5	1	6	0	0	329	59	200	172	206
OTU_92	0	0	0	0	0	6	7	0	0	0	289	32	71	150	415
OTU_155	1	12	32	32	36	56	49	52	31	33	130	93	188	152	63
OTU_21	863	15	0	0	79	1	0	0	0	0	0	0	0	0	0
OTU_236	0	0	0	0	1	20	0	36	0	0	227	48	73	99	454
OTU_487	0	0	6	0	0	284	83	82	106	0	73	61	134	102	26
OTU_622	0	729	181	32	0	0	1	0	5	3	0	2	0	0	0
OTU_445	0	42	67	9	27	181	155	90	198	174	2	1	2	0	2
OTU_409	0	3	9	156	0	79	95	134	56	350	10	21	8	22	6
OTU_169	0	0	0	0	2	104	103	131	66	0	102	97	159	134	50
OTU_265	0	0	0	0	6	176	208	210	64	4	34	128	69	37	3
OTU_423	0	12	14	137	0	355	69	281	9	36	0	12	1	0	1
OTU_87	0	0	0	0	77	65	4	12	2	0	120	169	100	191	184
OTU_555	0	0	0	0	0	290	183	212	93	0	38	16	43	48	0
OTU_53	6	95	184	0	90	44	204	160	21	105	0	10	1	1	0
OTU_65	6	4	0	2	719	4	16	25	0	139	2	0	0	0	0
OTU_255	0	0	0	0	0	26	23	11	180	0	94	156	306	70	45
OTU_235	0	13	151	6	153	95	101	141	49	52	40	14	36	12	41
OTU_243	0	456	92	55	2	1	15	20	56	180	1	0	2	9	4
OTU_376	0	0	40	16	0	145	31	28	13	2	144	65	204	186	18
OTU_141	0	8	34	0	25	64	122	150	79	73	12	107	75	97	39
OTU_188	0	0	0	0	0	5	41	24	3	0	227	133	214	177	54
OTU_114	0	148	28	5	146	28	134	99	64	182	0	28	4	3	0
OTU_262	0	0	44	0	0	71	61	58	37	2	148	102	200	94	47
OTU_147	0	59	32	22	267	81	33	68	74	114	19	26	12	18	35
OTU_478	0	10	79	119	29	25	96	22	251	35	23	86	21	37	25
OTU_618	0	0	108	0	44	159	170	188	127	60	0	1	1	0	0
OTU_356	0	5	189	34	132	147	134	74	30	27	8	37	17	11	7
OTU_701	0	0	61	0	0	116	256	73	283	34	18	0	0	10	0
OTU_100	56	74	102	94	411	6	21	46	6	26	1	0	4	3	0
OTU_125	0	0	0	0	0	2	6	3	0	0	322	37	69	117	294
OTU_416	0	0	0	0	0	87	63	16	30	0	183	58	146	217	49
OTU_312	0	205	5	49	52	36	70	179	99	105	15	9	5	16	2
OTU_156	141	29	31	114	4	65	57	60	24	11	44	74	91	41	57
OTU_118	0	47	5	3	4	44	43	216	91	29	22	76	58	160	41
OTU_175	0	84	0	0	495	8	16	76	20	131	1	0	0	0	0
OTU_427	0	51	75	0	18	12	70	168	30	399	0	1	0	0	0
OTU_70	30	103	106	155	11	24	78	59	44	27	48	36	27	16	53
OTU_544	0	75	187	0	50	37	233	214	1	8	0	2	0	0	0
OTU_249	0	8	97	20	0	27	85	29	119	160	74	20	42	33	90
OTU_351	0	0	0	0	0	0	0	0	0	0	224	80	127	163	207
OTU_902	0	0	25	0	0	136	452	57	93	35	0	0	0	0	0
OTU_533	0	19	35	3	0	43	51	35	149	182	82	18	58	53	60
OTU_84	314	184	2	264	13	1	1	0	0	0	0	4	0	0	0
OTU_633	0	13	116	1	2	74	131	97	101	99	7	78	18	30	14
OTU_322	0	0	0	0	0	5	15	9	6	5	220	59	88	167	206
OTU_443	0	3	0	12	33	35	9	40	34	393	19	21	52	57	70
OTU_917	0	0	0	0	775	1	1	0	0	0	0	0	0	0	0
OTU_79	50	256	0	0	96	37	58	89	13	176	0	0	0	0	0
OTU_290	8	179	6	64	445	4	12	24	1	31	0	0	0	0	0
OTU_770	0	0	0	0	0	381	164	93	0	0	1	96	32	2	0
OTU_215	0	56	69	230	18	47	69	25	44	26	20	42	52	41	27
OTU_83	59	20	5	67	543	5	9	36	7	5	3	0	1	2	0
OTU_311	0	0	1	0	0	66	19	55	69	3	109	111	64	218	45
OTU_415	0	47	7	44	553	12	11	24	10	1	1	40	2	2	0
OTU_348	0	14	18	77	50	35	32	43	113	348	2	2	5	8	2
OTU_232	0	134	19	76	117	28	58	147	42	114	0	13	0	0	0
OTU_366	0	10	47	0	125	218	142	153	25	13	0	4	4	4	0
OTU_898	0	2	7	71	0	7	19	15	208	411	0	0	0	0	0
OTU_741	0	0	0	18	0	16	19	17	219	450	0	0	0	0	0
OTU_1104	0	0	724	0	5	3	4	2	0	0	0	0	0	0	0
OTU_129	0	0	1	0	1	13	10	7	1	0	148	225	161	159	11
OTU_418	0	78	114	11	4	25	58	74	32	74	42	52	28	54	91
OTU_566	0	0	0	76	0	25	49	32	15	539	0	0	0	0	0
OTU_818	0	13	0	0	0	322	181	181	0	36	1	0	0	0	0
OTU_152	0	16	61	2	0	5	11	51	45	96	77	89	65	184	31
OTU_52	0	1	61	19	1	188	215	85	27	25	11	58	18	10	14
OTU_820	0	77	524	0	0	20	62	17	13	10	3	3	1	0	2
OTU_905	0	0	144	0	42	370	101	23	45	0	0	0	1	2	0
OTU_961	0	3	189	0	0	238	200	31	60	4	0	3	0	0	0
OTU_872	0	0	0	0	0	0	0	0	0	0	38	158	373	74	84
OTU_214	0	40	11	118	21	52	30	221	32	200	0	0	0	0	0
OTU_168	13	45	34	98	32	56	90	44	86	181	1	21	4	5	8
OTU_728	0	0	4	0	7	20	134	20	136	14	52	50	84	84	110
OTU_520	0	0	56	2	114	18	101	115	174	59	46	2	4	11	9
OTU_537	0	242	8	65	23	13	36	36	146	95	18	4	3	20	0
OTU_761	0	32	15	0	3	117	118	153	156	108	0	2	0	0	0
OTU_289	0	0	29	1	47	123	93	176	60	173	1	0	0	0	0
OTU_504	0	0	3	7	5	162	186	87	119	14	23	55	20	9	12
OTU_987	0	0	369	0	0	53	110	15	142	5	3	2	0	1	0
OTU_212	0	0	0	0	672	2	4	11	0	7	0	0	0	0	0
OTU_140	376	155	0	140	11	1	4	0	0	0	1	0	0	0	0
OTU_227	2	49	9	113	67	54	77	73	40	79	17	50	22	25	10
OTU_426	0	1	82	0	3	20	27	24	21	1	164	79	80	142	43
OTU_167	0	38	22	36	1	27	119	21	25	5	78	99	91	89	34
OTU_625	0	0	9	0	0	3	3	3	51	139	115	64	73	90	134
OTU_1108	0	0	23	0	1	259	220	174	0	0	0	0	1	0	2
OTU_1295	0	4	666	0	0	0	1	0	1	0	5	0	0	3	0
OTU_61	0	26	65	32	31	15	52	78	91	96	26	78	37	46	7
OTU_408	0	3	77	0	1	4	7	1	56	0	98	188	106	63	71
OTU_615	0	0	2	0	0	109	125	108	84	33	44	25	95	14	33
OTU_51	0	156	2	220	11	38	35	6	8	11	44	24	45	43	28
OTU_256	0	0	87	0	23	20	67	141	175	150	0	6	1	0	0
OTU_838	0	0	0	13	625	9	11	11	0	0	0	1	0	0	0
OTU_335	0	0	205	0	0	110	245	59	42	6	1	0	0	1	0
OTU_628	0	137	45	14	57	39	144	60	107	52	0	9	3	2	0
OTU_228	0	1	87	12	13	31	37	27	88	41	64	57	54	59	96
OTU_131	364	106	3	166	22	2	1	1	0	0	0	0	0	0	0
OTU_341	16	143	18	6	140	110	62	45	17	19	1	19	22	24	22
OTU_116	0	7	64	0	0	8	15	23	255	1	5	135	64	74	9
OTU_157	266	214	54	104	13	0	6	3	0	0	0	0	0	0	0
OTU_706	0	0	20	0	8	165	90	127	1	0	103	33	34	53	25
OTU_390	5	136	57	134	44	8	39	26	46	80	7	15	24	35	2
OTU_454	0	62	125	0	381	15	44	17	1	7	0	0	0	0	0
OTU_792	0	31	1	0	0	34	77	71	163	268	0	0	0	3	0
OTU_577	0	0	12	12	36	73	43	104	49	73	62	116	27	25	15
OTU_532	0	0	0	4	0	27	66	42	50	40	71	56	105	65	118
OTU_480	0	0	0	0	0	0	1	0	144	27	122	28	84	94	143
OTU_635	0	0	0	0	168	13	6	1	2	0	95	53	97	123	82
OTU_339	0	74	135	4	35	49	37	93	61	30	22	30	16	23	29
OTU_148	0	82	17	36	54	37	98	45	60	159	6	1	14	15	13
OTU_559	0	135	33	14	30	123	75	39	23	6	6	111	9	30	2
OTU_321	0	0	0	0	2	29	25	20	45	2	74	134	106	108	90
OTU_223	3	22	13	96	13	95	56	72	97	121	10	16	4	2	13
OTU_40	22	102	47	58	0	79	101	41	41	24	41	24	14	15	21
OTU_799	0	0	0	0	0	102	57	2	0	0	27	171	121	84	66
OTU_355	0	0	42	0	101	7	13	23	87	33	63	57	99	50	54
OTU_316	0	0	0	0	0	1	1	2	18	0	96	184	125	125	76
OTU_824	0	23	371	0	0	58	117	55	2	0	0	1	0	0	0
OTU_403	0	0	2	0	0	48	26	17	8	0	70	46	109	252	48
OTU_561	0	0	0	0	3	60	51	62	314	112	2	6	9	5	2
OTU_993	10	5	0	526	40	2	2	7	1	30	0	1	0	0	0
OTU_1052	0	0	273	0	0	192	80	47	11	13	1	3	0	0	0
OTU_384	0	0	0	0	0	164	56	75	13	0	28	70	49	146	18
OTU_95	1	7	100	3	32	30	113	131	30	54	16	36	41	14	11
OTU_472	0	0	16	0	0	2	2	1	7	1	136	54	172	75	144
OTU_484	0	0	2	0	43	104	118	31	233	66	0	9	0	0	2
OTU_768	0	0	1	0	569	0	0	9	0	23	0	0	0	0	0
OTU_216	0	0	0	2	0	73	15	11	74	9	43	168	160	32	14
OTU_603	0	0	0	0	0	1	0	0	0	0	223	15	17	81	261
OTU_737	0	0	3	67	33	5	21	72	46	351	0	0	0	0	0
OTU_184	0	153	51	97	15	29	79	30	30	84	11	12	4	2	0
OTU_281	279	164	0	151	1	1	0	0	0	0	0	0	0	0	0
OTU_471	0	0	0	0	0	7	0	8	98	0	109	27	69	53	224
OTU_526	0	0	0	0	590	2	1	1	0	0	0	0	0	0	0
OTU_538	0	0	146	0	3	102	138	115	44	16	2	9	7	9	2
OTU_233	0	15	37	32	6	30	69	48	68	64	37	53	46	62	25
OTU_639	0	0	0	0	0	73	64	81	177	40	39	29	50	22	17
OTU_738	0	2	2	0	0	135	156	113	123	60	0	0	0	0	0
OTU_332	0	0	0	0	0	117	2	8	2	0	115	61	150	93	42
OTU_860	0	0	144	0	0	96	108	177	10	55	0	0	0	0	0
OTU_1037	0	0	368	0	0	156	1	4	3	0	4	24	4	22	3
OTU_304	0	0	0	0	0	0	1	0	3	0	70	64	154	216	81
OTU_623	0	0	0	0	0	1	2	0	0	0	211	72	61	96	146
OTU_7	0	226	135	1	43	4	37	25	8	64	6	4	3	22	10
OTU_909	0	0	27	32	0	12	37	71	73	276	6	8	15	27	4
OTU_102	0	28	1	33	222	18	54	67	10	60	11	18	27	35	3
OTU_765	0	0	8	0	0	1	0	0	1	0	263	27	40	36	208
OTU_446	0	6	93	35	1	9	9	47	49	324	0	0	2	4	3
OTU_543	0	0	6	6	0	44	130	157	149	82	0	1	1	4	0
OTU_252	0	14	56	12	4	26	67	148	64	65	8	56	19	28	9
OTU_375	0	0	1	0	0	14	3	3	83	0	69	67	145	143	47
OTU_402	0	70	57	11	208	22	50	43	24	45	3	17	11	11	3
OTU_745	0	0	0	0	0	40	81	56	170	196	6	6	9	9	2
OTU_777	0	0	0	0	0	2	0	0	1	0	87	162	217	59	47
OTU_163	0	2	130	0	204	23	33	47	30	14	48	7	5	19	6
OTU_1389	0	0	0	0	0	26	74	86	185	44	3	85	9	37	18
OTU_331	0	0	0	0	0	0	0	0	1	0	132	53	210	121	48
OTU_208	0	30	10	12	0	1	22	3	33	1	45	130	81	121	73
OTU_743	0	44	113	2	15	46	78	81	15	17	21	36	26	48	19
OTU_951	0	0	0	0	0	0	0	0	0	0	49	28	184	280	20
OTU_1010	0	22	229	17	2	26	28	94	98	35	0	9	0	0	0
OTU_665	0	0	435	0	1	16	51	40	5	7	1	0	4	0	0
OTU_1124	0	0	123	0	22	78	61	160	21	86	0	4	0	0	0
OTU_729	0	20	29	7	43	62	100	94	43	151	0	6	0	0	0
OTU_670	0	14	79	0	0	8	19	13	14	6	38	46	75	85	157
OTU_470	0	0	0	0	0	2	0	0	0	0	182	15	18	121	215
OTU_811	0	0	0	0	0	4	11	8	305	225	0	0	0	0	0
OTU_674	0	0	7	0	0	6	60	5	35	0	101	111	100	58	69
OTU_401	0	75	103	55	1	81	101	35	48	3	3	12	4	21	9
OTU_164	0	0	0	0	0	0	0	0	0	0	156	66	144	108	76
OTU_222	0	0	14	0	12	25	147	238	28	74	0	9	2	1	0
OTU_450	17	56	2	1	250	33	62	41	9	71	0	2	1	3	0
OTU_936	0	0	10	20	2	115	82	63	95	12	27	30	50	29	13
OTU_518	0	116	173	47	34	28	12	16	47	24	19	7	1	7	11
OTU_602	0	0	0	0	0	8	33	58	0	0	79	51	157	120	34
OTU_158	1	9	36	0	26	40	79	134	37	169	0	0	0	8	0
OTU_530	0	0	16	0	3	159	128	116	5	14	30	9	13	26	20
OTU_852	0	0	0	0	0	0	0	0	0	0	46	65	241	149	38
OTU_612	0	0	1	0	0	32	47	34	52	58	28	44	69	86	86
OTU_33	3	47	212	13	20	58	29	19	14	0	10	68	3	35	3
OTU_279	0	0	25	0	4	37	40	54	3	0	47	68	116	92	46
OTU_638	0	201	1	289	4	1	5	6	2	23	0	0	0	0	0
OTU_386	0	0	0	0	0	0	0	1	0	0	154	24	16	46	288
OTU_752	0	0	50	0	3	27	21	25	49	2	91	28	103	64	65
OTU_103	0	4	1	29	0	37	91	25	122	184	0	29	5	0	0
OTU_330	0	0	0	0	0	0	0	0	0	0	109	55	125	99	135
OTU_190	0	195	138	6	34	5	38	71	1	28	1	2	0	0	3
OTU_828	0	3	1	1	1	19	37	64	34	22	32	30	72	83	123
OTU_413	0	43	23	8	73	28	34	89	33	176	2	5	5	0	2
OTU_80	0	16	31	0	36	13	107	159	18	124	1	13	2	0	0
OTU_246	0	12	19	0	24	13	61	54	12	4	48	85	45	84	58
OTU_261	0	0	17	15	5	9	2	11	6	0	72	58	95	54	175
OTU_340	0	0	0	0	60	29	46	20	3	3	37	96	150	60	12
OTU_700	0	0	5	4	1	1	3	8	1	0	25	211	88	75	94
OTU_326	0	0	26	0	13	55	67	58	144	81	22	18	18	6	6
OTU_1151	0	8	1	0	3	227	17	25	206	9	5	11	0	0	1
OTU_1375	0	0	412	0	0	2	86	12	0	0	0	0	0	0	0
OTU_539	0	0	1	0	0	1	5	2	1	0	106	73	166	106	51
OTU_574	0	0	0	0	486	17	0	5	0	0	0	0	3	0	1
OTU_878	0	0	0	0	0	184	42	65	111	0	12	16	35	46	1
OTU_609	0	49	73	30	5	16	32	71	39	161	0	10	14	4	6
OTU_97	0	0	0	0	0	1	0	1	0	0	40	71	100	206	91
OTU_182	0	3	15	0	8	126	35	45	14	137	6	42	22	15	37
OTU_248	0	29	36	27	67	25	35	53	40	145	16	8	4	6	12
OTU_713	0	2	4	0	0	119	72	60	25	6	18	90	44	40	22
OTU_557	83	3	5	1	3	51	22	42	12	3	23	107	43	67	36
OTU_509	0	15	0	9	465	0	1	0	0	2	0	0	0	0	0
OTU_978	0	0	0	0	0	0	0	0	0	0	72	46	121	69	183
OTU_406	0	0	2	0	0	56	225	76	37	55	2	17	4	14	2
OTU_926	0	47	3	386	1	5	8	18	3	7	1	0	1	8	0
OTU_254	0	0	77	27	8	66	162	72	35	32	2	1	0	4	0
OTU_1251	0	0	451	0	3	3	2	3	3	0	1	13	2	3	0
OTU_203	0	0	234	0	0	148	49	20	9	0	4	9	3	8	0
OTU_610	0	15	4	22	4	137	41	45	83	39	16	16	19	33	9
OTU_1080	0	0	23	0	0	112	50	65	225	6	0	0	0	0	0
OTU_123	37	40	29	3	17	27	54	46	43	73	20	23	22	39	8
OTU_1311	0	33	175	32	49	37	51	36	24	35	5	2	1	0	1
OTU_724	0	0	0	0	0	0	0	0	0	0	146	27	136	94	77
OTU_1264	0	0	15	0	462	0	0	0	0	0	0	0	0	0	0
OTU_207	0	9	29	28	0	78	148	15	30	87	7	21	13	10	1
OTU_893	0	0	0	0	0	10	4	1	18	0	103	54	117	77	91
OTU_551	0	0	1	24	124	6	8	27	2	15	20	62	82	70	33
OTU_1353	0	15	201	4	0	22	14	10	47	34	30	21	24	35	16
OTU_197	0	12	75	42	154	55	79	41	6	6	0	2	1	0	0
OTU_1178	0	0	0	0	0	0	0	0	0	0	73	97	144	113	45
OTU_365	7	60	6	96	81	21	26	37	32	106	0	0	0	0	0
OTU_1161	0	0	255	0	0	35	115	36	14	1	1	4	3	2	4
OTU_1658	0	4	433	0	0	8	1	0	0	0	0	11	8	5	0
OTU_604	0	0	4	1	2	46	27	19	94	65	28	44	33	64	43
OTU_631	0	0	0	0	0	3	0	0	0	0	56	12	40	54	305
OTU_823	0	2	173	0	0	104	72	67	27	22	1	0	1	0	1
OTU_320	0	7	168	45	3	16	46	98	27	47	0	1	1	8	2
OTU_1072	0	85	222	58	27	16	20	12	3	23	0	2	0	0	0
OTU_425	0	0	62	0	0	85	49	17	1	0	25	50	47	91	40
OTU_1555	0	0	0	0	0	0	0	0	0	0	19	2	14	0	431
OTU_1319	0	0	0	0	0	57	138	87	27	0	27	9	43	50	27
OTU_463	0	2	4	2	9	6	7	6	16	3	160	38	57	61	94
OTU_636	197	126	1	136	5	0	0	0	0	0	0	0	0	0	0
OTU_759	0	0	10	2	1	25	63	66	67	36	31	49	49	27	39
OTU_465	0	0	17	0	307	3	5	12	14	104	0	0	0	0	0
OTU_972	0	0	85	1	0	30	105	64	72	56	4	10	12	11	11
OTU_1136	0	0	0	0	0	0	0	0	0	0	84	85	176	51	60
OTU_1519	0	149	0	0	0	3	8	10	18	260	2	0	1	1	4
OTU_464	46	1	147	22	0	8	22	9	7	2	23	37	23	78	30
OTU_514	0	0	0	0	0	0	0	0	0	0	166	45	92	89	63
OTU_521	0	0	0	0	0	14	14	17	18	0	42	130	142	31	47
OTU_681	0	0	0	0	63	125	61	98	34	0	4	29	29	12	0
OTU_540	0	0	0	0	0	4	1	0	0	1	153	11	30	50	204
OTU_420	0	0	0	0	0	0	0	0	0	0	72	50	96	181	54
OTU_952	0	3	0	3	0	138	10	42	106	86	18	9	19	10	8
OTU_966	0	0	1	0	0	0	1	0	1	0	180	28	109	17	114
OTU_1327	0	12	25	158	1	52	18	18	59	100	1	1	1	4	0
OTU_547	0	34	6	39	93	33	48	19	55	9	42	8	25	21	18
