"","Kingdom","Phylum","Class","Order","Famiy","Genus","N Patients","N Control","","BC-OA in Patients","BC-OA in Control","Beta","SE","P","FDR","FC","FC lower","FC upper","NA"
"k__Bacteria|p__Firmicutes|c__CFGB3068|o__OFGB3068|f__FGB3068|g__GGB9760","Bacteria","Firmicutes","CFGB3068","OFGB3068","FGB3068","GGB9760",5,3,"",0.00344638669717453,0.000355661321533886,-9.05546063060624,2.01372181933281,6.89586446341396e-06,0.00157956969452015,0.000116751754860142,2.25501170012283e-06,0.00604474569341709,""
"k__Archaea|p__Euryarchaeota|c__Methanobacteria|o__Methanobacteriales|f__Methanobacteriaceae|g__Methanobrevibacter","Archaea","Euryarchaeota","Methanobacteria","Methanobacteriales","Methanobacteriaceae","Methanobrevibacter",3,3,"",0.000175672454071553,0.000480214236540863,-5.12785207737591,1.59689960784184,0.00132214154771242,0.0274032555142085,0.0059292824457948,0.00025923506817671,0.135615873921987,""
"k__Bacteria|p__Proteobacteria|c__Gammaproteobacteria|o__Enterobacterales|f__Enterobacteriaceae|g__Klebsiella","Bacteria","Proteobacteria","Gammaproteobacteria","Enterobacterales","Enterobacteriaceae","Klebsiella",7,5,"",0.0477682154758701,0.00244065143066039,-8.5016567471111,2.66355364098273,0.00141366000668536,0.0274032555142085,0.000203131552465047,1.09777859024723e-06,0.0375872038072519,""
"k__Bacteria|p__Firmicutes|c__Clostridia|o__Clostridia_unclassified|f__Clostridia_unclassified|g__Candidatus_Allochristensenella","Bacteria","Firmicutes","Clostridia","Clostridia unclassified","Clostridia unclassified","Candidatus Allochristensenella",2,1,"",5.38715882812694e-05,5.06446905687598e-05,-3.18081719289915,1.0076992516239,0.0015966700647373,0.0287400611652714,0.0415516855008584,0.00576524443644953,0.299474304514575,""
"k__Bacteria|p__Firmicutes|c__Clostridia|o__Eubacteriales|f__Oscillospiraceae|g__Harryflintia","Bacteria","Firmicutes","Clostridia","Eubacteriales","Oscillospiraceae","Harryflintia",3,0,"",0.000112872408980912,2.7091970264003e-05,-2.91022304042057,0.93600393558401,0.00187594954292734,0.0315159523211793,0.0544635809343913,0.00869688160166806,0.341074167047193,""
"k__Bacteria|p__Firmicutes|c__Erysipelotrichia|o__Erysipelotrichales|f__Erysipelotrichaceae|g__Amedibacillus","Bacteria","Firmicutes","Erysipelotrichia","Erysipelotrichales","Erysipelotrichaceae","Amedibacillus",1,3,"",3.61595115999031e-05,0.000536706847802494,7.47138703011022,2.48598377190604,0.00265227794378592,0.0417733776146282,1757.0420664625,13.4483824809223,229558.969467018,""
"k__Bacteria|p__Firmicutes|c__CFGB1226|o__OFGB1226|f__FGB1226|g__GGB2998","Bacteria","Firmicutes","CFGB1226","OFGB1226","FGB1226","GGB2998",2,1,"",8.91926273294822e-05,7.17639217686283e-05,-4.71014358857906,1.60791777988094,0.0033967875346946,0.0503523799260612,0.00900348469204313,0.00038523291323865,0.210425261741945,""
"k__Bacteria|p__Firmicutes|c__Clostridia|o__Eubacteriales|f__Lachnospiraceae|g__Lachnotalea","Bacteria","Firmicutes","Clostridia","Eubacteriales","Lachnospiraceae","Lachnotalea",4,1,"",0.000229884354625186,5.83424882368246e-05,-3.68011045253022,1.27989346542642,0.00403611041242151,0.0565055457739012,0.0252201890476886,0.00205248988504158,0.309895771100605,""
"k__Bacteria|p__Firmicutes|c__Clostridia|o__Eubacteriales|f__Oscillospiraceae|g__Anaerofilum","Bacteria","Firmicutes","Clostridia","Eubacteriales","Oscillospiraceae","Anaerofilum",3,0,"",0.00011069485441588,2.7091970264003e-05,-3.29381844925442,1.16424939261082,0.00466740381629293,0.0619045137739904,0.0371118687083035,0.00378864342707058,0.363531386770618,""
"k__Bacteria|p__Firmicutes|c__Erysipelotrichia|o__Erysipelotrichales|f__Erysipelotrichaceae|g__Faecalibacillus","Bacteria","Firmicutes","Erysipelotrichia","Erysipelotrichales","Erysipelotrichaceae","Faecalibacillus",3,7,"",0.000401535517393786,0.0225444857397127,7.19132148761905,2.59218768169876,0.00553327627180032,0.0697192810246841,1327.85679299182,8.25346928617573,213631.819730379,""
"k__Bacteria|p__Proteobacteria|c__Gammaproteobacteria|o__Pseudomonadales|f__Pseudomonadaceae|g__GGB9747","Bacteria","Proteobacteria","Gammaproteobacteria","Pseudomonadales","Pseudomonadaceae","GGB9747",1,3,"",4.09230106561669e-05,0.000794044045558207,-5.2075740970675,1.90249687625945,0.00619587027812657,0.0743504433375188,0.00547493926184801,0.00013150469881702,0.227938318482696,""
"k__Bacteria|p__Firmicutes|c__Clostridia|o__Eubacteriales|f__Oscillospiraceae|g__GGB9713","Bacteria","Firmicutes","Clostridia","Eubacteriales","Oscillospiraceae","GGB9713",3,4,"",0.000338239270662655,0.0020961560314112,-5.93836163086832,2.33347705538134,0.0109323006115197,0.125224534277408,0.00263634542159435,2.72086217328572e-05,0.255445397058399,""
"k__Bacteria|p__Firmicutes|c__CFGB3070|o__OFGB3070|f__FGB3070|g__GGB9512","Bacteria","Firmicutes","CFGB3070","OFGB3070","FGB3070","GGB9512",2,0,"",7.0009150241859e-05,2.7091970264003e-05,-3.19126265468169,1.26354999799551,0.0115490296012023,0.126537193891434,0.0411199178897554,0.00345538757257499,0.489336611811736,""
"k__Bacteria|p__Firmicutes|c__Clostridia|o__Eubacteriales|f__Eubacteriales_Family_XIII_Incertae_Sedis|g__Eubacteriales_Family_XIII_Incertae_Sedis_unclassified","Bacteria","Firmicutes","Clostridia","Eubacteriales","Eubacteriales Family XIII Incertae Sedis","Eubacteriales Family XIII Incertae Sedis unclassified",3,4,"",0.000190553926478229,0.000604254708424311,-4.35540965428851,1.76027174500071,0.0133504066370991,0.14017926968954,0.0128371797011684,0.000407470396523683,0.40442982873361,""
"k__Bacteria|p__Firmicutes|c__Clostridia|o__Eubacteriales|f__Oscillospiraceae|g__GGB33928","Bacteria","Firmicutes","Clostridia","Eubacteriales","Oscillospiraceae","GGB33928",1,3,"",5.4409449350703e-05,0.000501008687496273,-5.43240217030968,2.23042984614675,0.0148677182449521,0.149866599909117,0.00437257949610377,5.52277690454398e-05,0.346192717544252,""
"k__Bacteria|p__Firmicutes|c__Erysipelotrichia|o__Erysipelotrichales|f__Erysipelotrichaceae|g__Holdemanella","Bacteria","Firmicutes","Erysipelotrichia","Erysipelotrichales","Erysipelotrichaceae","Holdemanella",2,0,"",0.000100123965972682,2.7091970264003e-05,-4.03602837055741,1.67692681741292,0.0160929565295869,0.155977886363689,0.0176675020289686,0.000660307493177763,0.472720105660797,""
"k__Bacteria|p__Proteobacteria|c__Gammaproteobacteria|o__Chromatiales|f__Chromatiaceae|g__Rheinheimera","Bacteria","Proteobacteria","Gammaproteobacteria","Chromatiales","Chromatiaceae","Rheinheimera",5,7,"",0.00244423682048071,0.0133129053847839,4.51202964748172,1.88818986043369,0.0168664601320814,0.157420294566093,91.1065451520692,2.25055650464485,3688.15559725566,""
"k__Bacteria|p__Firmicutes|c__Clostridia|o__Eubacteriales|f__Oscillospiraceae|g__GGB9616","Bacteria","Firmicutes","Clostridia","Eubacteriales","Oscillospiraceae","GGB9616",3,2,"",0.000156481075017348,0.000158311553373606,-4.03467549590393,1.72939510257772,0.0196482448114994,0.176834203303494,0.0176914201200955,0.000596584362678996,0.524630488905602,""
"k__Bacteria|p__Firmicutes|c__Negativicutes|o__Selenomonadales|f__Selenomonadaceae|g__Megamonas","Bacteria","Firmicutes","Negativicutes","Selenomonadales","Selenomonadaceae","Megamonas",6,6,"",0.00357112247170375,0.0473817197946388,8.06824576473294,3.48691799110238,0.020675313147648,0.179661341834735,3191.49827670801,3.43455202448441,2965644.77044405,""
"k__Bacteria|p__Firmicutes|c__Clostridia|o__Eubacteriales|f__Oscillospiraceae|g__GGB9634","Bacteria","Firmicutes","Clostridia","Eubacteriales","Oscillospiraceae","GGB9634",1,2,"",3.9251768121279e-05,0.000361921506869126,-4.34523890229774,1.9130657929752,0.0231258962498802,0.194257528498994,0.0129684096947828,0.000305107050854762,0.551215219512558,""
"k__Bacteria|p__Firmicutes|c__Clostridia|o__Eubacteriales|f__Lachnospiraceae|g__Lacrimispora","Bacteria","Firmicutes","Clostridia","Eubacteriales","Lachnospiraceae","Lacrimispora",8,10,"",0.0532731251377601,0.462796783446323,3.4105186368416,1.52044915303853,0.0248904030794772,0.202334889549299,30.2809450012326,1.5379314464123,596.213590863696,""
"k__Bacteria|p__Firmicutes|c__CFGB38642|o__OFGB38642|f__FGB38642|g__GGB9758","Bacteria","Firmicutes","CFGB38642","OFGB38642","FGB38642","GGB9758",4,3,"",0.00104941257612851,0.000433257485805448,-4.81177756284478,2.16170691898643,0.0260198225578911,0.204906102643392,0.00813338922991005,0.000117541026448577,0.562799410248114,""
"k__Bacteria|p__Firmicutes|c__CFGB1126|o__OFGB1126|f__FGB1126|g__GGB2848","Bacteria","Firmicutes","CFGB1126","OFGB1126","FGB1126","GGB2848",1,2,"",2.9525054607584e-05,0.000137493545242008,-2.73192967498381,1.25959407974306,0.0300905133555375,0.22462539213505,0.0650935589850845,0.00551251635522013,0.768645596367663,""
"k__Bacteria|p__Firmicutes|c__CFGB1359|o__OFGB1359|f__FGB1359|g__GGB3321","Bacteria","Firmicutes","CFGB1359","OFGB1359","FGB1359","GGB3321",2,2,"",0.000124085257128524,0.0001860078516703,-4.53408946213603,2.09324276031418,0.0303066005261575,0.22462539213505,0.0107366789297842,0.000177445813386354,0.649642120269583,""
"k__Bacteria|p__Proteobacteria|c__Betaproteobacteria|o__Burkholderiales|f__Burkholderiaceae|g__Ralstonia","Bacteria","Proteobacteria","Betaproteobacteria","Burkholderiales","Burkholderiaceae","Ralstonia",5,0,"",0.00139374308763507,2.7091970264003e-05,-3.24554250206093,1.54145407992561,0.0352471903647002,0.250652731095423,0.0389474295641626,0.00189830765292199,0.799081364562008,""
"k__Bacteria|p__Proteobacteria|c__Gammaproteobacteria|o__Moraxellales|f__Moraxellaceae|g__Acinetobacter","Bacteria","Proteobacteria","Gammaproteobacteria","Moraxellales","Moraxellaceae","Acinetobacter",5,0,"",0.0052508776909923,2.7091970264003e-05,-4.29798018224453,2.04752861923896,0.0358075330136319,0.250652731095423,0.0135959927248331,0.000245764628208699,0.752146553883839,""
"k__Bacteria|p__Firmicutes|c__Clostridia|o__Eubacteriales|f__Lachnospiraceae|g__GGB79916","Bacteria","Firmicutes","Clostridia","Eubacteriales","Lachnospiraceae","GGB79916",0,2,"",1.5579749128273e-05,0.000241898242448514,5.8298698523501,2.83697514290342,0.0398828883762783,0.261922550226146,340.314385071987,1.309176838643,88463.1298602633,""
"k__Bacteria|p__Firmicutes|c__Bacilli|o__Lactobacillales|f__Lactobacillaceae|g__Weissella","Bacteria","Firmicutes","Bacilli","Lactobacillales","Lactobacillaceae","Weissella",3,0,"",0.000381291131160931,2.7091970264003e-05,-4.61970558946091,2.25408482895983,0.0404150362637734,0.261922550226146,0.00985569725523729,0.000118842454445417,0.817340645143817,""
"k__Bacteria|p__Synergistetes|c__Synergistia|o__Synergistales|f__Synergistaceae|g__Cloacibacillus","Bacteria","Synergistetes","Synergistia","Synergistales","Synergistaceae","Cloacibacillus",3,4,"",0.000184514285891913,0.00086182551804602,-4.04390468432372,1.98053650397256,0.0411691070410012,0.261922550226146,0.0175288938169669,0.00036131650734337,0.850396016239858,""
"k__Bacteria|p__Firmicutes|c__Clostridia|o__Eubacteriales|f__Lachnospiraceae|g__Anaerostipes","Bacteria","Firmicutes","Clostridia","Eubacteriales","Lachnospiraceae","Anaerostipes",8,9,"",0.0506237147630232,0.370510249290137,5.47717672010075,2.68904158825007,0.0416649879588855,0.261922550226146,239.170507985654,1.22955855566361,46522.8204274039,""
"k__Bacteria|p__Firmicutes|c__Clostridia|o__Eubacteriales|f__Oscillospiraceae|g__Oscillospiraceae_unclassified","Bacteria","Firmicutes","Clostridia","Eubacteriales","Oscillospiraceae","Oscillospiraceae unclassified",7,7,"",0.0151619009647426,0.0259316715403059,-4.93903087321204,2.43605636564337,0.0426143831717143,0.261922550226146,0.00716153544616341,6.04495545474302e-05,0.848436193295905,""
"k__Bacteria|p__Firmicutes|c__Clostridia|o__Eubacteriales|f__Clostridiaceae|g__Hungatella","Bacteria","Firmicutes","Clostridia","Eubacteriales","Clostridiaceae","Hungatella",7,9,"",0.0127733364643558,0.124204179507499,4.73722505036371,2.35219356940909,0.0440136757091283,0.26408205425477,114.117092718014,1.13533260757118,11470.3926968779,""
"k__Bacteria|p__Firmicutes|c__CFGB15212|o__OFGB15212|f__FGB15212|g__GGB41458","Bacteria","Firmicutes","CFGB15212","OFGB15212","FGB15212","GGB41458",2,3,"",0.000101264257705141,0.000198892915116987,-3.02012220784213,1.51328189354555,0.0459618707755712,0.265427270421448,0.0487952548348261,0.00251330987509275,0.947347128975792,""
"k__Bacteria|p__Firmicutes|c__Clostridia|o__Eubacteriales|f__Clostridiaceae|g__Clostridiaceae_unclassified","Bacteria","Firmicutes","Clostridia","Eubacteriales","Clostridiaceae","Clostridiaceae unclassified",7,10,"",0.0774241530043827,2.59962683304753,3.96100044895904,1.99195322653188,0.0467563381364349,0.265427270421448,52.5098330872152,1.05841459664106,2605.10633507664,""
"k__Bacteria|p__Firmicutes|c__Clostridia|o__Eubacteriales|f__Oscillospiraceae|g__Ruminococcus","Bacteria","Firmicutes","Clostridia","Eubacteriales","Oscillospiraceae","Ruminococcus",8,10,"",0.201838237715634,4.81183590528969,4.09986672849688,2.06778993448967,0.0473977268609728,0.265427270421448,60.3322464923723,1.04812039172083,3472.86437280375,""
"k__Bacteria|p__Firmicutes|c__Clostridia|o__Eubacteriales|f__Oscillospiraceae|g__GGB9627","Bacteria","Firmicutes","Clostridia","Eubacteriales","Oscillospiraceae","GGB9627",1,2,"",5.23056710704582e-05,0.000167389287410635,-4.27344791218874,2.17544664508494,0.0494836950147487,0.266032804231236,0.0139336582057564,0.000196014222703002,0.990473182596607,""
"k__Bacteria|p__Firmicutes|c__Clostridia|o__Eubacteriales|f__Eubacteriales_unclassified|g__Eubacteriales_unclassified","Bacteria","Firmicutes","Clostridia","Eubacteriales","Eubacteriales unclassified","Eubacteriales unclassified",9,10,"",0.237107022140637,0.890059869742919,4.03572277204753,2.05563453098625,0.0496172293605877,0.266032804231236,56.5838026531106,1.00670144618724,3180.41335374287,""
"k__Bacteria|p__Firmicutes|c__Clostridia|o__Eubacteriales|f__Eubacteriales_unclassified|g__Evtepia","Bacteria","Firmicutes","Clostridia","Eubacteriales","Eubacteriales unclassified","Evtepia",1,6,"",3.12453030256519e-05,0.00771396930940345,4.86958287279826,2.49197308655358,0.050688525500956,0.266114758880019,130.26656783309,0.985422912812324,17220.4019963202,""
"k__Bacteria|p__Firmicutes|c__CFGB38642|o__OFGB38642|f__FGB38642|g__GGB9766","Bacteria","Firmicutes","CFGB38642","OFGB38642","FGB38642","GGB9766",1,2,"",4.88502676410409e-05,0.000133482833463738,-3.89201611103084,2.00149334941316,0.0518284267071376,0.266323661757279,0.0204041674744875,0.000403657797076638,1.03139355499155,""
"k__Bacteria|p__Firmicutes|c__Clostridia|o__Clostridia_unclassified|f__Clostridia_unclassified|g__GGB3828","Bacteria","Firmicutes","Clostridia","Clostridia unclassified","Clostridia unclassified","GGB3828",0,4,"",1.5579749128273e-05,0.00110133841917007,5.6186537588478,2.90188254363846,0.0528419963804125,0.266323661757279,275.518219487629,0.93329305601891,81335.9627826217,""
"k__Bacteria|p__Firmicutes|c__Clostridia|o__Eubacteriales|f__Oscillospiraceae|g__GGB9707","Bacteria","Firmicutes","Clostridia","Eubacteriales","Oscillospiraceae","GGB9707",1,5,"",4.72370495521316e-05,0.00192074113618285,-3.60373132216386,1.90308956383134,0.058275267104345,0.287948378633234,0.0272219588106515,0.000653095711617344,1.13464998821335,""
"k__Bacteria|p__Firmicutes|c__Clostridia|o__Eubacteriales|f__Peptostreptococcaceae|g__Intestinibacter","Bacteria","Firmicutes","Clostridia","Eubacteriales","Peptostreptococcaceae","Intestinibacter",1,4,"",2.97768704378672e-05,0.000872440253840229,4.72104448889443,2.5236741944141,0.061386280621513,0.297487359935024,112.285472368709,0.798231253502508,15794.9557220945,""
"k__Bacteria|p__Firmicutes|c__CFGB1292|o__OFGB1292|f__FGB1292|g__GGB3109","Bacteria","Firmicutes","CFGB1292","OFGB1292","FGB1292","GGB3109",1,2,"",4.32641365075889e-05,0.000148361382819018,4.18214128164536,2.30322908441556,0.0694051941709482,0.328956183586859,65.5059698768124,0.717352646042613,5981.76101137146,""
"k__Bacteria|p__Firmicutes|c__Clostridia|o__Eubacteriales|f__Oscillospiraceae|g__GGB9619","Bacteria","Firmicutes","Clostridia","Eubacteriales","Oscillospiraceae","GGB9619",3,3,"",0.000187292267688684,0.000205499434430519,-3.11323826181841,1.72517299208209,0.0711381077447127,0.328956183586859,0.0444567593676949,0.00151161399776745,1.30747893072976,""
"k__Archaea|p__Thaumarchaeota|c__Thaumarchaeota_unclassified|o__Nitrosopumilales|f__Nitrosopumilaceae|g__Nitrosopumilus","Archaea","Thaumarchaeota","Thaumarchaeota unclassified","Nitrosopumilales","Nitrosopumilaceae","Nitrosopumilus",1,2,"",2.90189217343175e-05,0.000114949635754723,-2.51699505241451,1.40169845975242,0.0725462007477839,0.328956183586859,0.0807017472781577,0.00517288854597485,1.25902036277495,""
"k__Bacteria|p__Firmicutes|c__Bacilli|o__Lactobacillales|f__Lactobacillaceae|g__GGB9602","Bacteria","Firmicutes","Bacilli","Lactobacillales","Lactobacillaceae","GGB9602",2,3,"",0.000123433336120269,0.000350960063315157,-3.9949308763228,2.2290687388885,0.0731013741304132,0.328956183586859,0.0184087188450782,0.000233132031860542,1.45360089221825,""
"k__Bacteria|p__Firmicutes|c__Clostridia|o__Eubacteriales|f__Lachnospiraceae|g__Frisingicoccus","Bacteria","Firmicutes","Clostridia","Eubacteriales","Lachnospiraceae","Frisingicoccus",1,2,"",4.75548050437372e-05,0.00014864697281391,-3.93316885650241,2.22825207729914,0.0775408439031665,0.342812151992947,0.0195815230969253,0.000248381936983003,1.54373563332691,""
"k__Bacteria|p__Firmicutes|c__Clostridia|o__Eubacteriales|f__Lachnospiraceae|g__Blautia","Bacteria","Firmicutes","Clostridia","Eubacteriales","Lachnospiraceae","Blautia",10,10,"",1.46732429272465,3.30321048002032,1.84457510971139,1.06017672664401,0.0818809482501824,0.347292226834142,6.32541161338635,0.791859521684129,50.5276895498684,""
"k__Bacteria|p__Firmicutes|c__Clostridia|o__Eubacteriales|f__Peptostreptococcaceae|g__GGB3444","Bacteria","Firmicutes","Clostridia","Eubacteriales","Peptostreptococcaceae","GGB3444",3,1,"",0.000139453627780931,5.47584910417728e-05,-2.4818674561123,1.43039084613947,0.0827235525390741,0.347292226834142,0.0835869847255866,0.00506483603207109,1.37946894455702,""
"k__Bacteria|p__Firmicutes|c__CFGB2889|o__OFGB2889|f__FGB2889|g__GGB9197","Bacteria","Firmicutes","CFGB2889","OFGB2889","FGB2889","GGB9197",1,1,"",3.86275198235901e-05,7.88349123804419e-05,-2.82565061279243,1.65204745609003,0.0871932012928893,0.347292226834142,0.05927008240847,0.00232586416127928,1.51038170121449,""
"k__Bacteria|p__Firmicutes|c__Clostridia|o__Eubacteriales|f__Lachnospiraceae|g__Faecalimonas","Bacteria","Firmicutes","Clostridia","Eubacteriales","Lachnospiraceae","Faecalimonas",2,5,"",0.000139689999167962,0.00565488016639515,6.09664707276311,3.59057534813623,0.0895156399363708,0.347292226834142,444.365344816259,0.390283996159233,505940.703735929,""
"k__Bacteria|p__Bacteroidetes|c__CFGB593|o__OFGB593|f__FGB593|g__GGB79741","Bacteria","Bacteroidetes","CFGB593","OFGB593","FGB593","GGB79741",0,2,"",1.5579749128273e-05,0.000155794205831424,3.57361883272878,2.11195695057782,0.0906290318219182,0.347292226834142,35.645354603898,0.567896105181949,2237.36576680791,""
"k__Bacteria|p__Firmicutes|c__CFGB1011|o__OFGB1011|f__FGB1011|g__GGB2653","Bacteria","Firmicutes","CFGB1011","OFGB1011","FGB1011","GGB2653",4,3,"",0.000325297393203397,0.000264656157216284,-3.12684049032532,1.84841263096919,0.0907154866994119,0.347292226834142,0.0438561424926026,0.00117119668285276,1.64221881985407,""
"k__Bacteria|p__Bacteroidetes|c__Bacteroidia|o__Bacteroidales|f__Prevotellaceae|g__Prevotellamassilia","Bacteria","Bacteroidetes","Bacteroidia","Bacteroidales","Prevotellaceae","Prevotellamassilia",1,1,"",5.06523505163318e-05,0.000107100787396914,-3.76346338682378,2.22721611710874,0.0910736488508158,0.347292226834142,0.0232032392589942,0.000294919837347511,1.82554797585803,""
"k__Bacteria|p__Actinobacteria|c__Coriobacteriia|o__Eggerthellales|f__Eggerthellaceae|g__GGB9434","Bacteria","Actinobacteria","Coriobacteriia","Eggerthellales","Eggerthellaceae","GGB9434",1,1,"",3.67747981767849e-05,6.46059038513409e-05,-2.51607584330461,1.50005208033971,0.0934788177937096,0.347292226834142,0.0807759631641741,0.00426984428008635,1.52810168172411,""
"k__Bacteria|p__Proteobacteria|c__Gammaproteobacteria|o__Enterobacterales|f__Enterobacteriaceae|g__Enterobacter","Bacteria","Proteobacteria","Gammaproteobacteria","Enterobacterales","Enterobacteriaceae","Enterobacter",4,1,"",0.000919394344259057,6.1884952667342e-05,-5.0852428336954,3.03600757713558,0.0939387463525945,0.347292226834142,0.00618738440244237,1.61140711229721e-05,2.3757947604569,""
"k__Bacteria|p__Bacteroidetes|c__Bacteroidia|o__Bacteroidales|f__Prevotellaceae|g__Paraprevotella","Bacteria","Bacteroidetes","Bacteroidia","Bacteroidales","Prevotellaceae","Paraprevotella",2,3,"",0.000148168124560865,0.00098948174200262,-4.04429682300917,2.42586223015097,0.095482893431134,0.347292226834142,0.017522021407145,0.000150885876132106,2.03479107563148,""
"k__Bacteria|p__Bacteroidetes|c__Bacteroidia|o__Bacteroidales|f__Rikenellaceae|g__Alistipes","Bacteria","Bacteroidetes","Bacteroidia","Bacteroidales","Rikenellaceae","Alistipes",9,10,"",1.65700834106242,18.848287370015,1.54201247894686,0.927395747343756,0.09636568486459,0.347292226834142,4.6739871130061,0.759053371522769,28.7807897996957,""
"k__Bacteria|p__Bacteroidetes|c__Sphingobacteriia|o__Sphingobacteriales|f__Sphingobacteriaceae|g__GGB9697","Bacteria","Bacteroidetes","Sphingobacteriia","Sphingobacteriales","Sphingobacteriaceae","GGB9697",1,1,"",3.75713571297193e-05,6.65707482475061e-05,-2.59579983372589,1.56190634715306,0.0965241379249087,0.347292226834142,0.0745861956556404,0.00349250416546277,1.59286870360664,""
"k__Bacteria|p__Firmicutes|c__Clostridia|o__Eubacteriales|f__Oscillospiraceae|g__GGB9237","Bacteria","Firmicutes","Clostridia","Eubacteriales","Oscillospiraceae","GGB9237",1,1,"",3.51161158689544e-05,6.13085290378784e-05,-2.35617276034055,1.42369166575914,0.0979297621385136,0.347292226834142,0.0947822844247712,0.00581910723398058,1.54382469329972,""
"k__Bacteria|p__Proteobacteria|c__CFGB3069|o__OFGB3069|f__FGB3069|g__GGB9770","Bacteria","Proteobacteria","CFGB3069","OFGB3069","FGB3069","GGB9770",3,0,"",0.000148820413898384,2.7091970264003e-05,-2.1403327415973,1.30099009473419,0.0999374732778442,0.347292226834142,0.117615700873854,0.00918417552746662,1.50622699344943,""
