,Species1,Species2,Species3,Species4,Species5,Species6,Species7,Species8,Species9,Species10,Species11,Species12,Species13,Species14,Species15,Species16,Species17,Species18,Species19,Species20,Species21,Species22,Species23,Species24,Species25,Species26,Species27,Species28,Species29,Species30,Species31,Species32,Species33,Species34,Species35,Species36,Gene1,Gene2,Gene3,Gene4,Gene5,Gene6,Gene7,Gene8,Gene9,Gene10,Gene11,Gene12,Gene13,Gene14,Gene15,Gene16,Gene17,Gene18,Gene19,Gene20,Gene21,Gene22,Gene23,Gene24,Gene25,Gene26,Gene27,Gene28,Gene29,Gene30,Gene31,Gene32,Gene33,Gene34,Gene35,Gene36,Gene37,Gene38,Gene39,Gene40,Gene41,Gene42
21,0,0.37951,0.03022,0.70131,0,0.02156,0.46429,0,0,0,0.09077,0,0,0,0.50456,0.06052,0.20259,0.91072,0,0.15473,0.46225,0,0,0,0,0,0,0,0,0,5.27761,0.59595,0,0,0,0.07045,10.20673535,6.760414691,8.002024818,7.974532844,4.382026635,5.332718793,4.770684624,4.382026635,2.564949357,3.583518938,3.496507561,1.609437912,3.401197382,3.295836866,3.135494216,3.496507561,3.17805383,4.158883083,3.761200116,3.401197382,2.63905733,1.609437912,3.295836866,2.708050201,2.564949357,2.708050201,3.044522438,1.945910149,1.098612289,2.63905733,1.945910149,1.791759469,2.397895273,2.302585093,3.044522438,2.564949357,1.791759469,1.098612289,1.098612289,0,0,1.386294361
22,0.1588,0.86983,0.02074,2.55739,0.09923,0,0,0,0.47744,0,0.00341,0.75732,0,0,0.61074,0.76991,0.12431,0,0,0,0,0,0,5.48281,0.00488,0,0,0,0,0,0.05044,0.34691,0.1375,0,0.01907,0.41392,10.06100399,7.786551806,8.368925175,6.208590026,5.84932478,4.9698133,6.045005314,4.382026635,4.17438727,4.290459441,4.204692619,2.890371758,3.465735903,3.496507561,2.48490665,2.944438979,3.433987204,3.80666249,2.833213344,3.891820298,3.988984047,2.564949357,3.465735903,2.564949357,2.48490665,3.218875825,3.258096538,2.079441542,1.098612289,2.48490665,3.135494216,2.833213344,1.609437912,1.386294361,2.197224577,1.098612289,0.693147181,0,0,0.693147181,0,0.693147181
23,0.00378,0.05827,0.04565,0.3758,0,0.02627,1.4095,0.02565,0.55954,0,0,0.16144,0,0.39357,0.47815,0.15135,0.08524,0,0.22086,0.13406,0,0,0.6437,0,0.0112,0,0.11225,0.04619,0.14633,0.50503,0.61484,0.18983,0.19275,0,0,0,9.612132075,4.521788577,7.452402451,5.402677382,5.303304908,3.433987204,5.370638028,2.833213344,4.394449155,3.663561646,3.610917913,5.043425117,4.127134385,2.772588722,2.708050201,2.995732274,2.48490665,3.295836866,2.833213344,3.555348061,2.079441542,3.218875825,2.48490665,2.708050201,3.433987204,2.944438979,2.708050201,1.098612289,2.197224577,2.890371758,2.564949357,3.433987204,0,2.302585093,1.098612289,2.197224577,1.791759469,0,3.850147602,1.791759469,0,1.609437912
24,0,1.61803,0,2.03807,0,0.18703,0,0,1.56266,0,0,0.34305,0,0,0.08047,0.9294,0,0,0,0,0,0.0392,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00635,11.03714518,4.795790546,7.90359629,6.556778356,5.484796933,5.351858133,4.304065093,4.812184355,3.850147602,4.317488114,3.044522438,3.713572067,3.218875825,1.791759469,3.610917913,2.995732274,3.091042453,3.044522438,2.079441542,0.693147181,3.433987204,2.397895273,0.693147181,1.098612289,3.044522438,1.945910149,2.302585093,3.63758616,1.609437912,0,2.302585093,1.945910149,1.098612289,1.386294361,1.945910149,0,1.945910149,2.197224577,0,0,0,0
25,0,0.75157,0,0,0.01122,0,0,0,0,0,0,0,0,0,0,8.37759,0,0,0,0,0,0.0024,0,0.02084,0,0,0.04456,0,0,0,0,0,2.87426,0,0,0.15429,9.789758787,5.605802066,8.04494705,9.945349007,7.509335266,3.663561646,5.375278408,3.401197382,5.247024072,3.091042453,3.80666249,5.081404365,2.302585093,2.833213344,3.258096538,1.945910149,2.079441542,2.302585093,2.63905733,2.772588722,2.48490665,2.48490665,3.091042453,2.197224577,0,2.564949357,2.302585093,1.609437912,0,2.564949357,2.079441542,0,0.693147181,1.791759469,1.609437912,0.693147181,0,0,1.098612289,2.708050201,0,1.386294361
26,0.01086,0,0.01528,0.14063,0,0.02201,0.02629,0,0.38045,0,0.02137,0.01595,0,0.0299,0.0326,0.00433,0.05328,0,0,0.00899,0,0,0.00238,0.14106,0,0.56271,0,0,0,0,0.02402,0,0.12468,0,0,0,11.15715012,3.258096538,6.889591308,3.891820298,4.727387819,3.044522438,6.844815479,3.970291914,3.63758616,3.044522438,1.609437912,1.791759469,2.708050201,2.48490665,3.135494216,1.945910149,2.302585093,2.564949357,2.48490665,2.302585093,1.791759469,0.693147181,1.945910149,2.48490665,1.791759469,1.098612289,2.944438979,5.105945474,0.693147181,2.197224577,1.609437912,1.609437912,0.693147181,0.693147181,1.791759469,2.564949357,0,2.564949357,0.693147181,1.098612289,0,0
27,0.04216,0.42458,0.36376,0.57916,0,0,0.26929,0,0.0521,0,0,0.28135,0,0,0.27415,0.58981,0.37393,0,0,0,0,0,2.14036,0,0.04038,0,0.05135,0,0,0,1.01769,0,0.051,0.05027,0,0.07863,10.0762637,6.739336627,8.170185653,5.420534999,6.747586527,4.644390899,2.772588722,4.912654886,4.025351691,3.80666249,5.023880521,5.231108617,4.49980967,3.610917913,3.63758616,4.007333185,3.218875825,3.36729583,2.772588722,3.63758616,3.465735903,0,2.890371758,2.890371758,3.737669618,2.995732274,3.850147602,0,1.609437912,3.258096538,2.564949357,3.951243719,2.48490665,2.397895273,2.48490665,2.944438979,0.693147181,0,0,1.609437912,1.791759469,0.693147181
28,0,0.34989,0.35693,1.35909,0,0,0.02651,0,5.46919,0,0.00668,0,0,0,0,1.71196,0,0,0,0.27122,0.17799,0,0,0,0,0,0.01865,3.03588,0.00309,0,0.17537,0.74939,0.47627,0,0,0.24742,8.107720062,3.610917913,8.662677858,4.543294782,7.052721049,4.779123493,4.976733742,3.218875825,5.505331536,3.737669618,3.871201011,5.283203729,3.258096538,2.944438979,4.094344562,3.465735903,2.995732274,2.890371758,2.397895273,2.890371758,2.197224577,4.290459441,3.17805383,2.995732274,2.63905733,2.772588722,3.33220451,0,2.63905733,2.197224577,2.079441542,1.609437912,2.772588722,2.302585093,1.791759469,2.397895273,1.791759469,0.693147181,3.784189634,3.218875825,2.079441542,0
29,0.13372,1.03502,0.2325,2.36053,0.05873,0.02282,0,0,1.24868,0,0,0.16916,0,0.15753,0.37683,2.30698,0.21035,0.00747,0.48931,0.93958,0,0,0.17533,0,0.00164,12.72993,0.01711,0,0,0.77131,0.03374,0,0,0,0,0.05949,10.14537435,9.530320211,8.712101864,7.675546003,5.866468057,5.602118821,5.814130532,4.718498871,2.944438979,4.33073334,3.970291914,3.135494216,4.043051268,3.583518938,2.944438979,3.33220451,3.135494216,3.091042453,3.36729583,3.295836866,3.091042453,1.098612289,3.091042453,2.833213344,1.609437912,2.944438979,2.890371758,3.36729583,2.302585093,2.833213344,2.944438979,1.791759469,2.397895273,1.791759469,1.386294361,2.197224577,2.197224577,0,0.693147181,2.397895273,2.197224577,2.890371758
30,0,0.00702,0.02394,0.15214,0,0,0.40958,0,0.19971,0,0.02189,0.05511,0,0.06141,0.03036,0.1086,0.022,0,0,0.0131,0,0,5.03037,0,0,3.28021,0.00329,0.84132,0.05968,0.10095,0.10675,0.18306,0,0,0,0.07981,9.357293785,12.1011176,7.499423291,9.291551627,5.843544417,7.10824414,4.634728988,4.430816799,4.343805422,3.555348061,2.772588722,3.496507561,2.708050201,2.197224577,0,2.197224577,2.302585093,1.386294361,0,0,3.761200116,0,0,3.295836866,0,1.609437912,2.197224577,2.302585093,5.407171771,0,2.302585093,2.079441542,0,0,0,0,1.609437912,2.48490665,0,0,0,0
31,0.07845,0.31846,0.05374,0.58637,0,0.01735,4.21519,0.22519,0.98517,0,0,0.06369,0,0.07283,0.1061,0.11886,0.03173,0,0,0.0515,0,0,2.42307,0,0.00305,0,0.0022,0.0955,0.64505,0,0.50479,0,0.02038,0,0,0.02759,10.43535034,5.159055299,8.315321775,6.747586527,6.418364936,4.143134726,4.983606622,4.955827058,3.17805383,3.912023005,4.110873864,2.890371758,3.091042453,3.17805383,3.044522438,2.890371758,3.218875825,2.833213344,2.944438979,3.135494216,2.302585093,1.386294361,3.295836866,3.36729583,3.044522438,2.833213344,3.218875825,3.258096538,2.708050201,1.945910149,1.791759469,3.258096538,2.302585093,1.098612289,2.302585093,2.564949357,2.079441542,0,0,1.386294361,0,0
32,0.08331,0.10753,0.15674,1.43883,0,0.05452,1.22275,0,0,0,0.08349,0.25739,0,0.07564,0.20908,0,0.10731,0,0.01112,0.13887,0.42604,0,1.385,0,0,0.3574,0,0.59095,0,0.53371,1.66986,0,0.07374,0.00509,0,0.0046,11.24259858,3.401197382,8.584664907,3.258096538,5.602118821,4.043051268,4.96284463,2.63905733,4.634728988,3.828641396,3.828641396,2.944438979,2.833213344,1.791759469,3.555348061,3.258096538,3.044522438,2.397895273,2.197224577,1.945910149,3.17805383,4.477336814,0,0,3.17805383,2.708050201,1.609437912,0,1.609437912,1.609437912,2.302585093,0,0,1.386294361,0,2.63905733,0,0,0,2.48490665,0,0
33,0.05172,0.01029,0.09848,0.32185,0,0,7.57714,0.00468,0.11415,0.1219,0,0.06388,0,0.10366,0.07742,0.02471,0,0,0.00224,0.03985,0,0,3.02964,0,0.00109,2.01115,0,3.04852,0.04552,0,0.73977,0,0.00814,0,0,0,9.951849053,6.376726948,8.111628078,6.746412129,5.81711116,5.087596335,3.850147602,4.49980967,3.33220451,4.094344562,4.33073334,4.025351691,3.610917913,3.610917913,3.091042453,3.526360525,4.219507705,3.610917913,3.218875825,3.218875825,3.63758616,1.609437912,3.295836866,2.397895273,3.526360525,3.737669618,3.688879454,1.609437912,1.945910149,2.995732274,2.833213344,3.663561646,2.397895273,2.48490665,2.772588722,2.944438979,2.833213344,3.091042453,2.079441542,1.609437912,1.945910149,0.693147181
34,0.79251,3.06131,0.09783,5.22081,0.01566,0.41647,0.04954,0,3.12799,0,0.05498,0.29577,0,0.20761,0.64193,0.09257,0.17549,0,0.05493,0,0,0,0.07493,0.15396,0.00868,0,0.00474,1.44221,0.00225,0.00645,0.57464,0,0.07206,0,0,0.08129,10.16122575,8.901230352,8.823647949,8.53503311,5.762051383,5.590986981,5.700443573,4.672828834,3.135494216,4.17438727,4.262679877,3.988984047,4.127134385,3.931825633,3.401197382,3.36729583,3.784189634,3.17805383,3.33220451,3.465735903,3.295836866,1.098612289,3.401197382,3.218875825,2.772588722,3.295836866,4.094344562,1.791759469,0,3.091042453,2.302585093,2.890371758,2.48490665,2.564949357,2.708050201,3.135494216,2.944438979,1.098612289,0.693147181,1.386294361,0,0.693147181
35,0,0.09218,0.159,1.46753,0,0,0.44127,0,0,0,0.08568,0,0,0.07546,0,0.9565,0,0,0.64893,0.07563,0,0.0437,0.09451,0.53878,0.00229,3.97142,0,1.08379,0.00644,0.73842,2.36692,2.115,0.53165,0,0,0.02415,9.61500516,3.465735903,7.590346946,6.357842267,5.537334267,2.890371758,6.793466133,3.555348061,3.737669618,3.36729583,3.36729583,3.951243719,3.135494216,2.197224577,3.17805383,1.386294361,2.079441542,2.302585093,2.302585093,2.708050201,2.397895273,2.944438979,2.63905733,2.708050201,3.688879454,1.945910149,1.386294361,0.693147181,2.079441542,2.63905733,2.564949357,2.302585093,2.302585093,1.945910149,0.693147181,0.693147181,0,0.693147181,0,0,0,0.693147181
36,0.018,0.05896,0.0095,0.22721,0,0,0.03499,0,1.18012,0,0.00585,0,0,0,0.15918,0.1103,0.01364,0,1.15729,0.08639,0,0.03397,0,0,0,0,0,0.98939,0,0,0,0,0.00738,0,0.00665,0,9.30346635,4.17438727,7.846589975,4.709530201,2.397895273,3.044522438,0,4.110873864,4.48863637,3.218875825,2.397895273,0,2.48490665,0,0,0,0,1.609437912,2.397895273,2.48490665,2.079441542,2.944438979,2.833213344,0,2.079441542,0,0,4.634728988,0,0,0,0.693147181,0,2.48490665,2.564949357,0,0,3.80666249,0,0,0,0
