"","S1","S2","S3","S4","S5","S6","S7","S9","S10","S11","S12","S13","S15","S16","S17","S18","S19","S20","S22","S23","S24","S25","S26","S27","S28","S30","S34","S35","S36","S37","S61","S62","S63","S65","S85","S86","S87","S88","S89","S112","S113","S114","S161","S162","S164","S165","S166","S167","S168","S169","S170","S171","S172","S173","S174","S175","S176","S177","S179","S182","S187","S188","S191","S194","S196","S197","S198","S201","S202","S203","S204","S205","S206","S207","S208","S209","S210","S213","S214","S215","S216","S217","S218","S219","S220","S221","S222","S223","S224","S225"
"OTU_3449",3,6,1,0,0,3,1,2,1,0,0,0,0,0,1,0,0,2,2,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,1,0,0,1,0,0,0,0,1,0,0,2,1,0,0,0,0,0,0,1,1,0,0,0,1,0,1,0,1,0,0,1,0,0,0,0,0,1,1,0,4,0,0,1,0,0,1,0,0,0,0,1
"OTU_10128",1,0,0,0,0,0,0,2,0,0,0,0,1,0,1,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,3,2,0,1,1,0,1,4,0,1,0,4,0,0,0,0,1,0,0,0,1,0,0,0,0,0,3,3,0,0,0,0,0,0,0,1,1,1,1,0,0,0,0,0,2,0,0,0,0,0,0,0,3,1,0,1,3,3
"OTU_75",8,6,2,5,4,5,1,7,4,5,4,5,4,2,7,6,6,9,2,2,1,5,11,8,7,5,8,5,6,4,3,2,6,9,3,8,3,4,3,5,11,6,11,10,1,5,1,1,6,2,4,4,1,2,0,0,1,3,122,151,16,37,14,0,5,3,2,37,71,285,18,2,2,5,2,4,4,2,3,2,2,6,14,0,2,4,5,3,6,6
"OTU_2069",1,3,1,2,1,5,0,2,4,0,1,2,3,2,4,1,2,5,7,1,1,3,0,2,2,1,2,0,2,12,0,6,29,13,1,2,2,1,3,2,2,4,1,1,1,2,2,2,18,2,0,2,3,1,0,0,0,0,3,6,4,3,8,1,1,3,4,4,9,8,8,6,6,0,0,4,4,1,4,0,0,2,4,10,18,16,9,5,12,3
"OTU_356",7,6,1,3,3,0,1,4,2,3,0,2,4,2,5,4,2,3,1,1,3,4,5,3,4,3,2,2,4,4,10,8,26,84,2,6,5,3,2,6,6,9,1,7,10,7,5,8,2,2,3,6,4,3,1,1,2,12,3,4,7,5,7,0,3,22,20,88,156,53,6,3,2,5,8,2,3,15,2,15,1,4,42,4,13,11,3,8,10,21
"OTU_825",1,1,0,1,0,0,0,2,2,0,0,0,2,4,2,30,10,14,2,1,0,2,10,1,2,7,4,2,1,2,0,0,0,2,1,0,0,1,2,0,0,0,0,1,1,0,0,0,0,1,0,1,1,0,0,1,0,0,1,0,3,2,0,0,1,3,0,6,0,1,2,0,7,2,0,1,16,1,0,7,0,6,2,8,1,2,2,3,13,18
"OTU_4105",0,2,2,1,1,0,0,2,0,0,0,1,1,0,0,1,0,0,5,2,1,2,4,0,0,0,1,1,0,0,0,0,0,2,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"OTU_2526",0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,3,0,1,0,0,1,2,0,0,1,0,0,1,0,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,1,0,0,0,0,1,0,0,0,0,0,0,1,0,0,2,0,0,0,0,0,0,0
"OTU_482",1,0,0,0,0,0,1,0,0,0,0,0,8,5,16,6,10,2,0,0,0,0,9,1,2,0,0,0,0,3,0,0,0,1,0,0,0,1,1,0,0,0,1,0,0,0,0,1,0,1,0,0,0,1,0,0,2,0,1,0,6,1,0,0,2,11,32,58,7,14,1,12,0,2,3,8,12,31,6,4,2,4,58,4,3,5,7,0,1,0
"OTU_13756",0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
