	Site	Sitetre	Treatment	Soiltype	ComTreament	Compartments	SiteCom	Maize.variety	Growing.day
SEYYCK4	YY	YYCK	CK	FS	SEYYCK	SE	YYSE	JD20	66d
SEYYCK5	YY	YYCK	CK	FS	SEYYCK	SE	YYSE	JD20	66d
SEYYCK6	YY	YYCK	CK	FS	SEYYCK	SE	YYSE	JD20	66d
SEYYCK7	YY	YYCK	CK	FS	SEYYCK	SE	YYSE	JD20	66d
SEYYCK8	YY	YYCK	CK	FS	SEYYCK	SE	YYSE	JD20	66d
SEYYCK9	YY	YYCK	CK	FS	SEYYCK	SE	YYSE	JD20	66d
SEYYNPK1	YY	YYNPK	NPK	FS	SEYYNPK	SE	YYSE	JD20	66d
SEYYNPK2	YY	YYNPK	NPK	FS	SEYYNPK	SE	YYSE	JD20	66d
SEYYNPK3	YY	YYNPK	NPK	FS	SEYYNPK	SE	YYSE	JD20	66d
SEYYNPK4	YY	YYNPK	NPK	FS	SEYYNPK	SE	YYSE	JD20	66d
SEYYNPK5	YY	YYNPK	NPK	FS	SEYYNPK	SE	YYSE	JD20	66d
SEYYNPK6	YY	YYNPK	NPK	FS	SEYYNPK	SE	YYSE	JD20	66d
SEYYNPK7	YY	YYNPK	NPK	FS	SEYYNPK	SE	YYSE	JD20	66d
SEYYNPK8	YY	YYNPK	NPK	FS	SEYYNPK	SE	YYSE	JD20	66d
SEYYNPK9	YY	YYNPK	NPK	FS	SEYYNPK	SE	YYSE	JD20	66d
SEYYNPKM1	YY	YYNPKM	NPKM	FS	SEYYNPKM	SE	YYSE	JD20	66d
SEYYNPKM2	YY	YYNPKM	NPKM	FS	SEYYNPKM	SE	YYSE	JD20	66d
SEYYNPKM3	YY	YYNPKM	NPKM	FS	SEYYNPKM	SE	YYSE	JD20	66d
SEYYNPKM4	YY	YYNPKM	NPKM	FS	SEYYNPKM	SE	YYSE	JD20	66d
SEYYNPKM5	YY	YYNPKM	NPKM	FS	SEYYNPKM	SE	YYSE	JD20	66d
SEYYNPKM6	YY	YYNPKM	NPKM	FS	SEYYNPKM	SE	YYSE	JD20	66d
SEYYNPKM7	YY	YYNPKM	NPKM	FS	SEYYNPKM	SE	YYSE	JD20	66d
SEYYNPKM8	YY	YYNPKM	NPKM	FS	SEYYNPKM	SE	YYSE	JD20	66d
SEYYNPKM9	YY	YYNPKM	NPKM	FS	SEYYNPKM	SE	YYSE	JD20	66d
SECCCK1	CC	CCCK	CK	BS	SECCCK	SE	CCSE	LY66	115d
SECCCK2	CC	CCCK	CK	BS	SECCCK	SE	CCSE	LY66	115d
SECCCK3	CC	CCCK	CK	BS	SECCCK	SE	CCSE	LY66	115d
SECCNPK1	CC	CCNPK	NPK	BS	SECCNPK	SE	CCSE	LY66	115d
SECCNPK2	CC	CCNPK	NPK	BS	SECCNPK	SE	CCSE	LY66	115d
SECCNPK3	CC	CCNPK	NPK	BS	SECCNPK	SE	CCSE	LY66	115d
SECCNPKM1	CC	CCNPKM	NPKM	BS	SECCNPKM	SE	CCSE	LY66	115d
SECCNPKM2	CC	CCNPKM	NPKM	BS	SECCNPKM	SE	CCSE	LY66	115d
SECCNPKM3	CC	CCNPKM	NPKM	BS	SECCNPKM	SE	CCSE	LY66	115d
BJXCK1	JX	JXCK	CK	RS	BJXCK	BS	JXB	YD13	77d
BJXCK2	JX	JXCK	CK	RS	BJXCK	BS	JXB	YD13	77d
BJXCK3	JX	JXCK	CK	RS	BJXCK	BS	JXB	YD13	77d
BJXCK4	JX	JXCK	CK	RS	BJXCK	BS	JXB	YD13	77d
BJXCK5	JX	JXCK	CK	RS	BJXCK	BS	JXB	YD13	77d
BJXCK6	JX	JXCK	CK	RS	BJXCK	BS	JXB	YD13	77d
BJXCK7	JX	JXCK	CK	RS	BJXCK	BS	JXB	YD13	77d
BJXCK8	JX	JXCK	CK	RS	BJXCK	BS	JXB	YD13	77d
BJXCK9	JX	JXCK	CK	RS	BJXCK	BS	JXB	YD13	77d
BJXNPK1	JX	JXNPK	NPK	RS	BJXNPK	BS	JXB	YD13	77d
BJXNPK2	JX	JXNPK	NPK	RS	BJXNPK	BS	JXB	YD13	77d
BJXNPK3	JX	JXNPK	NPK	RS	BJXNPK	BS	JXB	YD13	77d
BJXNPK4	JX	JXNPK	NPK	RS	BJXNPK	BS	JXB	YD13	77d
BJXNPK5	JX	JXNPK	NPK	RS	BJXNPK	BS	JXB	YD13	77d
BJXNPK6	JX	JXNPK	NPK	RS	BJXNPK	BS	JXB	YD13	77d
BJXNPK7	JX	JXNPK	NPK	RS	BJXNPK	BS	JXB	YD13	77d
BJXNPK8	JX	JXNPK	NPK	RS	BJXNPK	BS	JXB	YD13	77d
BJXNPK9	JX	JXNPK	NPK	RS	BJXNPK	BS	JXB	YD13	77d
BJXNPKM1	JX	JXNPKM	NPKM	RS	BJXNPKM	BS	JXB	YD13	77d
BJXNPKM2	JX	JXNPKM	NPKM	RS	BJXNPKM	BS	JXB	YD13	77d
BJXNPKM3	JX	JXNPKM	NPKM	RS	BJXNPKM	BS	JXB	YD13	77d
BJXNPKM4	JX	JXNPKM	NPKM	RS	BJXNPKM	BS	JXB	YD13	77d
BJXNPKM5	JX	JXNPKM	NPKM	RS	BJXNPKM	BS	JXB	YD13	77d
BJXNPKM6	JX	JXNPKM	NPKM	RS	BJXNPKM	BS	JXB	YD13	77d
BJXNPKM7	JX	JXNPKM	NPKM	RS	BJXNPKM	BS	JXB	YD13	77d
BJXNPKM8	JX	JXNPKM	NPKM	RS	BJXNPKM	BS	JXB	YD13	77d
BJXNPKM9	JX	JXNPKM	NPKM	RS	BJXNPKM	BS	JXB	YD13	77d
BHLCK1	HL	HLCK	CK	BS	BHLCK	BS	HLB	KW6	102d
BHLCK2	HL	HLCK	CK	BS	BHLCK	BS	HLB	KW6	102d
BHLCK3	HL	HLCK	CK	BS	BHLCK	BS	HLB	KW6	102d
BHLNPK1	HL	HLNPK	NPK	BS	BHLNPK	BS	HLB	KW6	102d
BHLNPK2	HL	HLNPK	NPK	BS	BHLNPK	BS	HLB	KW6	102d
BHLNPK3	HL	HLNPK	NPK	BS	BHLNPK	BS	HLB	KW6	102d
BHLNPKM1	HL	HLNPKM	NPKM	BS	BHLNPKM	BS	HLB	KW6	102d
BHLNPKM2	HL	HLNPKM	NPKM	BS	BHLNPKM	BS	HLB	KW6	102d
BHLNPKM3	HL	HLNPKM	NPKM	BS	BHLNPKM	BS	HLB	KW6	102d
RJXCK1	JX	JXCK	CK	RS	RJXCK	RS	JXR	YD13	77d
RJXCK2	JX	JXCK	CK	RS	RJXCK	RS	JXR	YD13	77d
RJXCK3	JX	JXCK	CK	RS	RJXCK	RS	JXR	YD13	77d
RJXCK4	JX	JXCK	CK	RS	RJXCK	RS	JXR	YD13	77d
RJXCK5	JX	JXCK	CK	RS	RJXCK	RS	JXR	YD13	77d
RJXCK6	JX	JXCK	CK	RS	RJXCK	RS	JXR	YD13	77d
RJXCK7	JX	JXCK	CK	RS	RJXCK	RS	JXR	YD13	77d
RJXCK8	JX	JXCK	CK	RS	RJXCK	RS	JXR	YD13	77d
RJXCK9	JX	JXCK	CK	RS	RJXCK	RS	JXR	YD13	77d
RJXNPK1	JX	JXNPK	NPK	RS	RJXNPK	RS	JXR	YD13	77d
RJXNPK2	JX	JXNPK	NPK	RS	RJXNPK	RS	JXR	YD13	77d
RJXNPK3	JX	JXNPK	NPK	RS	RJXNPK	RS	JXR	YD13	77d
RJXNPK4	JX	JXNPK	NPK	RS	RJXNPK	RS	JXR	YD13	77d
RJXNPK5	JX	JXNPK	NPK	RS	RJXNPK	RS	JXR	YD13	77d
RJXNPK6	JX	JXNPK	NPK	RS	RJXNPK	RS	JXR	YD13	77d
RJXNPK7	JX	JXNPK	NPK	RS	RJXNPK	RS	JXR	YD13	77d
RJXNPK8	JX	JXNPK	NPK	RS	RJXNPK	RS	JXR	YD13	77d
RJXNPK9	JX	JXNPK	NPK	RS	RJXNPK	RS	JXR	YD13	77d
RJXNPKM1	JX	JXNPKM	NPKM	RS	RJXNPKM	RS	JXR	YD13	77d
RJXNPKM2	JX	JXNPKM	NPKM	RS	RJXNPKM	RS	JXR	YD13	77d
RJXNPKM3	JX	JXNPKM	NPKM	RS	RJXNPKM	RS	JXR	YD13	77d
RJXNPKM4	JX	JXNPKM	NPKM	RS	RJXNPKM	RS	JXR	YD13	77d
RJXNPKM5	JX	JXNPKM	NPKM	RS	RJXNPKM	RS	JXR	YD13	77d
RJXNPKM8	JX	JXNPKM	NPKM	RS	RJXNPKM	RS	JXR	YD13	77d
RJXNPKM9	JX	JXNPKM	NPKM	RS	RJXNPKM	RS	JXR	YD13	77d
RHLSCK1	HL	HLSCK	CK	BS	RHLSCK	RS	HLR	KW6	102d
RHLSCK2	HL	HLSCK	CK	BS	RHLSCK	RS	HLR	KW6	102d
RHLSCK3	HL	HLSCK	CK	BS	RHLSCK	RS	HLR	KW6	102d
RHLSNPK1	HL	HLSNPK	NPK	BS	RHLSNPK	RS	HLR	KW6	102d
RHLSNPK2	HL	HLSNPK	NPK	BS	RHLSNPK	RS	HLR	KW6	102d
RHLSNPK3	HL	HLSNPK	NPK	BS	RHLSNPK	RS	HLR	KW6	102d
RHLSNPKM1	HL	HLSNPKM	NPKM	BS	RHLSNPKM	RS	HLR	KW6	102d
RHLSNPKM2	HL	HLSNPKM	NPKM	BS	RHLSNPKM	RS	HLR	KW6	102d
RHLSNPKM3	HL	HLSNPKM	NPKM	BS	RHLSNPKM	RS	HLR	KW6	102d
RHLLCK1	HL	HLLCK	CK	BS	RHLLCK	RS	HLR	KW6	102d
RHLLCK2	HL	HLLCK	CK	BS	RHLLCK	RS	HLR	KW6	102d
RHLLCK3	HL	HLLCK	CK	BS	RHLLCK	RS	HLR	KW6	102d
RHLLNPK1	HL	HLLNPK	NPK	BS	RHLLNPK	RS	HLR	KW6	102d
RHLLNPK2	HL	HLLNPK	NPK	BS	RHLLNPK	RS	HLR	KW6	102d
RHLLNPK3	HL	HLLNPK	NPK	BS	RHLLNPK	RS	HLR	KW6	102d
RHLLNPKM1	HL	HLLNPKM	NPKM	BS	RHLLNPKM	RS	HLR	KW6	102d
RHLLNPKM2	HL	HLLNPKM	NPKM	BS	RHLLNPKM	RS	HLR	KW6	102d
RHLLNPKM3	HL	HLLNPKM	NPKM	BS	RHLLNPKM	RS	HLR	KW6	102d
REJXCK1	JX	JXCK	CK	RS	REJXCK	RE	JXRE	YD13	77d
REJXCK2	JX	JXCK	CK	RS	REJXCK	RE	JXRE	YD13	77d
REJXCK3	JX	JXCK	CK	RS	REJXCK	RE	JXRE	YD13	77d
REJXCK4	JX	JXCK	CK	RS	REJXCK	RE	JXRE	YD13	77d
REJXCK5	JX	JXCK	CK	RS	REJXCK	RE	JXRE	YD13	77d
REJXCK6	JX	JXCK	CK	RS	REJXCK	RE	JXRE	YD13	77d
REJXCK7	JX	JXCK	CK	RS	REJXCK	RE	JXRE	YD13	77d
REJXCK8	JX	JXCK	CK	RS	REJXCK	RE	JXRE	YD13	77d
REJXCK9	JX	JXCK	CK	RS	REJXCK	RE	JXRE	YD13	77d
REJXNPK1	JX	JXNPK	NPK	RS	REJXNPK	RE	JXRE	YD13	77d
REJXNPK2	JX	JXNPK	NPK	RS	REJXNPK	RE	JXRE	YD13	77d
REJXNPK3	JX	JXNPK	NPK	RS	REJXNPK	RE	JXRE	YD13	77d
REJXNPK4	JX	JXNPK	NPK	RS	REJXNPK	RE	JXRE	YD13	77d
REJXNPK5	JX	JXNPK	NPK	RS	REJXNPK	RE	JXRE	YD13	77d
REJXNPK6	JX	JXNPK	NPK	RS	REJXNPK	RE	JXRE	YD13	77d
REJXNPK7	JX	JXNPK	NPK	RS	REJXNPK	RE	JXRE	YD13	77d
REJXNPK8	JX	JXNPK	NPK	RS	REJXNPK	RE	JXRE	YD13	77d
REJXNPK9	JX	JXNPK	NPK	RS	REJXNPK	RE	JXRE	YD13	77d
REJXNPKM1	JX	JXNPKM	NPKM	RS	REJXNPKM	RE	JXRE	YD13	77d
REJXNPKM2	JX	JXNPKM	NPKM	RS	REJXNPKM	RE	JXRE	YD13	77d
REJXNPKM3	JX	JXNPKM	NPKM	RS	REJXNPKM	RE	JXRE	YD13	77d
REJXNPKM4	JX	JXNPKM	NPKM	RS	REJXNPKM	RE	JXRE	YD13	77d
REJXNPKM5	JX	JXNPKM	NPKM	RS	REJXNPKM	RE	JXRE	YD13	77d
REJXNPKM6	JX	JXNPKM	NPKM	RS	REJXNPKM	RE	JXRE	YD13	77d
REJXNPKM8	JX	JXNPKM	NPKM	RS	REJXNPKM	RE	JXRE	YD13	77d
REJXNPKM9	JX	JXNPKM	NPKM	RS	REJXNPKM	RE	JXRE	YD13	77d
REHLSCK1	HL	HLSCK	CK	BS	REHLSCK	RE	HLRE	KW6	102d
REHLSCK2	HL	HLSCK	CK	BS	REHLSCK	RE	HLRE	KW6	102d
REHLSCK3	HL	HLSCK	CK	BS	REHLSCK	RE	HLRE	KW6	102d
REHLSNPK1	HL	HLSNPK	NPK	BS	REHLSNPK	RE	HLRE	KW6	102d
REHLSNPK2	HL	HLSNPK	NPK	BS	REHLSNPK	RE	HLRE	KW6	102d
REHLSNPK3	HL	HLSNPK	NPK	BS	REHLSNPK	RE	HLRE	KW6	102d
REHLSNPKM1	HL	HLSNPKM	NPKM	BS	REHLSNPKM	RE	HLRE	KW6	102d
REHLSNPKM2	HL	HLSNPKM	NPKM	BS	REHLSNPKM	RE	HLRE	KW6	102d
REHLSNPKM3	HL	HLSNPKM	NPKM	BS	REHLSNPKM	RE	HLRE	KW6	102d
REHLLNPK1	HL	HLLNPK	NPK	BS	REHLLNPK	RE	HLRE	KW6	102d
REHLLNPK2	HL	HLLNPK	NPK	BS	REHLLNPK	RE	HLRE	KW6	102d
REHLLNPKM1	HL	HLLNPKM	NPKM	BS	REHLLNPKM	RE	HLRE	KW6	102d
REHLLNPKM2	HL	HLLNPKM	NPKM	BS	REHLLNPKM	RE	HLRE	KW6	102d
LJXCK1	JX	JXCK	CK	RS	LJXCK	P	JXL	YD13	77d
LJXCK2	JX	JXCK	CK	RS	LJXCK	P	JXL	YD13	77d
LJXCK3	JX	JXCK	CK	RS	LJXCK	P	JXL	YD13	77d
LJXCK4	JX	JXCK	CK	RS	LJXCK	P	JXL	YD13	77d
LJXCK6	JX	JXCK	CK	RS	LJXCK	P	JXL	YD13	77d
LJXCK7	JX	JXCK	CK	RS	LJXCK	P	JXL	YD13	77d
LJXCK8	JX	JXCK	CK	RS	LJXCK	P	JXL	YD13	77d
LJXCK9	JX	JXCK	CK	RS	LJXCK	P	JXL	YD13	77d
LJXNPK1	JX	JXNPK	NPK	RS	LJXNPK	P	JXL	YD13	77d
LJXNPK2	JX	JXNPK	NPK	RS	LJXNPK	P	JXL	YD13	77d
LJXNPK3	JX	JXNPK	NPK	RS	LJXNPK	P	JXL	YD13	77d
LJXNPK4	JX	JXNPK	NPK	RS	LJXNPK	P	JXL	YD13	77d
LJXNPK5	JX	JXNPK	NPK	RS	LJXNPK	P	JXL	YD13	77d
LJXNPK6	JX	JXNPK	NPK	RS	LJXNPK	P	JXL	YD13	77d
LJXNPK7	JX	JXNPK	NPK	RS	LJXNPK	P	JXL	YD13	77d
LJXNPK8	JX	JXNPK	NPK	RS	LJXNPK	P	JXL	YD13	77d
LJXNPK9	JX	JXNPK	NPK	RS	LJXNPK	P	JXL	YD13	77d
LJXNPKM1	JX	JXNPKM	NPKM	RS	LJXNPKM	P	JXL	YD13	77d
LJXNPKM2	JX	JXNPKM	NPKM	RS	LJXNPKM	P	JXL	YD13	77d
LJXNPKM3	JX	JXNPKM	NPKM	RS	LJXNPKM	P	JXL	YD13	77d
LJXNPKM4	JX	JXNPKM	NPKM	RS	LJXNPKM	P	JXL	YD13	77d
LJXNPKM5	JX	JXNPKM	NPKM	RS	LJXNPKM	P	JXL	YD13	77d
LJXNPKM6	JX	JXNPKM	NPKM	RS	LJXNPKM	P	JXL	YD13	77d
LJXNPKM7	JX	JXNPKM	NPKM	RS	LJXNPKM	P	JXL	YD13	77d
LJXNPKM8	JX	JXNPKM	NPKM	RS	LJXNPKM	P	JXL	YD13	77d
LJXNPKM9	JX	JXNPKM	NPKM	RS	LJXNPKM	P	JXL	YD13	77d
LHLCK1	HL	HLCK	CK	BS	LHLCK	P	HLL	KW6	102d
LHLCK2	HL	HLCK	CK	BS	LHLCK	P	HLL	KW6	102d
LHLCK3	HL	HLCK	CK	BS	LHLCK	P	HLL	KW6	102d
LHLCK4	HL	HLCK	CK	BS	LHLCK	P	HLL	KW6	102d
LHLCK5	HL	HLCK	CK	BS	LHLCK	P	HLL	KW6	102d
LHLCK6	HL	HLCK	CK	BS	LHLCK	P	HLL	KW6	102d
LHLCK7	HL	HLCK	CK	BS	LHLCK	P	HLL	KW6	102d
LHLCK9	HL	HLCK	CK	BS	LHLCK	P	HLL	KW6	102d
LHLNPK4	HL	HLNPK	NPK	BS	LHLNPK	P	HLL	KW6	102d
LHLNPK5	HL	HLNPK	NPK	BS	LHLNPK	P	HLL	KW6	102d
LHLNPK6	HL	HLNPK	NPK	BS	LHLNPK	P	HLL	KW6	102d
LHLNPK7	HL	HLNPK	NPK	BS	LHLNPK	P	HLL	KW6	102d
LHLNPK8	HL	HLNPK	NPK	BS	LHLNPK	P	HLL	KW6	102d
LHLNPK9	HL	HLNPK	NPK	BS	LHLNPK	P	HLL	KW6	102d
LHLNPKM1	HL	HLNPKM	NPKM	BS	LHLNPKM	P	HLL	KW6	102d
LHLNPKM2	HL	HLNPKM	NPKM	BS	LHLNPKM	P	HLL	KW6	102d
LHLNPKM3	HL	HLNPKM	NPKM	BS	LHLNPKM	P	HLL	KW6	102d
LHLNPKM4	HL	HLNPKM	NPKM	BS	LHLNPKM	P	HLL	KW6	102d
LHLNPKM5	HL	HLNPKM	NPKM	BS	LHLNPKM	P	HLL	KW6	102d
LHLNPKM6	HL	HLNPKM	NPKM	BS	LHLNPKM	P	HLL	KW6	102d
LHLNPKM7	HL	HLNPKM	NPKM	BS	LHLNPKM	P	HLL	KW6	102d
LHLNPKM8	HL	HLNPKM	NPKM	BS	LHLNPKM	P	HLL	KW6	102d
LHLNPKM9	HL	HLNPKM	NPKM	BS	LHLNPKM	P	HLL	KW6	102d
LEJXCK1	JX	JXCK	CK	RS	LEJXCK	LE	JXLE	YD13	77d
LEJXCK2	JX	JXCK	CK	RS	LEJXCK	LE	JXLE	YD13	77d
LEJXCK3	JX	JXCK	CK	RS	LEJXCK	LE	JXLE	YD13	77d
LEJXCK4	JX	JXCK	CK	RS	LEJXCK	LE	JXLE	YD13	77d
LEJXCK5	JX	JXCK	CK	RS	LEJXCK	LE	JXLE	YD13	77d
LEJXCK6	JX	JXCK	CK	RS	LEJXCK	LE	JXLE	YD13	77d
LEJXCK7	JX	JXCK	CK	RS	LEJXCK	LE	JXLE	YD13	77d
LEJXCK8	JX	JXCK	CK	RS	LEJXCK	LE	JXLE	YD13	77d
LEJXCK9	JX	JXCK	CK	RS	LEJXCK	LE	JXLE	YD13	77d
LEJXNPK1	JX	JXNPK	NPK	RS	LEJXNPK	LE	JXLE	YD13	77d
LEJXNPK2	JX	JXNPK	NPK	RS	LEJXNPK	LE	JXLE	YD13	77d
LEJXNPK3	JX	JXNPK	NPK	RS	LEJXNPK	LE	JXLE	YD13	77d
LEJXNPK4	JX	JXNPK	NPK	RS	LEJXNPK	LE	JXLE	YD13	77d
LEJXNPK5	JX	JXNPK	NPK	RS	LEJXNPK	LE	JXLE	YD13	77d
LEJXNPK6	JX	JXNPK	NPK	RS	LEJXNPK	LE	JXLE	YD13	77d
LEJXNPK7	JX	JXNPK	NPK	RS	LEJXNPK	LE	JXLE	YD13	77d
LEJXNPK8	JX	JXNPK	NPK	RS	LEJXNPK	LE	JXLE	YD13	77d
LEJXNPK9	JX	JXNPK	NPK	RS	LEJXNPK	LE	JXLE	YD13	77d
LEJXNPKM1	JX	JXNPKM	NPKM	RS	LEJXNPKM	LE	JXLE	YD13	77d
LEJXNPKM2	JX	JXNPKM	NPKM	RS	LEJXNPKM	LE	JXLE	YD13	77d
LEJXNPKM3	JX	JXNPKM	NPKM	RS	LEJXNPKM	LE	JXLE	YD13	77d
LEJXNPKM4	JX	JXNPKM	NPKM	RS	LEJXNPKM	LE	JXLE	YD13	77d
LEJXNPKM5	JX	JXNPKM	NPKM	RS	LEJXNPKM	LE	JXLE	YD13	77d
LEJXNPKM6	JX	JXNPKM	NPKM	RS	LEJXNPKM	LE	JXLE	YD13	77d
LEJXNPKM7	JX	JXNPKM	NPKM	RS	LEJXNPKM	LE	JXLE	YD13	77d
LEJXNPKM8	JX	JXNPKM	NPKM	RS	LEJXNPKM	LE	JXLE	YD13	77d
LEJXNPKM9	JX	JXNPKM	NPKM	RS	LEJXNPKM	LE	JXLE	YD13	77d
LEHLCK1	HL	HLCK	CK	BS	LEHLCK	LE	HLLE	KW6	102d
LEHLCK2	HL	HLCK	CK	BS	LEHLCK	LE	HLLE	KW6	102d
LEHLCK3	HL	HLCK	CK	BS	LEHLCK	LE	HLLE	KW6	102d
LEHLCK4	HL	HLCK	CK	BS	LEHLCK	LE	HLLE	KW6	102d
LEHLCK5	HL	HLCK	CK	BS	LEHLCK	LE	HLLE	KW6	102d
LEHLCK6	HL	HLCK	CK	BS	LEHLCK	LE	HLLE	KW6	102d
LEHLCK7	HL	HLCK	CK	BS	LEHLCK	LE	HLLE	KW6	102d
LEHLCK8	HL	HLCK	CK	BS	LEHLCK	LE	HLLE	KW6	102d
LEHLCK9	HL	HLCK	CK	BS	LEHLCK	LE	HLLE	KW6	102d
LEHLNPK1	HL	HLNPK	NPK	BS	LEHLNPK	LE	HLLE	KW6	102d
LEHLNPK2	HL	HLNPK	NPK	BS	LEHLNPK	LE	HLLE	KW6	102d
LEHLNPK3	HL	HLNPK	NPK	BS	LEHLNPK	LE	HLLE	KW6	102d
LEHLNPK4	HL	HLNPK	NPK	BS	LEHLNPK	LE	HLLE	KW6	102d
LEHLNPK5	HL	HLNPK	NPK	BS	LEHLNPK	LE	HLLE	KW6	102d
LEHLNPK6	HL	HLNPK	NPK	BS	LEHLNPK	LE	HLLE	KW6	102d
LEHLNPK7	HL	HLNPK	NPK	BS	LEHLNPK	LE	HLLE	KW6	102d
LEHLNPK8	HL	HLNPK	NPK	BS	LEHLNPK	LE	HLLE	KW6	102d
LEHLNPK9	HL	HLNPK	NPK	BS	LEHLNPK	LE	HLLE	KW6	102d
LEHLNPKM2	HL	HLNPKM	NPKM	BS	LEHLNPKM	LE	HLLE	KW6	102d
LEHLNPKM3	HL	HLNPKM	NPKM	BS	LEHLNPKM	LE	HLLE	KW6	102d
LEHLNPKM4	HL	HLNPKM	NPKM	BS	LEHLNPKM	LE	HLLE	KW6	102d
LEHLNPKM5	HL	HLNPKM	NPKM	BS	LEHLNPKM	LE	HLLE	KW6	102d
LEHLNPKM6	HL	HLNPKM	NPKM	BS	LEHLNPKM	LE	HLLE	KW6	102d
LEHLNPKM7	HL	HLNPKM	NPKM	BS	LEHLNPKM	LE	HLLE	KW6	102d
LEHLNPKM8	HL	HLNPKM	NPKM	BS	LEHLNPKM	LE	HLLE	KW6	102d
LEHLNPKM9	HL	HLNPKM	NPKM	BS	LEHLNPKM	LE	HLLE	KW6	102d
XEJXCK1	JX	JXCK	CK	RS	XEJXCK	VE	JXXE	YD13	77d
XEJXCK2	JX	JXCK	CK	RS	XEJXCK	VE	JXXE	YD13	77d
XEJXCK3	JX	JXCK	CK	RS	XEJXCK	VE	JXXE	YD13	77d
XEJXCK4	JX	JXCK	CK	RS	XEJXCK	VE	JXXE	YD13	77d
XEJXCK5	JX	JXCK	CK	RS	XEJXCK	VE	JXXE	YD13	77d
XEJXCK6	JX	JXCK	CK	RS	XEJXCK	VE	JXXE	YD13	77d
XEJXCK7	JX	JXCK	CK	RS	XEJXCK	VE	JXXE	YD13	77d
XEJXCK8	JX	JXCK	CK	RS	XEJXCK	VE	JXXE	YD13	77d
XEJXCK9	JX	JXCK	CK	RS	XEJXCK	VE	JXXE	YD13	77d
XEJXNPK1	JX	JXNPK	NPK	RS	XEJXNPK	VE	JXXE	YD13	77d
XEJXNPK2	JX	JXNPK	NPK	RS	XEJXNPK	VE	JXXE	YD13	77d
XEJXNPK3	JX	JXNPK	NPK	RS	XEJXNPK	VE	JXXE	YD13	77d
XEJXNPK4	JX	JXNPK	NPK	RS	XEJXNPK	VE	JXXE	YD13	77d
XEJXNPK5	JX	JXNPK	NPK	RS	XEJXNPK	VE	JXXE	YD13	77d
XEJXNPK6	JX	JXNPK	NPK	RS	XEJXNPK	VE	JXXE	YD13	77d
XEJXNPK7	JX	JXNPK	NPK	RS	XEJXNPK	VE	JXXE	YD13	77d
XEJXNPK8	JX	JXNPK	NPK	RS	XEJXNPK	VE	JXXE	YD13	77d
XEJXNPK9	JX	JXNPK	NPK	RS	XEJXNPK	VE	JXXE	YD13	77d
XEJXNPKM1	JX	JXNPKM	NPKM	RS	XEJXNPKM	VE	JXXE	YD13	77d
XEJXNPKM2	JX	JXNPKM	NPKM	RS	XEJXNPKM	VE	JXXE	YD13	77d
XEJXNPKM3	JX	JXNPKM	NPKM	RS	XEJXNPKM	VE	JXXE	YD13	77d
XEJXNPKM4	JX	JXNPKM	NPKM	RS	XEJXNPKM	VE	JXXE	YD13	77d
XEJXNPKM5	JX	JXNPKM	NPKM	RS	XEJXNPKM	VE	JXXE	YD13	77d
XEJXNPKM6	JX	JXNPKM	NPKM	RS	XEJXNPKM	VE	JXXE	YD13	77d
XEJXNPKM7	JX	JXNPKM	NPKM	RS	XEJXNPKM	VE	JXXE	YD13	77d
XEJXNPKM8	JX	JXNPKM	NPKM	RS	XEJXNPKM	VE	JXXE	YD13	77d
XEJXNPKM9	JX	JXNPKM	NPKM	RS	XEJXNPKM	VE	JXXE	YD13	77d
XEHLCK1	HL	HLCK	CK	BS	XEHLCK	VE	HLXE	KW6	102d
XEHLCK2	HL	HLCK	CK	BS	XEHLCK	VE	HLXE	KW6	102d
XEHLCK3	HL	HLCK	CK	BS	XEHLCK	VE	HLXE	KW6	102d
XEHLNPK2	HL	HLNPK	NPK	BS	XEHLNPK	VE	HLXE	KW6	102d
XEHLNPK3	HL	HLNPK	NPK	BS	XEHLNPK	VE	HLXE	KW6	102d
XEHLNPKM1	HL	HLNPKM	NPKM	BS	XEHLNPKM	VE	HLXE	KW6	102d
XEHLNPKM2	HL	HLNPKM	NPKM	BS	XEHLNPKM	VE	HLXE	KW6	102d
XEHLNPKM3	HL	HLNPKM	NPKM	BS	XEHLNPKM	VE	HLXE	KW6	102d
SEJXCK1	JX	JXCK	CK	RS	SEJXCK	SE	JXSE	YD13	77d
SEJXCK2	JX	JXCK	CK	RS	SEJXCK	SE	JXSE	YD13	77d
SEJXCK3	JX	JXCK	CK	RS	SEJXCK	SE	JXSE	YD13	77d
SEJXCK4	JX	JXCK	CK	RS	SEJXCK	SE	JXSE	YD13	77d
SEJXCK5	JX	JXCK	CK	RS	SEJXCK	SE	JXSE	YD13	77d
SEJXCK6	JX	JXCK	CK	RS	SEJXCK	SE	JXSE	YD13	77d
SEJXCK7	JX	JXCK	CK	RS	SEJXCK	SE	JXSE	YD13	77d
SEJXCK9	JX	JXCK	CK	RS	SEJXCK	SE	JXSE	YD13	77d
SEJXNPK1	JX	JXNPK	NPK	RS	SEJXNPK	SE	JXSE	YD13	77d
SEJXNPK2	JX	JXNPK	NPK	RS	SEJXNPK	SE	JXSE	YD13	77d
SEJXNPK3	JX	JXNPK	NPK	RS	SEJXNPK	SE	JXSE	YD13	77d
SEJXNPK4	JX	JXNPK	NPK	RS	SEJXNPK	SE	JXSE	YD13	77d
