OTUID	Kingdom	Phylum	Class	Order	Family	Genus	Species	KO1	KO2	KO3	KO4	KO5	KO6	OE1	OE2	OE3	OE4	OE5	OE6	WT1	WT2	WT3	WT4	WT5	WT6
ASV_1237	Bacteria	Proteobacteria	Alphaproteobacteria	Rhizobiales	Unassigned	Unassigned	Unassigned	4	4	5	5	3	6	6	2	2	1	1	2	2	3	2	2	2	6
ASV_1267	Bacteria	Bacteroidetes	Cytophagia	Cytophagales	Unassigned	Unassigned	Unassigned	3	2	0	0	1	1	8	3	4	3	2	4	12	5	3	4	3	0
ASV_1278	Bacteria	Proteobacteria	Betaproteobacteria	Burkholderiales	Burkholderiales_incertae_sedis	Aquabacterium	Aquabacterium_commune	5	0	0	1	3	7	2	2	3	9	11	0	1	0	4	3	2	5
ASV_1280	Bacteria	Proteobacteria	Betaproteobacteria	Burkholderiales	Comamonadaceae	Schlegelella	Schlegelella_aquatica	7	4	2	5	7	5	1	1	0	2	3	4	0	4	4	4	3	2
ASV_1423	Bacteria	Actinobacteria	Actinobacteria	Solirubrobacterales	Unassigned	Unassigned	Unassigned	5	3	0	0	1	5	1	1	0	1	5	5	3	5	6	6	8	3
ASV_1430	Bacteria	Actinobacteria	Actinobacteria	Gaiellales	Gaiellaceae	Gaiella	Gaiella_occulta	4	7	4	3	6	3	1	1	3	0	4	3	2	2	4	3	6	2
ASV_1567	Bacteria	Proteobacteria	Gammaproteobacteria	Xanthomonadales	Sinobacteraceae	Steroidobacter	Steroidobacter_denitrificans	0	0	6	10	1	1	7	2	5	7	2	5	2	0	4	3	0	3
ASV_1625	Bacteria	Proteobacteria	Betaproteobacteria	Burkholderiales	Unassigned	Unassigned	Unassigned	5	4	2	3	0	2	6	1	3	4	2	6	3	3	4	2	5	3
ASV_1836	Bacteria	Actinobacteria	Actinobacteria	Solirubrobacterales	Solirubrobacteraceae	Solirubrobacter	Unassigned	5	4	3	2	0	3	3	2	7	3	3	4	1	2	6	1	5	4
ASV_2099	Bacteria	Bacteroidetes	Cytophagia	Cytophagales	Unassigned	Ohtaekwangia	Ohtaekwangia_kribbensis	6	3	2	0	2	0	6	4	3	7	2	4	2	1	3	8	0	5
ASV_2116	Bacteria	Proteobacteria	Unassigned	Unassigned	Unassigned	Unassigned	Unassigned	3	3	1	4	1	4	5	3	5	3	6	3	1	1	3	5	2	5
ASV_2259	Bacteria	Proteobacteria	Gammaproteobacteria	Xanthomonadales	Xanthomonadaceae	Unassigned	Unassigned	4	4	4	4	1	3	6	5	0	2	7	3	1	1	1	3	5	4
ASV_2766	Bacteria	Firmicutes	Bacilli	Bacillales	Planococcaceae	Unassigned	Unassigned	3	6	1	3	5	1	3	1	2	3	2	10	2	1	3	4	3	5
ASV_1119	Bacteria	Proteobacteria	Gammaproteobacteria	Unassigned	Unassigned	Unassigned	Unassigned	4	0	35	1	0	0	2	5	0	0	0	7	0	3	0	0	0	0
ASV_1141	Bacteria	Acidobacteria	Acidobacteria_Gp10	Unassigned	Unassigned	Gp10	Unassigned	7	3	0	0	2	0	4	1	3	4	1	6	6	7	5	6	0	2
ASV_1187	Bacteria	Actinobacteria	Actinobacteria	Solirubrobacterales	Conexibacteraceae	Conexibacter	Conexibacter_arvalis	1	6	1	0	1	4	2	10	6	3	3	3	1	4	4	4	2	2
ASV_1196	Bacteria	Unassigned	Unassigned	Unassigned	Unassigned	Unassigned	Unassigned	8	2	2	2	0	5	3	1	3	0	2	4	8	7	5	1	1	3
ASV_1200	Bacteria	Bacteroidetes	Sphingobacteriia	Sphingobacteriales	Chitinophagaceae	Niastella	Unassigned	1	2	1	0	1	0	9	6	7	4	1	6	3	4	5	3	1	3
ASV_1220	Bacteria	Proteobacteria	Betaproteobacteria	Unassigned	Unassigned	Unassigned	Unassigned	4	2	2	3	3	1	4	5	5	3	5	3	1	3	1	5	2	5
ASV_1222	Bacteria	Proteobacteria	Betaproteobacteria	Burkholderiales	Unassigned	Unassigned	Unassigned	3	5	2	3	2	4	3	0	2	4	4	5	3	2	2	3	3	7
ASV_1256	Bacteria	Actinobacteria	Actinobacteria	Solirubrobacterales	Solirubrobacteraceae	Solirubrobacter	Solirubrobacter_taibaiensis	4	6	1	2	3	3	2	3	2	2	4	9	2	1	5	2	2	4
ASV_1265	Bacteria	Unassigned	Unassigned	Unassigned	Unassigned	Unassigned	Unassigned	7	1	2	2	2	1	4	4	2	3	9	5	3	3	3	3	3	0
ASV_1314	Bacteria	Proteobacteria	Alphaproteobacteria	Rhizobiales	Hyphomicrobiaceae	Pedomicrobium	Pedomicrobium_manganicum	0	0	6	1	2	4	4	2	2	6	7	3	2	7	4	1	1	5
ASV_1333	Bacteria	Proteobacteria	Unassigned	Unassigned	Unassigned	Unassigned	Unassigned	3	1	0	0	0	1	5	3	3	5	6	5	6	6	1	3	4	5
ASV_1345	Bacteria	Proteobacteria	Alphaproteobacteria	Caulobacterales	Caulobacteraceae	Brevundimonas	Brevundimonas_aveniformis	0	0	4	1	5	3	0	9	1	8	1	1	1	1	6	4	6	6
ASV_1361	Bacteria	Proteobacteria	Unassigned	Unassigned	Unassigned	Unassigned	Unassigned	3	7	1	2	1	2	4	4	0	1	5	1	6	4	4	4	4	4
ASV_1370	Bacteria	Planctomycetes	Planctomycetia	Planctomycetales	Planctomycetaceae	Blastopirellula	Unassigned	0	2	11	0	1	0	9	7	5	1	1	7	3	2	6	1	0	1
ASV_1483	Bacteria	Proteobacteria	Alphaproteobacteria	Rhizobiales	Brucellaceae	Ochrobactrum	Unassigned	1	0	12	0	4	11	1	1	0	2	2	0	1	7	0	5	7	3
ASV_1497	Bacteria	Firmicutes	Bacilli	Bacillales	Bacillaceae_1	Bacillus	Unassigned	2	1	0	1	0	2	8	4	5	2	6	11	6	1	5	2	0	1
ASV_1754	Bacteria	Actinobacteria	Actinobacteria	Actinomycetales	Nocardioidaceae	Marmoricola	Marmoricola_bigeumensis	3	8	8	1	0	2	1	7	2	4	3	2	1	1	5	1	6	2
ASV_1871	Bacteria	Proteobacteria	Alphaproteobacteria	Rhodobacterales	Rhodobacteraceae	Amaricoccus	Amaricoccus_tamworthensis	2	1	6	4	1	3	7	2	6	3	2	3	2	4	2	5	0	4
ASV_1979	Bacteria	Proteobacteria	Gammaproteobacteria	Unassigned	Unassigned	Unassigned	Unassigned	4	1	7	1	5	18	4	4	0	0	1	3	0	0	4	3	0	2
ASV_2798	Bacteria	Proteobacteria	Alphaproteobacteria	Rhodobacterales	Rhodobacteraceae	Amaricoccus	Unassigned	8	2	2	3	2	5	4	3	2	3	7	3	1	1	3	5	2	1
ASV_1042	Bacteria	Actinobacteria	Actinobacteria	Acidimicrobiales	Iamiaceae	Aquihabitans	Aquihabitans_daechungensis	1	3	1	0	0	0	2	3	2	5	8	11	4	3	2	5	3	3
ASV_1091	Bacteria	Proteobacteria	Alphaproteobacteria	Rhodospirillales	Rhodospirillaceae	Dongia	Dongia_mobilis	2	2	2	1	0	7	4	2	1	9	8	2	4	2	4	3	2	1
ASV_1188	Bacteria	Actinobacteria	Actinobacteria	Actinomycetales	Micrococcaceae	Arthrobacter	Unassigned	0	2	0	3	1	4	2	6	1	4	11	4	4	0	2	1	5	6
ASV_1197	Bacteria	Actinobacteria	Actinobacteria	Unassigned	Unassigned	Unassigned	Unassigned	1	3	2	1	1	1	3	8	4	0	5	3	1	8	6	2	4	3
ASV_1198	Bacteria	Chloroflexi	Unassigned	Unassigned	Unassigned	Unassigned	Unassigned	2	3	1	1	0	0	7	7	1	8	4	2	7	0	6	2	3	2
ASV_1229	Bacteria	Proteobacteria	Deltaproteobacteria	Myxococcales	Unassigned	Unassigned	Unassigned	0	3	3	4	1	1	4	6	5	3	5	2	7	1	1	2	5	3
ASV_1258	Bacteria	Proteobacteria	Unassigned	Unassigned	Unassigned	Unassigned	Unassigned	6	1	0	2	3	4	3	1	2	2	2	7	3	2	7	6	1	4
ASV_1291	Bacteria	Bacteroidetes	Flavobacteriia	Flavobacteriales	Flavobacteriaceae	Flavobacterium	Unassigned	0	0	7	0	13	0	0	21	10	0	2	1	0	2	0	0	0	0
ASV_1312	Bacteria	Actinobacteria	Actinobacteria	Actinomycetales	Streptomycetaceae	Streptomyces	Unassigned	0	2	0	0	2	6	0	1	3	0	2	3	5	0	0	3	25	4
ASV_1404	Bacteria	Proteobacteria	Betaproteobacteria	Unassigned	Unassigned	Unassigned	Unassigned	0	1	0	0	1	6	1	8	3	12	2	3	2	2	9	0	2	4
ASV_1507	Bacteria	Proteobacteria	Deltaproteobacteria	Myxococcales	Polyangiaceae	Unassigned	Unassigned	3	1	7	2	1	6	2	2	3	2	0	6	0	3	9	3	5	1
ASV_1589	Bacteria	Proteobacteria	Gammaproteobacteria	Xanthomonadales	Sinobacteraceae	Steroidobacter	Unassigned	3	6	3	3	3	4	2	3	3	1	3	3	3	1	6	3	3	3
ASV_1718	Bacteria	Actinobacteria	Actinobacteria	Actinomycetales	Nocardioidaceae	Aeromicrobium	Unassigned	1	6	6	6	4	5	1	1	1	3	4	5	0	0	1	4	2	6
ASV_1936	Bacteria	Proteobacteria	Betaproteobacteria	Unassigned	Unassigned	Unassigned	Unassigned	6	4	1	2	1	2	4	2	0	5	5	4	4	0	6	3	3	4
ASV_2073	Bacteria	Proteobacteria	Alphaproteobacteria	Rhizobiales	Phyllobacteriaceae	Mesorhizobium	Unassigned	2	1	0	2	2	2	2	2	0	3	2	1	0	2	4	14	10	7
