"","from","to","r","FDR","linecolor","linesize"
"358","Species40","Species03",0,1,"negative",0
"359","Species41","Species03",0,1,"negative",0
"360","Species42","Species03",0,1,"negative",0
"361","Species43","Species03",0,1,"negative",0
"362","Species44","Species03",0,1,"negative",0
"363","Species45","Species03",0,1,"negative",0
"364","Species46","Species03",NA,NA,NA,NA
"365","Species47","Species03",0,1,"negative",0
"366","Species48","Species03",0,0.579612573398307,"negative",0
"367","Species49","Species03",0,1,"negative",0
"368","Species50","Species03",0,1,"negative",0
"369","Species51","Species03",0.569678481572403,0.200908213965267,"positive",0.569678481572403
"370","Species52","Species03",0,1,"negative",0
"371","Species53","Species03",-0.453770295357468,0.486973278051606,"negative",0.453770295357468
"372","Species54","Species03",0,0.688969712579204,"negative",0
"373","Species55","Species03",0,1,"negative",0
"374","Species56","Species03",0,0.827597821077241,"negative",0
"375","Species57","Species03",0,0.634591802098333,"negative",0
"376","Species58","Species03",0,1,"negative",0
"377","Species59","Species03",0,0.738329216823369,"negative",0
"378","Species60","Species03",0,1,"negative",0
"379","Species61","Species03",0,1,"negative",0
"380","Species62","Species03",NA,NA,NA,NA
"381","Species63","Species03",0,1,"negative",0
"382","Species64","Species03",0,0.947954097472687,"negative",0
"383","Species65","Species03",0,1,"negative",0
"384","Species66","Species03",0,1,"negative",0
"385","Species67","Species03",0,1,"negative",0
"386","Species68","Species03",0,0.90861297384763,"negative",0
"387","Species69","Species03",0,0.585355121166841,"negative",0
"388","Species70","Species03",0,1,"negative",0
"389","Species71","Species03",NA,NA,NA,NA
"390","Species72","Species03",0,1,"negative",0
"391","Species73","Species03",0,1,"negative",0
"392","Species74","Species03",0,1,"negative",0
"393","Species75","Species03",0,1,"negative",0
"394","Species76","Species03",0,1,"negative",0
"395","Species77","Species03",0,1,"negative",0
"396","Species78","Species03",0,0.811501416179006,"negative",0
"397","Species79","Species03",0,1,"negative",0
"398","Species80","Species03",-0.456355342764989,0.478996821188134,"negative",0.456355342764989
"399","Species81","Species03",0,1,"negative",0
"400","Species82","Species03",0,1,"negative",0
"401","Species83","Species03",0,0.854406905559831,"negative",0
"402","Species84","Species03",0,1,"negative",0
"403","Species85","Species03",NA,NA,NA,NA
"404","Species86","Species03",0,1,"negative",0
"405","Species87","Species03",0,0.578133970432833,"negative",0
"406","Species88","Species03",0,1,"negative",0
"407","Species89","Species03",0,1,"negative",0
"408","Species90","Species03",0,1,"negative",0
"409","Species91","Species03",0,1,"negative",0
"410","Species92","Species03",0,1,"negative",0
"411","Species93","Species03",0,1,"negative",0
"412","Species94","Species03",0,0.825020242440641,"negative",0
"413","Species95","Species03",0,0.679471100069203,"negative",0
"414","Species96","Species03",0.52987012987013,0.284596658162148,"positive",0.52987012987013
"415","Species97","Species03",0,1,"negative",0
"416","Species98","Species03",0,1,"negative",0
"417","Species99","Species03",0,1,"negative",0
"418","Species100","Species03",0,1,"negative",0
"419","Species101","Species03",0,1,"negative",0
"420","Species102","Species03",0,0.904537108713928,"negative",0
"421","Species103","Species03",0,1,"negative",0
"422","Species104","Species03",0.688397477808656,0.036575402912832,"positive",0.688397477808656
"423","Species105","Species03",0,1,"negative",0
"424","Species106","Species03",0,1,"negative",0
"425","Species107","Species03",0,1,"negative",0
"426","Species108","Species03",0,1,"negative",0
"427","Species109","Species03",0,1,"negative",0
"428","Species110","Species03",NA,NA,NA,NA
"429","Species111","Species03",0,1,"negative",0
"430","Species112","Species03",0,0.84515500877423,"negative",0
"431","Species113","Species03",0.894224718885817,1.34619914433745e-05,"positive",0.894224718885817
"432","Species114","Species03",0,1,"negative",0
"433","Species115","Species03",0.716883116883117,0.020848426590794,"positive",0.716883116883117
"434","Species116","Species03",0,0.579612573398307,"negative",0
"435","Species117","Species03",0.652499449824769,0.0695728499762252,"positive",0.652499449824769
"436","Species118","Species03",0,1,"negative",0
"437","Species119","Species03",0.718474754612374,0.0200421969500376,"positive",0.718474754612374
"438","Species120","Species03",0.856585233201146,0.000155973899969388,"positive",0.856585233201146
"439","K00001","Species03",0,0.964102356827284,"negative",0
"440","K00002","Species03",0,1,"negative",0
"441","K00003","Species03",0,1,"negative",0
"442","K00004","Species03",0,1,"negative",0
"443","K00005","Species03",0,0.731384864159848,"negative",0
"444","K00006","Species03",0,1,"negative",0
