"","from","to","r","linecolor","linesize"
"1210","KO0027","Species45",-0.34084561836544,"negative",0.34084561836544
"1331","KO0013","Species50",0.357151419837988,"positive",0.357151419837988
"1342","KO0024","Species50",0.443692547246111,"positive",0.443692547246111
"1358","KO0013","Species51",0.375809493022175,"positive",0.375809493022175
"1367","KO0022","Species51",0.335829207084308,"positive",0.335829207084308
"1369","KO0024","Species51",0.478462497010982,"positive",0.478462497010982
"1480","KO0027","Species55",0.317668504716351,"positive",0.317668504716351
"1548","KO0014","Species58",0.369839769314019,"positive",0.369839769314019
"1549","KO0015","Species58",0.324917390791388,"positive",0.324917390791388
"1550","KO0016","Species58",0.370363541229919,"positive",0.370363541229919
"1553","KO0019","Species58",0.305547858490534,"positive",0.305547858490534
"1557","KO0023","Species58",0.401942991989896,"positive",0.401942991989896
"1560","KO0026","Species58",0.309755948197321,"positive",0.309755948197321
"1561","KO0027","Species58",0.352353065881153,"positive",0.352353065881153
"1566","KO0039","Species58",0.379497571570152,"positive",0.379497571570152
"1594","KO0001","Species60",0.573196134110665,"positive",0.573196134110665
"1595","KO0002","Species60",0.718946382313171,"positive",0.718946382313171
"1599","KO0011","Species60",0.693284760504279,"positive",0.693284760504279
"1600","KO0012","Species60",0.683060733031447,"positive",0.683060733031447
"1602","KO0014","Species60",0.787387445650341,"positive",0.787387445650341
"1603","KO0015","Species60",0.850453632050609,"positive",0.850453632050609
"1604","KO0016","Species60",0.872945696103212,"positive",0.872945696103212
"1606","KO0018","Species60",0.509227250991637,"positive",0.509227250991637
"1607","KO0019","Species60",0.844759186870209,"positive",0.844759186870209
"1608","KO0020","Species60",0.589223423102079,"positive",0.589223423102079
"1611","KO0023","Species60",0.905218569567721,"positive",0.905218569567721
"1612","KO0024","Species60",-0.302232224263429,"negative",0.302232224263429
"1613","KO0025","Species60",0.593012844250279,"positive",0.593012844250279
"1614","KO0026","Species60",0.788270037171963,"positive",0.788270037171963
"1615","KO0027","Species60",0.862513855720646,"positive",0.862513855720646
"1620","KO0039","Species60",0.916388366379616,"positive",0.916388366379616
"1760","KO0005","Species66",0.324972708337693,"positive",0.324972708337693
"1763","KO0013","Species66",0.401586369878543,"positive",0.401586369878543
"1780","KO0037","Species66",0.300724213899686,"positive",0.300724213899686
"1839","KO0003","Species69",0.342631577311326,"positive",0.342631577311326
"1840","KO0004","Species69",0.342555357119099,"positive",0.342555357119099
"1841","KO0005","Species69",0.355688499900084,"positive",0.355688499900084
"1853","KO0022","Species69",0.306963515267785,"positive",0.306963515267785
"1855","KO0024","Species69",0.37893141673668,"positive",0.37893141673668
"2071","KO0024","Species77",0.303670527319487,"positive",0.303670527319487
"2177","KO0022","Species81",0.310400308587884,"positive",0.310400308587884
"2185","KO0037","Species81",0.347574022990282,"positive",0.347574022990282
"2188","KO0001","Species82",0.355995063473874,"positive",0.355995063473874
"2189","KO0002","Species82",0.403766665229015,"positive",0.403766665229015
"2193","KO0011","Species82",0.480620138144742,"positive",0.480620138144742
"2200","KO0018","Species82",0.577282316776266,"positive",0.577282316776266
"2222","KO0013","Species83",0.363128736843353,"positive",0.363128736843353
"2239","KO0037","Species83",0.317347978114542,"positive",0.317347978114542
"2303","KO0013","Species86",0.31160012919262,"positive",0.31160012919262
"2314","KO0024","Species86",0.412433736299292,"positive",0.412433736299292
