ERR525698	ERR525693	ERR525688	ERR525699	ERR525910	ERR525909	ERR525908	ERR525911	ERR525954	ERR525949
taxa_92	0	0	0	0	0	0	0	0	0	0
taxa_93	0	0	0	0	0	0	0	0	0	0
taxa_94	0	0	0	0	0	0	0	0	0	0
taxa_95	0	0	0	0	0	0	0	0	0	0
taxa_96	0	0	0	0	0	0	0	0	0	0
taxa_97	0	0	0	0	0	0	0	0	0	0
taxa_98	0	0	0	0	0	0	0	0	0	0
taxa_99	0	0	0	0	0	0	0	0	0	0
taxa_100	0	0	0	0	0	0	0	0	0	0
taxa_101	0	0	0	0	0	0	0	0	0	0
taxa_102	0	0	0	0	0	0	0	0	0	0
taxa_103	0	0	0	0	0	0	0	0	0	0
taxa_104	0	0	0	0	0	0	0	0	0	0
taxa_105	0	0	0	0	0	0	0	0	0	0
taxa_106	0	0	0	0	0	0	0	0	0	0
taxa_107	0	0	0	0	0	0	0	0	0	0
taxa_108	0	0	0	0	0	0	0	0	0	0
taxa_109	0	0	0	0	0	0	0	0	4	0
taxa_110	0	0	0	0	0	0	0	0	0	0
taxa_111	0	0	0	0	0	0	0	0	0	0
taxa_112	0	0	0	0	0	0	0	0	0	0
taxa_113	0	0	0	0	0	0	0	0	0	0
taxa_114	0	0	0	0	0	0	0	0	0	0
taxa_115	0	0	0	0	0	0	0	0	0	0
taxa_116	0	0	0	0	0	0	0	0	0	0
taxa_117	0	0	0	0	0	0	0	0	0	0
taxa_118	0	0	0	0	0	0	0	0	0	0
taxa_119	0	0	0	4	1	0	7	2	0	0
taxa_120	0	0	3	1	1	1	1	0	11	1
taxa_121	0	0	0	0	0	0	0	0	0	0
taxa_122	0	0	0	0	0	0	0	0	0	0
taxa_123	2	0	0	0	2	0	0	2	0	0
taxa_124	0	0	0	0	0	0	0	0	0	0
taxa_125	0	0	0	0	0	0	0	0	0	0
taxa_126	0	0	0	0	0	0	0	0	0	0
taxa_127	0	8	0	0	0	2	4	0	1	0
taxa_128	0	0	0	1	0	0	0	0	1	0
taxa_129	0	0	0	0	0	0	0	0	0	0
taxa_130	0	0	0	0	0	0	0	0	0	0
taxa_131	0	0	0	0	0	0	0	0	0	0
taxa_132	0	0	0	0	0	0	0	0	0	0
taxa_133	0	0	0	0	0	0	0	0	0	0
taxa_134	0	0	0	0	0	0	0	0	0	0
taxa_135	0	0	0	0	0	0	1	0	0	0
taxa_136	0	0	0	0	0	0	0	0	0	0
taxa_137	0	2	10	1	0	4	10	3	4	0
taxa_138	0	0	0	0	0	0	0	0	0	0
taxa_139	0	0	0	0	0	0	0	0	0	0
taxa_140	0	0	0	0	0	0	0	0	0	0
taxa_141	0	0	0	0	0	1	0	0	0	0
taxa_142	0	0	0	0	0	0	0	0	0	0
taxa_143	0	0	0	0	0	0	0	0	0	0
taxa_144	0	0	0	0	0	0	0	0	0	0
taxa_145	0	0	0	0	0	0	0	0	0	0
taxa_146	0	0	0	0	0	0	0	0	0	0
taxa_147	0	0	0	0	0	0	0	0	0	0
taxa_148	0	0	0	0	0	0	0	0	0	0
taxa_149	0	0	0	0	0	0	0	0	0	0
taxa_150	0	0	0	0	0	0	0	0	0	0
taxa_151	0	0	0	0	0	0	0	0	1	0
taxa_152	0	0	0	0	0	0	0	0	0	0
taxa_153	0	1	0	0	0	0	0	0	3	0
taxa_154	0	0	0	0	0	0	0	0	0	0
taxa_155	0	9	12	10	4	6	11	3	112	54
taxa_156	0	0	0	0	0	0	0	0	0	0
taxa_157	0	0	0	0	0	0	0	0	0	0
taxa_158	0	0	0	0	0	0	0	0	0	0
taxa_159	0	0	0	0	0	0	0	0	0	0
taxa_160	0	4	0	0	0	1	0	1	7	1
taxa_161	1	39	10	11	8	20	97	6	135	41
taxa_162	0	0	0	0	0	0	0	0	0	0
taxa_163	0	0	0	0	0	0	0	0	0	0
taxa_164	0	0	0	0	0	0	0	0	0	0
taxa_165	0	0	0	0	0	0	0	0	0	0
taxa_166	0	0	0	0	0	0	0	0	0	0
taxa_167	0	0	0	0	0	0	0	0	0	0
taxa_168	0	0	0	0	0	0	0	0	0	0
taxa_169	0	0	0	0	0	0	0	0	0	0
taxa_170	0	0	0	0	0	0	0	0	0	0
taxa_171	0	0	0	0	0	0	0	0	0	0
taxa_172	0	5	6	4	1	3	9	1	11	6
taxa_173	0	0	0	0	0	0	0	0	0	0
taxa_174	0	0	1	0	0	0	0	0	0	0
taxa_175	0	0	0	0	0	0	0	0	0	0
taxa_176	0	0	0	0	0	0	0	0	0	0
taxa_177	0	0	0	0	0	0	0	0	0	0
taxa_178	0	1	2	3	0	1	1	0	12	8
taxa_179	0	0	0	0	0	0	0	0	0	0
taxa_180	0	0	0	0	0	0	0	0	0	0
taxa_181	0	1	0	1	0	0	0	0	0	0
taxa_182	0	0	0	0	0	0	0	0	0	0
taxa_183	0	0	0	0	0	0	0	0	0	1
taxa_184	0	0	0	0	0	0	0	0	0	0
taxa_185	0	1	0	0	0	0	0	0	0	0
taxa_186	0	0	0	0	0	0	0	0	0	0
taxa_187	0	0	0	0	0	0	0	0	0	0
taxa_188	0	0	0	0	0	0	0	0	0	0
taxa_189	0	0	0	0	0	0	0	0	0	0
taxa_190	0	0	0	0	0	0	0	0	1	0
taxa_191	0	0	0	0	0	0	0	0	0	0
taxa_192	0	0	0	0	0	0	0	0	0	0
taxa_193	0	0	0	0	0	0	0	0	0	0
taxa_194	0	0	0	0	0	0	0	0	0	0
taxa_195	0	0	0	0	0	0	0	0	0	0
taxa_196	0	0	0	0	0	0	0	0	0	0
taxa_197	0	0	0	0	0	0	0	0	0	0
taxa_198	0	0	1	1	0	1	10	0	2	1
taxa_199	0	0	0	0	0	0	0	0	0	0
taxa_200	0	0	0	0	0	0	0	0	0	0
taxa_201	0	2	3	0	1	2	23	0	6	1
taxa_202	0	1	2	1	0	2	1	0	11	4
taxa_203	0	0	0	0	0	0	0	0	0	0
taxa_204	0	0	0	0	0	0	0	0	0	0
taxa_205	0	0	0	0	0	0	0	0	0	0
taxa_206	0	0	1	0	0	0	0	0	0	0
taxa_207	0	0	0	0	0	0	0	0	0	0
taxa_208	0	0	0	0	0	0	0	0	0	0
taxa_209	0	0	0	0	0	0	0	0	0	0
taxa_210	0	0	0	0	0	0	0	0	0	0
taxa_211	0	0	1	0	1	2	4	1	21	8
taxa_212	0	0	0	0	0	0	0	1	0	0
taxa_213	0	0	0	0	0	0	0	0	0	0
taxa_214	0	0	0	0	0	0	0	0	0	0
taxa_215	0	0	0	0	0	0	0	0	0	0
taxa_216	0	0	0	0	0	0	0	0	0	0
taxa_217	0	0	0	0	0	0	0	0	0	0
taxa_218	0	0	0	0	0	0	0	0	0	1
taxa_219	0	0	0	0	0	0	0	0	0	0
taxa_220	0	5	0	0	0	0	0	1	3	1
taxa_221	0	0	0	0	0	1	0	0	0	0
taxa_222	0	0	0	0	0	0	2	0	0	0
taxa_223	0	3	1	0	0	0	0	0	1	0
taxa_224	0	0	0	0	0	0	0	0	0	0
taxa_225	0	0	0	0	0	0	0	0	0	0
taxa_226	0	0	0	0	0	0	0	0	1	0
taxa_227	0	0	0	0	0	0	0	0	0	0
taxa_228	0	0	0	0	0	0	0	0	0	0
taxa_229	0	0	0	0	0	0	0	0	0	0
taxa_230	0	0	0	0	0	0	0	0	0	0
taxa_231	0	0	0	0	0	0	0	0	0	0
taxa_232	0	0	0	0	0	0	0	0	0	0
taxa_233	0	0	0	0	0	0	0	0	0	0
taxa_234	0	0	0	0	0	0	0	0	0	0
taxa_235	0	0	0	0	0	0	0	0	0	0
taxa_236	0	0	0	0	0	0	0	0	0	0
taxa_237	0	0	0	0	0	0	0	0	0	0
taxa_238	9	490	203	151	78	216	1196	30	1198	737
taxa_239	0	0	0	0	0	0	0	0	0	0
taxa_240	0	1	0	0	0	0	0	0	0	0
taxa_241	17	1166	439	370	127	536	4693	74	3860	2685
taxa_242	5	500	872	278	395	325	653	110	3502	867
taxa_243	0	0	1	0	0	0	0	0	1	0
taxa_244	0	14	74	1	1	2	2952	0	13	2
taxa_245	0	1	2	1	0	2	1023	4	4	0
taxa_246	21	2084	322	284	74	734	1479	52	1636	487
taxa_247	0	0	1	3	1	1	64	1	33	26
taxa_248	0	1	0	1	1	0	1	0	25	39
taxa_249	0	2	2	1	0	4	8	0	2	0
taxa_250	0	0	0	0	0	0	0	0	0	0
taxa_251	0	0	0	0	0	0	0	0	0	0
taxa_252	0	0	0	0	0	0	0	0	0	0
taxa_253	0	177	41	60	0	213	312	163	6	214
taxa_254	0	10	1	49	0	3	20	35	0	10
taxa_255	0	0	0	0	0	0	0	0	0	0
taxa_256	0	0	0	0	0	0	0	0	0	0
taxa_257	0	0	0	0	0	0	0	0	0	0
taxa_258	1	202	58	31	0	233	389	61	6	287
taxa_259	2	281	92	51	1	390	647	92	15	439
taxa_260	0	3	0	0	0	8	10	3	0	12
taxa_261	0	14	4	2	0	24	29	7	1	22
taxa_262	0	0	0	0	0	0	0	0	0	0
taxa_263	0	15	4	6	0	3	41	2	1	33
taxa_264	0	0	0	0	0	0	0	0	0	0
taxa_265	0	2	1	5	0	0	1	17	0	2
taxa_266	0	0	0	0	0	0	1	0	0	0
taxa_267	0	0	0	0	0	0	0	0	0	0
taxa_268	0	0	0	0	0	0	0	0	0	0
taxa_269	0	2	0	0	0	2	6	0	1	1
taxa_270	0	0	0	2	0	0	3	3	0	2
taxa_271	0	0	0	0	0	0	0	0	0	0
taxa_272	0	0	0	0	0	0	0	0	0	0
taxa_273	0	0	0	0	0	0	0	0	0	0
taxa_274	0	2	0	0	0	2	1	0	0	0
taxa_275	0	0	0	1	0	0	0	1	0	1
taxa_276	0	0	0	0	0	0	0	1	0	0
taxa_277	0	0	0	0	0	0	0	0	0	0
taxa_278	0	0	0	0	0	0	0	1	0	0
taxa_279	0	0	0	0	0	0	0	0	0	0
taxa_280	0	0	0	0	0	0	0	0	0	0
taxa_281	0	0	0	0	0	0	0	0	0	0
taxa_282	0	0	0	0	0	0	0	0	0	0
taxa_283	0	0	0	0	0	0	0	0	0	0
taxa_284	0	0	0	0	0	0	0	0	0	0
taxa_285	0	0	0	0	0	0	0	0	0	0
taxa_286	0	0	0	0	0	0	0	0	0	0
taxa_287	0	1	0	0	0	0	0	0	0	0
taxa_288	0	0	0	0	0	0	0	0	0	0
taxa_289	0	0	0	0	0	0	0	0	0	0
taxa_290	214	275	233	216	258	234	77	209	36	199
taxa_291	2	0	0	0	0	1	0	0	0	0
taxa_292	0	0	0	0	0	0	0	0	0	0
taxa_293	5	2	6	1	0	3	3	25	0	8
taxa_294	8	14	5	4	11	6	2	2	4	7
taxa_295	18	21	7	2	1	3	6	2	2	20
taxa_296	17667	19566	9036	3292	22799	18242	5199	3676	3743	12965
taxa_297	3	2	18	2	2	1	1	1	2	19
taxa_298	0	0	0	0	3	0	0	0	0	0
taxa_299	3	3	2	43	1	1	3	52	2	13
taxa_300	0	1	1	2	0	0	0	2	0	0
taxa_301	1	3	0	1	0	2	3	0	0	3
taxa_302	3	2	1	0	0	1	1	7	6	33
taxa_303	6313	6718	320	768	3	2368	783	9	9	3123
taxa_304	1	0	0	0	0	1	0	0	0	1
taxa_305	2157	2402	1089	758	3	900	308	21	21	945
taxa_306	1	0	14	23	3	2	5	901	1	0
taxa_307	366	429	1579	69	769	463	152	109	167	1095
taxa_308	1	0	10	5	0	0	0	1	1	3
taxa_309	0	0	0	0	0	0	0	0	0	0
taxa_310	2	1	1	0	1	0	0	1	1	1
taxa_311	0	0	0	0	0	0	0	0	0	0
taxa_312	0	0	0	0	0	0	0	0	0	0
taxa_313	0	0	0	0	0	0	0	0	0	0
taxa_314	25	24	27	41	66	54	7	21	10	40
taxa_315	1	3	1	1	3	1	0	1	0	3
taxa_316	2	3	3	2	6	2	0	0	1	2
taxa_317	0	0	0	0	0	0	0	0	0	0
taxa_318	444	506	54	82	25	182	76	7	2	292
taxa_319	69	49	78	382	18	109	18	369	15	181
taxa_320	1	0	252	4	1	1	0	117	16	398
taxa_321	3	1	0	67	0	0	0	0	0	1
taxa_322	4	2	2	10	3	7	1	17	2	2
taxa_323	0	0	0	0	1	1	0	1	0	0
taxa_324	0	1	5	0	0	0	1	10	1	9
taxa_325	0	0	0	0	0	0	0	0	0	0
taxa_326	0	0	1	0	1	2	0	0	1	0
taxa_327	102	93	127	26	289	1845	235	3229	30	113
taxa_328	2	3	1300	1	5165	9760	1354	14146	549	149
taxa_329	0	0	0	0	0	0	0	0	0	0
taxa_330	15	14	17	2	30	942	88	1680	13	17
taxa_331	1	2	0	0	0	61	5	105	0	0
taxa_332	0	0	0	0	0	2	0	0	0	0
taxa_333	0	0	0	0	0	0	1	0	0	0
taxa_334	0	1	2	1	4	6	0	81	0	0
taxa_335	0	1	1	1	1	2	1	8	1	1
taxa_336	28	33	655	1015	30	23	19	594	3	20
taxa_337	0	0	0	0	0	0	0	0	0	0
taxa_338	0	0	0	0	0	0	20	14	0	0
taxa_339	0	0	0	0	0	0	0	1	0	0
taxa_340	45	48	5	0	17	28	10	6	3	43
taxa_341	0	0	0	0	0	0	2	0	0	0
taxa_342	0	0	4	2	0	0	0	5	0	1
taxa_343	629	802	498	192	1003	896	267	648	179	652
taxa_344	1	2	1	1	0	1	0	0	0	0
taxa_345	0	0	0	0	0	0	0	0	0	0
taxa_346	0	1	2	3	7	3	1	114	1	1
taxa_347	0	0	0	0	0	0	0	1	0	0
taxa_348	3049	3152	148	391	2	722	212	16	3	2521
taxa_349	1	0	2	144	4	2	0	69	0	0
taxa_350	5	6	2	0	10	117	8	214	2	1
taxa_351	2	4	130	2	356	181	38	44	55	46
taxa_352	450	470	590	121	1384	969	239	422	247	459
taxa_353	1	1	11	0	2	3	1	7	0	3
taxa_354	57	61	54	11	93	156	21	175	22	78
taxa_355	0	0	0	0	1	0	1	0	0	0
taxa_356	0	0	0	0	0	0	0	0	0	0
taxa_357	0	0	0	0	0	0	0	0	0	0
taxa_358	0	0	0	0	0	0	0	0	0	0
taxa_359	0	0	0	0	0	0	0	0	0	0
taxa_360	0	0	0	0	0	0	0	0	0	0
taxa_361	0	0	0	0	0	0	0	0	0	0
taxa_362	0	0	0	0	0	0	0	0	0	0
taxa_363	0	0	0	0	0	0	0	0	0	0
taxa_364	0	0	0	0	0	0	0	0	0	0
taxa_365	0	0	0	0	0	0	0	0	0	0
taxa_366	0	0	0	0	0	0	0	0	0	0
taxa_367	0	0	0	0	0	0	0	0	0	0
taxa_368	0	0	0	2	0	0	0	9	0	0
taxa_369	0	1	2	3	0	0	0	0	0	0
taxa_370	0	0	8	11	0	0	0	5	0	0
taxa_371	0	0	0	0	0	0	0	0	0	0
taxa_372	0	0	0	0	0	0	0	0	0	0
taxa_373	0	0	0	0	0	0	0	0	0	0
taxa_374	0	0	0	0	0	0	0	0	0	0
taxa_375	0	0	0	0	0	0	0	1	0	0
taxa_376	0	0	0	0	0	0	0	0	0	0
taxa_377	0	0	0	0	0	0	0	0	0	0
taxa_378	0	0	0	0	0	0	0	0	0	0
taxa_379	0	0	0	0	0	0	0	0	0	0
taxa_380	0	0	0	0	0	0	0	0	0	0
taxa_381	0	0	0	0	0	0	0	0	0	0
taxa_382	0	0	0	0	0	0	0	0	0	0
taxa_383	0	0	0	0	0	0	0	0	0	0
taxa_384	0	0	0	0	0	0	0	0	0	0
taxa_385	0	0	0	0	0	0	0	0	0	0
taxa_386	0	0	0	0	0	0	0	0	0	0
taxa_387	0	0	0	0	0	0	0	0	0	0
taxa_388	0	0	0	0	0	0	0	0	0	0
taxa_389	0	0	0	0	0	0	0	0	0	0
taxa_390	1	1	0	2	1	1	1	0	0	0
taxa_391	0	0	3	2	0	0	0	2	0	5
taxa_392	0	0	0	0	0	0	0	0	0	0
taxa_393	0	0	0	0	0	0	0	0	0	0
taxa_394	0	0	0	0	0	0	0	0	0	0
taxa_395	0	0	0	0	0	0	0	0	0	0
taxa_396	0	0	0	1	0	0	0	1	1	0
taxa_397	0	0	0	0	0	0	0	0	0	0
taxa_398	0	0	0	0	0	0	0	0	0	1
taxa_399	0	0	0	0	0	0	0	0	0	0
taxa_400	0	0	0	0	0	0	0	0	0	0
taxa_401	0	0	0	0	0	0	0	0	0	0
taxa_402	0	0	0	0	0	0	0	0	0	0
taxa_403	0	0	0	0	0	0	0	0	0	0
taxa_404	0	0	0	0	0	0	0	0	0	0
taxa_405	0	0	0	0	0	0	0	0	0	0
taxa_406	0	0	0	0	0	0	0	0	0	0
taxa_407	0	0	0	0	0	0	0	0	0	0
taxa_408	0	0	0	0	0	0	0	0	0	0
taxa_409	0	0	0	0	0	0	0	0	0	0
taxa_410	0	0	0	0	0	0	0	0	0	0
taxa_411	0	0	0	0	0	0	0	0	0	0
taxa_412	0	0	0	0	0	0	0	0	0	0
taxa_413	0	0	0	0	0	0	0	0	0	0
taxa_414	0	0	0	1	0	0	0	0	0	0
taxa_415	0	0	0	0	0	0	0	1	0	0
taxa_416	0	0	0	0	0	0	0	0	0	0
taxa_417	0	0	0	0	0	0	0	0	0	0
taxa_418	0	0	0	0	0	0	0	0	0	0
taxa_419	0	0	0	0	0	0	0	0	0	0
taxa_420	0	0	0	0	0	0	0	0	0	0
taxa_421	0	0	0	0	0	0	0	0	0	0
taxa_422	0	0	0	0	0	0	0	0	0	0
taxa_423	0	0	0	0	0	0	0	0	0	0
taxa_424	0	0	0	0	0	0	0	0	0	0
taxa_425	0	0	0	0	0	0	0	0	0	0
taxa_426	0	0	0	0	0	0	0	0	0	0
taxa_427	0	0	0	0	0	0	0	0	0	0
taxa_428	0	0	0	0	0	0	0	0	0	0
taxa_429	0	0	0	0	0	0	0	0	0	0
taxa_430	0	0	0	0	0	0	0	0	0	0
taxa_431	0	0	0	0	0	0	0	0	0	0
taxa_432	0	0	0	0	0	0	0	0	0	0
taxa_433	0	0	0	0	0	0	0	0	0	0
taxa_434	0	0	0	0	0	0	0	0	0	0
taxa_435	0	0	0	0	0	0	0	0	0	0
taxa_436	0	0	0	0	0	0	0	0	0	0
taxa_437	0	0	0	0	0	0	0	0	0	0
taxa_438	0	0	0	0	0	0	1	0	1	0
taxa_439	0	0	0	0	0	0	0	0	0	0
taxa_440	0	0	0	0	0	0	0	1	0	0
taxa_441	0	0	0	0	0	0	0	0	0	0
taxa_442	0	0	0	0	0	0	0	0	0	0
taxa_443	0	0	0	0	0	0	0	0	0	0
taxa_444	0	0	0	0	0	0	0	0	0	0
taxa_445	0	0	0	0	0	0	0	0	0	0
taxa_446	0	0	0	0	0	0	0	0	0	0
taxa_447	0	0	0	0	0	0	0	0	0	0
taxa_448	1	0	0	0	0	0	0	0	0	0
taxa_449	0	0	0	0	0	0	0	0	0	0
taxa_450	0	2	0	1	0	1	1	3	0	0
taxa_451	0	0	0	0	1	0	0	0	0	1
taxa_452	0	0	0	0	0	0	0	0	0	0
taxa_453	0	0	0	0	0	0	0	0	0	0
taxa_454	0	0	0	0	0	0	0	0	0	0
taxa_455	0	0	0	0	0	0	0	0	0	0
taxa_456	0	0	0	0	0	0	0	0	0	0
taxa_457	0	0	0	0	0	0	0	0	0	0
taxa_458	0	0	0	0	0	0	0	0	0	0
taxa_459	0	0	0	0	0	0	0	0	0	0
taxa_460	0	0	0	0	0	0	0	0	0	0
taxa_461	0	0	0	0	0	0	0	0	0	0
taxa_462	0	0	0	0	0	0	0	0	0	0
taxa_463	0	4	0	0	0	0	1	0	0	0
taxa_464	0	0	0	0	0	0	0	0	0	0
taxa_465	0	0	0	0	0	0	0	0	0	0
taxa_466	0	0	0	0	0	0	0	0	0	0
taxa_467	0	0	0	0	0	0	3	0	0	0
taxa_468	0	0	0	0	0	0	1	0	0	0
taxa_469	0	0	0	0	0	0	0	0	0	0
taxa_470	0	0	0	0	0	0	0	0	0	0
taxa_471	0	0	0	0	0	0	0	0	0	0
taxa_472	0	0	0	0	0	0	0	0	0	0
taxa_473	0	0	0	0	0	0	0	0	0	0
taxa_474	0	0	0	0	0	0	0	0	0	0
taxa_475	0	0	0	0	0	0	0	0	0	0
taxa_476	0	0	0	0	0	0	0	0	0	0
taxa_477	0	0	0	0	0	0	0	0	0	0
taxa_478	0	0	0	0	0	0	0	0	0	0
taxa_479	0	0	0	0	0	0	0	0	0	0
taxa_480	0	0	0	0	0	0	0	0	0	0
taxa_481	0	0	0	0	0	0	0	0	0	0
taxa_482	0	0	0	0	0	0	0	0	0	0
taxa_483	0	0	0	0	0	0	0	0	0	0
taxa_484	0	0	0	0	0	0	0	0	0	0
taxa_485	0	0	0	0	0	0	0	0	0	0
taxa_486	0	0	0	0	0	0	0	0	0	0
taxa_487	0	0	0	0	0	0	0	0	0	0
taxa_488	1	6	6	3	0	0	1	1	0	0
taxa_489	0	0	2	0	0	4	1	4	0	8
taxa_490	0	0	0	0	0	0	0	0	0	0
taxa_491	0	0	0	0	0	0	0	0	0	0
taxa_492	0	0	0	0	0	0	0	0	0	0
taxa_493	0	0	0	0	0	0	0	0	0	0
taxa_494	0	0	0	0	0	0	0	0	0	0
taxa_495	0	0	0	0	0	0	0	0	0	0
taxa_496	0	3	11	10	3	1	6	2	0	2
taxa_497	0	0	0	0	0	0	0	0	0	0
taxa_498	0	0	0	0	0	0	1	2	1	0
taxa_499	0	0	0	0	0	0	0	1	0	0
taxa_500	3	1	6	11	9	0	11	12	4	13
taxa_501	0	0	0	0	0	0	0	0	0	0
taxa_502	0	0	0	0	0	0	0	0	0	0
taxa_503	0	0	0	0	0	0	0	0	0	0
taxa_504	0	0	0	5	0	0	2	2	0	3
taxa_505	0	0	0	0	0	0	0	0	0	0
taxa_506	0	0	0	0	0	0	0	0	0	0
taxa_507	0	0	0	0	0	0	0	0	0	0
taxa_508	0	0	0	0	0	0	0	0	0	0
taxa_509	0	0	0	0	0	0	0	0	0	0
taxa_510	0	0	0	0	0	0	0	0	0	0
taxa_511	0	0	0	0	0	0	0	0	0	0
taxa_512	0	0	0	0	0	0	0	0	0	0
taxa_513	0	0	0	0	0	0	0	0	0	0
taxa_514	0	0	0	0	0	0	0	0	0	0
taxa_515	0	0	0	0	0	0	0	0	0	0
taxa_516	0	0	0	0	0	0	0	0	0	0
taxa_517	0	0	0	0	0	0	0	0	0	0
taxa_518	0	0	0	0	0	0	0	0	0	0
taxa_519	0	0	0	0	0	0	0	0	0	0
taxa_520	0	0	0	0	0	0	0	0	0	0
taxa_521	0	0	0	0	0	0	0	0	0	0
taxa_522	0	0	0	0	0	0	0	0	0	0
taxa_523	0	0	0	0	0	0	0	0	0	0
taxa_524	0	0	0	1	0	0	0	0	0	0
taxa_525	0	0	0	0	0	0	0	0	0	0
taxa_526	0	0	0	0	0	0	1	0	0	0
taxa_527	0	0	0	1	0	0	0	0	0	0
taxa_528	0	0	0	0	0	0	0	0	0	0
taxa_529	0	0	0	0	0	0	0	0	0	0
taxa_530	0	0	0	0	0	0	0	0	0	0
taxa_531	0	0	0	0	0	0	0	0	0	0
taxa_532	0	0	0	0	0	0	0	0	0	0
