"","Kingdom","Phylum","Class","Order","Famiy","Genus","N Patients","N Control","","BC-OA in Patients","BC-OA in Control","Beta","SE","P","FDR","FC","FC lower","FC upper","NA"
"k__Bacteria|p__Proteobacteria|c__Gammaproteobacteria|o__Pseudomonadales|f__Pseudomonadaceae|g__GGB97472","Bacteria","Proteobacteria","Gammaproteobacteria","Pseudomonadales","Pseudomonadaceae","GGB9747",1,3,"",6.238e-05,0.00123998,-1.2530374065903,0.595310264262776,0.0514617181191826,0.477112391527535,0.419563939844032,0.186876164628808,0.941981552153014,""
"k__Bacteria|p__Firmicutes|c__Erysipelotrichia|o__Erysipelotrichales|f__Erysipelotrichaceae|g__Faecalibacillus2","Bacteria","Firmicutes","Erysipelotrichia","Erysipelotrichales","Erysipelotrichaceae","Faecalibacillus",3,7,"",0.00098982,0.00102545,4.5737634079061,2.19759182987732,0.0538301758088183,0.477112391527535,23.8144183611058,1.20287224238564,471.47693819337,""
"k__Bacteria|p__Fusobacteria|c__Fusobacteriia|o__Fusobacteriales|f__Fusobacteriaceae|g__Fusobacterium2","Bacteria","Fusobacteria","Fusobacteriia","Fusobacteriales","Fusobacteriaceae","Fusobacterium",2,6,"",0.00041257,0.00503278,3.30870343321682,1.62710449327356,0.0589347591453179,0.477112391527535,9.90875248584826,1.08641750196082,90.3735218261836,""
"k__Bacteria|p__Firmicutes|c__Clostridia|o__Eubacteriales|f__Lachnospiraceae|g__Roseburia2","Bacteria","Firmicutes","Clostridia","Eubacteriales","Lachnospiraceae","Roseburia",6,9,"",0.00871214,0.03234375,3.40351551551818,1.68583153692286,0.0605802545019254,0.477112391527535,10.5818173466428,1.07124294506859,104.527977405294,""
"k__Bacteria|p__Firmicutes|c__CFGB1226|o__OFGB1226|f__FGB1226|g__GGB29982","Bacteria","Firmicutes","CFGB1226","OFGB1226","FGB1226","GGB2998",2,1,"",0.00013338,7.815e-05,-2.03365917749305,1.01718491563639,0.0628543658593357,0.477112391527535,0.244234823499516,0.0613266683834694,0.972670627350083,""
"k__Bacteria|p__Synergistetes|c__Synergistia|o__Synergistales|f__Synergistaceae|g__Cloacibacillus2","Bacteria","Synergistetes","Synergistia","Synergistales","Synergistaceae","Cloacibacillus",3,4,"",5.342e-05,9.813e-05,-1.29135219394659,0.653586235372556,0.0656845496510336,0.477112391527535,0.408567911554506,0.168126469743667,0.992870061487143,""
"k__Bacteria|p__Firmicutes|c__CFGB1359|o__OFGB1359|f__FGB1359|g__GGB33212","Bacteria","Firmicutes","CFGB1359","OFGB1359","FGB1359","GGB3321",2,2,"",0.00030519,0.00015525,-1.25265653482051,0.636621522819427,0.0666900814557643,0.477112391527535,0.419674719427561,0.176723436149228,0.996624295930269,""
"k__Bacteria|p__Firmicutes|c__Clostridia|o__Eubacteriales|f__Oscillospiraceae|g__Oscillospiraceae_unclassified2","Bacteria","Firmicutes","Clostridia","Eubacteriales","Oscillospiraceae","Oscillospiraceae unclassified",7,7,"",0.00112813,0.00239533,-3.27623268154797,1.66767537172648,0.0670785843950787,0.477112391527535,0.10321805950167,0.0107101581206757,0.994753549597282,""
"k__Bacteria|p__Firmicutes|c__Erysipelotrichia|o__Erysipelotrichales|f__Erysipelotrichaceae|g__Holdemanella2","Bacteria","Firmicutes","Erysipelotrichia","Erysipelotrichales","Erysipelotrichaceae","Holdemanella",2,0,"",0.00018645,0,-1.37353701879346,0.701915286067312,0.0680497010237022,0.477112391527535,0.385943878732904,0.148723962637667,1.00153784830417,""
"k__Archaea|p__Euryarchaeota|c__Methanobacteria|o__Methanobacteriales|f__Methanobacteriaceae|g__Methanobrevibacter2","Archaea","Euryarchaeota","Methanobacteria","Methanobacteriales","Methanobacteriaceae","Methanobrevibacter",3,3,"",4.573e-05,0.00036106,-1.73541413175429,0.888166777433666,0.0684199847191047,0.477112391527535,0.300322791071296,0.0898572664488202,1.00374496578109,""
"k__Bacteria|p__Firmicutes|c__Clostridia|o__Eubacteriales|f__Lachnospiraceae|g__Anaerostipes2","Bacteria","Firmicutes","Clostridia","Eubacteriales","Lachnospiraceae","Anaerostipes",8,9,"",0.00367676,0.00340875,4.11817819546868,2.11368551333705,0.0691353082210476,0.477112391527535,17.3658147681831,0.983062188428497,306.767492547885,""
"k__Bacteria|p__Firmicutes|c__CFGB3070|o__OFGB3070|f__FGB3070|g__GGB95122","Bacteria","Firmicutes","CFGB3070","OFGB3070","FGB3070","GGB9512",2,0,"",3.475e-05,0,-1.45855092581588,0.755671379441055,0.0715120095127716,0.477112391527535,0.363858413130353,0.130338316462569,1.01576380913099,""
"k__Bacteria|p__Firmicutes|c__Clostridia|o__Eubacteriales|f__Oscillospiraceae|g__Hydrogenoanaerobacterium2","Bacteria","Firmicutes","Clostridia","Eubacteriales","Oscillospiraceae","Hydrogenoanaerobacterium",5,7,"",0.00223567,0.00043762,-3.19234950315372,1.66173018680664,0.0727194252003992,0.477112391527535,0.109397410699074,0.0114433980889185,1.04582514517704,""
"k__Bacteria|p__Firmicutes|c__Clostridia|o__Eubacteriales|f__Oscillospiraceae|g__GGB96272","Bacteria","Firmicutes","Clostridia","Eubacteriales","Oscillospiraceae","GGB9627",1,2,"",0.00072591,9.279e-05,-1.75074849006526,0.913695343192654,0.0733925788900688,0.477112391527535,0.297147574496623,0.0858765853249114,1.02818108911944,""
"k__Bacteria|p__Firmicutes|c__Clostridia|o__Eubacteriales|f__Eubacteriales_Family_XIII_Incertae_Sedis|g__Eubacteriales_Family_XIII_Incertae_Sedis_unclassified2","Bacteria","Firmicutes","Clostridia","Eubacteriales","Eubacteriales Family XIII Incertae Sedis","Eubacteriales Family XIII Incertae Sedis unclassified",3,4,"",0.00026355,6.014e-05,-2.30991531208606,1.20741270933125,0.0738015970065517,0.477112391527535,0.201672277860528,0.0391065961087502,1.04002167676142,""
"k__Bacteria|p__Proteobacteria|c__Gammaproteobacteria|o__Enterobacterales|f__Enterobacteriaceae|g__Enterobacter2","Bacteria","Proteobacteria","Gammaproteobacteria","Enterobacterales","Enterobacteriaceae","Enterobacter",4,1,"",0.00349641,1.415e-05,-3.84249663762784,2.01598813584971,0.0747755441527649,0.477112391527535,0.0697097064379376,0.00450632354769864,1.07836091222192,""
"k__Bacteria|p__Firmicutes|c__CFGB38642|o__OFGB38642|f__FGB38642|g__GGB97662","Bacteria","Firmicutes","CFGB38642","OFGB38642","FGB38642","GGB9766",1,2,"",0.00036649,3.761e-05,-2.14060876160143,1.12715938059917,0.0757321256392913,0.477112391527535,0.226784074514056,0.0490419057328195,1.04871569904712,""
"k__Bacteria|p__Firmicutes|c__Clostridia|o__Eubacteriales|f__Lachnospiraceae|g__Frisingicoccus2","Bacteria","Firmicutes","Clostridia","Eubacteriales","Lachnospiraceae","Frisingicoccus",1,2,"",0.0003149,4.435e-05,-1.35087163268046,0.724286394927208,0.0806134878981064,0.488090947154469,0.392055109548156,0.146556314405948,1.04879281077621,""
"k__Bacteria|p__Candidatus_Saccharibacteria|c__Candidatus_Saccharimonia|o__Candidatus_Saccharimonales|f__Candidatus_Sacchiramonaceae|g__Candidatus_Nanosynsacchari2","Bacteria","Candidatus Saccharibacteria","Candidatus Saccharimonia","Candidatus Saccharimonales","Candidatus Sacchiramonaceae","Candidatus Nanosynsacchari",5,1,"",0.00041742,2.09e-06,-2.90860201242948,1.56364209449029,0.0813484911924115,0.488090947154469,0.133175258611798,0.0159164177702015,1.11429906919908,""
"k__Bacteria|p__Firmicutes|c__Clostridia|o__Eubacteriales|f__Eubacteriales_unclassified|g__Evtepia2","Bacteria","Firmicutes","Clostridia","Eubacteriales","Eubacteriales unclassified","Evtepia",1,6,"",4.61e-06,0.00044203,2.37278033203799,1.3137029671465,0.0897360873062651,0.513161434216817,5.17938331093049,0.869297871005639,30.8594008754581,""
"k__Bacteria|p__Firmicutes|c__Clostridia|o__Eubacteriales|f__Eubacteriales_unclassified|g__Eubacteriales_unclassified2","Bacteria","Firmicutes","Clostridia","Eubacteriales","Eubacteriales unclassified","Eubacteriales unclassified",9,10,"",0.00721439,0.0042918,3.46454403276059,1.9252064625891,0.0908136921780976,0.513161434216817,11.0390493576603,0.80727905487134,150.952276025893,""
"k__Bacteria|p__Firmicutes|c__Negativicutes|o__Veillonellales|f__Veillonellaceae|g__Megasphaera2","Bacteria","Firmicutes","Negativicutes","Veillonellales","Veillonellaceae","Megasphaera",3,2,"",0.00873612,0.00042645,-2.16199777568365,1.22167583195839,0.0958291387812856,0.513161434216817,0.223446635094172,0.0424973765491147,1.17485837454473,""
"k__Bacteria|p__Bacteroidetes|c__Bacteroidia|o__Bacteroidales|f__Rikenellaceae|g__GGB32772","Bacteria","Bacteroidetes","Bacteroidia","Bacteroidales","Rikenellaceae","GGB3277",1,1,"",0.00296342,0.00131717,-0.6095411999723,0.3459164538435,0.0971421331690703,0.513161434216817,0.655405098062817,0.409649667939562,1.04859316675952,""
"k__Bacteria|p__Bacteroidetes|c__CFGB593|o__OFGB593|f__FGB593|g__GGB797412","Bacteria","Bacteroidetes","CFGB593","OFGB593","FGB593","GGB79741",0,2,"",0,9.884e-05,1.1718031949526,0.666484547541047,0.0978261461081966,0.513161434216817,2.25293110274183,0.910981386497509,5.57168195633096,""
"k__Bacteria|p__Proteobacteria|c__Gammaproteobacteria|o__Aeromonadales|f__Aeromonadaceae|g__GGB97872","Bacteria","Proteobacteria","Gammaproteobacteria","Aeromonadales","Aeromonadaceae","GGB9787",1,1,"",5.936e-05,1.994e-05,-0.704931063858117,0.402180761177427,0.09877763007319,0.513161434216817,0.613471801383639,0.355222444205059,1.05947036070624,""
"k__Bacteria|p__Firmicutes|c__Clostridia|o__Eubacteriales|f__Oscillospiraceae|g__GGB96162","Bacteria","Firmicutes","Clostridia","Eubacteriales","Oscillospiraceae","GGB9616",3,2,"",6.047e-05,6.406e-05,-3.03464898531741,1.7369534700478,0.0997813899866033,0.513161434216817,0.122033657864598,0.0115250930866919,1.29215560688269,""
"k__Bacteria|p__Firmicutes|c__CFGB3069|o__OFGB3069|f__FGB3069|g__GGB97672","Bacteria","Firmicutes","CFGB3069","OFGB3069","FGB3069","GGB9767",1,1,"",0.00103947,0.00017846,-0.933569208487932,0.541737026091207,0.104102959229962,0.524678914519007,0.523561454104908,0.250802949603885,1.09295603045093,""
"k__Bacteria|p__Bacteroidetes|c__CFGB629|o__OFGB629|f__FGB629|g__GGB14952","Bacteria","Bacteroidetes","CFGB629","OFGB629","FGB629","GGB1495",1,1,"",0.01022746,0.00082283,-1.19176478786022,0.703254665538175,0.109514730069203,0.53440250166074,0.437767031091459,0.168387396886267,1.13808976832197,""
"k__Bacteria|p__Firmicutes|c__Tissierellia|o__Tissierellales|f__Peptoniphilaceae|g__Anaerococcus2","Bacteria","Firmicutes","Tissierellia","Tissierellales","Peptoniphilaceae","Anaerococcus",1,1,"",0.0004037,2.658e-05,-1.26003888625777,0.746337488298934,0.110745932863057,0.53440250166074,0.417532705427751,0.151473742801321,1.15091603916119,""
"k__Bacteria|p__Firmicutes|c__Clostridia|o__Eubacteriales|f__Lachnospiraceae|g__Mediterraneibacter2","Bacteria","Firmicutes","Clostridia","Eubacteriales","Lachnospiraceae","Mediterraneibacter",10,10,"",0.03071318,0.0409717,2.47035594935325,1.47054067704348,0.112394176936584,0.53440250166074,5.54180500723441,0.751630868320779,40.8599540447578,""
"k__Archaea|p__Thaumarchaeota|c__Thaumarchaeota_unclassified|o__Nitrosopumilales|f__Nitrosopumilaceae|g__Nitrosopumilus2","Archaea","Thaumarchaeota","Thaumarchaeota unclassified","Nitrosopumilales","Nitrosopumilaceae","Nitrosopumilus",1,2,"",2.25e-06,1.227e-05,-0.711573307992969,0.431743523752687,0.118818288686852,0.548319825198166,0.610653836828593,0.339670865669164,1.09782188030421,""
"k__Bacteria|p__Proteobacteria|c__Gammaproteobacteria|o__Pseudomonadales|f__Pseudomonadaceae|g__Pseudomonas2","Bacteria","Proteobacteria","Gammaproteobacteria","Pseudomonadales","Pseudomonadaceae","Pseudomonas",6,0,"",0.00254598,0,-3.00338333199289,1.82684686594288,0.119672977721822,0.548319825198166,0.124707200084648,0.0104235954705426,1.49198861342062,""
"k__Bacteria|p__Firmicutes|c__CFGB9581|o__OFGB9581|f__FGB9581|g__GGB95812","Bacteria","Firmicutes","CFGB9581","OFGB9581","FGB9581","GGB9581",2,2,"",0.00305408,0.00103392,-2.27703591042189,1.42222901899557,0.128926312191881,0.562082710096311,0.206321216479999,0.0298814757948624,1.42457637173012,""
"k__Bacteria|p__Firmicutes|c__Clostridia|o__Eubacteriales|f__Lachnospiraceae|g__GGB36532","Bacteria","Firmicutes","Clostridia","Eubacteriales","Lachnospiraceae","GGB3653",2,0,"",1.33e-05,0,-1.04663577507523,0.660501118554568,0.132618886028556,0.562082710096311,0.484095713540965,0.19734365404921,1.18751556009143,""
"k__Bacteria|p__Bacteroidetes|c__Bacteroidia|o__Bacteroidales|f__Bacteroidaceae|g__GGB13642","Bacteria","Bacteroidetes","Bacteroidia","Bacteroidales","Bacteroidaceae","GGB1364",2,0,"",0.0003207,0,-0.960452520598467,0.606765349991684,0.133006753766405,0.562082710096311,0.51389569778567,0.225357503734328,1.17186596330936,""
"k__Bacteria|p__Actinobacteria|c__Actinomycetia|o__Corynebacteriales|f__Corynebacteriaceae|g__Corynebacterium2","Bacteria","Actinobacteria","Actinomycetia","Corynebacteriales","Corynebacteriaceae","Corynebacterium",2,0,"",4.316e-05,0,-0.919130420531195,0.581125665752335,0.133296245416177,0.562082710096311,0.528827673296904,0.240125957973761,1.16463338826191,""
"k__Bacteria|p__Firmicutes|c__Clostridia|o__Eubacteriales|f__Oscillospiraceae|g__GGB92372","Bacteria","Firmicutes","Clostridia","Eubacteriales","Oscillospiraceae","GGB9237",1,1,"",1.35e-05,1.618e-05,-0.358732852825588,0.229513465097639,0.137609846593953,0.562082710096311,0.779849235727114,0.570943842513062,1.0651920297227,""
"k__Bacteria|p__Firmicutes|c__Clostridia|o__Eubacteriales|f__Clostridiaceae|g__Clostridium2","Bacteria","Firmicutes","Clostridia","Eubacteriales","Clostridiaceae","Clostridium",10,10,"",0.02147918,0.03182197,1.58587593949747,1.01895552312612,0.139176148306627,0.562082710096311,3.00190004397783,0.751957544173361,11.9839264116174,""
"k__Bacteria|p__Candidatus_Saccharibacteria|c__Candidatus_Nanoperiomorbia|o__Candidatus_Nanoperiomorbales|f__Candidatus_Nanoperiomorbaceae|g__Candidatus_Nanoperiomorbus2","Bacteria","Candidatus Saccharibacteria","Candidatus Nanoperiomorbia","Candidatus Nanoperiomorbales","Candidatus Nanoperiomorbaceae","Candidatus Nanoperiomorbus",2,0,"",4.88e-06,0,-0.640926454259339,0.411896831085496,0.139256197904948,0.562082710096311,0.641300992804466,0.366467142449369,1.12224785180793,""
"k__Bacteria|p__Firmicutes|c__CFGB38642|o__OFGB38642|f__FGB38642|g__GGB97582","Bacteria","Firmicutes","CFGB38642","OFGB38642","FGB38642","GGB9758",4,3,"",0.00205178,0.00018085,-2.83802142883875,1.83012672332256,0.140520677524078,0.562082710096311,0.139852560336525,0.0116375420704219,1.68065889810117,""
"k__Bacteria|p__Actinobacteria|c__Coriobacteriia|o__Eggerthellales|f__Eggerthellaceae|g__GGB94342","Bacteria","Actinobacteria","Coriobacteriia","Eggerthellales","Eggerthellaceae","GGB9434",1,1,"",2.142e-05,2.704e-05,-0.366013287510047,0.238218760162508,0.143964099784763,0.562607608868754,0.775923707829315,0.561391039746629,1.07243892001432,""
"k__Bacteria|p__Firmicutes|c__Clostridia|o__Eubacteriales|f__Lachnospiraceae|g__Lachnotalea2","Bacteria","Firmicutes","Clostridia","Eubacteriales","Lachnospiraceae","Lachnotalea",4,1,"",4.598e-05,9.75e-06,-3.40911158477462,2.22789629450797,0.145498771009712,0.562607608868754,0.0941358729748248,0.00456304209388977,1.94202954923396,""
"k__Bacteria|p__Firmicutes|c__Bacilli|o__Lactobacillales|f__Aerococcaceae|g__Abiotrophia2","Bacteria","Firmicutes","Bacilli","Lactobacillales","Aerococcaceae","Abiotrophia",3,0,"",2.233e-05,0,-0.64166329121669,0.42854788233583,0.153782953001223,0.562607608868754,0.640973540633913,0.358087201127783,1.14733807435403,""
"k__Bacteria|p__Bacteroidetes|c__Sphingobacteriia|o__Sphingobacteriales|f__Sphingobacteriaceae|g__GGB96972","Bacteria","Bacteroidetes","Sphingobacteriia","Sphingobacteriales","Sphingobacteriaceae","GGB9697",1,1,"",2.654e-05,3.687e-05,-0.379443796112018,0.254838126093827,0.155943649113107,0.562607608868754,0.768733904392655,0.543771889132191,1.08676418839135,""
"k__Bacteria|p__Firmicutes|c__Clostridia|o__Eubacteriales|f__Oscillospiraceae|g__Harryflintia2","Bacteria","Firmicutes","Clostridia","Eubacteriales","Oscillospiraceae","Harryflintia",3,0,"",1.073e-05,0,-0.72776180344761,0.491602300301242,0.158191831662603,0.562607608868754,0.603839984676364,0.309647282069699,1.17754215266091,""
"k__Bacteria|p__Firmicutes|c__CFGB1126|o__OFGB1126|f__FGB1126|g__GGB28482","Bacteria","Firmicutes","CFGB1126","OFGB1126","FGB1126","GGB2848",1,2,"",2.38e-06,3.062e-05,-0.947120287450626,0.643345173729825,0.160369136765643,0.562607608868754,0.518666721652796,0.216422615901157,1.24300857851622,""
"k__Bacteria|p__Firmicutes|c__Clostridia|o__Eubacteriales|f__Eubacteriaceae|g__Intestinibacillus2","Bacteria","Firmicutes","Clostridia","Eubacteriales","Eubacteriaceae","Intestinibacillus",2,0,"",3.15e-06,0,-0.420405729199594,0.286773948268598,0.162029813545214,0.562607608868754,0.74721445560669,0.506108051924419,1.10318229584496,""
"k__Bacteria|p__Proteobacteria|c__Gammaproteobacteria|o__Enterobacterales|f__Enterobacteriaceae|g__Citrobacter2","Bacteria","Proteobacteria","Gammaproteobacteria","Enterobacterales","Enterobacteriaceae","Citrobacter",3,0,"",0.00096,0,-3.5421119320299,2.42276250180969,0.163100855215066,0.562607608868754,0.0858456039679438,0.00319332158844594,2.3077749974463,""
"k__Bacteria|p__Firmicutes|c__Clostridia|o__Eubacteriales|f__Oscillospiraceae|g__GGB96192","Bacteria","Firmicutes","Clostridia","Eubacteriales","Oscillospiraceae","GGB9619",3,3,"",6.377e-05,1.697e-05,-2.38486248688558,1.63421565141651,0.163827880343408,0.562607608868754,0.191462998412678,0.0207905947010495,1.76320496302698,""
"k__Bacteria|p__Firmicutes|c__Erysipelotrichia|o__Erysipelotrichales|f__Turicibacteraceae|g__Turicibacter2","Bacteria","Firmicutes","Erysipelotrichia","Erysipelotrichales","Turicibacteraceae","Turicibacter",2,5,"",5.131e-05,0.00039034,2.33434575846145,1.60390109657158,0.164893635107527,0.562607608868754,5.04322208769217,0.570658521500406,44.5697173835474,""
"k__Bacteria|p__Firmicutes|c__CFGB1507|o__OFGB1507|f__FGB1507|g__GGB38192","Bacteria","Firmicutes","CFGB1507","OFGB1507","FGB1507","GGB3819",0,2,"",0,0.00052188,0.921898102588085,0.633929770153265,0.165210170858285,0.562607608868754,1.89460632061061,0.800734434107842,4.48280098519434,""
