Genus	A01	A02	A03	A04	A05	A06	A07	A08	A09	A10	A11	A12	A13	A14	A15	A16	A17	A18	A19	A20	A21	A22	A23	A24	A25	A26	B28	B29	B30	B31	B32	B34	B35	B36	B38	B39	B40	B41	B42	B43	B44	B45	B46	B47	B48	B49	B50	B51	B52	C01	C02	C03	C04	C05	C06	C07	C08	C09	C10	C11	C12	C13	C14	C15	C16	C18	C19	C20	C21	C22	C23	C24	C26	D27	D28	D29	D30	D31	D32	D33	D34	D35	D36	D37	D38	D40	D41	D42	D44	D45	D46	D47	D48	D49	D50	D51	D52
Preussia	0.611	0.00333	0.16	0.827	0.377	0.508	0.343	0.0366	0.32	0.944	0.00334	0.15	0.177	0.253	1.42	0.386	0.187	0	0	0.00333	0.12	0.156	1.19	1.15	0.00333	0.0966	0	0.524	0.257	0.08	0.0767	1.94	0.13	0.54	1.69	0.01	0	0.00665	0.0366	0.00334	0.0766	0.706	0	0.687	0.00666	0.407	0	0.0133	0.0934	0.00333	0.41	0.476	0.0968	0.267	0.71	0.204	0.19	0.407	0.336	0.0966	0.743	0.12	0	0.496	0.0867	0.26	1.02	0.17	0.00667	0.96	0.587	0	0	0	0.00333	0.43	0.156	1.21	0.12	1	0.646	0.34	0	0.346	0.564	0.451	0.683	0.467	1.32	0.00333	0.283	0.00333	0.823	0.00999	0.14	0.324	0.52
Mortierella	0.16	0.00333	0	0	0	0.652	1.43	0	0	0.0467	0	0	0	0.49	0.307	0.0333	0	0.00333	0.39	0.00333	0	0.0665	0.251	0	0.00333	0.00999	0.00333	1.52	2.79	0	0.0133	0.107	0	0.06	0.0467	0	0	0	0.00333	0.00334	0.09	1.49	0	0.0767	0.00666	0	0	0	0	0	0.293	0.0566	0	0	0.04	0	0.0133	0	0	0.0167	0	0	0	0.0433	0.00667	0	0	0.0233	0	0.23	0	0	0.227	0	0	0	0	0	0.00333	0	0	0.0766	1.33	0.0167	0	0.184	0	0	0.04	0	0.273	0	0	0	0	0.3	0
Trametes	0	0.623	0.323	0.137	0	0	0	0	0.851	0.0434	0	0.0133	0	0	0.00334	0	0	0	0	0	0	0	0	0.1	0	0	0	0	0	0	0	0	0.197	0.0167	0	0	0	0	0.0699	0.00334	0	0	0	0	0.00666	0	0	0	0	0.526	0	0	0.0534	0.0767	0.03	0.36	0.0933	0.273	0.193	0	0	0	0	0	0.07	0	0.04	0.0666	0.0467	0.0366	0	0	0	0	0	0.123	0.00999	0.00333	0.0133	0.16	0	0.00666	0	0.0167	0.11	0.117	0	0	0.00334	0	0	0	0.223	0	0.0767	0	0.647
Aspergillus	0	0.00333	0	0	0.0467	0	0.0233	0.0133	0	0.01	0	0.04	0	0	0	0	0	0.00666	0.17	0.00333	0.0634	0.00998	0.0167	0	0.00999	0.0533	0.0567	0.0934	0.0134	0.00667	0.01	0.00333	0.0167	0	0	0.00334	0	0.00665	0.00333	0	0.00333	0.02	0	0	0.193	0.0667	0	0.183	0	0.00333	0.16	2.24	4.88	2.3	0.05	1.52	5.58	0.654	2.15	0.0866	0.02	5.41	0.966	0.00666	5.85	3.46	1.12	2.9	1.12	1.56	4.11	0.263	0.00334	0.0133	0.313	0.41	0.0632	0.0533	0.157	1.15	2.91	0.986	0.00666	2.62	2.58	1.84	2.59	1.06	0.00667	0.0267	1.13	0.103	1.13	2.98	3.6	1.06	0.841
Gibberella	3.49	0.0133	1.12	2.83	0.657	5.25	3.98	0.439	1.65	8.09	0.0167	0.553	0.844	2.41	8.23	4.01	0.217	0.127	2.96	0.0333	0.621	0.902	9.06	10.5	1.45	0.0799	0.974	5.62	5.18	0.04	0.457	12.7	3.28	5.22	9.59	0.0735	0.296	0.136	0.36	0.0534	0.67	6	0.267	7.27	0.0933	1.43	0.0233	0.343	1.14	2.1	0.443	2.24	1.42	1.44	5.81	5.15	2.09	1.65	3.83	0.483	1.54	1.72	0.986	2.04	1.37	1.94	2.25	2.08	3.46	1.78	3.76	2.09	2.23	0.88	0.626	1.04	1.77	3.16	0.557	1.63	3.06	1.54	1.83	4.07	3.61	3.99	4.35	0.92	8.41	0.0466	1.65	0.503	2.25	1.29	0.644	2.91	3.67
Zygosaccharomyces	24.8	0.0167	0.296	0	0	2.16	0.353	0.0766	0.183	0.157	1.8	0.06	0.09	0.107	0.167	0.0167	0.0734	0.0433	1.84	0	0.123	0.0466	2.37	0.0734	4	0.05	0.617	0.507	0.0134	0.00667	0.0833	0.03	0.15	0.03	0.28	0.00668	0.0999	0.0765	0.04	0.01	0.23	0.546	0.0634	0.0167	0.00666	1.2	0.0233	0.156	0.127	1.26	0.597	0.136	0.364	0.444	0.0433	1.06	0.183	0.123	1.32	0.02	0.573	0.99	5.42	0.296	0.423	0.364	0.414	0.303	1.78	0.65	0.387	0.23	0.217	0.303	0	0.0966	0.446	0.7	1.43	0.514	2.86	0.00333	0	0.773	1.76	0.484	0.9	1.6	0.254	0.00666	0.664	0	1.46	0.243	0.247	0	0
Sporobolomyces	0	0	0.03	0	0	0.0201	0	0	0.183	0.0233	0	0	0	0.01	0	0	0	0	0	0	0	0	0.00668	0	0	0	0.00333	0	0	0	0.0167	0	0	0	0.173	0	0.05	0	0.0366	0.00334	0	0.00999	0	0	0	0.424	0	0.626	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0933	0	0.00666	0	0	0	0.01	0	0.00333	0.03	0.0267	0	0	0	0	0.0166	0	0.0167	0	0	0.05	0	0	0	0	0.323	0	0	0	0	0	0.0933	0	0	0	0
Xylodon	0.204	0.123	0.216	0	0	0	0	0	0	0.00667	1.14	0	0.01	0.0333	0	0	0.0667	0	0	0.00333	0	0	0	0	0.733	0.00333	0	0	0	0	0	0	0.01	0	0.123	0	0	0	0.00999	0	0.05	0	0.07	0	0	0	0.00333	0.186	0	0	0.23	0	0.00668	0.217	0	0	0.0267	0	0	0	0	0	0.36	0.02	0.00667	0.15	0.34	0	0.00334	0.593	0	0.00333	0.0834	0.0333	0	0.00333	0	0.0167	0	0.00334	0	0	0	0	0.13	0	0	0	0	0	0.187	0	0	0.00666	0.0167	0.37	0
Lophiostoma	0.143	0.00666	0.18	0.36	0.257	0.328	0.599	0.0866	0	1.05	0	0.00999	0.08	0.42	1.17	0.366	0	0	0.31	0	0	0.11	1	1.11	0.00333	0	0.00333	0.35	0.598	0	0.0233	1.64	0.181	0.614	0.764	0.00668	0	0.00998	0.0566	0.00334	0	0.756	0.12	0.884	0.0133	0	0	0.00333	0.224	0	0.183	0.289	0.157	0	0.756	0.547	0.147	0.197	0.18	0.02	0.41	0.473	0.0966	0.276	0.313	0.237	0	0.317	0.0801	0	0	0	0	0.00333	0	0.21	0.306	0.436	0.107	0	1.14	0.799	0.446	0.303	1.23	0.347	0	0.95	1.26	0.00666	0.19	0.0667	0.163	0.133	0.173	0	0
Curvularia	0	0	0.2	0	0	0.0301	0.0632	0	0	0.0567	0	0	0	0.0333	0.0133	0	0.21	0	0	0	0	0.0233	0.0334	0	0	0	0	0	0.00668	0	0	0.01	0	0	0.0334	0	0.05	0.00333	0	0	0	0.0167	0	0.0133	0	0	0	0.00333	0	0.00333	0.15	0	0	0	0.01	0	0	0	0	0	0	0	0	0.0732	0	0	0	0	0	0	0	0	0	0	0	0	0.0333	0.19	0	0	0	0	0.00333	0.0633	0	0	0	0	0	0.02	0	0	0.297	0	0	0	0
Chaetomium	0.123	0.0932	0.00333	0.0334	0	0.164	0.0898	0	0.37	0.193	0	0.00333	0.01	0.03	0.858	0	2.3	0.0766	0	0.01	0	0.0333	0.0301	0.0934	0	0.00333	0.01	0.0934	0.11	0.0133	0.0167	0.03	0	0.00334	0	0	0.05	1.2	0	0	0	0.0833	0.0634	0	0.0167	0.24	0.0566	0	0	0.00333	0	0.156	0.00668	0	0.133	0	0.103	0	0	0	0.00333	0.08	0.00333	0	0	0	0	0.04	0.00334	0	0	0.223	0.00334	0	0	0.343	0.0333	0.167	0.00667	0	0	0.00333	0	0.13	0	0	0	0	0	0.00333	0.0667	0	1.62	0.12	0.0234	0.26	0
Acremonium	0	0	0.00333	0	0	0	0.0632	0	0	0	0	0	0	0.0533	0.02	0	0.357	0	0	0	0	0.0299	0.0601	0	0	0	0	0.12	0.0902	0	0	0	0	0.01	0	0	0	0	0	0.01	0.02	0.0966	0	0	0	0	0	0.419	0	0	0	0	0	0	0.00666	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.173	0	0	0	0	0	0	0	0	0	0	0	0	0.127	0	0	0	0	0	0	0	0	0	0	0	0
Tilletia	0	0.113	0.36	0	0.744	0.0401	0	0	0	0.0534	0	0	0	0.00333	0.0234	0.02	0.26	0	0	0	0.103	0	0	0	0	0	0.00333	0	0	0	0.0333	0	0	0	0	0	0	0.0399	0	0	0	0	0.0901	0	0.00999	0	0	0	0	0.62	0.347	0.236	0.0634	0	0.0333	0	0.00999	0	0.256	0	0	0.13	0	0	0.0433	0	0	0.04	0	0	0	0.143	0	0.00333	0	0	0	0	0	0	0	0	0	0.03	0	0	0	0	0	0	0	0.107	0	0.0566	0.0801	0	0
Mycena	0	0	0	0	0	0	0	0	0	0	0	0.28	0	0	0	0	0	0	0	0	0	0	0	0.00334	0	0	0.187	0	0	0	0.00333	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0466	0.0768	0	0	0	0.06	0	0.543	0	0	0	0	0	0.0167	0.147	0	0	0	0.00333	0	0	0	0	0	0	0	0	0	0	0.137	0	0	0	0.24	0	0	0	0	0	0	0	0	0	0.0133	0	0
Colletotrichum	0	0	0	0.0767	0	0.0334	0.00998	0	0	0.127	0	0	0	0	0.143	0.03	0.167	0	0	0	0	0.00333	0.0568	0.0801	0	0	0	0.03	0.01	0.01	0.0233	0.113	0.157	0.0133	0.28	0	0	0.00333	0	0	0	0.0333	0	0	0	0	0	0	0	0	0	0	0.0167	0	0.0267	0	0.0167	0	0	0.0233	0	0.0567	0	0	0.03	0.0934	0.0133	0.00333	0	0	0	0	0	0	0	0.26	0.0932	0.0933	0.0267	0	0	0	0.00333	0.0167	0.0967	0	0.14	0	0.0968	0.00666	0	0	0.163	0.04	0.0267	0	0.564
Penicillium	0.0901	0.00333	0.0133	0.0667	0	0	0.0566	0	0.00334	0.0767	0.0167	0.00666	0	0	0.0901	0	0.103	0	0.00667	0	0.00667	0.0266	0.0334	0	0.00999	0	0	0	0	0.0233	0.0233	0.0333	0.0468	0	0	0	0.0999	0.123	0.00333	0	0	0.03	0.0367	0	0.0133	0	0.00999	0.00999	0	0.02	0	0.00998	0	0	0	0	0	0.0667	0	0	0.48	0.00333	0.619	0	0.00333	0.227	0	0	0	0	0	0	0	0	0.00333	0	0.00999	0	0.00667	0	0	0	0.00333	0	0	0	0	0	0.00334	0.00999	0	0	0	0	0	0	0.00334
Wickerhamomyces	0	0	0	0	0	0	0	0	0	0.0133	0	0	0.0167	0.00333	0	0.00333	0	0.00333	0	0.247	0	0	0	0	0.603	0.0133	0	0	0	0	0.0167	0.00333	0	0.02	0	0.0167	0	0.0133	0.0166	0.00334	0	0	0	0	0.00666	0.0667	0.00333	0	0.5	0	0	0.0865	0	0	0.0367	0	0.0433	0	0.117	0.00333	0	0.0333	0	0	0	0	0	0	0	0.0233	0	0	0.214	0	0	0	0.00999	0	0	0	0	0	0	0	0.0267	0.0568	0	0.08	0.0834	0.00333	0	0	0	0.00999	0	0.42	0
Talaromyces	0	0.656	0.0866	0	0	0	0.02	0.519	0.143	0.0534	0	0	0	0	0.0968	0.00333	0.177	0.04	0	0.00333	0	0	0.00668	0.0667	0	0	0.00333	0	0.01	0	0.00667	0	0.177	0	0	0.00334	0	0.446	0	0	0	0.0167	0	0	0.00333	0	0.0266	0.223	0	0	0.217	0.0166	0	0.0334	0.03	0	0	0	0	0	0	0.167	0	0	0.01	0	0	0.04	0	0	0	0.167	0	0	0	0	0.00333	0.0466	0.00333	0	0	0.25	0	0.00999	0.0567	0	0	0.06	0	0.00333	0.457	0	0	0.16	0	0	0
Kazachstania	0	0.00333	0	0.46	0	0	0	0.00333	0	0	0	0	0	0	0.0601	0	0	0	0	0	0	0	0	0.0967	0	0.0366	0	0	0	0	0	0.02	0.00334	0	0	0	0	0.0333	0	0.02	0	0	0	0	0.17	0	0	0	0	0	0	0	0	0	0	0	0.00333	0	0	0	0	0	1.35	0	0	0	0	0.00333	0	0	0	0	0	0	0	0	0	0.00333	0	0.3	0	0	0	0	0	0	0.00333	0	0.0167	0	0	0	0.31	0	0.00334	0.287	0.01
Cyberlindnera	0	0	0	0	0	0	0	0	0	0.0133	0	0	0	0	0	0.00333	0.73	0	0	0.183	0	0	0.00668	0	0	0	0.00333	0	0	0	0	0	0	0.00334	0	0	0	0	0	0	0	0	0.0534	0	0.0133	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0366	0	0	0	0	0	0	0	0	0	0.163	0	0	0	0	0	0	0.0899	0	0	0	0	0	0	0	0	0	0	0	0.0133	0.00333	0	0.0333	0	0	0	0	0
Schizophyllum	0	0	0	0	0	0.0201	0.0266	0	0.13	0	0	0	0.0167	0	0	0	0.04	0	0	0.387	0	0.00998	0.01	0	0	0	0	0.0567	0.00668	0	0	0	0.117	0.00334	0	0	0	0	0	0	0	0.02	0	0	0	0	0	0	0.194	0	0	0	0	0	0	0.707	0	0	0	0	0	0	0	0.00999	0	0.14	0	0.00666	0	0	0	0	0	0	0.0333	0	0	0	0	0	0	0	0	0.0466	0	0	0	0	0	0	0.0734	0	0	0.00666	0	0	0
Ganoderma	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0267	0.0167	0.00334	0.05	0.00665	0.00666	0.00667	0.00667	0.0999	82.4	0	0.00333	0.00334	0.00666	0.0133	0.00334	0	0	0	0	0.724	0	0.444	0.02	0.243	0.689	0.0133	0	0.117	0.273	0	0	0.504	0	0.0566	0	0.00333	0.997	0.2	0.25	0	0	0	0	0	0	0.0801	0	0	0	0.07	0	0	0.377	2.12	0.00667	0	0.323	0.00333	0	0.0766	0	0	0
Purpureocillium	0	0	0.593	0.127	1.75	0.0535	0.163	0	0.123	0.193	0	0.12	0	0.0866	0.0267	0.0167	0.45	0.0333	0	0.163	0.147	0.02	0.167	0.0234	0	0	0	0.0601	0.0601	0	0.0933	0	0.104	0.00334	0	0	0.0999	0.0798	0.0166	0	0	0.0733	0	0	0.02	0.46	0.0366	0.00333	0	0.503	0	0.163	0.02	0	0.0167	0.147	0.0233	0.00333	0	0.03	0.463	0.197	1.09	0.14	0.0233	0	0.0167	0.0566	0	0.64	0	0	0	0	0.00666	0.247	0.0166	0.117	0	0.117	0	0.00333	0	0.0866	0.243	0.0601	0	1.38	0.0734	0.02	0.444	0	0.55	0.0466	0.0133	0	0.931
Cladorrhinum	0.204	0	0	0.0133	0	0.00334	0.00665	0	0	0.25	0	0	0	0.04	0.0467	0.0699	0	0	0.17	0	0	0.0466	0.11	0.133	0	0	0.143	0.14	0.01	0	0	0.213	0.0802	0.0767	0.187	0.00334	0	0.00333	0.00333	0	0	0.0899	0	0.0734	0	0.28	0	0	0	0	0	0.0599	0.0267	0	0.0733	0.717	0	0.06	0.216	0	0	0	0.00333	0.0366	0.0267	0	0.61	0	0	0	0.223	0	0	0	0.247	0	0.0599	0.31	0.04	0	0	0	0	0	0	0	0	0	0.174	0	0	0	0.28	0	0	0	0
Wallemia	0	0	0.00333	0.00334	12.7	0.0201	0	0.00333	0	0.0133	0	0	0.0667	0.02	0	0	0.0734	0.00333	0	0	0.0734	0.00665	0	0	0	0.0133	0.227	0	0	0.00333	0.0333	0	0.0334	0	0	0	0	0.00998	0	0	0	0	0	0	0.00333	0	0	0	0	0	0	0.0233	0.0467	0	0.01	0	0.0566	0.07	0.196	0.0233	0	0.07	0.00333	0	0.0333	0.0634	0	0.0333	0	0	0.223	0.0833	0	0	0	0	0.0266	0	0.00333	0	0.12	0	0	0.0433	0.143	0	0	0.0367	0.00334	0	0.29	0	0	0.0566	0	0	0
Moesziomyces	0.0234	0	1.58	0	0	0.0134	0.0433	0.633	0	0.0133	0.36	0	0.177	0	0	0.00666	0	0	0	0.03	0	0	0	0.02	0	0	0.07	0	0	0	0	0	1.1	0	0	0	0	0.203	0.02	0	0	0.00666	0.0334	0	0	0	0.00666	0	0	0	0.00667	0	0	0	0	0	0	0	0	0.00999	0	0.0567	0	0.00666	0	0	0	0	0.153	0	0	0	0.13	0	0	0	0.02	0.0333	0	0	0	0	0	0.0333	0	0	0	0.307	0	0	0.0467	0	0	0.00999	0.00334	0	0
Microstroma	0.0734	0	0	0.00334	1.55	0	0	0	0	0	0	0	0.00333	0.0133	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0535	0	0	0	0	0.0166	0	0	0	0	0	0	0	0	0	0	0	0	0.0167	0	0	0.0267	0.01	0	0.00333	0.0267	0.0533	0.00333	0.573	0	0	0	0.00333	0	0	0	0	0	0	0.0233	0	0	0	0	0	0	0	0	0	0	0	0.00999	0	0	0	0	0	0	0	0	0	0	0	0	0
Exidia	0	0	0.669	0.597	0	0	0	0	0.62	0.00334	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.00667	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.65	0	0.00334	0.52	0	0	0	0	0	0.00333	0	0	0	0.04	0	0	0	0	0	0	0	0	0	0.456	0	0	0.00666	0	0	0	0	0	0	0	0	0	0	0	0.123	0	0	0	0	0.0333	0	0	0
Lepista	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.39	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.273	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.00334	0	0	0	0.24	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.18	0	0	0	0	0	0	0	0	0	0.797
Arthrographis	0.0634	0	0	0	0	0.0669	0	0	0	0.02	0	0	0.0133	0.0233	0.0133	0.0133	0	0	0	0	0	0	0.01	0.0467	0	0	0	0	0.01	0	0	0.03	0	0	0.123	0	0	0	0	0	0	0.0267	0	0.0267	0	0	0	0	0	0	0	0	0.00668	0	0	0	0	0	0	0	0	0	0	0.00999	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.01	0	0	0	0	0	0	0	0
Tricholoma	0	0	0	0	0	0	0	0	0.187	0	0	0.223	0	0	0	0	0	0.00333	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0366	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0133	0	0	0	0	0	0	0	0	0.02	0	0	0	0	0	0	0	0	0	0	0.00666	0	0	0	0.31	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1.77
Auricularia	0	2.74	0.166	9.92	0.00334	0.0435	0.02	0.133	0	0.06	0	3.52	0.00333	0.00333	0.0234	0	0.0334	0	0.948	0.01	0.12	0.0166	0.01	0.0334	0	0	6.71	0.0834	0	0.927	0	0.153	2.69	0.00667	0	0.02	0.293	0.143	2.78	44.2	1.44	0.04	0	0.0234	0.00666	1.31	0.51	0.00666	0.384	0	0.29	0.00333	0.00668	0	0.00666	0.29	0.0566	0.01	0.526	0.0933	0.00666	0.27	0.0932	0.276	0.00333	0.33	0.01	0.12	0.671	0.426	0.113	0.407	0.684	0.00333	2.27	0	0.31	0.31	0.04	0	0.903	0	0	0.17	0.123	0.217	5.91	0.957	0.04	0.03	0.564	0.03	0.237	0.186	0.0334	0.11	0.857
