"","X1","X2","elements","filed","Kingdom","Phylum","Class","Order","Family","Genus","group","igraph.degree","igraph.closeness","igraph.betweenness","igraph.cen.degree"
"Gp15",-7.15729851805887,-6.1708672190501,"Gp15","bac","Bacteria","Acidobacteria","Acidobacteria_Gp15","Unassigned","Unassigned","Gp15","bac",0,0,0,0
"Gp16",1.84611989043638,-10.7123703488755,"Gp16","bac","Bacteria","Acidobacteria","Acidobacteria_Gp16","Unassigned","Unassigned","Gp16","bac",0,0,0,0
"Gp2",12.6144514468078,6.93660219532102,"Gp2","bac","Bacteria","Acidobacteria","Acidobacteria_Gp2","Unassigned","Unassigned","Gp2","bac",3,0.273743016759777,73.8785714285714,3
"Gp3",9.24439441602369,16.13888360239,"Gp3","bac","Bacteria","Acidobacteria","Acidobacteria_Gp3","Unassigned","Unassigned","Gp3","bac",0,0,0,0
"Gp4",-1.68886524485146,12.2448875144847,"Gp4","bac","Bacteria","Acidobacteria","Acidobacteria_Gp4","Unassigned","Unassigned","Gp4","bac",1,0.239024390243902,0,1
"Gp6",-16.6389622684481,-3.22984583733282,"Gp6","bac","Bacteria","Acidobacteria","Acidobacteria_Gp6","Unassigned","Unassigned","Gp6","bac",2,0.312101910828025,4.33562271062271,2
"Haliangium",0.420621569480073,-0.456007043714361,"Haliangium","bac","Bacteria","Proteobacteria","Deltaproteobacteria","Myxococcales","Haliangiaceae","Haliangium","bac",1,0.230046948356808,0,1
"Herbaspirillum",1.73240385300399,11.0046552374163,"Herbaspirillum","bac","Bacteria","Proteobacteria","Betaproteobacteria","Burkholderiales","Oxalobacteraceae","Herbaspirillum","bac",1,0.230046948356808,0,1
"Humicola",0.822445475559662,2.26879565389409,"Humicola","fun","Fungi","Ascomycota","Sordariomycetes","Sordariales","Chaetomiaceae","Humicola","fun",5,0.296969696969697,157.746684474945,5
"Hydrogonium",-7.75653736389921,1.39178353933935,"Hydrogonium","fun","Viridiplantae","Bryophyta","Bryopsida","Pottiales","Pottiaceae","Hydrogonium","fun",8,0.300613496932515,231.66966873706,8
"Latescibacteria_genera_incertae_sedis",9.87409288335086,13.1080530911868,"Latescibacteria_genera_incertae_sedis","bac","Bacteria","Latescibacteria","Unassigned","Unassigned","Unassigned","Latescibacteria_genera_incertae_sedis","bac",1,0.236714975845411,0,1
"Mesorhizobium",9.49652655269895,-10.4166640586542,"Mesorhizobium","bac","Bacteria","Proteobacteria","Alphaproteobacteria","Rhizobiales","Phyllobacteriaceae","Mesorhizobium","bac",0,0,0,0
"Methyloversatilis",-9.53395983115675,-4.03066031413791,"Methyloversatilis","bac","Bacteria","Proteobacteria","Betaproteobacteria","Rhodocyclales","Rhodocyclaceae","Methyloversatilis","bac",0,0,0,0
"Microascus",-20.3540541908376,0.191543985807587,"Microascus","fun","Fungi","Ascomycota","Sordariomycetes","Microascales","Microascaceae","Microascus","fun",15,0.441441441441441,708.098650624738,15
"Micronematobotrys",13.9823084036416,-10.0192772229145,"Micronematobotrys","fun","Fungi","Ascomycota","Pezizomycetes","Pezizales","Pyronemataceae","Micronematobotrys","fun",0,0,0,0
"Mortierella",-18.7884159764436,1.52555808046817,"Mortierella","fun","Fungi","Mortierellomycota","Mortierellomycetes","Mortierellales","Mortierellaceae","Mortierella","fun",6,0.296969696969697,44.8128019323672,6
"Niastella",-10.4906997034641,5.78927203511895,"Niastella","bac","Bacteria","Bacteroidetes","Sphingobacteriia","Sphingobacteriales","Chitinophagaceae","Niastella","bac",0,0,0,0
"Nitrosopumilus",2.16704746999321,4.93426418050781,"Nitrosopumilus","bac","Archaea","Thaumarchaeota","Unassigned","Nitrosopumilales","Nitrosopumilaceae","Nitrosopumilus","bac",3,0.256544502617801,106.552108036891,3
"Nitrososphaera",18.8804733400768,3.39490887256442,"Nitrososphaera","bac","Archaea","Thaumarchaeota","Unassigned","Nitrososphaerales","Nitrososphaeraceae","Nitrososphaera","bac",0,0,0,0
"Nitrosospira",1.74371139445483,15.883761578885,"Nitrosospira","bac","Bacteria","Proteobacteria","Betaproteobacteria","Nitrosomonadales","Nitrosomonadaceae","Nitrosospira","bac",0,0,0,0
"Nitrospira",-9.527025494345,8.27905601228454,"Nitrospira","bac","Bacteria","Nitrospirae","Nitrospira","Nitrospirales","Nitrospiraceae","Nitrospira","bac",0,0,0,0
"Novosphingobium",11.5579249904755,-11.5639977081189,"Novosphingobium","bac","Bacteria","Proteobacteria","Alphaproteobacteria","Sphingomonadales","Sphingomonadaceae","Novosphingobium","bac",0,0,0,0
"Paraphaeosphaeria",14.3700583071444,1.45269425855349,"Paraphaeosphaeria","fun","Fungi","Ascomycota","Dothideomycetes","Pleosporales","Didymosphaeriaceae","Paraphaeosphaeria","fun",1,0.454545454545455,0,1
"Pedobacter",11.3494056288578,8.55847632780208,"Pedobacter","bac","Bacteria","Bacteroidetes","Sphingobacteriia","Sphingobacteriales","Sphingobacteriaceae","Pedobacter","bac",3,0.333333333333333,76.6968003011481,3
"Penicillium",12.9520422196619,10.0065706879324,"Penicillium","fun","Fungi","Ascomycota","Eurotiomycetes","Eurotiales","Aspergillaceae","Penicillium","fun",5,0.308176100628931,118.758902691511,5
"Phenylobacterium",18.8735265081598,-0.489169146402505,"Phenylobacterium","bac","Bacteria","Proteobacteria","Alphaproteobacteria","Caulobacterales","Caulobacteraceae","Phenylobacterium","bac",0,0,0,0
"Polyschema",-0.298609995304821,-11.0012763538444,"Polyschema","fun","Fungi","Ascomycota","Dothideomycetes","Pleosporales","Pleosporales_fam_Incertae_sedis","Polyschema","fun",0,0,0,0
"Povalibacter",-6.15674747825878,12.3577382852276,"Povalibacter","bac","Bacteria","Proteobacteria","Gammaproteobacteria","Xanthomonadales","Sinobacteraceae","Povalibacter","bac",1,0.208510638297872,0,1
"Pseudaleuria",19.1337368176244,7.97896846174546,"Pseudaleuria","fun","Fungi","Ascomycota","Pezizomycetes","Pezizales","Pyronemataceae","Pseudaleuria","fun",0,0,0,0
"Pseudoduganella",0.231256737215547,4.23890034623385,"Pseudoduganella","bac","Bacteria","Proteobacteria","Betaproteobacteria","Burkholderiales","Oxalobacteraceae","Pseudoduganella","bac",1,0.171929824561404,0,1
"Pseudogulbenkiania",2.25452804027189,0.481076023774432,"Pseudogulbenkiania","bac","Bacteria","Proteobacteria","Betaproteobacteria","Neisseriales","Neisseriaceae","Pseudogulbenkiania","bac",4,0.362962962962963,249.175741649655,4
"Pseudogymnoascus",5.11549399402653,17.2908595712504,"Pseudogymnoascus","fun","Fungi","Ascomycota","Leotiomycetes","Thelebolales","Pseudeurotiaceae","Pseudogymnoascus","fun",0,0,0,0
"Pseudolabrys",17.8726198119932,-4.46214029078794,"Pseudolabrys","bac","Bacteria","Proteobacteria","Alphaproteobacteria","Rhizobiales","Xanthobacteraceae","Pseudolabrys","bac",0,0,0,0
"Pseudomonas",-5.71110780396606,2.81254933613847,"Pseudomonas","bac","Bacteria","Proteobacteria","Gammaproteobacteria","Pseudomonadales","Pseudomonadaceae","Pseudomonas","bac",1,0.232227488151659,0,1
"Pyrus",1.76077246423563,-2.24935380321353,"Pyrus","fun","Viridiplantae","Anthophyta","Eudicotyledonae","Rosales","Rosaceae","Pyrus","fun",1,0.26775956284153,0,1
"Ralstonia",14.2525790342303,12.921106570164,"Ralstonia","bac","Bacteria","Proteobacteria","Betaproteobacteria","Burkholderiales","Burkholderiaceae","Ralstonia","bac",1,0.205020920502092,0,1
"Ramophialophora",-6.86099546428051,-8.73581813862117,"Ramophialophora","fun","Fungi","Ascomycota","Sordariomycetes","Sordariales","Sordariales_fam_Incertae_sedis","Ramophialophora","fun",0,0,0,0
"Rhizobium",-2.17608284726517,15.456284925306,"Rhizobium","bac","Bacteria","Proteobacteria","Alphaproteobacteria","Rhizobiales","Rhizobiaceae","Rhizobium","bac",0,0,0,0
"Rhizomicrobium",-3.46679816071155,-11.0575706939924,"Rhizomicrobium","bac","Bacteria","Proteobacteria","Alphaproteobacteria","Alphaproteobacteria_incertae_sedis","Unassigned","Rhizomicrobium","bac",0,0,0,0
"Rhodanobacter",-17.089866734564,-0.0960176574535361,"Rhodanobacter","bac","Bacteria","Proteobacteria","Gammaproteobacteria","Xanthomonadales","Xanthomonadaceae","Rhodanobacter","bac",3,0.357664233576642,141.13115942029,3
"Rhodoplanes",-3.93076242687817,11.9863237981365,"Rhodoplanes","bac","Bacteria","Proteobacteria","Alphaproteobacteria","Rhizobiales","Hyphomicrobiaceae","Rhodoplanes","bac",1,0.239024390243902,0,1
"Rhodotorula",1.46237442752766,-12.7331513965947,"Rhodotorula","fun","Fungi","Basidiomycota","Microbotryomycetes","Sporidiobolales","Sporidiobolaceae","Rhodotorula","fun",0,0,0,0
"Rosulabryum",17.549462218271,-7.26451716451526,"Rosulabryum","fun","Viridiplantae","Bryophyta","Bryopsida","Bryales","Bryaceae","Rosulabryum","fun",0,0,0,0
"Rudaea",-17.5599341513929,3.03499344476321,"Rudaea","bac","Bacteria","Proteobacteria","Gammaproteobacteria","Xanthomonadales","Xanthomonadaceae","Rudaea","bac",3,0.342657342657343,68.317972607103,3
"Saccharibacteria_genera_incertae_sedis",2.29860675637818,17.8643947504844,"Saccharibacteria_genera_incertae_sedis","bac","Bacteria","Candidatus_Saccharibacteria","Unassigned","Unassigned","Unassigned","Saccharibacteria_genera_incertae_sedis","bac",0,0,0,0
"Sagenomella",2.55970855522366,12.7662254583129,"Sagenomella","fun","Fungi","Ascomycota","Eurotiomycetes","Eurotiales","Trichocomaceae","Sagenomella","fun",5,0.296969696969697,148.900448585231,5
"Saitozyma",12.0387678771049,2.69905051571521,"Saitozyma","fun","Fungi","Basidiomycota","Tremellomycetes","Tremellales","Trimorphomycetaceae","Saitozyma","fun",1,0.454545454545455,0,1
"Sediminibacterium",-7.15250448545757,4.28350590435235,"Sediminibacterium","bac","Bacteria","Bacteroidetes","Sphingobacteriia","Sphingobacteriales","Chitinophagaceae","Sediminibacterium","bac",1,0.232227488151659,0,1
"Spartobacteria_genera_incertae_sedis",-5.09803753854754,1.1466898575013,"Spartobacteria_genera_incertae_sedis","bac","Bacteria","Verrucomicrobia","Spartobacteria","Unassigned","Unassigned","Spartobacteria_genera_incertae_sedis","bac",1,0.232227488151659,0,1
"Sphingobium",-14.7434102636179,-0.00264093128991383,"Sphingobium","bac","Bacteria","Proteobacteria","Alphaproteobacteria","Sphingomonadales","Sphingomonadaceae","Sphingobium","bac",2,0.312101910828025,4.33562271062271,2
"Sphingomonas",15.4454780691874,10.6413724763195,"Sphingomonas","bac","Bacteria","Proteobacteria","Alphaproteobacteria","Sphingomonadales","Sphingomonadaceae","Sphingomonas","bac",2,0.324503311258278,22.3968003011481,2
"Staphylotrichum",4.08317072938185,-12.6942869269344,"Staphylotrichum","fun","Fungi","Ascomycota","Sordariomycetes","Sordariales","Sordariales_fam_Incertae_sedis","Staphylotrichum","fun",0,0,0,0
"Steroidobacter",-0.826120576748888,17.1678328816858,"Steroidobacter","bac","Bacteria","Proteobacteria","Gammaproteobacteria","Xanthomonadales","Sinobacteraceae","Steroidobacter","bac",0,0,0,0
"Streptophyta",10.0832626267472,-2.66024599222498,"Streptophyta","bac","Bacteria","Cyanobacteria","Chloroplast","Unassigned","Chloroplast","Streptophyta","bac",1,1,0,1
"Subdivision3_genera_incertae_sedis",5.93340277766235,-14.2070593236864,"Subdivision3_genera_incertae_sedis","bac","Bacteria","Verrucomicrobia","Subdivision3","Unassigned","Unassigned","Subdivision3_genera_incertae_sedis","bac",0,0,0,0
"Talaromyces",21.2702240382637,1.61837832970737,"Talaromyces","fun","Fungi","Ascomycota","Eurotiomycetes","Eurotiales","Trichocomaceae","Talaromyces","fun",0,0,0,0
"Telmatobacter",0.136404517559542,19.758775332599,"Telmatobacter","bac","Bacteria","Acidobacteria","Acidobacteria_Gp1","Unassigned","Unassigned","Telmatobacter","bac",0,0,0,0
"Terrimonas",4.66786614886416,14.5537122139263,"Terrimonas","bac","Bacteria","Bacteroidetes","Sphingobacteriia","Sphingobacteriales","Chitinophagaceae","Terrimonas","bac",1,0.230046948356808,0,1
"Tetracystis",-1.57122675743714,-13.9720522396606,"Tetracystis","fun","Viridiplantae","Chlorophyta","Chlorophyceae","Chlamydomonadales","Chlorococcaceae","Tetracystis","fun",0,0,0,0
"Tetrahymena",-10.1877127736117,-7.4453346346528,"Tetrahymena","fun","Alveolata","Ciliophora","Oligohymenophorea","Hymenostomatida","Tetrahymenidae","Tetrahymena","fun",0,0,0,0
"Thiobacillus",-19.1619492287065,-2.14275879277044,"Thiobacillus","bac","Bacteria","Proteobacteria","Betaproteobacteria","Hydrogenophilales","Hydrogenophilaceae","Thiobacillus","bac",1,0.308176100628931,0,1
"Trichoderma",13.8025899144,-0.652008609321504,"Trichoderma","fun","Fungi","Ascomycota","Sordariomycetes","Hypocreales","Hypocreaceae","Trichoderma","fun",3,0.714285714285714,7,3
"Tylenchorhynchus",4.90597417038871,5.22459627010857,"Tylenchorhynchus","fun","Metazoa","Nematoda","Chromadorea","Rhabditida","Telotylenchidae","Tylenchorhynchus","fun",2,0.206751054852321,48,2
"Unassigned",-11.4218455658908,3.28714101993259,"Unassigned","bac","Bacteria","Chloroflexi","Anaerolineae","Anaerolineales","Anaerolineaceae","Unassigned","bac",0,0,0,0
"Vorticella",-2.31405411506183,7.44423140992642,"Vorticella","fun","Alveolata","Ciliophora","Oligohymenophorea","Oligohymenophorea_ord_Incertae_sedis","Vorticellidae","Vorticella","fun",2,0.262032085561497,48,2
"WPS-1_genera_incertae_sedis",11.6025717441628,17.0362116459123,"WPS-1_genera_incertae_sedis","bac","Bacteria","candidate_division_WPS-1","Unassigned","Unassigned","Unassigned","WPS-1_genera_incertae_sedis","bac",0,0,0,0
"Zopfiella",-4.36145850508651,16.6506428649244,"Zopfiella","fun","Fungi","Ascomycota","Sordariomycetes","Sordariales","Chaetomiaceae","Zopfiella","fun",0,0,0,0
