"Source","Target","p_value"
"OTU_306","pH",0.251603559127996
"OTU_493","pH",0.0395721157123259
"OTU_545","pH",0.0126671959558513
"OTU_133","pH",0.417827382074817
"OTU_381","pH",0.618350636042558
"OTU_486","pH",0.00602708683235383
"OTU_274","pH",0.130978343477838
"OTU_422","pH",0.282376788367918
"OTU_581","pH",0.351171013802599
"OTU_101","pH",0.463846340682976
"OTU_130","pH",0.112928075565784
"OTU_115","pH",0.0901023717598994
"OTU_301","pH",0.185810452712475
"OTU_71","pH",0.854355934440891
"OTU_66","pH",0.961611169275751
"OTU_153","pH",0.137441051471956
"OTU_121","pH",0.514349241580419
"OTU_266","pH",0.282147234341577
"OTU_144","pH",0.827981792900345
"OTU_682","pH",0.550652201254129
"OTU_481","pH",0.0267650424502835
"OTU_150","pH",0.153473097072325
"OTU_204","pH",0.756154994472274
"OTU_354","pH",0.180975552949417
"OTU_288","pH",0.956864748910929
"OTU_110","pH",0.40744018706403
"OTU_69","pH",0.754554703134954
"OTU_192","pH",0.0216478897031978
"OTU_171","pH",0.0615606916850441
"OTU_162","pH",0.013091085680171
"OTU_299","pH",0.822661195582431
"OTU_237","pH",0.0381734194140371
"OTU_74","pH",0.0891998611770702
"OTU_93","pH",0.00512619699321285
"OTU_359","pH",0.101727938807481
"OTU_309","pH",0.038854748470777
"OTU_267","pH",0.224699457457786
"OTU_234","pH",0.0060020471772164
"OTU_179","pH",0.00965348792916039
"OTU_333","pH",0.621605799060803
"OTU_694","pH",0.588166451363505
"OTU_217","pH",0.181249017141666
"OTU_238","pH",0.177741975416454
"OTU_146","pH",0.00488655541116493
"OTU_387","pH",0.842623812290273
"OTU_302","pH",0.539351349678242
"OTU_160","pH",0.0060020471772164
"OTU_99","pH",0.193829496469331
"OTU_244","pH",0.817663487766251
"OTU_199","pH",0.119541577949231
"OTU_198","pH",0.189970478410185
"OTU_270","pH",0.0369648203659253
"OTU_187","pH",0.776459786927061
"OTU_247","pH",0.177973799099554
"OTU_92","pH",0.11909150049664
"OTU_155","pH",0.318834767427008
"OTU_21","pH",0.872708503418522
"OTU_236","pH",0.0787543147794288
"OTU_487","pH",0.900775758185318
"OTU_622","pH",0.378810215013322
"OTU_445","pH",0.00674817825001886
"OTU_409","pH",0.224011032533001
"OTU_169","pH",0.862035931045715
"OTU_265","pH",0.484276769542521
"OTU_423","pH",0.0159464299240981
"OTU_87","pH",0.138665658297021
"OTU_555","pH",0.435566207539407
"OTU_53","pH",0.00495063253556001
"OTU_65","pH",0.17146654145114
"OTU_255","pH",0.366975289115628
"OTU_235","pH",0.0799011224917366
"OTU_243","pH",0.336729323761043
"OTU_376","pH",0.745562051504571
"OTU_141","pH",0.575855888075735
"OTU_188","pH",0.273586280852158
"OTU_114","pH",0.0279281818568741
"OTU_262","pH",0.669576728187601
"OTU_147","pH",0.102666947676767
"OTU_478","pH",0.632204195953951
"OTU_618","pH",0.00817842401977277
"OTU_356","pH",0.0347514986551667
"OTU_701","pH",0.0403677182008229
"OTU_100","pH",0.21756633454893
"OTU_125","pH",0.205277573322638
"OTU_416","pH",0.507556178692959
"OTU_312","pH",0.0919542704386827
"OTU_156","pH",0.666597536261463
"OTU_118","pH",0.913214275963887
"OTU_175","pH",0.126117539795094
"OTU_427","pH",0.00674817825001886
"OTU_70","pH",0.598081542220852
"OTU_544","pH",0.00420030276550194
"OTU_249","pH",0.814624423741785
"OTU_351","pH",0.0117356737195831
"OTU_902","pH",0.00602708683235383
"OTU_533","pH",0.879987814076441
"OTU_84","pH",0.780053004027119
"OTU_633","pH",0.0976838367089477
"OTU_322","pH",0.240238578720282
"OTU_443","pH",0.591463943163976
"OTU_917","pH",0.240670400895589
"OTU_79","pH",0.113034753171568
"OTU_290","pH",0.133898333309972
"OTU_770","pH",0.588817174166257
"OTU_215","pH",0.473822635021513
"OTU_83","pH",0.260917062066615
"OTU_311","pH",0.620247983284355
"OTU_415","pH",0.274729404367801
"OTU_348","pH",0.0864243400142868
"OTU_232","pH",0.0346938855371378
"OTU_366","pH",0.0060020471772164
"OTU_898","pH",0.0287279435421377
"OTU_741","pH",0.083410371762799
"OTU_1104","pH",0.0497942355778772
"OTU_129","pH",0.448686051661907
"OTU_418","pH",0.740348265597895
"OTU_566","pH",0.0738976269066695
"OTU_818","pH",0.037914463340542
"OTU_152","pH",0.608192897226626
"OTU_52","pH",0.0381734194140371
"OTU_820","pH",0.0238294974969699
"OTU_905","pH",0.0901821694401986
"OTU_961","pH",0.0028599808850406
"OTU_872","pH",0.0177782182664163
"OTU_214","pH",0.0186750235832748
"OTU_168","pH",0.0183970707299742
"OTU_728","pH",0.763841716271192
"OTU_520","pH",0.196915432257741
"OTU_537","pH",0.20245517474846
"OTU_761","pH",0.00449244712957382
"OTU_289","pH",0.00965348792916039
"OTU_504","pH",0.374302804512802
"OTU_987","pH",0.0438842128370482
"OTU_212","pH",0.0870657584537142
"OTU_140","pH",0.833642305950049
"OTU_227","pH",0.157202635292416
"OTU_426","pH",0.507892885304115
"OTU_167","pH",0.681057667119885
"OTU_625","pH",0.369636934655376
"OTU_1108","pH",0.184133550217459
"OTU_1295","pH",0.880341482140254
"OTU_61","pH",0.36777879412874
"OTU_408","pH",0.407647743601114
"OTU_615","pH",0.403434072955659
"OTU_51","pH",0.555384293673382
"OTU_256","pH",0.0366658050595976
"OTU_838","pH",0.287367213786118
"OTU_335","pH",0.024897137678797
"OTU_628","pH",0.010488992855687
