"","igraph.degree","igraph.closeness","igraph.betweenness","igraph.cen.degree"
"ASV_4",5,1,0,5
"ASV_8",2,1,0,2
"ASV_7",1,1,0,1
"ASV_9",3,1,0,3
"ASV_11",4,1,0,4
"ASV_13",1,1,0,1
"ASV_20",5,1,0,5
"ASV_16",1,1,0,1
"ASV_10",2,1,0,2
"ASV_28",4,1,0,4
"ASV_17",1,1,0,1
"ASV_21",4,1,0,4
"ASV_33",3,1,0,3
"ASV_34",2,1,0,2
"ASV_19",1,1,0,1
"ASV_26",4,1,0,4
"ASV_23",1,1,0,1
"ASV_35",2,1,0,2
"ASV_32",2,1,0,2
"ASV_52",1,1,0,1
"ASV_36",4,1,0,4
"ASV_22",2,1,0,2
"ASV_30",1,1,0,1
"ASV_46",3,1,0,3
"ASV_49",2,1,0,2
"ASV_47",2,1,0,2
"ASV_24",3,1,0,3
"ASV_45",1,1,0,1
"ASV_50",3,1,0,3
"ASV_39",1,1,0,1
"ASV_44",5,1,0,5
"ASV_41",2,1,0,2
"ASV_61",1,1,0,1
"ASV_48",2,1,0,2
"ASV_86",3,1,0,3
"ASV_93",1,1,0,1
"ASV_77",3,1,0,3
"ASV_59",1,1,0,1
"ASV_76",2,1,0,2
"ASV_62",2,1,0,2
"ASV_56",1,1,0,1
"ASV_95",1,1,0,1
"ASV_66",2,1,0,2
"ASV_65",1,1,0,1
"ASV_78",2,1,0,2
"ASV_89",2,1,0,2
"ASV_92",1,1,0,1
"ASV_112",1,1,0,1
"ASV_84",1,1,0,1
"ASV_119",3,1,0,3
"ASV_97",1,1,0,1
"ASV_73",2,1,0,2
"ASV_85",1,1,0,1
"ASV_101",3,1,0,3
"ASV_104",3,1,0,3
"ASV_98",3,1,0,3
"ASV_103",1,1,0,1
"ASV_106",3,1,0,3
"ASV_124",1,1,0,1
"ASV_122",1,1,0,1
"ASV_159",1,1,0,1
"ASV_136",1,1,0,1
"ASV_43",4,1,0,4
"ASV_134",1,1,0,1
"ASV_169",1,1,0,1
"ASV_129",3,1,0,3
"ASV_108",2,1,0,2
"ASV_125",1,1,0,1
"ASV_204",1,1,0,1
"ASV_123",1,1,0,1
"ASV_143",1,1,0,1
"ASV_186",2,1,0,2
"ASV_142",2,1,0,2
"ASV_67",1,1,0,1
"ASV_149",1,1,0,1
"ASV_180",1,1,0,1
"ASV_168",1,1,0,1
"ASV_163",1,1,0,1
"ASV_158",1,1,0,1
"ASV_208",3,1,0,3
"ASV_177",1,1,0,1
"ASV_237",2,1,0,2
"ASV_140",1,1,0,1
"ASV_147",1,1,0,1
"ASV_144",1,1,0,1
"ASV_209",1,1,0,1
"ASV_261",1,1,0,1
"ASV_235",1,1,0,1
"ASV_170",1,1,0,1
"ASV_164",2,1,0,2
"ASV_222",1,1,0,1
"ASV_192",2,1,0,2
"ASV_215",1,1,0,1
"ASV_188",1,1,0,1
"ASV_227",2,1,0,2
"ASV_194",2,1,0,2
"ASV_141",3,1,0,3
"ASV_167",1,1,0,1
"ASV_205",1,1,0,1
"ASV_185",2,1,0,2
"ASV_1156",3,1,0,3
"ASV_224",1,1,0,1
"ASV_276",3,1,0,3
"ASV_267",1,1,0,1
"ASV_195",1,1,0,1
"ASV_238",1,1,0,1
"ASV_88",1,1,0,1
"ASV_264",1,1,0,1
"ASV_165",1,1,0,1
"ASV_255",1,1,0,1
"ASV_272",3,1,0,3
"ASV_266",1,1,0,1
"ASV_285",1,1,0,1
"ASV_211",1,1,0,1
"ASV_91",1,1,0,1
"ASV_360",1,1,0,1
"ASV_371",2,1,0,2
"ASV_319",1,1,0,1
"ASV_251",1,1,0,1
"ASV_320",1,1,0,1
"ASV_257",1,1,0,1
"ASV_309",2,1,0,2
"ASV_325",1,1,0,1
"ASV_480",1,1,0,1
"ASV_439",4,1,0,4
"ASV_596",1,1,0,1
"ASV_802",1,1,0,1
"ASV_337",1,1,0,1
"ASV_372",1,1,0,1
"ASV_297",1,1,0,1
"ASV_381",2,1,0,2
"ASV_183",1,1,0,1
"ASV_593",1,1,0,1
"ASV_471",2,1,0,2
"ASV_418",1,1,0,1
