source,target,correlation,direct,cor
ASV_217,ASV_80,1,undirected,+
ASV_113,ASV_175,-1,undirected,-
ASV_236,ASV_175,-1,undirected,-
ASV_181,ASV_110,-1,undirected,-
ASV_460,ASV_110,1,undirected,+
ASV_482,ASV_110,-1,undirected,-
ASV_236,ASV_113,1,undirected,+
ASV_147,ASV_90,-1,undirected,-
ASV_320,ASV_90,-1,undirected,-
ASV_409,ASV_90,-1,undirected,-
ASV_189,ASV_125,-1,undirected,-
ASV_338,ASV_125,-1,undirected,-
ASV_320,ASV_147,1,undirected,+
ASV_409,ASV_147,1,undirected,+
ASV_164,ASV_126,1,undirected,+
ASV_214,ASV_126,1,undirected,+
ASV_326,ASV_126,1,undirected,+
ASV_338,ASV_189,1,undirected,+
ASV_262,ASV_150,1,undirected,+
ASV_208,ASV_150,1,undirected,+
ASV_535,ASV_150,1,undirected,+
ASV_169,ASV_742,-1,undirected,-
ASV_200,ASV_742,-1,undirected,-
ASV_250,ASV_742,-1,undirected,-
ASV_230,ASV_165,-1,undirected,-
ASV_354,ASV_179,-1,undirected,-
ASV_378,ASV_180,1,undirected,+
ASV_404,ASV_180,1,undirected,+
ASV_351,ASV_2250,1,undirected,+
ASV_457,ASV_2250,-1,undirected,-
ASV_460,ASV_181,-1,undirected,-
ASV_482,ASV_181,1,undirected,+
ASV_298,ASV_292,1,undirected,+
ASV_550,ASV_292,1,undirected,+
ASV_214,ASV_164,1,undirected,+
ASV_326,ASV_164,1,undirected,+
ASV_550,ASV_298,1,undirected,+
ASV_200,ASV_169,1,undirected,+
ASV_250,ASV_169,1,undirected,+
ASV_208,ASV_262,1,undirected,+
ASV_535,ASV_262,1,undirected,+
ASV_392,ASV_349,-1,undirected,-
ASV_217,ASV_288,-1,undirected,-
ASV_661,ASV_266,-1,undirected,-
ASV_327,ASV_266,1,undirected,+
ASV_409,ASV_320,1,undirected,+
ASV_250,ASV_200,1,undirected,+
ASV_326,ASV_214,1,undirected,+
ASV_482,ASV_460,-1,undirected,-
ASV_404,ASV_378,1,undirected,+
ASV_327,ASV_661,-1,undirected,-
ASV_535,ASV_208,1,undirected,+
ASV_457,ASV_351,-1,undirected,-
ASV_180,ASV_2,-1,undirected,-
ASV_378,ASV_2,-1,undirected,-
ASV_404,ASV_2,-1,undirected,-
ASV_140,ASV_3,1,undirected,+
ASV_260,ASV_3,-1,undirected,-
ASV_148,ASV_10,-1,undirected,-
ASV_186,ASV_10,-1,undirected,-
ASV_767,ASV_17,-1,undirected,-
ASV_440,ASV_17,-1,undirected,-
ASV_393,ASV_15,-1,undirected,-
ASV_229,ASV_15,1,undirected,+
ASV_29,ASV_18,-1,undirected,-
ASV_345,ASV_18,1,undirected,+
ASV_345,ASV_29,-1,undirected,-
ASV_60,ASV_39,1,undirected,+
ASV_143,ASV_39,1,undirected,+
ASV_242,ASV_44,-1,undirected,-
ASV_395,ASV_44,-1,undirected,-
ASV_221,ASV_35,-1,undirected,-
ASV_376,ASV_35,-1,undirected,-
ASV_77,ASV_33,1,undirected,+
ASV_271,ASV_33,1,undirected,+
ASV_92,ASV_166,-1,undirected,-
ASV_607,ASV_166,1,undirected,+
ASV_143,ASV_60,1,undirected,+
ASV_71,ASV_88,-1,undirected,-
ASV_556,ASV_88,1,undirected,+
ASV_507,ASV_46,1,undirected,+
ASV_381,ASV_46,1,undirected,+
ASV_556,ASV_71,-1,undirected,-
ASV_75,ASV_61,1,undirected,+
ASV_277,ASV_61,-1,undirected,-
ASV_155,ASV_84,1,undirected,+
ASV_258,ASV_84,-1,undirected,-
ASV_103,ASV_65,1,undirected,+
ASV_394,ASV_65,1,undirected,+
ASV_412,ASV_68,-1,undirected,-
ASV_388,ASV_68,1,undirected,+
ASV_394,ASV_103,1,undirected,+
ASV_271,ASV_77,1,undirected,+
ASV_282,ASV_76,1,undirected,+
