"","Y1","Y2","Y3","Y4","Y5","Y6","Y7","Y8","Y9","Y10","Y11","Y12","Y13","Y14","Y15","Y16","Y17","Y18","Y19","Y20","Y21","Y22","Y23","Y24","Y25","Y26","Y27","Y28","Y29","Y30","Y31","Y32","Y33","Y34","Y35","Y36","Y37","Y38","Y39","Y40","Y41","Y42","Y43","Y44","Y45","Y46","Y47","Y48","Y49","Y50","zero_counts","sample_percent"
"Species11",0.00046242774566474,0,0.000244081034903588,0.000607441154138193,0,0,0.000662397880326783,0,0.00224511357633386,0,0.0033891124761703,0.00346534653465347,0.00284141360326763,0,0.00015600624024961,0.000484932455836508,0.00131037064769749,0.000292911540714704,0.00221674876847291,0.000851184565186551,0.000520872088697076,0.00295479955278709,0.000189436993256043,0.000839886997022219,0.000254760843258391,0.00117178345441762,0.00161363196282192,0.00075007500750075,0.000418439221703048,0,0.000265322366675511,0.000215912771240419,0.000664090799323835,0.000912408759124088,0.000395100750691426,0.000669194735668079,0,0.000510264159830435,0.000443262411347518,0.000496812122215782,0.000198039409842559,0.000485302273987798,0.00103909598649175,0.00101613108090944,0.00139643134212568,0.00140222198252616,0.00125182557896933,0.000611620795107034,0.000308223400320552,0.0082441113490364,8,0.84
"Species12",0,0,0,0,0,0.00890928725701944,0,0,0,0,0,0,0,0,0,0.000831312781434015,0,0,0.00160098522167488,0,0,0,0.000606198378419338,0,0,0,0,0,0.0020224562382314,0,0,0,0,0,0,0,0,0.000274757624524081,0,0,0,0,0,0,0,0,0,0,0,0,44,0.12
"Species13",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000762036716314513,0,0,0,0,0.00156261626609123,0,0,0,0,0,0,0.00165016501650165,0,0,0,0,0,0,0,0,0,0.000392510892177258,0,0,0,0,0,0,0,0,0,0,0,0,46,0.08
"Species14",0.00161849710982659,0.00302059496567506,0.00268489138393947,0.00334092634776006,0.000170039108995069,0.000944924406047516,0.00132479576065357,0.0304990757855823,0.00264131008980454,0.00209081649064494,0,0,0,0,0.00234009360374415,0.00131624523727052,0.00168476226132535,0.00175746924428822,0.00110837438423645,0.0058164278621081,0.00156261626609123,0.00343395623702284,0.000681973175721755,0.00236695426433534,0.00184701611362334,0.00234356690883525,0.00238817530497644,0.00375037503750375,0.00223167584908292,0.00096401028277635,0.00087177349050525,0.00269890964050524,0.00175078483458102,0.0030793795620438,0.00355590675622284,0.00133838947133616,0.000980872976949485,0.000628017427483613,0.00110815602836879,0.00372609091661837,0.00227745321318942,0.00180255130338325,0.00142875698142616,0.000698590118125238,0.00160331005947763,0.00517743501240427,0.00166910077195911,0.00198776758409786,0.00197262976205153,0.0012847965738758,4,0.92
"Species15",0.00138728323699422,0.000823798627002288,0.000976324139614352,0.00197418375094913,0.000170039108995069,0.000809935205183585,0.00154559505409583,0.0023765513599155,0.00515055467511886,0.00187637377365571,0.00180046600296547,9.9009900990099e-05,0.00053276505061268,0.0015420200462606,0.00109204368174727,0.00180117769310703,0.00112317484088356,0.00307557117750439,0.000492610837438424,0.0020570293658675,0.000520872088697076,0.000798594473726242,0.000378873986512086,0.00137436054058181,0.00121011400547736,0.000859307866572924,0.000709998063641645,0.00135013501350135,0.00195271636794756,0.00032133676092545,0.000416935147632945,0.00129547662744251,0.00120743781695243,0.000912408759124088,0.00158040300276571,0.00178451929511488,0.000490436488474743,0.000706519605919064,0.00155141843971631,0.00165604040738594,0.00128725616397663,0.00180255130338325,0.00129886998311469,0.00120665565857996,0.000362037755365917,0.00129435875310107,0.00166910077195911,0.00137614678899083,0.00147947232153865,0.00299785867237687,0,1
"Species16",0.00138728323699422,0.00146453089244851,0.000244081034903588,0.00167046317388003,0.000170039108995069,0.0017548596112311,0.000993596820490175,0.00198045946659625,0.00105652403592182,0.000643328150967673,0.0043423003600932,0.000495049504950495,0.00106553010122536,0.000289128758673863,0.0015600624024961,0.00131624523727052,0.000561587420441782,0.000512595196250732,0.000369458128078818,0.00283728188395517,0.000520872088697076,0.00335409678965022,0.000568310979768129,0.000839886997022219,0.000764282529775174,0.00171861573314585,0.000709998063641645,0.000525052505250525,0.00146453727596067,0.0006426735218509,0.00166774059053178,0.00129547662744251,0.000603718908476213,0.00136861313868613,0.00138285262741999,0.00156145438322552,0.00245218244237371,0.000942026141225419,0.000443262411347518,0.000910822224062267,0.00158431527874047,0.00131724902939545,0.00142875698142616,0.000317540962784199,0.000568916472717869,0.000970769064825801,0.00146046317546422,0.000764525993883792,0.000678091480705215,0.000107066381156317,0,1
"Species17",0.229826589595376,0.131807780320366,0.168659995118379,0.191040242976462,0.347049821458936,0.18817494600432,0.113159637889159,0.0561130182202271,0.121764395139989,0.262960381708036,0.19063757678458,0.166732673267327,0.110637542177233,0.206630686198921,0.160374414976599,0.169587807412539,0.124485211531262,0.199399531341535,0.128694581280788,0.114342459923393,0.180742614777885,0.0678006708193579,0.0639918163218913,0.113613804688097,0.0933061588433858,0.145223029450824,0.0520880397598916,0.0768826882688269,0.185019875863031,0.107969151670951,0.0297919114581359,0.255532764763036,0.0789664332286887,0.164803832116788,0.169596997234295,0.0960294445683694,0.183178028445316,0.0790516936844997,0.303523936170213,0.130661588142751,0.133082483414199,0.091236827509706,0.12728925834524,0.0426139972056395,0.0980087923454875,0.18843706180563,0.16774462758189,0.175993883792049,0.0994945136234743,0.166381156316916,0,1
"Species18",0.016878612716763,0.0118993135011442,0.00903099829143275,0.0121488230827639,0.00527121237884714,0.0179535637149028,0.014351954073747,0.0376287298653288,0.0178288431061807,0.0130810057363427,0.0158864647320483,0.0099009900990099,0.037648730243296,0.00819198149575944,0.0170046801872075,0.0243158988569449,0.00280793710220891,0.0131810193321617,0.00899014778325123,0.0127677684777983,0.0122776992335739,0.00974285257946015,0.00519057361521558,0.0161105596701535,0.01108209668174,0.0114834778532927,0.00451816949590137,0.00442544254425443,0.0197363832903271,0.00610539845758355,0.00822499336694083,0.00874446723523696,0.00627867664815262,0.0126596715328467,0.0354602923745555,0.010818648226634,0.00196174595389897,0.00714369823762609,0.0150709219858156,0.0169744141757059,0.0103970690167343,0.0155990016638935,0.0355890375373425,0.00323891782039883,0.0103439358675976,0.0446553769819868,0.0242019611934071,0.0111620795107034,0.0137467636542966,0.0120985010706638,0,1
"Species19",0.00184971098265896,0.00375286041189931,0.000732243104710764,0.00455580865603645,0.000850195544975344,0.00553455723542117,0.00264959152130713,0.00594137839978875,0.00211304807184363,0.00117943494344073,0.00222410506248676,0.00118811881188119,0.00639318060735216,0.00366229760986893,0.00343213728549142,0.00152407343262903,0.00168476226132535,0.00109841827768014,0.00221674876847291,0.00276634983685629,0.000967333879008855,0.000239578342117873,0.000340986587860877,0.00221424753760403,0.00140118463792115,0.0018748535270682,0.00135545084877041,0.0012001200120012,0.00278959481135365,0.0019280205655527,0.000492741538111663,0.00302277879736586,0.00175078483458102,0.000342153284671533,0.00177795337811142,0.0016729868391702,0.00147130946542423,0.0010597794088786,0.00155141843971631,0.0027324666721868,0.000792157639370235,0.00145590682196339,0.00246785296791791,0.000762098310682078,0.000724075510731833,0.0019415381296516,0.000834550385979554,0.0018348623853211,0.000554802120576994,0.00107066381156317,0,1
"Species20",0.00138728323699422,0.00155606407322654,0.00122040517451794,0.00167046317388003,0.000170039108995069,0.00296976241900648,0.00353278869507618,0.00356482703987325,0.00118858954041204,0.000804160188709591,0.00275365388688837,0.000594059405940594,0.00195347185224649,0.00106013878180416,0.00093603744149766,0.00193972982334603,0.00131037064769749,0.00102519039250146,0.00160098522167488,0.00212796141296638,0.00141379566932063,0.000559016131608369,0.000644085777070546,0.00351225471482019,0.000891662951404369,0.0040621826419811,0.000516362228103014,0.0018001800180018,0.00188297649766371,0.0006426735218509,0.000644354319069098,0.00151138939868293,0.00217338807051437,0.00114051094890511,0.00266693006716713,0.00245371403078296,0.000245218244237371,0.000824272873572242,0.00188386524822695,0.00347768485551047,0.00267353203287454,0.00124792013311148,0.00142875698142616,0.000698590118125238,0.00134471166278769,0.0069032466832057,0.000834550385979554,0.00137614678899083,0.00110960424115399,0.00642398286937901,0,1
"Species21",0.00115606936416185,0.00219679633867277,0.000976324139614352,0.00273348519362187,0.000680156435980275,0.00283477321814255,0.00154559505409583,0.000924214417744917,0.002905441098785,0.00310941939634375,0.00211819529760644,0.000792079207920792,0.00106553010122536,0.00038550501156515,0.00265210608424337,0.00214755801870454,0.00430550355672033,0.00175746924428822,0.004064039408867,0.000851184565186551,0.00156261626609123,0.00151732950007986,0.000606198378419338,0.0012216538138505,0.000891662951404369,0.00210921021795172,0.000903633899180275,0.00142514251425143,0.00495153079015273,0.0012853470437018,0.000227419171436152,0.000755694699341466,0.00217338807051437,0.000570255474452555,0.00108652706440142,0.00178451929511488,0.000735654732712114,0.000628017427483613,0.000997340425531915,0.00173884242775524,0.000891177344291514,0.00201053799223516,0.00155864397973763,0.0012701638511368,0.000775795190069822,0.00647179376550534,0.000834550385979554,0.000611620795107034,0.000986314881025767,0.00385438972162741,0,1
