	Species01	Species02	Species03	Species04	Species05	Species06	Species07	Species08	Species09	Species10	Species11	Species12	Species13	Species14	Species15	Species16	Species17	Species18	Species19	Species20	Species21	Species22	Species23	Species24	Species25	Species26	Species27	Species28	Species29	Species30	Species31	Species32	Species33	Species34	Species35	Species36
Species11	-0.0685	0.0017	-0.0531	0.0053	0.1555	0.0795	-0.135	0.092	-0.1051	0.0645	1	-0.192	0.1853	-0.0946	-0.1564	0.3296	-0.0806	0.1329	-0.0087	-0.0146	0.051	0.181	-0.0551	0.0133	0.0566	0.0773	0.0967	-0.0768	-0.139	-0.0551	-0.1541	0.0381	0.0167	0.1673	0.1488	0.1109
Species12	0.01	0.0357	0.0388	0.1353	-0.1128	-0.0327	0.0579	0.001	0.0854	-0.0391	-0.192	1	-0.1048	0.1566	0.3475	-0.118	0.2309	-0.1269	0.0327	0.123	-0.0677	-0.1293	0.1002	-0.0311	0.0664	-0.0371	-0.0499	-0.0108	0.0898	-0.0453	0.1106	0.0056	-0.0395	-0.0365	-0.0725	-0.0541
Species13	-0.0704	-0.1269	-0.1195	-0.1042	0.1507	0.1647	-0.0223	0.1073	-0.0545	0.156	0.1853	-0.1048	1	-0.1472	-0.1184	0.3441	-0.1267	0.1395	0.0125	-0.1237	0.0442	0.1468	-0.0971	-0.0715	0.1071	0.1018	0.0391	-0.0862	-0.0038	0.0496	-0.1301	-0.0271	0.0082	0.2287	0.1399	-0.0107
Species14	0.15	0.1265	0.1194	0.1617	-0.1732	-0.122	0.0582	-0.096	-0.0253	-0.106	-0.0946	0.1566	-0.1472	1	0.3399	-0.0854	0.186	-0.1358	-0.0398	0.1835	-0.0888	-0.1233	0.0911	-0.0166	-0.0157	-0.0739	-0.0667	0.048	0.0524	-0.0058	0.1969	-0.0591	0.0099	-0.1295	-0.0749	-0.0078
Species15	0.1378	0.1647	0.1638	0.2043	-0.1616	-0.0943	0.0745	-0.1277	0.1625	-0.1153	-0.1564	0.3475	-0.1184	0.3399	1	-0.1791	0.2452	-0.1235	0.0211	0.1386	-0.0328	-0.1251	0.0292	-0.0719	-0.0413	-0.0879	-0.0422	0.0641	0.0839	-0.1066	0.2168	-0.018	0.0142	-0.0954	-0.0876	-0.0584
Species16	-0.0602	-0.139	-0.1226	-0.0419	0.3304	0.2153	-0.1617	0.1754	-0.087	0.2198	0.3296	-0.118	0.3441	-0.0854	-0.1791	1	-0.0579	0.2408	-0.0342	-0.0844	0.0472	0.2989	-0.1191	0.1019	0.2852	0.0833	0.1066	-0.0945	-0.0292	0.0634	-0.1703	0.0494	0.0748	0.3799	0.311	0.0837
Species17	0.0678	0.1736	0.1155	0.1399	-0.1388	-0.1023	-0.0383	-0.1211	0.1301	-0.1275	-0.0806	0.2309	-0.1267	0.186	0.2452	-0.0579	1	-0.0833	-0.0246	0.0558	-0.0468	-0.135	0.0288	0.0497	-0.0272	-0.0202	-0.0315	-0.0472	-0.0422	-0.1204	0.1033	-0.0498	-0.0167	-0.0711	-0.0594	-0.0439
Species18	-0.0514	0.0319	-0.113	-0.0522	0.1389	0.1045	-0.0648	0.116	-0.0747	0.1328	0.1329	-0.1269	0.1395	-0.1358	-0.1235	0.2408	-0.0833	1	-0.1538	-0.0721	0.1068	0.0961	-0.0511	-0.1129	0.0896	-0.0132	-0.021	-0.0698	0.0338	-0.0028	-0.1615	0.0517	-0.0613	0.2	0.0994	0.0146
Species19	0.0252	0.0538	0.0494	0.0351	-0.0662	-0.0656	0.0658	-0.0095	0.0114	-0.0861	-0.0087	0.0327	0.0125	-0.0398	0.0211	-0.0342	-0.0246	-0.1538	1	0.081	-0.0734	-0.0543	0.0547	0.0837	-0.0604	0.0246	-0.0225	0.0224	0.0117	-0.0305	0.0324	0.0475	0.0488	-0.0688	-0.0583	-0.0605
Species20	0.0853	0.2439	0.0847	0.1132	-0.1181	-0.121	-0.0504	-0.1377	0.0339	-0.1473	-0.0146	0.123	-0.1237	0.1835	0.1386	-0.0844	0.0558	-0.0721	0.081	1	-0.1522	-0.0596	0.0992	-0.0063	-0.039	-0.0183	0.089	-0.0578	-0.1109	-0.1001	0.046	-0.0276	0.0191	-0.0633	-0.0172	0.0335
Species21	-0.0883	-0.0266	-0.1153	-0.0714	0.0496	0.0827	0.0686	-0.0205	0.0034	0.0579	0.051	-0.0677	0.0442	-0.0888	-0.0328	0.0472	-0.0468	0.1068	-0.0734	-0.1522	1	0.0379	-0.062	-0.0625	-0.0146	-0.0064	-0.0186	-0.0374	0.0155	0.0626	0.0444	0.023	-0.0191	0.016	0.1098	0.1134
Species22	-0.0387	0.0256	-0.0899	-0.0341	0.2542	0.024	-0.1923	0.0432	-0.1478	0.0292	0.181	-0.1293	0.1468	-0.1233	-0.1251	0.2989	-0.135	0.0961	-0.0543	-0.0596	0.0379	1	-0.0947	-0.0297	0.0944	-0.0092	0.2708	-0.0641	-0.1356	0.0071	-0.2044	0.0346	0.038	0.1329	0.1899	0.2068
Species23	0.0164	0.0665	-0.0195	0.0034	-0.0654	-0.0593	0.0736	0.0062	0.0162	0.0406	-0.0551	0.1002	-0.0971	0.0911	0.0292	-0.1191	0.0288	-0.0511	0.0547	0.0992	-0.062	-0.0947	1	0.0387	-0.0442	-0.0315	-0.0706	0.1331	-0.0445	-0.0586	0.0653	0.031	-0.0281	-0.0155	-0.0372	0.0078
Species24	-0.0563	-0.0448	-0.0713	-0.1128	0.0393	-0.0193	-0.0052	-0.0006	0.0518	-0.0543	0.0133	-0.0311	-0.0715	-0.0166	-0.0719	0.1019	0.0497	-0.1129	0.0837	-0.0063	-0.0625	-0.0297	0.0387	1	-0.076	0.0377	0.0276	0.046	-0.0492	0.0087	0.0541	0.0653	0.0768	-0.0514	0.0017	0.0536
Species25	-0.016	-0.062	-0.0727	-0.0401	0.0912	0.0304	-0.0673	0.0511	-0.0667	0.093	0.0566	0.0664	0.1071	-0.0157	-0.0413	0.2852	-0.0272	0.0896	-0.0604	-0.039	-0.0146	0.0944	-0.0442	-0.076	1	-0.0251	0.0246	-0.1097	0.0079	-0.0084	-0.1325	-0.006	0.0029	0.1929	0.0401	-0.0424
Species26	-0.0412	-0.1305	-0.0546	-0.1152	0.0748	0.0322	-0.0297	-0.0108	0.0724	0.0359	0.0773	-0.0371	0.1018	-0.0739	-0.0879	0.0833	-0.0202	-0.0132	0.0246	-0.0183	-0.0064	-0.0092	-0.0315	0.0377	-0.0251	1	0.0553	-0.047	-0.069	0.047	-0.0004	-0.0079	0.1047	0.0629	0.0603	-0.0031
Species27	0.0241	0.0845	-0.0317	-0.0019	0.167	-0.0967	-0.1993	-0.076	-0.0228	-0.1051	0.0967	-0.0499	0.0391	-0.0667	-0.0422	0.1066	-0.0315	-0.021	-0.0225	0.089	-0.0186	0.2708	-0.0706	0.0276	0.0246	0.0553	1	-0.0314	-0.175	0.0403	-0.1119	-0.041	0.0971	-0.0137	0.0524	0.1391
Species28	0.0456	-0.1121	0.0607	0.0231	-0.0617	0.0267	0.2415	0.0361	0.0644	-0.0196	-0.0768	-0.0108	-0.0862	0.048	0.0641	-0.0945	-0.0472	-0.0698	0.0224	-0.0578	-0.0374	-0.0641	0.1331	0.046	-0.1097	-0.047	-0.0314	1	0.1666	0.0149	0.1379	0.018	-0.0416	-0.1264	-0.1197	-0.0882
Species29	0.0213	-0.1409	0.047	-0.0145	-0.0439	0.0341	0.2547	0.1201	-0.0324	0.1063	-0.139	0.0898	-0.0038	0.0524	0.0839	-0.0292	-0.0422	0.0338	0.0117	-0.1109	0.0155	-0.1356	-0.0445	-0.0492	0.0079	-0.069	-0.175	0.1666	1	0.0824	0.1097	0.0891	-0.0156	-0.0285	-0.1366	-0.1324
Species30	-0.0478	-0.0826	0.0117	-0.0508	0.0758	0.0263	0.0655	0.0469	-0.0859	0.0229	-0.0551	-0.0453	0.0496	-0.0058	-0.1066	0.0634	-0.1204	-0.0028	-0.0305	-0.1001	0.0626	0.0071	-0.0586	0.0087	-0.0084	0.047	0.0403	0.0149	0.0824	1	0.0787	0.097	0.0028	-0.0323	-0.0511	0.003
Species31	-0.0019	0.0088	0.1297	0.039	-0.1731	-0.0755	0.2393	-0.1294	0.087	-0.1407	-0.1541	0.1106	-0.1301	0.1969	0.2168	-0.1703	0.1033	-0.1615	0.0324	0.046	0.0444	-0.2044	0.0653	0.0541	-0.1325	-0.0004	-0.1119	0.1379	0.1097	0.0787	1	-0.0359	-0.0049	-0.1495	-0.1103	-0.0463
Species32	-0.0503	-0.0744	0.0358	0.034	0.0396	-0.0714	0.003	0.04	-0.1422	0.004	0.0381	0.0056	-0.0271	-0.0591	-0.018	0.0494	-0.0498	0.0517	0.0475	-0.0276	0.023	0.0346	0.031	0.0653	-0.006	-0.0079	-0.041	0.018	0.0891	0.097	-0.0359	1	-0.075	-0.011	-0.0129	0.0029
Species33	0.0832	0.0701	0.0955	-0.1583	0.0011	-0.0825	-0.0651	-0.0481	-0.0583	-0.0489	0.0167	-0.0395	0.0082	0.0099	0.0142	0.0748	-0.0167	-0.0613	0.0488	0.0191	-0.0191	0.038	-0.0281	0.0768	0.0029	0.1047	0.0971	-0.0416	-0.0156	0.0028	-0.0049	-0.075	1	-0.0457	0.0391	-0.0065
Species34	-0.0796	-0.0836	-0.1481	-0.1094	0.1846	0.2104	-0.0695	0.1231	-0.0404	0.1715	0.1673	-0.0365	0.2287	-0.1295	-0.0954	0.3799	-0.0711	0.2	-0.0688	-0.0633	0.016	0.1329	-0.0155	-0.0514	0.1929	0.0629	-0.0137	-0.1264	-0.0285	-0.0323	-0.1495	-0.011	-0.0457	1	0.1484	-0.0118
Species35	-0.0305	-0.0196	-0.1431	-0.0739	0.1709	0.0823	-0.1031	0.0168	-0.0301	0.0449	0.1488	-0.0725	0.1399	-0.0749	-0.0876	0.311	-0.0594	0.0994	-0.0583	-0.0172	0.1098	0.1899	-0.0372	0.0017	0.0401	0.0603	0.0524	-0.1197	-0.1366	-0.0511	-0.1103	-0.0129	0.0391	0.1484	1	0.4457
Species36	-0.0589	0.1003	-0.0468	0.0117	0.1074	-0.0808	-0.1076	-0.0455	-0.0299	-0.0752	0.1109	-0.0541	-0.0107	-0.0078	-0.0584	0.0837	-0.0439	0.0146	-0.0605	0.0335	0.1134	0.2068	0.0078	0.0536	-0.0424	-0.0031	0.1391	-0.0882	-0.1324	0.003	-0.0463	0.0029	-0.0065	-0.0118	0.4457	1
