Genus	KO1	KO2	KO3	KO4	KO5	KO6	OE1	OE2	OE3	OE4	OE5	OE6	WT1	WT2	WT3	WT4	WT5	WT6	All
Bosea	0.357	0.31	0.76	1.04	0.653	0.473	0.273	0.517	0.18	0.203	0.453	0.25	0.427	0.28	0.277	0.43	0.617	0.427	0.3
Aeromicrobium	0.337	0.51	0.737	0.443	0.303	0.417	0.16	0.297	0.23	0.253	0.327	0.33	0.223	0.21	0.32	0.337	0.207	0.26	0.3
Dactylosporangium	0.133	0.277	0.0867	0.1	0.0367	0.1	0.267	0.253	0.193	0.153	0.14	0.18	0.153	0.127	0.263	0.187	0.147	0.437	0.3
Hyphomonas	0.173	0.157	0.16	0.127	0.0867	0.173	0.293	0.173	0.167	0.183	0.187	0.25	0.13	0.177	0.197	0.17	0.0867	0.267	0.3
Cupriavidus	0.0167	0	0.0133	0.17	0.0167	0.14	0.0733	0.06	0.03	0.0467	0.0433	0.0733	0.0133	0.00333	0.0233	0.06	0.04	0.0533	0.3
Sandaracinus	0.197	0.157	0.263	0.29	0.253	0.15	0.143	0.127	0.163	0.17	0.23	0.173	0.217	0.237	0.23	0.237	0.203	0.27	0.3
Ensifer	0.823	0.48	1.11	0.993	1.32	0.813	0.757	0.84	0.787	0.923	1.13	1.24	0.413	0.693	0.623	0.827	1.07	0.75	0.3
Pseudomonas	0.23	0.2	0.18	0.17	0.613	0.23	0.563	0.983	0.34	1.88	0.527	1.83	0.09	0.1	0.14	0.16	0.547	0.323	0.3
Gp6	0.05	0.06	0.03	0.0167	0.00333	0.0267	0.3	0.16	0.117	0.0567	0.18	0.387	0.167	0.05	0.187	0.12	0.0733	0.0467	0.3
Turneriella	0.05	0.03	0.0967	0.0833	0.137	0.06	0.113	0.08	0.113	0.177	0.133	0.0967	0.0967	0.15	0.153	0.143	0.0667	0.143	0.3
Caulobacter	0.213	0.14	0.18	0.167	0.117	0.297	0.147	0.267	0.163	0.14	0.323	0.2	0.143	0.123	0.0967	0.163	0.197	0.15	0.3
Micromonospora	0.157	0.177	0.433	0.0833	0.0767	0.07	0.177	0.22	0.12	0.137	0.18	0.183	0.113	0.0967	0.147	0.0967	0.16	0.13	0.3
Saccharibacteria_genera_incertae_sedis	0.0367	0.06	0.0267	0.00667	0.12	0.02	0.0267	0.103	0.03	0.0367	0.05	0.0167	0.03	0.00333	0.0567	0.0133	0.01	0.06	0.3
Reyranella	0.163	0.177	0.147	0.157	0.05	0.24	0.253	0.107	0.133	0.123	0.133	0.207	0.11	0.05	0.147	0.24	0.08	0.107	0.2
Actinophytocola	0.98	1.21	3.25	1.58	0.267	0.68	1.79	1.38	1.37	1.01	1.35	1.09	1.54	0.637	1.44	1.33	0.707	2.98	0.2
Amaricoccus	0.0733	0.04	0.03	0.0433	0.0233	0.0667	0.0667	0.0633	0.05	0.05	0.0633	0.0733	0.0367	0.0233	0.0333	0.0467	0.0467	0.04	0.2
Marmoricola	0.04	0.0667	0.09	0.0367	0.0167	0.0333	0.0267	0.0967	0.0267	0.0433	0.04	0.03	0.0233	0.01	0.0433	0.0567	0.05	0.0333	0.2
Pseudoduganella	1.86	0.773	1.08	2.54	1.99	3.19	0.593	0.45	2.41	1.64	1.07	1.16	2.34	3.69	0.957	1.45	1.51	1.15	0.2
Lechevalieria	0.07	0.213	0.173	0.0267	0.02	0.0333	0.0233	0.04	0.0767	0.0333	0.0667	0.0667	0.0833	0.0333	0.18	0.0667	0.0467	0.0767	0.2
Rubrobacter	0.0333	0.107	0.0333	0.0433	0.0167	0.04	0.08	0.0867	0.08	0.0467	0.04	0.113	0.07	0.0367	0.0533	0.05	0.0733	0.05	0.2
Spartobacteria_genera_incertae_sedis	0.0167	0.0467	0.0167	0.00667	0.0167	0.0467	0.163	0.0433	0.08	0.0233	0.08	0.153	0.0533	0.0367	0.0833	0.0567	0.0133	0.03	0.2
Geobacter	0.0633	0.0333	0.0267	0.05	0.0167	0.0533	0.0933	0.0533	0.0733	0.03	0.08	0.0567	0.0533	0.0833	0.0667	0.0333	0.04	0.0667	0.2
Cellvibrio	0.127	0.0133	0.0667	0.0367	0.09	0.0267	0.07	0.253	0.59	0.313	0.0433	0.04	0.28	0.0833	0.137	0.0533	0.0567	0.09	0.2
Nonomuraea	0.0167	0.05	0	0.0867	0.00333	0.0167	0.0867	0.0333	0.02	0.0133	0.03	0.03	0.0833	0.0167	0.0367	0.0167	0.0833	0.02	0.2
Promicromonospora	0.193	0.347	0.1	0.217	0.103	0.397	0.18	0.17	0.147	0.173	0.443	0.283	0.113	0.23	0.22	0.167	0.0833	0.163	0.2
Rhizomicrobium	0.02	0.02	0.0333	0.02	0.01	0.0333	0.0767	0.02	0.0167	0.0267	0.0233	0.0333	0.0367	0.00667	0.0367	0.0367	0.00667	0.0233	0.2
Ilumatobacter	0.133	0.153	0.0967	0.113	0.0933	0.133	0.253	0.117	0.11	0.14	0.177	0.247	0.103	0.143	0.1	0.11	0.08	0.13	0.2
Variovorax	0.663	0.497	0.313	0.48	0.487	0.74	0.54	0.407	0.517	0.647	0.687	0.82	0.357	0.59	0.64	1.45	0.82	0.477	0.2
Pseudoxanthomonas	0.617	0.277	0.283	0.443	0.607	1.15	0.3	0.43	0.367	0.567	0.833	0.577	0.32	0.21	0.61	0.36	0.363	0.383	0.2
Aciditerrimonas	0.03	0.0267	0.02	0.0133	0.0167	0.0433	0.05	0.0233	0.04	0.0267	0.0333	0.0533	0.03	0.0333	0.0233	0.0233	0.0233	0.03	0.2
Pirellula	0.00667	0.03	0.02	0	0.0167	0.02	0.0967	0.127	0.07	0.0267	0.07	0.103	0.0567	0.04	0.0533	0.0367	0.0333	0.03	0.2
Permianibacter	0.16	0.09	0.153	0.123	0.31	0.183	0.137	0.123	0.203	0.247	0.153	0.143	0.283	0.213	0.127	0.167	0.21	0.193	0.2
Gp3	0.03	0.0433	0.02	0.0167	0.00333	0.0267	0.05	0.01	0.02	0.05	0.05	0.0167	0.0133	0.0167	0.0167	0.01	0.02	0.0267	0.2
Cellulomonas	0.08	0.0667	0.02	0.0167	0.01	0.0367	0.143	0.127	0.0933	0.0833	0.13	0.12	0.183	0.0167	0.127	0.0333	0.06	0.11	0.2
Cystobacter	0.0733	0.0567	0.0133	0.00667	0.01	0.0233	0.0333	0.0533	0.02	0.103	0.0267	0.0467	0.0333	0.02	0.03	0.03	0.0233	0.03	0.2
Niastella	0.13	0.0633	0.0567	0.0567	0.0267	0.0333	0.35	0.193	0.433	0.423	0.277	0.19	0.3	0.42	0.26	0.32	0.177	0.177	0.1
Methyloceanibacter	0.0733	0.0533	0.07	0.0833	0.04	0.0667	0.0967	0.0767	0.05	0.05	0.0467	0.107	0.06	0.05	0.0467	0.06	0.0367	0.07	0.1
Microbacterium	0.157	0.03	0.0333	0.0467	0.0367	0.0633	0.0733	0.04	0.04	0.0733	0.06	0.12	0.0333	0.0233	0.0933	0.0567	0.07	0.107	0.1
Pelomonas	6.1	3.55	6.18	6.04	7.5	5.06	2.01	1.56	3.6	3.97	2.93	2.04	3.59	4.28	2.39	3.14	4.14	3.31	0.1
Parachlamydia	0.0167	0.01	0.0367	0.0133	0.00333	0	0.02	0.0233	0.0167	0.0167	0.00667	0.0133	0.03	0.0267	0.0133	0.0233	0.00333	0.01	0.1
Gp25	0.0167	0.00667	0	0.00667	0	0.00667	0.01	0.01	0.0133	0.0167	0.0267	0.0233	0.02	0.00667	0.00333	0.00333	0.00333	0.01	0.1
Catellatospora	0.11	0.213	0.13	0.163	0.0567	0.117	0.217	0.273	0.14	0.21	0.157	0.187	0.157	0.103	0.197	0.0967	0.0867	0.22	0.1
Shinella	0.0533	0.04	0.0267	0.00667	0.06	0.0367	0.0467	0.283	0.04	0.0433	0.107	0.05	0.01	0.0167	0.00333	0.0367	0.07	0.147	0.1
Sorangium	0.12	0.01	0.0567	0.0867	0.0367	0.0367	0.203	0.04	0.0833	0.0633	0.05	0.153	0.0167	0.0367	0.03	0.02	0.02	0.0433	0.1
Burkholderia	0.0733	0.09	0.12	0.0767	0.0967	0.0533	0.0633	0.06	0.0467	0.09	0.0867	0.0733	0.0767	0.147	0.0833	0.0367	0.13	0.0633	0.1
Armatimonadetes_gp5	0.0133	0.00333	0.00667	0.01	0.00667	0.0167	0.0333	0.0467	0.0367	0.0267	0.02	0.0233	0.0167	0.03	0.0433	0.04	0.04	0.03	0.1
Tumebacillus	0.0267	0.00333	0.00333	0.00667	0.00667	0.03	0.04	0.0267	0.00667	0.02	0.287	0.03	0.00667	0.0133	0.00667	0.07	0	0.00333	0.1
Amycolatopsis	0.977	2.86	1.49	1.02	1.01	1.29	0.613	0.763	0.41	0.98	0.88	0.657	1.3	1.44	0.973	1.78	4.66	0.71	0.1
Haliangium	0.0333	0.0133	0	0.01	0.00667	0.0167	0.09	0.06	0.07	0.0567	0.08	0.0433	0.05	0.0433	0.0333	0.0333	0.0233	0.0433	0.1
Clostridium_sensu_stricto	0.00333	0.423	0.00667	0.00667	0.00333	0	0.0633	0.00333	0.16	0.00667	0.02	0.0167	0.00667	0	0.01	0.00333	0.00333	0.0933	0.1
Chryseobacterium	0.0267	0.0167	0.0233	0.00667	0.03	0.0133	0.0267	0.07	0.0333	0.0733	0.0467	0.01	0.00667	0.01	0.0433	0.303	0.0167	0.0267	0.1
Chryseolinea	0.01	0.00333	0.00667	0.00667	0.00333	0.00333	0.0133	0.03	0.03	0.0233	0.0233	0.02	0.03	0.0167	0.07	0.0133	0.02	0.0133	0.1
Terrimonas	0.0233	0.00667	0.00333	0.00333	0.00667	0.0133	0.05	0.0333	0.0533	0.0233	0.03	0.0267	0.0167	0.0233	0.0167	0.02	0.0133	0.00333	0.1
Cohnella	0.0333	0.0133	0.01	0.04	0.01	0.0167	0.0467	0.04	0.0133	0.0167	0.0333	0.04	0.01	0.02	0.0467	0.0167	0.0267	0.01	0.1
Cellulosimicrobium	0.0667	0.01	0.00333	0	0	0.00333	0.0133	0.01	0.00667	0.0167	0.01	0.0533	0.0767	0	0.03	0	0	0.00667	0.1
Bacteriovorax	0.00333	0.00333	0.01	0.01	0.0333	0.02	0.0133	0.01	0.02	0.01	0.00333	0.0133	0.0167	0.0167	0.0167	0.02	0.0167	0.0133	0.1
Paenisporosarcina	0.0367	0.0167	0.0267	0.02	0.02	0.02	0.0333	0.00667	0.0133	0.01	0.06	0.0433	0.0267	0.0133	0.01	0.0433	0.0133	0.0267	0.1
Bauldia	0.02	0.0167	0.01	0.0167	0.01	0.01	0.0367	0.01	0.0267	0.01	0.02	0.03	0.0167	0.00333	0.0233	0.01	0.00667	0.0233	0.1
Noviherbaspirillum	1.18	1.19	0.98	1.15	1.94	1.28	1.85	1.39	0.927	1.63	1.25	0.743	1.44	1.7	1.75	1.33	1.09	1.37	0.1
Nocardia	0.0967	0.12	0.22	0.01	0.04	0.0533	0.0367	0.16	0.0333	0.09	0.06	0.0633	0.2	0.0267	0.137	0.113	0.0267	0.0867	0.1
Catelliglobosispora	0.02	0.0167	0.0333	0.0233	0.00667	0.01	0.01	0.0233	0.0267	0.02	0.0233	0.0133	0.01	0	0.00667	0.0233	0.01	0.0433	0.1
Planifilum	0.0433	0.0733	0.0267	0.0833	0.00667	0.01	0.02	0.137	0.08	0.03	0.05	0.0867	0.0133	0.00667	0.0367	0.0367	0.03	0.0633	0.1
Piscinibacter	0.247	0.223	0.287	0.35	0.56	0.267	0.503	0.327	0.473	0.583	0.46	0.387	0.423	0.74	0.723	0.74	0.53	0.417	0.1
Phytohabitans	0.02	0.00667	0.0167	0	0.01	0.00667	0.02	0.0833	0.0167	0.0167	0.00333	0.01	0.01	0.0233	0.0367	0.0333	0	0.0733	0.1
Actinomadura	0.01	0.02	0.01	0	0	0.03	0.0133	0.0267	0.01	0.00667	0.0133	0.0333	0.0267	0.00333	0.01	0.00333	0.00333	0.0267	0.1
Yonghaparkia	0	0.0167	0.00667	0.00667	0.0233	0.00667	0.00333	0.03	0	0.00667	0.00667	0.01	0.00333	0	0.01	0.0233	0.0333	0.0233	0.1
Acidovorax	0.04	0.00667	0.103	0.0367	0.04	0.1	0.02	0.0567	0.07	0.0633	0.0567	0.00667	0.0533	0.0867	0.02	0.0267	0.08	0.0667	0.1
Xenophilus	0.09	0.0433	0.0467	0	0	0.01	0.0133	0.00667	0.0467	0.00667	0.00667	0.02	0.03	0.01	0.00333	0.00667	0.02	0.00667	0.1
Phyllobacterium	0.2	0.257	0.0767	0.253	0.307	0.443	0.08	0.103	0.147	0.137	0.187	0.177	0.213	0.29	0.16	0.153	0.18	0.123	0.1
Archangium	0	0	0	0	0	0	0.0167	0.0233	0.00333	0.03	0.0333	0.0567	0.00667	0.00333	0.00667	0.00333	0	0	0.1
Paraherbaspirillum	0.147	0.0167	0.06	0.0733	0.287	0.09	0.0133	0.00667	0.0233	0.0267	0.00667	0.02	0.03	0.0267	0.0233	0.0267	0.0567	0.0467	0.1
Pantoea	0	0	0.00333	0.00667	0	0	0.71	0	0	0	0	0	0	0	0	0	0	0	0.1
Aquihabitans	0.0167	0.0733	0.0433	0.0333	0.00667	0.01	0.06	0.0733	0.0433	0.0667	0.0633	0.06	0.0667	0.0433	0.0667	0.0467	0.04	0.0467	0.1
Pseudorhodoferax	0.0233	0	0	0.00333	0.01	0	0.01	0.01	0.00667	0.0133	0.0167	0	0.113	0	0.00667	0.0233	0.00667	0.01	0.1
Phreatobacter	0.00333	0.00333	0.0133	0.00667	0.0767	0.0133	0.00333	0.0133	0.00667	0.01	0.04	0.00667	0.0133	0	0.03	0	0.00667	0.0133	0.1
Verrucosispora	0.09	0.203	0.203	0.08	0.0633	0.0867	0.123	0.163	0.197	0.13	0.15	0.137	0.147	0.19	0.17	0.137	0.123	0.177	0.1
Rhizobacter	6.05	2.41	3.67	4.47	6.6	3.64	3.51	3.18	4.28	5.09	4.59	3.46	5.9	8.52	4.42	4.85	6.17	4.62	0.1
Sporacetigenium	0.02	0.0133	0.0367	0.00333	0.00333	0.01	0.00667	0.00667	0.00667	0.01	0.00333	0	0.0267	0.00667	0.0167	0.0167	0.00667	0.00333	0.1
Duganella	0.0267	0.00667	0	0.02	0	0.05	0.02	0.0167	0.0533	0.0233	0.0167	0.02	0.00333	0	0.0967	0.0433	0.233	0.03	0.1
Saccharothrix	0.157	0.277	0.0733	0.04	0.02	0.0567	0.09	0.267	0.0667	0.0367	0.0333	0.1	0.0667	0.107	0.127	0.0567	0.0333	0.0767	0.1
Lysinibacillus	0.0133	0.01	0	0.02	0.00667	0.00333	0.03	0.02	0.0133	0.0233	0.0133	0.173	0	0.01	0.0133	0.00667	0.00667	0.02	0.1
Sphingopyxis	0.27	0.23	0.743	0.377	0.96	0.387	0.233	0.5	0.1	0.433	0.513	0.297	0.34	0.253	0.293	0.41	0.71	0.387	0.1
Kineosporia	0.303	0.65	0.24	0.57	0.0467	0.197	0.53	0.41	0.41	0.563	0.54	0.32	0.833	0.953	0.643	0.617	0.677	0.383	0.1
Kibdelosporangium	0.07	0.123	0.0333	3.26	1.37	0.11	0.133	0.133	0.0533	0.167	0.16	0.08	0.357	0.09	0.0867	0.1	0.233	0.18	0.1
Glycomyces	0.0633	0.127	0.0533	0.0333	0.0167	0.0933	0.0367	0.0233	0.0767	0.0233	0.01	0.0433	0.0333	0.03	0.0367	0.107	0.08	0.0367	0.1
Kinneretia	0.61	0.407	0.733	0.713	1.14	0.543	0.33	0.157	0.4	0.343	0.34	0.267	0.457	0.66	0.35	0.263	0.56	0.28	0.1
Sphingobium	0.0433	0.0433	0.13	0.01	0.02	0.03	0.0567	0.0433	0.03	0.0467	0.0667	0.0233	0.0333	0.0267	0.0633	0.0967	0.00667	0.0533	0.1
Cryobacterium	0.02	0	0.00667	0	0	0.0133	0.0233	0.0233	0.0467	0.00667	0.113	0.0233	0.01	0.00667	0.01	0.01	0.0267	0.00667	0.1
Terribacillus	0.0133	0.00333	0	0	0	0.00667	0.183	0.0133	0.0533	0.0133	0.02	0.0233	0.00333	0	0	0.00667	0	0.0233	0.1
Rhizocola	0.04	0.05	0.00667	0.0333	0.0167	0.0467	0.0367	0.0667	0.0767	0.0167	0.04	0.0667	0.04	0.05	0.137	0.0467	0.01	0.04	0.1
Methylotenera	0.0367	0.01	0.00667	0.03	0.00667	0.08	0.0233	0.0233	0.00667	0.0133	0.0533	0.03	0.0133	0.00667	0.0133	0.02	0.01	0.02	0.1
Methylovorus	0.00667	0.01	0.01	0	0.0167	0.00667	0.0133	0.0233	0.0133	0.02	0.01	0.0167	0.0133	0.0233	0.0233	0.00667	0.02	0.0333	0.1
Ignavibacterium	0.01	0.02	0.00333	0.01	0	0.0333	0.00667	0.00667	0.00667	0.1	0.00667	0.0133	0	0	0.0167	0.01	0.00667	0.0167	0.1
Roseimicrobium	0	0.00333	0.00667	0	0.00667	0.00333	0.02	0.0133	0.00667	0.00667	0.0133	0.01	0	0	0.01	0.00667	0	0	0.0
Pseudolabrys	0.0433	0.0667	0.02	0.0433	0.0333	0.0333	0.0567	0.0267	0.0533	0.0233	0.0333	0.0567	0.03	0.04	0.02	0.0167	0.0233	0.0433	0.0
Schlegelella	0.0367	0.03	0.09	0.06	0.0233	0.0967	0.08	0.0567	0.0467	0.0233	0.1	0.0833	0.02	0.0633	0.0667	0.0767	0.01	0.0133	0.0
Shimazuella	0	0.0233	0	0.00667	0	0.00333	0	0.00333	0	0	0	0.00667	0	0.01	0.00333	0.103	0	0	0.0
Virgisporangium	0.0233	0.1	0.0267	0.06	0.0967	0.0833	0.0433	0.103	0.0933	0.0567	0.04	0.0833	0.06	0.02	0.07	0.04	0.02	0.06	0.0
Rudaea	0.00333	0.0133	0	0.00667	0	0	0.01	0	0	0	0.00333	0.00333	0	0	0	0.0667	0.00333	0.00667	0.0
Ralstonia	0	0.00667	0.0633	0.0267	0.0333	0.03	0.0467	0.01	0.0233	0.01	0.00667	0.0333	0.01	0.07	0.01	0.00667	0.0233	0.01	0.0
Turicibacter	0.00333	0.0133	0.01	0	0.00667	0.00333	0.0167	0.01	0.0133	0.00667	0.0167	0.0333	0.0133	0.00667	0.0133	0.00333	0.00333	0.00667	0.0
Rhodopseudomonas	0.0267	0.0167	0.0867	0	0	0	0.00667	0	0.00333	0	0.00333	0.00667	0.00667	0.00667	0	0.00333	0.02	0	0.0
Stenotrophomonas	0.00333	0	0.00333	0	0.00333	0.00333	0.0167	0	0.0167	0.0133	0.00667	0.00667	0.00333	0.01	0.01	0.00333	0	0.00333	0.0
Starkeya	0.01	0.00667	0	0	0.00333	0.03	0.00667	0.0133	0.00333	0.00667	0.0133	0.01	0	0	0.00333	0.00333	0	0.00333	0.0
Rhodanobacter	0.06	0.0367	0.0433	0.04	0.0767	0.05	0.05	0.0233	0.107	0.0533	0.0233	0.05	0.107	0.05	0.0467	0.0433	0.06	0.0467	0.0
Romboutsia	0.00333	0.00333	0.0167	0.00667	0.01	0	0.0267	0.00667	0.01	0.0133	0.01	0.0467	0.00333	0.0133	0.00667	0.00667	0.0133	0.01	0.0
Roseateles	0.00667	0	0.0133	0.00333	0.137	0.00667	0.0233	0	0.133	0.01	0.19	0.00333	0.21	0.00333	0.0767	0.01	0	0	0.0
