Family	KO1	KO2	KO3	KO4	KO5	KO6	OE1	OE2	OE3	OE4	OE5	OE6	WT1	WT2	WT3	WT4	WT5	WT6	All
Rhodocyclaceae	0.00667	0.01	0.02	0.00333	0.00333	0.03	0.0133	0.00667	0.0267	0.0133	0.00667	0.00333	0.01	0.0133	0.01	0.02	0.02	0.0267	0.1
Thermomonosporaceae	0.817	0.88	0.153	1.21	0.31	0.527	0.513	0.893	0.453	0.8	0.78	0.623	1.08	1.21	0.67	0.883	1.26	0.697	0.1
Xanthobacteraceae	0.183	0.253	0.0967	0.157	0.0967	0.233	0.237	0.197	0.197	0.14	0.187	0.233	0.127	0.11	0.18	0.127	0.14	0.157	0.1
Iamiaceae	0.0433	0.14	0.18	0.0733	0.0467	0.0567	0.107	0.183	0.0933	0.117	0.0967	0.11	0.12	0.0767	0.14	0.0967	0.08	0.0967	0.1
Haliangiaceae	0.0333	0.0133	0	0.01	0.00667	0.0167	0.09	0.06	0.07	0.0567	0.08	0.0433	0.05	0.0433	0.0333	0.0333	0.0233	0.0433	0.1
Nocardiaceae	0.1	0.13	0.243	0.0133	0.0467	0.0567	0.0433	0.16	0.0333	0.0933	0.0667	0.07	0.2	0.0267	0.137	0.127	0.0333	0.09	0.1
Thermoactinomycetaceae_2	0.0433	0.0733	0.0267	0.0833	0.00667	0.01	0.02	0.137	0.08	0.03	0.05	0.0867	0.0133	0.00667	0.0367	0.0367	0.03	0.0633	0.1
Ignavibacteriaceae	0.01	0.02	0.00333	0.01	0	0.0333	0.00667	0.00667	0.00667	0.1	0.00667	0.0133	0	0	0.0167	0.01	0.00667	0.0167	0.1
Lachnospiraceae	0.00333	0.13	0	0	0	0.00333	0.02	0	0.00667	0.00667	0.00333	0.00667	0	0	0.00667	0	0	0.0867	0.1
Glycomycetaceae	0.0633	0.127	0.0533	0.0333	0.0167	0.0933	0.0367	0.0233	0.0767	0.0233	0.01	0.0433	0.0333	0.03	0.0367	0.107	0.08	0.0367	0.1
Chlamydiaceae	0.01	0.00667	0.0133	0.00667	0.00667	0.0367	0.0333	0.03	0.0433	0.07	0.00667	0.0167	0	0.0133	0.117	0.0233	0	0.0733	0.1
Caldilineaceae	0.00333	0.0233	0	0	0	0.0133	0.02	0.05	0.0233	0.00333	0.0267	0.02	0.0167	0.0133	0.03	0.0133	0.00333	0.00667	0.0
Spirochaetaceae	0.02	0.0133	0.0233	0.0133	0.00667	0	0.02	0.0333	0.0267	0.0267	0.0233	0.0333	0.00667	0.0433	0.0433	0.03	0.00333	0.0233	0.0
Gemmatimonadaceae	0.00667	0.00333	0.00333	0.00333	0	0	0	0.00667	0.00333	0.00333	0	0.01	0	0.01	0.00333	0.00333	0	0.00333	0.0
Flammeovirgaceae	0.01	0	0	0.00333	0	0	0.03	0.0367	0.01	0.0367	0.02	0.00667	0.01	0.02	0.0167	0.0167	0.00333	0.0167	0.0
Paenibacillaceae_2	0.01	0.02	0.0333	0.0133	0.00667	0.0333	0.02	0.0667	0.00333	0.00667	0.00667	0.0167	0.00333	0	0.0133	0.01	0.00667	0.0167	0.0
Thermoactinomycetaceae_1	0	0.0233	0	0.00667	0	0.00333	0	0.00333	0	0	0	0.00667	0	0.01	0.00333	0.103	0	0	0.0
Ectothiorhodospiraceae	0	0.00667	0	0	0	0	0.0167	0	0	0.00667	0	0	0.00333	0	0.00667	0	0	0.0133	0.0
Erysipelotrichaceae	0.00333	0.0133	0.01	0	0.00667	0.00333	0.0167	0.01	0.0133	0.00667	0.0167	0.0333	0.0133	0.00667	0.0133	0.00333	0.00333	0.00667	0.0
Propionibacteriaceae	0.0333	0.01	0	0.02	0.00333	0.01	0.03	0.0133	0.00667	0.0167	0.00333	0.0267	0.01	0.00667	0.0133	0.00667	0.01	0.02	0.0
Cryomorphaceae	0.0467	0.0233	0.0467	0.0167	0.02	0.00667	0.0867	0.0633	0.103	0.0867	0.05	0.0933	0.0833	0.17	0.0967	0.15	0.123	0.0967	0.0
Armatimonadaceae	0	0.00667	0.00333	0	0.00333	0	0.01	0.00667	0.01	0.01	0.00333	0.00667	0.0167	0.00333	0	0	0.00667	0.01	0.0
Nitrososphaeraceae	0.00333	0.00667	0	0	0	0	0.01	0.01	0.00333	0	0.00333	0.02	0.00667	0	0.00333	0.00333	0.00333	0.00333	0.0
Nitrosomonadaceae	0.0133	0.00667	0	0.0133	0	0.00333	0.01	0.00667	0.00333	0.00667	0.00333	0.0267	0.0133	0.00667	0.01	0.00667	0.00333	0.00667	0.0
Cryptosporangiaceae	0.00667	0	0	0	0	0.05	0.01	0.0133	0.01	0.00667	0.00667	0.03	0.00333	0	0.01	0.00333	0.0267	0	0.0
Oligoflexaceae	0.00667	0.00667	0	0	0	0	0.0233	0.0267	0.00333	0	0.0167	0.0167	0.01	0.01	0	0.00667	0.00667	0	0.0
Gracilibacteraceae	0.0233	0.0133	0.00333	0.0167	0	0.00333	0.00667	0.01	0.00333	0	0.00333	0.02	0.0133	0	0	0	0	0.00333	0.0
Brucellaceae	0	0	0.0333	0	0.01	0.0267	0.00333	0.00333	0	0.00667	0.00333	0	0.00333	0.0233	0	0.0133	0.0233	0.00667	0.0
Prolixibacteraceae	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0367	0	0	0	0.0
Ruminococcaceae	0.00667	0	0	0.00667	0	0	0.00333	0.00667	0.0167	0	0.01	0.0133	0.00333	0.00333	0.00333	0	0	0.00333	0.0
