Order	KO1	KO2	KO3	KO4	KO5	KO6	OE1	OE2	OE3	OE4	OE5	OE6	WT1	WT2	WT3	WT4	WT5	WT6	All
Opitutales	0.0133	0.0233	0.0333	0.0167	0.03	0.03	0.107	0.0767	0.1	0.0733	0.147	0.223	0.12	0.08	0.183	0.0967	0.05	0.0667	0.3
Rhodobacterales	0.0833	0.0433	0.0433	0.0533	0.0233	0.07	0.0667	0.0667	0.0667	0.0533	0.0633	0.08	0.0367	0.0233	0.04	0.0467	0.0533	0.0433	0.3
Chlamydiales	0.0367	0.0233	0.05	0.02	0.01	0.04	0.0667	0.07	0.0667	0.0867	0.0133	0.0433	0.0333	0.0433	0.143	0.0467	0.00333	0.107	0.3
Alphaproteobacteria_incertae_sedis	0.02	0.02	0.0333	0.02	0.01	0.0333	0.0767	0.02	0.0167	0.0267	0.0233	0.0333	0.0367	0.00667	0.0367	0.0367	0.00667	0.0233	0.2
Enterobacteriales	0	0	0.00667	0.0133	0	0	0.727	0	0	0.107	0	0.137	0	0.00333	0	0	0.00333	0.00667	0.2
Rubrobacterales	0.0333	0.107	0.0333	0.0433	0.0167	0.04	0.08	0.0867	0.08	0.0467	0.04	0.113	0.07	0.0367	0.0533	0.05	0.0733	0.05	0.2
Verrucomicrobiales	0.00333	0.0167	0.0267	0.00333	0.02	0.00667	0.0633	0.07	0.0567	0.0333	0.08	0.103	0.0467	0.07	0.0267	0.0433	0.0333	0.0167	0.2
Rhodocyclales	0.00667	0.01	0.02	0.00333	0.00333	0.03	0.0133	0.00667	0.0267	0.0133	0.00667	0.00333	0.01	0.0133	0.01	0.02	0.02	0.0267	0.1
Ignavibacteriales	0.01	0.02	0.00333	0.01	0	0.0333	0.00667	0.00667	0.00667	0.1	0.00667	0.0133	0	0	0.0167	0.01	0.00667	0.0167	0.1
Chromatiales	0	0.00667	0	0	0	0	0.0167	0	0	0.00667	0	0	0.00333	0	0.00667	0	0	0.0133	0.0
Erysipelotrichales	0.00333	0.0133	0.01	0	0.00667	0.00333	0.0167	0.01	0.0133	0.00667	0.0167	0.0333	0.0133	0.00667	0.0133	0.00333	0.00333	0.00667	0.0
Caldilineales	0.00333	0.0233	0	0	0	0.0133	0.02	0.05	0.0233	0.00333	0.0267	0.02	0.0167	0.0133	0.03	0.0133	0.00333	0.00667	0.0
Bacteroidales	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0367	0	0	0	0.0
Armatimonadales	0	0.00667	0.00333	0	0.00333	0	0.01	0.00667	0.01	0.01	0.00333	0.00667	0.0167	0.00333	0	0	0.00667	0.01	0.0
Oceanospirillales	0.0133	0.00333	0.02	0.00333	0.0167	0.0533	0.0133	0.0133	0	0	0.00333	0.00333	0	0	0.0133	0.00667	0	0.00333	0.0
Oligoflexales	0.00667	0.00667	0	0	0	0	0.0233	0.0267	0.00333	0	0.0167	0.0167	0.01	0.01	0	0.00667	0.00667	0	0.0
Nitrososphaerales	0.00333	0.00667	0	0	0	0	0.01	0.01	0.00333	0	0.00333	0.02	0.00667	0	0.00333	0.00333	0.00333	0.00333	0.0
Gemmatimonadales	0.00667	0.00333	0.00333	0.00333	0	0	0	0.00667	0.00333	0.00333	0	0.01	0	0.01	0.00333	0.00333	0	0.00333	0.0
Nitrosomonadales	0.0133	0.00667	0	0.0133	0	0.00333	0.01	0.00667	0.00333	0.00667	0.00333	0.0267	0.0133	0.00667	0.01	0.00667	0.00333	0.00667	0.0
