Family	KO1	KO2	KO3	KO4	KO5	KO6	OE1	OE2	OE3	OE4	OE5	OE6	WT1	WT2	WT3	WT4	WT5	WT6
Bacteria|Proteobacteria|Alphaproteobacteria|Rhizobiales|Bradyrhizobiaceae	859	1048	1184	1074	1072	1018	974	853	646	669	1140	847	837	803	890	937	947	988
Bacteria|Proteobacteria|Alphaproteobacteria|Rhizobiales|Hyphomicrobiaceae	764	739	1065	791	1294	1002	643	708	433	506	601	567	446	495	551	510	551	680
Bacteria|Proteobacteria|Alphaproteobacteria|Rhizobiales|Methylobacteriaceae	25	26	7	12	23	23	33	22	28	22	18	36	19	19	18	20	14	24
Bacteria|Proteobacteria|Alphaproteobacteria|Rhizobiales|Phyllobacteriaceae	193	226	188	290	290	364	163	152	181	167	224	167	198	249	198	228	257	195
Bacteria|Proteobacteria|Alphaproteobacteria|Rhizobiales|Rhizobiaceae	972	743	1833	1516	2141	1393	662	877	736	884	1164	950	756	1217	739	950	1419	943
Bacteria|Proteobacteria|Alphaproteobacteria|Rhizobiales|Rhizobiales_incertae_sedis	4	4	3	2	5	2	7	4	5	4	5	7	2	2	6	3	1	7
Bacteria|Proteobacteria|Alphaproteobacteria|Rhizobiales|Rhodobiaceae	41	38	33	49	37	37	44	35	27	28	41	59	45	32	35	26	33	30
Bacteria|Proteobacteria|Alphaproteobacteria|Rhizobiales|Unassigned	831	881	1209	883	662	949	1074	654	621	664	737	770	552	592	1018	760	551	869
Bacteria|Proteobacteria|Alphaproteobacteria|Rhizobiales|Xanthobacteraceae	54	84	45	61	33	75	78	62	67	42	57	69	44	38	65	44	52	54
Bacteria|Proteobacteria|Alphaproteobacteria|Rhodobacterales|Rhodobacteraceae	5	5	1	2	1	9	5	4	4	5	6	6	6	1	2	1	6	2
Bacteria|Proteobacteria|Alphaproteobacteria|Rhodospirillales|Rhodospirillaceae	161	200	122	109	72	104	320	201	172	161	163	215	160	145	207	192	114	187
Bacteria|Proteobacteria|Alphaproteobacteria|Rhodospirillales|Unassigned	60	60	67	56	17	85	80	37	60	54	48	64	38	26	58	91	32	53
Bacteria|Proteobacteria|Alphaproteobacteria|Sneathiellales|Sneathiellaceae	22	21	25	17	18	13	22	14	21	14	17	24	37	25	37	49	11	17
