Species	KO1	KO2	KO3	KO4	KO5	KO6	OE1	OE2	OE3	OE4	OE5	OE6	WT1	WT2	WT3	WT4	WT5	WT6
Bacteria|Actinobacteria|Actinobacteria|Actinomycetales|Nocardioidaceae|Nocardioides|Nocardioides_caricicola	2	5	2	2	1	4	13	12	1	2	9	7	5	0	4	3	6	1
Bacteria|Actinobacteria|Actinobacteria|Actinomycetales|Nocardioidaceae|Nocardioides|Nocardioides_dilutus	12	30	23	24	20	24	15	18	13	18	15	18	17	17	26	17	11	22
Bacteria|Actinobacteria|Actinobacteria|Actinomycetales|Nocardioidaceae|Nocardioides|Nocardioides_iriomotensis	15	32	17	14	17	25	13	26	15	11	21	12	11	10	21	17	17	19
Bacteria|Actinobacteria|Actinobacteria|Actinomycetales|Nocardioidaceae|Nocardioides|Nocardioides_jensenii	5	19	15	8	10	8	10	26	3	3	3	15	14	11	22	13	11	4
Bacteria|Actinobacteria|Actinobacteria|Actinomycetales|Nocardioidaceae|Nocardioides|Nocardioides_marinquilinus	4	11	6	4	4	6	4	8	5	3	3	9	6	2	2	5	5	10
Bacteria|Actinobacteria|Actinobacteria|Actinomycetales|Nocardioidaceae|Nocardioides|Nocardioides_mesophilus	3	10	4	0	3	7	0	9	6	2	4	3	4	2	0	3	5	1
Bacteria|Actinobacteria|Actinobacteria|Actinomycetales|Nocardioidaceae|Nocardioides|Nocardioides_nanhaiensis	1	5	6	5	0	2	4	9	4	6	6	7	5	6	1	1	4	4
Bacteria|Actinobacteria|Actinobacteria|Actinomycetales|Nocardioidaceae|Nocardioides|Nocardioides_panacisoli	3	1	6	7	1	11	3	7	1	5	5	5	2	2	1	2	1	1
Bacteria|Actinobacteria|Actinobacteria|Actinomycetales|Nocardioidaceae|Nocardioides|Unassigned	416	575	708	574	493	505	388	594	487	324	560	402	438	410	534	468	489	464
Bacteria|Actinobacteria|Actinobacteria|Actinomycetales|Nocardioidaceae|Unassigned|Unassigned	32	31	65	23	42	25	1	24	7	18	17	8	19	13	36	20	15	22
Bacteria|Actinobacteria|Actinobacteria|Actinomycetales|Promicromonosporaceae|Cellulosimicrobium|Cellulosimicrobium_funkei	6	3	2	0	0	1	3	1	2	3	3	15	17	0	11	1	0	2
Bacteria|Actinobacteria|Actinobacteria|Actinomycetales|Promicromonosporaceae|Promicromonospora|Promicromonospora_xylanilytica	22	64	17	70	6	57	22	20	21	21	27	16	20	27	34	21	13	17
Bacteria|Actinobacteria|Actinobacteria|Actinomycetales|Promicromonosporaceae|Promicromonospora|Unassigned	41	61	22	19	31	90	39	37	23	35	122	78	27	60	42	42	18	53
Bacteria|Actinobacteria|Actinobacteria|Actinomycetales|Propionibacteriaceae|Unassigned|Unassigned	11	3	0	8	1	4	12	4	2	5	1	10	5	3	4	5	3	6
Bacteria|Actinobacteria|Actinobacteria|Actinomycetales|Pseudonocardiaceae|Actinophytocola|Actinophytocola_burenkhanensis	284	315	1261	453	94	100	475	421	388	271	355	246	514	106	461	334	218	993
Bacteria|Actinobacteria|Actinobacteria|Actinomycetales|Pseudonocardiaceae|Actinophytocola|Unassigned	36	110	7	159	11	163	92	35	71	55	83	106	54	126	66	124	51	66
Bacteria|Actinobacteria|Actinobacteria|Actinomycetales|Pseudonocardiaceae|Amycolatopsis|Amycolatopsis_keratiniphila_subsp._keratiniphila	122	440	509	90	191	293	74	81	71	132	170	69	159	231	125	493	150	117
Bacteria|Actinobacteria|Actinobacteria|Actinomycetales|Pseudonocardiaceae|Amycolatopsis|Unassigned	196	594	86	288	201	172	119	163	71	189	120	133	321	304	213	154	1579	131
Bacteria|Actinobacteria|Actinobacteria|Actinomycetales|Pseudonocardiaceae|Kibdelosporangium|Kibdelosporangium_phytohabitans	25	47	12	1206	537	39	43	44	22	52	53	25	132	31	31	39	92	69
Bacteria|Actinobacteria|Actinobacteria|Actinomycetales|Pseudonocardiaceae|Lechevalieria|Lechevalieria_xinjiangensis	1	26	25	5	0	2	1	1	2	1	0	1	5	2	3	2	0	0
Bacteria|Actinobacteria|Actinobacteria|Actinomycetales|Pseudonocardiaceae|Lechevalieria|Unassigned	19	52	54	7	7	13	7	12	23	11	17	14	24	10	45	19	6	27
Bacteria|Actinobacteria|Actinobacteria|Actinomycetales|Pseudonocardiaceae|Lentzea|Lentzea_albida	95	184	194	50	47	98	129	134	74	46	90	166	180	78	131	288	132	170
Bacteria|Actinobacteria|Actinobacteria|Actinomycetales|Pseudonocardiaceae|Lentzea|Lentzea_flaviverrucosa	433	1026	312	438	310	479	414	404	310	511	672	412	785	611	806	406	680	440
Bacteria|Actinobacteria|Actinobacteria|Actinomycetales|Pseudonocardiaceae|Lentzea|Lentzea_jiangxiensis	40	133	14	13	13	53	10	18	31	24	47	45	108	34	23	15	34	41
Bacteria|Actinobacteria|Actinobacteria|Actinomycetales|Pseudonocardiaceae|Lentzea|Lentzea_kentuckyensis	27	33	22	33	108	12	6	12	17	5	20	10	43	13	25	18	13	4
Bacteria|Actinobacteria|Actinobacteria|Actinomycetales|Pseudonocardiaceae|Lentzea|Unassigned	201	534	501	233	382	198	191	206	202	163	262	198	335	338	274	449	138	247
Bacteria|Actinobacteria|Actinobacteria|Actinomycetales|Pseudonocardiaceae|Pseudonocardia|Pseudonocardia_adelaidensis	7	16	9	1	2	15	7	10	6	2	6	9	11	4	5	16	12	7
Bacteria|Actinobacteria|Actinobacteria|Actinomycetales|Pseudonocardiaceae|Pseudonocardia|Pseudonocardia_kunmingensis	43	87	31	64	24	34	68	71	55	60	54	44	40	82	59	91	37	94
Bacteria|Actinobacteria|Actinobacteria|Actinomycetales|Pseudonocardiaceae|Pseudonocardia|Pseudonocardia_parietis	3	2	0	2	18	11	2	3	0	1	1	12	4	0	1	8	0	2
Bacteria|Actinobacteria|Actinobacteria|Actinomycetales|Pseudonocardiaceae|Pseudonocardia|Pseudonocardia_xinjiangensis	9	5	68	7	1	0	3	2	2	0	3	6	3	2	8	2	0	3
Bacteria|Actinobacteria|Actinobacteria|Actinomycetales|Pseudonocardiaceae|Pseudonocardia|Unassigned	22	52	89	65	16	37	45	50	29	32	44	39	59	39	33	52	46	53
Bacteria|Actinobacteria|Actinobacteria|Actinomycetales|Pseudonocardiaceae|Saccharothrix|Saccharothrix_longispora	36	100	9	14	6	20	29	50	20	12	11	27	26	40	32	19	14	26
Bacteria|Actinobacteria|Actinobacteria|Actinomycetales|Pseudonocardiaceae|Saccharothrix|Unassigned	14	3	25	0	1	2	0	41	3	2	0	6	0	1	15	3	0	2
Bacteria|Actinobacteria|Actinobacteria|Actinomycetales|Pseudonocardiaceae|Unassigned|Unassigned	117	197	43	101	60	102	118	169	94	191	127	184	352	129	151	191	46	336
Bacteria|Actinobacteria|Actinobacteria|Actinomycetales|Streptomycetaceae|Streptomyces|Streptomyces_bangladeshensis	16	26	8	9	3	11	14	28	24	13	21	23	34	5	12	27	6	16
Bacteria|Actinobacteria|Actinobacteria|Actinomycetales|Streptomycetaceae|Streptomyces|Streptomyces_chrysomallus_subsp._chrysomallus	4	1	2	5	2	4	14	4	4	5	5	15	15	6	5	5	1	2
Bacteria|Actinobacteria|Actinobacteria|Actinomycetales|Streptomycetaceae|Streptomyces|Streptomyces_ederensis	231	248	521	270	142	215	160	239	598	283	227	179	426	288	243	314	819	351
Bacteria|Actinobacteria|Actinobacteria|Actinomycetales|Streptomycetaceae|Streptomyces|Streptomyces_seranimatus	3	3	2	1	0	1	5	14	8	2	4	5	7	10	11	8	3	2
Bacteria|Actinobacteria|Actinobacteria|Actinomycetales|Streptomycetaceae|Streptomyces|Unassigned	729	689	698	569	260	498	510	884	2097	1199	693	758	932	983	825	1824	721	782
Bacteria|Actinobacteria|Actinobacteria|Actinomycetales|Streptosporangiaceae|Nonomuraea|Nonomuraea_muscovyensis	0	6	0	5	2	5	2	4	5	3	9	5	1	4	11	5	29	7
Bacteria|Actinobacteria|Actinobacteria|Actinomycetales|Streptosporangiaceae|Unassigned|Unassigned	35	190	80	140	20	103	86	144	71	101	124	63	109	121	114	58	43	129
Bacteria|Actinobacteria|Actinobacteria|Actinomycetales|Thermomonosporaceae|Actinocorallia|Actinocorallia_herbida	263	318	58	441	133	185	160	280	155	259	250	182	400	454	244	324	455	246
Bacteria|Actinobacteria|Actinobacteria|Actinomycetales|Unassigned|Unassigned|Unassigned	1346	2321	1103	1600	1208	1308	1503	1940	1636	1206	1493	1287	2680	2780	2021	2233	1805	1926
Bacteria|Actinobacteria|Actinobacteria|Gaiellales|Gaiellaceae|Gaiella|Gaiella_occulta	89	151	98	131	73	113	109	173	105	97	127	152	148	109	131	95	109	107
Bacteria|Actinobacteria|Actinobacteria|Rubrobacterales|Rubrobacteraceae|Rubrobacter|Rubrobacter_bracarensis	9	25	8	14	2	14	18	20	15	11	11	30	23	6	14	15	26	13
Bacteria|Actinobacteria|Actinobacteria|Solirubrobacterales|Conexibacteraceae|Conexibacter|Conexibacter_arvalis	25	38	22	29	9	47	48	35	19	13	21	29	29	13	19	16	32	22
Bacteria|Actinobacteria|Actinobacteria|Solirubrobacterales|Conexibacteraceae|Conexibacter|Unassigned	0	8	6	6	3	10	11	18	1	3	2	3	3	6	4	2	4	6
Bacteria|Actinobacteria|Actinobacteria|Solirubrobacterales|Solirubrobacteraceae|Solirubrobacter|Solirubrobacter_taibaiensis	21	15	11	10	10	47	60	23	14	18	29	29	16	15	18	12	26	16
Bacteria|Actinobacteria|Actinobacteria|Solirubrobacterales|Solirubrobacteraceae|Solirubrobacter|Unassigned	39	46	21	37	25	49	86	46	47	45	39	70	27	27	27	35	38	37
Bacteria|Actinobacteria|Actinobacteria|Solirubrobacterales|Unassigned|Unassigned|Unassigned	50	82	57	74	57	80	87	74	50	54	58	109	61	40	61	49	83	63
Bacteria|Actinobacteria|Actinobacteria|Unassigned|Unassigned|Unassigned|Unassigned	156	277	180	200	134	153	294	333	243	218	262	321	287	241	288	207	201	237
Bacteria|Actinobacteria|Unassigned|Unassigned|Unassigned|Unassigned|Unassigned	6	25	26	31	8	33	32	32	22	24	23	33	14	21	15	25	17	26
Bacteria|Armatimonadetes|Unassigned|Unassigned|Unassigned|Armatimonadetes_gp5|Unassigned	2	1	1	2	0	4	2	7	2	5	6	2	2	9	4	6	7	5
Bacteria|Bacteroidetes|Cytophagia|Cytophagales|Flammeovirgaceae|Unassigned|Unassigned	4	0	0	2	0	0	9	12	4	11	7	3	4	10	7	7	3	5
Bacteria|Bacteroidetes|Cytophagia|Cytophagales|Unassigned|Ohtaekwangia|Ohtaekwangia_koreensis	41	41	19	23	14	10	69	42	74	365	56	38	75	60	84	149	47	53
Bacteria|Bacteroidetes|Cytophagia|Cytophagales|Unassigned|Ohtaekwangia|Ohtaekwangia_kribbensis	123	71	31	14	106	5	40	37	41	20	38	24	69	23	94	47	23	33
Bacteria|Bacteroidetes|Cytophagia|Cytophagales|Unassigned|Ohtaekwangia|Unassigned	47	34	19	34	16	17	92	83	122	104	108	54	74	128	126	120	65	81
Bacteria|Bacteroidetes|Cytophagia|Cytophagales|Unassigned|Unassigned|Unassigned	70	41	37	48	23	23	131	92	184	126	94	76	102	123	129	113	65	111
Bacteria|Bacteroidetes|Flavobacteriia|Flavobacteriales|Cryomorphaceae|Unassigned|Unassigned	14	10	17	7	6	3	28	21	40	28	17	28	31	65	37	54	43	38
Bacteria|Bacteroidetes|Flavobacteriia|Flavobacteriales|Flavobacteriaceae|Chryseobacterium|Unassigned	5	6	4	4	1	1	8	23	10	20	15	3	2	1	16	83	5	10
Bacteria|Bacteroidetes|Flavobacteriia|Flavobacteriales|Flavobacteriaceae|Flavobacterium|Flavobacterium_anhuiense	0	5	0	0	0	0	0	1	5	1	4	3	4	0	1	43	0	1
Bacteria|Bacteroidetes|Flavobacteriia|Flavobacteriales|Flavobacteriaceae|Flavobacterium|Flavobacterium_saliperosum	0	15	4	0	9	2	3	5	6	2	2	5	7	15	2	1	12	6
Bacteria|Bacteroidetes|Flavobacteriia|Flavobacteriales|Flavobacteriaceae|Flavobacterium|Flavobacterium_terrae	240	250	1823	677	1459	491	324	1918	1487	991	557	337	1075	1199	776	408	1037	1424
Bacteria|Bacteroidetes|Flavobacteriia|Flavobacteriales|Flavobacteriaceae|Flavobacterium|Flavobacterium_urocaniciphilum	0	31	6	0	84	5	3	2	4	1	5	25	10	6	1	4	2	8
Bacteria|Bacteroidetes|Flavobacteriia|Flavobacteriales|Flavobacteriaceae|Flavobacterium|Unassigned	208	262	743	171	103	174	104	68	591	373	41	168	229	182	107	67	120	99
Bacteria|Bacteroidetes|Flavobacteriia|Flavobacteriales|Unassigned|Unassigned|Unassigned	2	4	0	1	1	0	6	11	7	4	2	2	5	15	6	2	2	3
Bacteria|Bacteroidetes|Sphingobacteriia|Sphingobacteriales|Chitinophagaceae|Niastella|Unassigned	41	23	20	20	11	14	99	61	142	134	92	51	98	147	95	118	68	61
Bacteria|Bacteroidetes|Sphingobacteriia|Sphingobacteriales|Chitinophagaceae|Terrimonas|Unassigned	5	1	1	1	1	3	15	5	10	4	4	5	2	3	5	3	2	2
Bacteria|Bacteroidetes|Sphingobacteriia|Sphingobacteriales|Chitinophagaceae|Unassigned|Unassigned	3	1	1	0	0	1	14	7	7	6	2	6	5	10	5	2	2	6
Bacteria|Bacteroidetes|Sphingobacteriia|Sphingobacteriales|Sphingobacteriaceae|Unassigned|Unassigned	25	20	23	38	45	20	18	8	30	31	20	19	38	85	19	20	25	34
Bacteria|Bacteroidetes|Unassigned|Unassigned|Unassigned|Unassigned|Unassigned	17	6	18	19	10	13	12	12	19	29	18	18	20	13	15	18	19	20
Bacteria|Candidatus_Saccharibacteria|Unassigned|Unassigned|Unassigned|Saccharibacteria_genera_incertae_sedis|Unassigned	1	1	6	0	33	4	0	10	1	0	11	0	2	0	2	0	0	5
Bacteria|Chlamydiae|Chlamydiia|Chlamydiales|Chlamydiaceae|Chlamydophila|Unassigned	4	2	0	0	2	9	10	9	11	16	3	3	0	4	41	6	0	23
Bacteria|Chloroflexi|Caldilineae|Caldilineales|Caldilineaceae|Unassigned|Unassigned	1	8	1	0	0	4	6	15	8	1	8	6	5	5	11	4	2	2
Bacteria|Chloroflexi|Chloroflexia|Chloroflexales|Chloroflexaceae|Roseiflexus|Unassigned	13	21	9	13	5	15	6	17	14	22	15	9	18	14	7	8	5	18
Bacteria|Chloroflexi|Chloroflexia|Chloroflexales|Chloroflexaceae|Unassigned|Unassigned	34	52	23	42	70	29	33	52	39	68	38	39	75	41	60	49	40	59
Bacteria|Chloroflexi|Chloroflexia|Chloroflexales|Oscillochloridaceae|Oscillochloris|Unassigned	19	38	9	21	18	15	11	6	15	12	11	7	25	13	22	26	7	27
Bacteria|Chloroflexi|Chloroflexia|Herpetosiphonales|Herpetosiphonaceae|Herpetosiphon|Unassigned	122	142	63	153	204	73	79	357	21	169	309	183	934	62	127	146	439	304
Bacteria|Chloroflexi|Chloroflexia|Unassigned|Unassigned|Unassigned|Unassigned	57	120	50	88	62	52	83	148	128	80	53	92	120	84	98	171	46	81
Bacteria|Chloroflexi|Unassigned|Unassigned|Unassigned|Unassigned|Unassigned	201	224	60	167	130	133	161	185	146	138	139	149	203	95	227	156	77	118
Bacteria|Firmicutes|Bacilli|Bacillales|Alicyclobacillaceae|Tumebacillus|Tumebacillus_ginsengisoli	3	2	0	0	2	2	0	4	1	0	62	2	0	1	0	2	0	1
Bacteria|Firmicutes|Bacilli|Bacillales|Alicyclobacillaceae|Tumebacillus|Unassigned	1	0	0	1	0	0	10	2	0	0	25	6	1	4	2	12	0	0
Bacteria|Firmicutes|Bacilli|Bacillales|Bacillaceae_1|Bacillus|Bacillus_abyssalis	18	13	7	10	7	40	9	13	12	21	7	33	6	4	5	7	3	14
Bacteria|Firmicutes|Bacilli|Bacillales|Bacillaceae_1|Bacillus|Bacillus_idriensis	3	4	3	4	3	2	3	6	6	8	5	14	4	2	0	4	3	3
Bacteria|Firmicutes|Bacilli|Bacillales|Bacillaceae_1|Bacillus|Bacillus_infantis	5	8	2	3	2	6	13	7	7	12	7	15	5	2	4	5	3	2
Bacteria|Firmicutes|Bacilli|Bacillales|Bacillaceae_1|Bacillus|Bacillus_kokeshiiformis	2	3	4	9	1	2	6	5	5	5	3	7	6	2	16	2	1	3
Bacteria|Firmicutes|Bacilli|Bacillales|Bacillaceae_1|Bacillus|Bacillus_litoralis	3	8	4	7	7	0	7	14	4	5	4	3	7	2	3	2	0	7
Bacteria|Firmicutes|Bacilli|Bacillales|Bacillaceae_1|Bacillus|Bacillus_megaterium	145	123	41	56	45	101	533	195	304	288	137	550	49	18	75	48	28	72
Bacteria|Firmicutes|Bacilli|Bacillales|Bacillaceae_1|Bacillus|Bacillus_thuringiensis	26	23	9	5	15	17	49	27	37	66	19	111	7	7	11	14	4	20
Bacteria|Firmicutes|Bacilli|Bacillales|Bacillaceae_1|Bacillus|Unassigned	74	75	81	59	50	59	242	110	119	145	89	278	37	31	57	48	39	73
Bacteria|Firmicutes|Bacilli|Bacillales|Bacillaceae_1|Fictibacillus|Fictibacillus_barbaricus	3	6	5	3	4	5	4	3	4	3	6	6	0	2	4	3	9	2
Bacteria|Firmicutes|Bacilli|Bacillales|Bacillaceae_1|Unassigned|Unassigned	10	2	8	11	9	2	6	1	3	5	4	11	5	1	6	4	3	2
Bacteria|Firmicutes|Bacilli|Bacillales|Bacillaceae_2|Terribacillus|Terribacillus_goriensis	5	1	0	0	2	3	45	4	18	7	5	7	1	0	1	2	0	10
