Order	KO1	KO2	KO3	KO4	KO5	KO6	OE1	OE2	OE3	OE4	OE5	OE6	WT1	WT2	WT3	WT4	WT5	WT6
Bacteria|Proteobacteria|Alphaproteobacteria|Rhodospirillales	221	260	189	165	89	189	400	238	232	215	211	279	198	171	265	283	146	240
Bacteria|Proteobacteria|Alphaproteobacteria|Sneathiellales	22	21	25	17	18	13	22	14	21	14	17	24	37	25	37	49	11	17
Bacteria|Proteobacteria|Alphaproteobacteria|Sphingomonadales	597	611	1237	1026	1146	949	469	447	400	464	572	556	398	577	459	707	654	536
Bacteria|Proteobacteria|Alphaproteobacteria|Unassigned	62	35	41	44	63	41	72	51	47	59	43	62	36	40	38	45	45	63
Bacteria|Proteobacteria|Betaproteobacteria|Burkholderiales	8246	6025	8583	9446	12658	10216	4629	4136	6328	6048	5827	4991	7106	8381	6353	6802	7425	6729
Bacteria|Proteobacteria|Betaproteobacteria|Methylophilales	69	111	53	52	156	163	47	118	62	67	76	47	98	126	169	97	88	80
Bacteria|Proteobacteria|Betaproteobacteria|Unassigned	364	296	387	315	275	432	334	254	346	425	287	299	292	313	367	320	275	347
Bacteria|Proteobacteria|Deltaproteobacteria|Bdellovibrionales	51	61	92	107	260	81	60	67	83	102	72	50	103	222	78	60	96	61
Bacteria|Proteobacteria|Deltaproteobacteria|Desulfuromonadales	28	19	20	34	11	15	54	36	28	29	45	39	31	29	46	26	17	53
Bacteria|Proteobacteria|Deltaproteobacteria|Myxococcales	387	342	386	499	409	393	445	254	418	383	440	372	372	441	431	401	441	415
Bacteria|Proteobacteria|Deltaproteobacteria|Unassigned	448	533	313	313	281	804	444	319	391	404	361	499	383	451	449	452	352	460
Bacteria|Proteobacteria|Gammaproteobacteria|Enterobacteriales	0	0	1	2	0	0	220	0	0	0	0	0	0	0	0	0	0	0
Bacteria|Proteobacteria|Gammaproteobacteria|Pseudomonadales	2192	975	1599	1839	3113	1533	1403	1826	1877	2478	1901	1761	2413	3400	1816	1933	2768	1996
Bacteria|Proteobacteria|Gammaproteobacteria|Unassigned	276	275	262	234	227	222	384	280	287	224	277	371	249	246	352	288	225	395
Bacteria|Proteobacteria|Gammaproteobacteria|Xanthomonadales	1475	1269	1533	1622	1329	1657	1639	1300	1503	1345	1907	1689	1280	1747	1831	1939	1614	2022
Bacteria|Proteobacteria|Unassigned|Unassigned	1376	1474	1315	1238	1279	1684	1591	1140	1073	1474	1394	1356	1488	1602	1970	1522	1482	1736
Bacteria|Spirochaetes|Spirochaetia|Spirochaetales	20	10	40	21	44	15	31	30	40	54	38	32	32	67	63	49	22	54
Bacteria|Unassigned|Unassigned|Unassigned	563	549	292	547	352	432	478	604	517	522	429	426	645	400	515	453	523	432
Bacteria|Verrucomicrobia|Opitutae|Opitutales	3	3	11	4	7	8	23	17	21	17	42	61	32	21	52	26	17	18
Bacteria|Verrucomicrobia|Spartobacteria|Unassigned	4	7	5	1	4	4	34	11	20	7	11	39	12	13	17	15	5	9
Bacteria|Verrucomicrobia|Subdivision3|Unassigned	14	16	8	5	1	4	15	10	9	8	10	8	10	7	14	4	4	13
Bacteria|Verrucomicrobia|Verrucomicrobiae|Verrucomicrobiales	1	2	11	0	3	2	9	11	11	5	14	19	12	16	5	12	8	3
