Genus	KO1	KO2	KO3	KO4	KO5	KO6	OE1	OE2	OE3	OE4	OE5	OE6	WT1	WT2	WT3	WT4	WT5	WT6
Bacteria|Actinobacteria|Actinobacteria|Actinomycetales|Micromonosporaceae|Couchioplanes	43	70	6	1	0	7	14	4	9	10	7	13	11	5	3	0	3	4
Bacteria|Actinobacteria|Actinobacteria|Actinomycetales|Micromonosporaceae|Dactylosporangium	31	91	26	36	12	35	69	51	50	45	40	54	48	46	82	69	53	155
Bacteria|Actinobacteria|Actinobacteria|Actinomycetales|Micromonosporaceae|Micromonospora	41	59	153	28	21	23	48	61	40	39	55	38	38	44	49	32	51	39
Bacteria|Actinobacteria|Actinobacteria|Actinomycetales|Micromonosporaceae|Phytohabitans	6	2	7	0	5	2	7	32	6	5	1	4	4	8	11	18	0	30
Bacteria|Actinobacteria|Actinobacteria|Actinomycetales|Micromonosporaceae|Rhizocola	12	17	2	14	7	16	13	23	24	5	13	22	17	17	52	14	4	14
Bacteria|Actinobacteria|Actinobacteria|Actinomycetales|Micromonosporaceae|Unassigned	499	937	740	426	310	399	555	707	616	406	475	532	604	626	682	545	605	706
Bacteria|Actinobacteria|Actinobacteria|Actinomycetales|Micromonosporaceae|Verrucosispora	30	74	79	27	28	31	41	53	64	42	53	44	51	70	62	48	46	59
Bacteria|Actinobacteria|Actinobacteria|Actinomycetales|Micromonosporaceae|Virgisporangium	9	32	13	25	41	30	14	33	31	18	13	25	23	9	27	13	6	22
Bacteria|Actinobacteria|Actinobacteria|Actinomycetales|Mycobacteriaceae|Mycobacterium	124	143	132	90	41	53	83	91	79	71	56	86	85	39	165	77	69	63
Bacteria|Actinobacteria|Actinobacteria|Actinomycetales|Nocardiaceae|Nocardia	28	36	67	3	14	20	11	46	11	28	16	16	65	10	45	39	11	31
Bacteria|Actinobacteria|Actinobacteria|Actinomycetales|Nocardioidaceae|Aeromicrobium	108	176	288	149	131	152	50	94	80	75	98	100	78	74	118	118	79	86
Bacteria|Actinobacteria|Actinobacteria|Actinomycetales|Nocardioidaceae|Kribbella	145	369	198	119	101	140	164	195	156	154	192	158	214	317	199	291	374	219
Bacteria|Actinobacteria|Actinobacteria|Actinomycetales|Nocardioidaceae|Marmoricola	5	8	8	8	5	5	6	10	3	3	2	1	5	2	5	13	6	6
Bacteria|Actinobacteria|Actinobacteria|Actinomycetales|Nocardioidaceae|Nocardioides	507	766	842	663	584	725	471	789	563	447	688	568	520	475	653	649	578	562
Bacteria|Actinobacteria|Actinobacteria|Actinomycetales|Nocardioidaceae|Unassigned	32	31	65	23	42	25	1	24	7	18	17	8	19	13	36	20	15	22
Bacteria|Actinobacteria|Actinobacteria|Actinomycetales|Promicromonosporaceae|Cellulosimicrobium	6	3	2	0	0	1	3	1	2	3	3	15	17	0	11	1	0	2
Bacteria|Actinobacteria|Actinobacteria|Actinomycetales|Promicromonosporaceae|Promicromonospora	63	125	39	89	37	147	61	57	44	56	149	94	47	87	76	63	31	70
Bacteria|Actinobacteria|Actinobacteria|Actinomycetales|Propionibacteriaceae|Unassigned	11	3	0	8	1	4	12	4	2	5	1	10	5	3	4	5	3	6
Bacteria|Actinobacteria|Actinobacteria|Actinomycetales|Pseudonocardiaceae|Actinophytocola	320	425	1268	612	105	263	567	456	459	326	438	352	568	232	527	458	269	1059
Bacteria|Actinobacteria|Actinobacteria|Actinomycetales|Pseudonocardiaceae|Amycolatopsis	318	1034	595	378	392	465	193	244	142	321	290	202	480	535	338	647	1729	248
Bacteria|Actinobacteria|Actinobacteria|Actinomycetales|Pseudonocardiaceae|Kibdelosporangium	25	47	12	1206	537	39	43	44	22	52	53	25	132	31	31	39	92	69
Bacteria|Actinobacteria|Actinobacteria|Actinomycetales|Pseudonocardiaceae|Lechevalieria	20	78	79	12	7	15	8	13	25	12	17	15	29	12	48	21	6	27
Bacteria|Actinobacteria|Actinobacteria|Actinomycetales|Pseudonocardiaceae|Lentzea	796	1910	1043	767	860	840	750	774	634	749	1091	831	1451	1074	1259	1176	997	902
Bacteria|Actinobacteria|Actinobacteria|Actinomycetales|Pseudonocardiaceae|Pseudonocardia	84	162	197	139	61	97	125	136	92	95	108	110	117	127	106	169	95	159
Bacteria|Actinobacteria|Actinobacteria|Actinomycetales|Pseudonocardiaceae|Saccharothrix	50	103	34	14	7	22	29	91	23	14	11	33	26	41	47	22	14	28
Bacteria|Actinobacteria|Actinobacteria|Actinomycetales|Pseudonocardiaceae|Unassigned	117	197	43	101	60	102	118	169	94	191	127	184	352	129	151	191	46	336
Bacteria|Actinobacteria|Actinobacteria|Actinomycetales|Streptomycetaceae|Streptomyces	983	967	1231	854	407	729	703	1169	2731	1502	950	980	1414	1292	1096	2178	1550	1153
Bacteria|Actinobacteria|Actinobacteria|Actinomycetales|Streptosporangiaceae|Nonomuraea	0	6	0	5	2	5	2	4	5	3	9	5	1	4	11	5	29	7
Bacteria|Actinobacteria|Actinobacteria|Actinomycetales|Streptosporangiaceae|Unassigned	35	190	80	140	20	103	86	144	71	101	124	63	109	121	114	58	43	129
Bacteria|Actinobacteria|Actinobacteria|Actinomycetales|Thermomonosporaceae|Actinocorallia	263	318	58	441	133	185	160	280	155	259	250	182	400	454	244	324	455	246
Bacteria|Actinobacteria|Actinobacteria|Actinomycetales|Unassigned|Unassigned	1346	2321	1103	1600	1208	1308	1503	1940	1636	1206	1493	1287	2680	2780	2021	2233	1805	1926
Bacteria|Actinobacteria|Actinobacteria|Gaiellales|Gaiellaceae|Gaiella	89	151	98	131	73	113	109	173	105	97	127	152	148	109	131	95	109	107
Bacteria|Actinobacteria|Actinobacteria|Rubrobacterales|Rubrobacteraceae|Rubrobacter	9	25	8	14	2	14	18	20	15	11	11	30	23	6	14	15	26	13
Bacteria|Actinobacteria|Actinobacteria|Solirubrobacterales|Conexibacteraceae|Conexibacter	25	46	28	35	12	57	59	53	20	16	23	32	32	19	23	18	36	28
Bacteria|Actinobacteria|Actinobacteria|Solirubrobacterales|Solirubrobacteraceae|Solirubrobacter	60	61	32	47	35	96	146	69	61	63	68	99	43	42	45	47	64	53
Bacteria|Actinobacteria|Actinobacteria|Solirubrobacterales|Unassigned|Unassigned	50	82	57	74	57	80	87	74	50	54	58	109	61	40	61	49	83	63
Bacteria|Actinobacteria|Actinobacteria|Unassigned|Unassigned|Unassigned	156	277	180	200	134	153	294	333	243	218	262	321	287	241	288	207	201	237
Bacteria|Actinobacteria|Unassigned|Unassigned|Unassigned|Unassigned	6	25	26	31	8	33	32	32	22	24	23	33	14	21	15	25	17	26
Bacteria|Armatimonadetes|Unassigned|Unassigned|Unassigned|Armatimonadetes_gp5	2	1	1	2	0	4	2	7	2	5	6	2	2	9	4	6	7	5
Bacteria|Bacteroidetes|Cytophagia|Cytophagales|Flammeovirgaceae|Unassigned	4	0	0	2	0	0	9	12	4	11	7	3	4	10	7	7	3	5
Bacteria|Bacteroidetes|Cytophagia|Cytophagales|Unassigned|Ohtaekwangia	211	146	69	71	136	32	201	162	237	489	202	116	218	211	304	316	135	167
Bacteria|Bacteroidetes|Cytophagia|Cytophagales|Unassigned|Unassigned	70	41	37	48	23	23	131	92	184	126	94	76	102	123	129	113	65	111
Bacteria|Bacteroidetes|Flavobacteriia|Flavobacteriales|Cryomorphaceae|Unassigned	14	10	17	7	6	3	28	21	40	28	17	28	31	65	37	54	43	38
Bacteria|Bacteroidetes|Flavobacteriia|Flavobacteriales|Flavobacteriaceae|Chryseobacterium	5	6	4	4	1	1	8	23	10	20	15	3	2	1	16	83	5	10
Bacteria|Bacteroidetes|Flavobacteriia|Flavobacteriales|Flavobacteriaceae|Flavobacterium	448	563	2576	848	1655	672	434	1994	2093	1368	609	538	1325	1402	887	523	1171	1538
Bacteria|Bacteroidetes|Flavobacteriia|Flavobacteriales|Unassigned|Unassigned	2	4	0	1	1	0	6	11	7	4	2	2	5	15	6	2	2	3
Bacteria|Bacteroidetes|Sphingobacteriia|Sphingobacteriales|Chitinophagaceae|Niastella	41	23	20	20	11	14	99	61	142	134	92	51	98	147	95	118	68	61
Bacteria|Bacteroidetes|Sphingobacteriia|Sphingobacteriales|Chitinophagaceae|Terrimonas	5	1	1	1	1	3	15	5	10	4	4	5	2	3	5	3	2	2
Bacteria|Bacteroidetes|Sphingobacteriia|Sphingobacteriales|Chitinophagaceae|Unassigned	3	1	1	0	0	1	14	7	7	6	2	6	5	10	5	2	2	6
Bacteria|Bacteroidetes|Sphingobacteriia|Sphingobacteriales|Sphingobacteriaceae|Unassigned	25	20	23	38	45	20	18	8	30	31	20	19	38	85	19	20	25	34
Bacteria|Bacteroidetes|Unassigned|Unassigned|Unassigned|Unassigned	17	6	18	19	10	13	12	12	19	29	18	18	20	13	15	18	19	20
Bacteria|Candidatus_Saccharibacteria|Unassigned|Unassigned|Unassigned|Saccharibacteria_genera_incertae_sedis	1	1	6	0	33	4	0	10	1	0	11	0	2	0	2	0	0	5
Bacteria|Chlamydiae|Chlamydiia|Chlamydiales|Chlamydiaceae|Chlamydophila	4	2	0	0	2	9	10	9	11	16	3	3	0	4	41	6	0	23
Bacteria|Chloroflexi|Caldilineae|Caldilineales|Caldilineaceae|Unassigned	1	8	1	0	0	4	6	15	8	1	8	6	5	5	11	4	2	2
Bacteria|Chloroflexi|Chloroflexia|Chloroflexales|Chloroflexaceae|Roseiflexus	13	21	9	13	5	15	6	17	14	22	15	9	18	14	7	8	5	18
Bacteria|Chloroflexi|Chloroflexia|Chloroflexales|Chloroflexaceae|Unassigned	34	52	23	42	70	29	33	52	39	68	38	39	75	41	60	49	40	59
Bacteria|Chloroflexi|Chloroflexia|Chloroflexales|Oscillochloridaceae|Oscillochloris	19	38	9	21	18	15	11	6	15	12	11	7	25	13	22	26	7	27
Bacteria|Chloroflexi|Chloroflexia|Herpetosiphonales|Herpetosiphonaceae|Herpetosiphon	122	142	63	153	204	73	79	357	21	169	309	183	934	62	127	146	439	304
Bacteria|Chloroflexi|Chloroflexia|Unassigned|Unassigned|Unassigned	57	120	50	88	62	52	83	148	128	80	53	92	120	84	98	171	46	81
Bacteria|Chloroflexi|Unassigned|Unassigned|Unassigned|Unassigned	201	224	60	167	130	133	161	185	146	138	139	149	203	95	227	156	77	118
Bacteria|Firmicutes|Bacilli|Bacillales|Alicyclobacillaceae|Tumebacillus	4	2	0	1	2	2	10	6	1	0	87	8	1	5	2	14	0	1
Bacteria|Firmicutes|Bacilli|Bacillales|Bacillaceae_1|Bacillus	276	257	151	153	130	227	862	377	494	550	271	1011	121	68	171	130	81	194
Bacteria|Firmicutes|Bacilli|Bacillales|Bacillaceae_1|Fictibacillus	3	6	5	3	4	5	4	3	4	3	6	6	0	2	4	3	9	2
Bacteria|Firmicutes|Bacilli|Bacillales|Bacillaceae_1|Unassigned	10	2	8	11	9	2	6	1	3	5	4	11	5	1	6	4	3	2
Bacteria|Firmicutes|Bacilli|Bacillales|Bacillaceae_2|Terribacillus	5	1	0	0	2	3	45	4	18	7	5	7	1	0	1	2	0	10
Bacteria|Firmicutes|Bacilli|Bacillales|Paenibacillaceae_1|Brevibacillus	2	1	58	0	0	0	0	3	3	0	0	2	0	0	3	0	0	1
Bacteria|Firmicutes|Bacilli|Bacillales|Paenibacillaceae_1|Cohnella	5	6	2	8	2	4	6	9	5	5	9	7	3	5	6	4	2	0
Bacteria|Firmicutes|Bacilli|Bacillales|Paenibacillaceae_1|Paenibacillus	86	78	27	853	38	164	350	298	93	270	57	171	84	27	76	54	48	46
Bacteria|Firmicutes|Bacilli|Bacillales|Paenibacillaceae_2|Unassigned	4	9	12	5	2	14	6	21	2	3	3	5	2	0	4	3	2	5
Bacteria|Firmicutes|Bacilli|Bacillales|Planococcaceae|Lysinibacillus	1	0	0	2	2	1	0	1	2	5	1	50	0	1	3	0	1	3
Bacteria|Firmicutes|Bacilli|Bacillales|Planococcaceae|Paenisporosarcina	6	6	1	7	4	4	4	2	1	1	12	8	9	3	2	8	4	6
Bacteria|Firmicutes|Bacilli|Bacillales|Thermoactinomycetaceae_2|Planifilum	16	29	11	27	4	4	8	45	27	10	18	26	6	2	16	16	10	21
Bacteria|Firmicutes|Bacilli|Bacillales|Unassigned|Unassigned	2	2	13	5	1	3	0	4	7	6	2	7	0	1	1	5	1	7
Bacteria|Firmicutes|Clostridia|Clostridiales|Clostridiaceae_1|Clostridium_sensu_stricto	0	149	0	0	1	0	0	1	23	2	0	2	0	0	1	0	0	22
Bacteria|Firmicutes|Clostridia|Clostridiales|Lachnospiraceae|Unassigned	0	44	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	33
Bacteria|Firmicutes|Clostridia|Clostridiales|Peptostreptococcaceae|Romboutsia	1	2	7	4	3	1	8	2	4	5	3	15	1	5	2	2	4	3
Bacteria|Ignavibacteriae|Ignavibacteria|Ignavibacteriales|Ignavibacteriaceae|Ignavibacterium	2	3	0	3	0	12	2	2	0	29	0	0	0	0	2	0	1	7
Bacteria|Nitrospirae|Nitrospira|Nitrospirales|Nitrospiraceae|Nitrospira	18	18	11	14	9	14	25	14	21	13	32	25	18	17	21	27	20	24
Bacteria|Planctomycetes|Planctomycetia|Planctomycetales|Planctomycetaceae|Blastopirellula	0	17	9	1	2	7	28	44	38	12	23	41	17	12	13	18	8	11
Bacteria|Planctomycetes|Planctomycetia|Planctomycetales|Planctomycetaceae|Pirellula	3	10	5	1	6	5	24	24	17	6	20	22	11	11	18	14	8	8
Bacteria|Planctomycetes|Planctomycetia|Planctomycetales|Planctomycetaceae|Unassigned	3	11	7	6	1	5	18	42	17	9	16	12	12	9	17	5	12	12
Bacteria|Proteobacteria|Alphaproteobacteria|Caulobacterales|Caulobacteraceae|Asticcacaulis	9	6	12	42	28	18	9	5	14	3	4	6	2	40	5	16	17	6
Bacteria|Proteobacteria|Alphaproteobacteria|Caulobacterales|Caulobacteraceae|Brevundimonas	29	25	54	61	88	39	23	49	11	25	29	21	12	17	41	31	40	28
Bacteria|Proteobacteria|Alphaproteobacteria|Caulobacterales|Caulobacteraceae|Caulobacter	61	44	57	60	43	103	40	85	55	43	108	59	53	43	35	55	64	58
Bacteria|Proteobacteria|Alphaproteobacteria|Caulobacterales|Caulobacteraceae|Phenylobacterium	284	275	271	217	311	301	189	107	122	145	221	157	195	260	176	172	196	218
Bacteria|Proteobacteria|Alphaproteobacteria|Caulobacterales|Caulobacteraceae|Unassigned	6	3	2	0	9	2	4	4	3	3	8	5	3	14	9	18	11	7
Bacteria|Proteobacteria|Alphaproteobacteria|Caulobacterales|Hyphomonadaceae|Hyphomonas	51	56	61	47	33	60	92	56	55	60	64	76	55	61	77	52	27	87
Bacteria|Proteobacteria|Alphaproteobacteria|Caulobacterales|Hyphomonadaceae|Unassigned	24	26	10	15	19	18	39	17	22	21	25	26	23	23	30	33	41	46
Bacteria|Proteobacteria|Alphaproteobacteria|Rhizobiales|Bradyrhizobiaceae|Bosea	117	109	292	377	252	159	85	173	58	69	150	81	140	101	96	158	240	155
Bacteria|Proteobacteria|Alphaproteobacteria|Rhizobiales|Bradyrhizobiaceae|Bradyrhizobium	658	836	782	573	716	749	784	608	509	521	745	685	610	593	684	692	626	715
Bacteria|Proteobacteria|Alphaproteobacteria|Rhizobiales|Bradyrhizobiaceae|Unassigned	84	103	110	124	104	110	105	72	79	79	245	81	87	109	110	87	81	118
Bacteria|Proteobacteria|Alphaproteobacteria|Rhizobiales|Hyphomicrobiaceae|Devosia	441	372	606	516	1043	641	243	458	209	300	345	258	247	303	324	305	372	397
Bacteria|Proteobacteria|Alphaproteobacteria|Rhizobiales|Hyphomicrobiaceae|Hyphomicrobium	159	162	269	112	159	254	143	123	65	85	116	135	74	88	89	101	105	117
Bacteria|Proteobacteria|Alphaproteobacteria|Rhizobiales|Hyphomicrobiaceae|Pedomicrobium	118	147	115	114	51	53	163	69	82	84	95	122	92	71	89	63	33	106
Bacteria|Proteobacteria|Alphaproteobacteria|Rhizobiales|Hyphomicrobiaceae|Unassigned	46	58	75	49	41	54	94	58	77	37	45	52	33	33	49	41	41	60
Bacteria|Proteobacteria|Alphaproteobacteria|Rhizobiales|Methylobacteriaceae|Microvirga	25	26	7	12	23	23	33	22	28	22	18	36	19	19	18	20	14	24
Bacteria|Proteobacteria|Alphaproteobacteria|Rhizobiales|Phyllobacteriaceae|Mesorhizobium	122	133	151	189	168	191	129	114	121	115	157	104	118	131	129	171	179	144
Bacteria|Proteobacteria|Alphaproteobacteria|Rhizobiales|Phyllobacteriaceae|Phyllobacterium	68	88	33	92	115	165	26	35	57	45	63	57	80	117	62	55	63	44
Bacteria|Proteobacteria|Alphaproteobacteria|Rhizobiales|Phyllobacteriaceae|Unassigned	3	5	4	9	7	8	8	3	3	7	4	6	0	1	7	2	15	7
Bacteria|Proteobacteria|Alphaproteobacteria|Rhizobiales|Rhizobiaceae|Ensifer	266	174	430	367	516	311	238	268	263	296	351	387	154	275	212	293	386	275
Bacteria|Proteobacteria|Alphaproteobacteria|Rhizobiales|Rhizobiaceae|Rhizobium	504	428	903	934	1202	807	289	312	355	430	579	446	414	694	391	422	654	426
Bacteria|Proteobacteria|Alphaproteobacteria|Rhizobiales|Rhizobiaceae|Shinella	16	13	9	2	19	10	13	92	13	12	35	17	4	7	1	15	28	21
Bacteria|Proteobacteria|Alphaproteobacteria|Rhizobiales|Rhizobiaceae|Unassigned	186	128	491	213	404	265	122	205	105	146	199	100	184	241	135	220	351	221
Bacteria|Proteobacteria|Alphaproteobacteria|Rhizobiales|Rhizobiales_incertae_sedis|Bauldia	4	4	3	2	5	2	7	4	5	4	5	7	2	2	6	3	1	7
Bacteria|Proteobacteria|Alphaproteobacteria|Rhizobiales|Rhodobiaceae|Methyloceanibacter	19	15	19	27	15	17	21	20	12	13	13	26	22	18	12	16	13	21
Bacteria|Proteobacteria|Alphaproteobacteria|Rhizobiales|Rhodobiaceae|Unassigned	22	23	14	22	22	20	23	15	15	15	28	33	23	14	23	10	20	9
Bacteria|Proteobacteria|Alphaproteobacteria|Rhizobiales|Unassigned|Unassigned	831	881	1209	883	662	949	1074	654	621	664	737	770	552	592	1018	760	551	869
Bacteria|Proteobacteria|Alphaproteobacteria|Rhizobiales|Xanthobacteraceae|Pseudolabrys	13	22	7	19	10	11	21	10	19	7	10	17	9	13	7	5	10	14
Bacteria|Proteobacteria|Alphaproteobacteria|Rhizobiales|Xanthobacteraceae|Unassigned	41	62	38	42	23	64	57	52	48	35	47	52	35	25	58	39	42	40
Bacteria|Proteobacteria|Alphaproteobacteria|Rhodobacterales|Rhodobacteraceae|Amaricoccus	5	5	1	2	1	9	5	4	4	5	6	6	6	1	2	1	6	2
Bacteria|Proteobacteria|Alphaproteobacteria|Rhodospirillales|Rhodospirillaceae|Dongia	139	185	112	95	68	87	293	184	152	141	145	192	152	135	192	161	101	167
Bacteria|Proteobacteria|Alphaproteobacteria|Rhodospirillales|Rhodospirillaceae|Unassigned	22	15	10	14	4	17	27	17	20	20	18	23	8	10	15	31	13	20
Bacteria|Proteobacteria|Alphaproteobacteria|Rhodospirillales|Unassigned|Reyranella	48	46	62	55	15	74	68	32	42	40	39	57	31	16	50	79	27	41
Bacteria|Proteobacteria|Alphaproteobacteria|Rhodospirillales|Unassigned|Unassigned	12	14	5	1	2	11	12	5	18	14	9	7	7	10	8	12	5	12
Bacteria|Proteobacteria|Alphaproteobacteria|Sneathiellales|Sneathiellaceae|Ferrovibrio	22	21	25	17	18	13	22	14	21	14	17	24	37	25	37	49	11	17
Bacteria|Proteobacteria|Alphaproteobacteria|Sphingomonadales|Erythrobacteraceae|Altererythrobacter	44	46	78	70	107	75	41	36	25	35	58	22	25	50	51	50	64	54
Bacteria|Proteobacteria|Alphaproteobacteria|Sphingomonadales|Erythrobacteraceae|Unassigned	22	14	32	6	13	16	14	9	8	5	15	19	7	6	11	13	10	13
Bacteria|Proteobacteria|Alphaproteobacteria|Sphingomonadales|Sphingomonadaceae|Novosphingobium	5	8	11	0	1	0	2	2	6	6	3	6	1	3	13	2	1	5
Bacteria|Proteobacteria|Alphaproteobacteria|Sphingomonadales|Sphingomonadaceae|Sphingobium	9	15	50	4	6	10	16	13	9	14	17	7	5	7	21	36	2	16
Bacteria|Proteobacteria|Alphaproteobacteria|Sphingomonadales|Sphingomonadaceae|Sphingomonas	363	338	708	760	582	541	256	167	279	218	262	352	198	378	233	366	269	255
Bacteria|Proteobacteria|Alphaproteobacteria|Sphingomonadales|Sphingomonadaceae|Sphingopyxis	92	80	298	151	363	145	74	160	34	139	172	97	120	96	95	160	265	140
Bacteria|Proteobacteria|Alphaproteobacteria|Sphingomonadales|Sphingomonadaceae|Unassigned	54	104	46	29	68	124	59	52	33	43	36	45	36	25	29	73	40	45
Bacteria|Proteobacteria|Alphaproteobacteria|Sphingomonadales|Unassigned|Unassigned	8	6	14	6	6	38	7	8	6	4	9	8	6	12	6	7	3	8
Bacteria|Proteobacteria|Alphaproteobacteria|Unassigned|Unassigned|Unassigned	62	35	41	44	63	41	72	51	47	59	43	62	36	40	38	45	45	63
Bacteria|Proteobacteria|Betaproteobacteria|Burkholderiales|Alcaligenaceae|Achromobacter	6	0	1	1	2	0	4	28	2	5	0	8	1	1	1	5	0	0
Bacteria|Proteobacteria|Betaproteobacteria|Burkholderiales|Alcaligenaceae|Unassigned	2	0	7	0	6	0	4	13	0	84	5	39	2	1	1	4	0	7
Bacteria|Proteobacteria|Betaproteobacteria|Burkholderiales|Burkholderiaceae|Burkholderia	22	29	24	9	23	13	17	23	13	25	27	20	25	37	26	11	37	20
Bacteria|Proteobacteria|Betaproteobacteria|Burkholderiales|Burkholderiaceae|Cupriavidus	1	1	1	51	3	52	7	8	1	3	5	7	0	1	5	8	4	6
Bacteria|Proteobacteria|Betaproteobacteria|Burkholderiales|Burkholderiaceae|Ralstonia	0	3	23	12	13	10	14	3	7	5	2	11	4	21	3	4	13	4
Bacteria|Proteobacteria|Betaproteobacteria|Burkholderiales|Burkholderiales_incertae_sedis|Aquabacterium	257	200	219	248	687	290	241	240	184	188	248	176	206	213	315	236	231	212
Bacteria|Proteobacteria|Betaproteobacteria|Burkholderiales|Burkholderiales_incertae_sedis|Piscinibacter	77	72	123	138	211	101	157	103	161	197	153	122	159	291	269	262	192	151
Bacteria|Proteobacteria|Betaproteobacteria|Burkholderiales|Burkholderiales_incertae_sedis|Unassigned	159	161	380	217	201	280	133	88	158	126	124	121	135	156	140	147	159	156
Bacteria|Proteobacteria|Betaproteobacteria|Burkholderiales|Comamonadaceae|Acidovorax	14	4	42	14	15	46	6	18	23	19	18	3	24	28	6	9	30	21
Bacteria|Proteobacteria|Betaproteobacteria|Burkholderiales|Comamonadaceae|Hydrogenophaga	80	18	38	59	295	25	29	55	16	114	72	40	33	7	50	61	38	71
Bacteria|Proteobacteria|Betaproteobacteria|Burkholderiales|Comamonadaceae|Kinneretia	191	151	271	259	434	207	106	49	138	107	113	85	168	238	120	90	198	117
Bacteria|Proteobacteria|Betaproteobacteria|Burkholderiales|Comamonadaceae|Pelomonas	1985	1250	2383	2255	2915	1858	652	500	1241	1281	984	650	1305	1592	862	1143	1530	1192
Bacteria|Proteobacteria|Betaproteobacteria|Burkholderiales|Comamonadaceae|Polaromonas	63	74	83	76	112	73	26	30	48	49	53	70	54	67	55	47	74	34
