ID,prevalence,Group
IF_019__k141_74328,0.769231,Y
S_7G49__60522,0.0923077,Y
IF_028-2__42605,0,Y
S_7G24__3405,0.753846,Y
IF_158__k141_24474,0,Y
IF_027__k141_66489,0,Y
IF_091__k141_92553,0.169231,Y
KWS_10555__206890,0.0615385,Y
IF_099__5433,0.276923,Y
KWS_10988__12445,0.0307692,Y
IF_122__1540,0.0769231,Y
KeioHC_113__144562,0,Y
KWS_10469__27587,0.0153846,Y
IF_082__54370,0.0923077,Y
IF_126__67163,0.4,Y
KeioHC_7__k141_130120,0.169231,Y
IF_171__108666,0.0307692,Y
S_7G24__104957,0.507692,Y
S_7G16__42191,0.261538,Y
KeioHC_120__24133,0.153846,Y
IF_013__k141_82554,0.0307692,Y
KeioHC_K2__269550,0.0923077,Y
S_7G29__k141_100208,0.0153846,Y
IF_163__120680,0.0153846,Y
IF_009__2569,0,Y
KWS_10468__36509,0,Y
KWS_10480__2240,0.753846,Y
IF_022__107580,0.307692,Y
S_7G1__14185,0.0615385,Y
S_7G6__4985,0.169231,Y
KWS_11002__172479,0.169231,Y
S_7G26__k141_55056,0.0153846,Y
S_7G28__2015,0.123077,Y
KWS_10639__27912,0,Y
IF_162__k141_6233,0.107692,Y
IF_072__78590,0.0461538,Y
S_7G51__k141_95662,0.0615385,Y
S_7G44__15812,0.0153846,Y
KWS_10486__k141_86714,0.338462,Y
KeioHC_120__k141_61494,0.153846,Y
KWS_11000__51489,0.0307692,Y
KWS_10984__111578,0.0461538,Y
KeioHC_106__229830,0.123077,Y
IF_151__k141_13229,0.0615385,Y
S_7G5__k141_112016,0.384615,Y
S_7G51__20737,0.230769,Y
KeioHC_124__3405,0.0307692,Y
IF_068-2__k141_27701,0.0769231,Y
S_7G40__k141_86759,0.0307692,Y
KWS_11007__k141_100037,0.0153846,Y
S_7G12__4402,0.0461538,Y
S_7G5__39776,0.876923,Y
IF_009__149056,0.0615385,Y
KWS_10641__k141_9955,0.123077,Y
KeioHC_18__191511,0.0461538,Y
S_7G24__27908,0.0307692,Y
IF_101__889,0.0307692,Y
IF_104__72336,0.0307692,Y
IF_013__16730,0.138462,Y
S_6G2__11532,0,Y
IF_128__108857,0.0615385,Y
IF_086__23916,0,Y
S_6G6__8580,0.753846,Y
S_7G26__k141_134398,0.0307692,Y
KWS_10992re__262258,0.338462,Y
S_7G39__2233,0.584615,Y
S_7G27__k141_32436,0.0923077,Y
KWS_10469__9636,0.0307692,Y
S_7G10__31527,0.0769231,Y
KWS_11009__17005,0.0923077,Y
KWS_10985__k141_77551,0.0153846,Y
IF_007__k141_78052,0.0769231,Y
IF_103__k141_10923,0,Y
S_7G10__95741,0.415385,Y
IF_008__117,0.538462,Y
KWS_10997__260803,0.0769231,Y
KWS_10911__47230,0.692308,Y
IF_022__51451,0.0153846,Y
KWS_10547__43914,0.692308,Y
KeioHC_123__743,0.0461538,Y
IF_162__2667,0.0461538,Y
S_7G31__143861,0.8,Y
S_6G7__46756,0.0307692,Y
IF_087-3__k141_8084,0.0769231,Y
KWS_10911__k141_144810,0.138462,Y
IF_026__7851,0.0461538,Y
IF_022__k141_104214,0.0923077,Y
IF_030-2__k141_59770,0,Y
IF_069__29556,0.184615,Y
S_6G3__129960,0.0153846,Y
IF_002-2re__5963,0.0307692,Y
IF_008__7965,0.430769,Y
IF_081__63927,0.123077,Y
IF_095__61518,0.0923077,Y
S_7G31__18163,0.384615,Y
IF_121wa__35302,0.0307692,Y
