ID,Color,Type,Group
IF_175re__1364,#000000,ref,ref
S_7G42__204402,#000000,ref,ref
KWS_10648__33397,#000000,ref,ref
KWS_10997__90507,#000000,ref,ref
KWS_10548__9636,#000000,ref,ref
KWS_10478__43433,#000000,ref,ref
KWS_10995__19633,#000000,ref,ref
IF_102__260260,#000000,ref,ref
KWS_10637__14814,#000000,ref,ref
S_7G34__30854,#000000,ref,ref
KWS_10638__16689,#000000,ref,ref
IF_074__63713,#000000,ref,ref
S_7G15__27200,#000000,ref,ref
KeioHC_106__229830,#000000,ref,ref
S_6G16__2015,#000000,ref,ref
KWS_10784__180334,#000000,ref,ref
S_7G28__18163,#000000,ref,ref
S_7G26__133400,#000000,ref,ref
IF_093__18093,#000000,ref,ref
S_6G7__126565,#000000,ref,ref
KWS_10638__79587,#000000,ref,ref
IF_125__249015,#000000,ref,ref
S_6G6__8580,#000000,ref,ref
KWS_10636__1206,#000000,ref,ref
IF_095__3055,#000000,ref,ref
KWS_10911__8135,#000000,ref,ref
IF_101-2__60532,#000000,ref,ref
S_7G39__2233,#000000,ref,ref
IF_009__2569,#000000,ref,ref
IF_023__304,#000000,ref,ref
IF_047__17299,#000000,ref,ref
KWS_10563__288,#000000,ref,ref
KWS_10911__52533,#000000,ref,ref
S_7G21__304,#000000,ref,ref
IF_112__31595,#000000,ref,ref
S_7G27__10902,#000000,ref,ref
IF_079__10812,#000000,ref,ref
IF_121wa__79017,#000000,ref,ref
KWS_10656__2024,#000000,ref,ref
IF_127__11309,#000000,ref,ref
KWS_10567__3721,#000000,ref,ref
S_6G16__13257,#000000,ref,ref
IF_047-2__1219,#000000,ref,ref
S_6G12__89470,#000000,ref,ref
KWS_10452__205168,#000000,ref,ref
S_6G16__229508,#000000,ref,ref
IF_099__5433,#000000,ref,ref
KWS_10911__44852,#000000,ref,ref
KWS_10917__272526,#000000,ref,ref
S_7G5__39776,#000000,ref,ref
S_6G12__22778,#000000,ref,ref
S_7G5__2015,#000000,ref,ref
KeioHC_11__286224,#000000,ref,ref
S_7G6__40255,#000000,ref,ref
S_7G21__90666,#000000,ref,ref
S_7G4__11012,#000000,ref,ref
IF_101__133630,#000000,ref,ref
IF_002-2re__5963,#000000,ref,ref
IF_134__1119,#000000,ref,ref
IF_117__16887,#000000,ref,ref
KWS_10461__213188,#000000,ref,ref
S_7G6__233559,#000000,ref,ref
IF_107__141652,#000000,ref,ref
KWS_10653__2862,#000000,ref,ref
KeioHC_U__80729,#000000,ref,ref
IF_089__42443,#000000,ref,ref
KeioHC_113__9753,#000000,ref,ref
IF_185__28361,#000000,ref,ref
IF_091__169258,#000000,ref,ref
KWS_10912__20489,#000000,ref,ref
KWS_10897__3061,#000000,ref,ref
S_7G45__2862,#000000,ref,ref
IF_072__79425,#000000,ref,ref
KWS_10551__126965,#000000,ref,ref
KWS_10461__44896,#000000,ref,ref
IF_091__108828,#000000,ref,ref
KWS_10644__202928,#000000,ref,ref
IF_008__161414,#000000,ref,ref
S_7G39__201270,#000000,ref,ref
KWS_10911__47230,#000000,ref,ref
S_7G29__17737,#000000,ref,ref
IF_059__1729,#000000,ref,ref
S_6G5__2070,#000000,ref,ref
KWS_10551__79901,#000000,ref,ref
KWS_10633__181850,#000000,ref,ref
IF_175re__30564,#000000,ref,ref
IF_153__40575,#000000,ref,ref
KWS_10906__159368,#000000,ref,ref
IF_175re__35631,#000000,ref,ref
S_7G31__64772,#000000,ref,ref
KeioHC_5__1147,#000000,ref,ref
IF_065__16806,#000000,ref,ref
KWS_10984__2824,#000000,ref,ref
KWS_10896__192992,#000000,ref,ref
KWS_11007__3596,#000000,ref,ref
KWS_10986__68554,#000000,ref,ref
S_6G2__1846,#000000,ref,ref
KWS_10452__154002,#000000,ref,ref
S_7G1__43172,#000000,ref,ref
S_7G4__203278,#000000,ref,ref
KWS_10565__16522,#000000,ref,ref
S_6G11__3694,#000000,ref,ref
S_7G7__12567,#000000,ref,ref
IF_072__38069,#000000,ref,ref
KWS_10896__33995,#000000,ref,ref
IF_090__2233,#000000,ref,ref
KWS_10637__278,#000000,ref,ref
IF_180__8135,#000000,ref,ref
KWS_10459__285285,#000000,ref,ref
IF_087-2__2661,#000000,ref,ref
IF_087__2667,#000000,ref,ref
KWS_10469__27587,#000000,ref,ref
IF_110__170113,#000000,ref,ref
KWS_10655__1650,#000000,ref,ref
S_7G30__3596,#000000,ref,ref
IF_099__743,#000000,ref,ref
S_7G6__2530,#000000,ref,ref
IF_036__21543,#000000,ref,ref
S_6G10__11780,#000000,ref,ref
IF_027__9063,#000000,ref,ref
S_6G16__14333,#000000,ref,ref
IF_127__57305,#000000,ref,ref
IF_148__85717,#000000,ref,ref
KWS_10486__3596,#000000,ref,ref
KeioHC_U__86150,#000000,ref,ref
S_7G25__89,#000000,ref,ref
KeioHC_113__2337,#000000,ref,ref
IF_173__26924,#000000,ref,ref
S_7G5__222898,#000000,ref,ref
IF_081__26676,#000000,ref,ref
KWS_10656__75596,#000000,ref,ref
KWS_10539__8876,#000000,ref,ref
KWS_10893__14018,#000000,ref,ref
S_7G31__2630,#000000,ref,ref
IF_62-2__65056,#000000,ref,ref
S_6G7__2233,#000000,ref,ref
KWS_10469__99554,#000000,ref,ref
S_7G44__15812,#000000,ref,ref
IF_065__1908,#000000,ref,ref
IF_115__29973,#000000,ref,ref
S_7G8__46352,#000000,ref,ref
KWS_10656__87228,#000000,ref,ref
S_7G45__247302,#000000,ref,ref
KWS_10984__229824,#000000,ref,ref
S_7G39__52990,#000000,ref,ref
KeioHC_120__24133,#000000,ref,ref
IF_117__229378,#000000,ref,ref
S_7G27__2784,#000000,ref,ref
IF_065__1169,#000000,ref,ref
S_6G15__156592,#000000,ref,ref
S_7G4__70527,#000000,ref,ref
IF_065-2__5387,#000000,ref,ref
KeioHC_110__59065,#000000,ref,ref
KWS_10558__37313,#000000,ref,ref
KWS_10469__9636,#000000,ref,ref
KWS_10486__31779,#000000,ref,ref
KeioHC_9__39776,#000000,ref,ref
IF_101__1765,#000000,ref,ref
IF_130__19879,#000000,ref,ref
IF_176__213019,#000000,ref,ref
S_6G14__114382,#000000,ref,ref
KWS_10477__64999,#000000,ref,ref
KeioHC_110__153650,#000000,ref,ref
KeioHC_110__83879,#000000,ref,ref
IF_103__18087,#000000,ref,ref
S_7G28__2015,#000000,ref,ref
KWS_11003__3596,#000000,ref,ref
IF_039__6737,#000000,ref,ref
IF_139__2015,#000000,ref,ref
KWS_10661__14834,#000000,ref,ref
KWS_10989__71591,#000000,ref,ref
S_6G11__75251,#000000,ref,ref
IF_112__2233,#000000,ref,ref
S_7G19__16540,#000000,ref,ref
KWS_10638__4965,#000000,ref,ref
IF_150__6608,#000000,ref,ref
IF_051__38268,#000000,ref,ref
KeioHC_14__4727,#000000,ref,ref
IF_005__24883,#000000,ref,ref
IF_016__27350,#000000,ref,ref
S_7G6__4985,#000000,ref,ref
IF_053__83829,#000000,ref,ref
IF_063__12070,#000000,ref,ref
KWS_10638__33701,#000000,ref,ref
KeioHC_9__68782,#000000,ref,ref
IF_116__165218,#000000,ref,ref
KWS_10909__107934,#000000,ref,ref
KeioHC_102__207872,#000000,ref,ref
S_7G29__13257,#000000,ref,ref
IF_116__29855,#000000,ref,ref
IF_005__165580,#000000,ref,ref
KWS_10461__4055,#000000,ref,ref
IF_019__197,#000000,ref,ref
KeioHC_7__9060,#000000,ref,ref
IF_104__156484,#000000,ref,ref
S_7G3__10051,#000000,ref,ref
KWS_10461__18498,#000000,ref,ref
IF_081__2015,#000000,ref,ref
IF_065-2__88192,#000000,ref,ref
KeioHC_124__65211,#000000,ref,ref
KeioHC_122__28724,#000000,ref,ref
IF_086__47238,#000000,ref,ref
S_7G32__494,#000000,ref,ref
KWS_10461__83237,#000000,ref,ref
S_6G3__2627,#000000,ref,ref
IF_025__34186,#000000,ref,ref
IF_138__2015,#000000,ref,ref
S_7G31__143861,#000000,ref,ref
S_6G6__69023,#000000,ref,ref
IF_052__2015,#000000,ref,ref
S_7G5__5898,#000000,ref,ref
S_6G14__4878,#000000,ref,ref
IF_071__16639,#000000,ref,ref
KWS_10466__145374,#000000,ref,ref
S_6G6__63067,#000000,ref,ref
IF_081__174139,#000000,ref,ref
KeioHC_2__51057,#000000,ref,ref
S_7G5__21762,#000000,ref,ref
KeioHC_3__2889,#000000,ref,ref
KWS_10550__27841,#000000,ref,ref
S_7G18__17299,#000000,ref,ref
S_7G21__2120,#000000,ref,ref
IF_169__7922,#000000,ref,ref
KWS_10984__2233,#000000,ref,ref
IF_130__171,#000000,ref,ref
IF_178__3345,#000000,ref,ref
KWS_10992re__2865,#000000,ref,ref
S_6G5__60534,#000000,ref,ref
KeioHC_12__87664,#000000,ref,ref
S_6G13__39764,#000000,ref,ref
IF_088-2__125437,#000000,ref,ref
IF_087-2__35442,#000000,ref,ref
KeioHC_10__2521,#000000,ref,ref
S_6G16__62701,#000000,ref,ref
S_7G46__44275,#000000,ref,ref
IF_100__66804,#000000,ref,ref
KWS_10986__19077,#000000,ref,ref
IF_082__61732,#000000,ref,ref
KWS_10540__4677,#000000,ref,ref
KWS_10988__64230,#000000,ref,ref
IF_086__20930,#000000,ref,ref
IF_122__11878,#000000,ref,ref
IF_023__95,#000000,ref,ref
KWS_10997__47522,#000000,ref,ref
IF_165__68587,#000000,ref,ref
KWS_10637__2233,#000000,ref,ref
KWS_10632__125029,#000000,ref,ref
S_7G34__58269,#000000,ref,ref
S_7G21__2015,#000000,ref,ref
S_6G7__46756,#000000,ref,ref
IF_164re__10619,#000000,ref,ref
KeioHC_K2__262700,#000000,ref,ref
KWS_10641__50324,#000000,ref,ref
IF_104__30909,#000000,ref,ref
KeioHC_109__104258,#000000,ref,ref
IF_164re__126073,#000000,ref,ref
KeioHC_10__21735,#000000,ref,ref
S_6G7__101074,#000000,ref,ref
KWS_10784__18163,#000000,ref,ref
KWS_11000__59065,#000000,ref,ref
S_6G3__2233,#000000,ref,ref
IF_061-2__47177,#000000,ref,ref
S_7G17__33633,#000000,ref,ref
S_6G16__63533,#000000,ref,ref
S_7G29__2189,#000000,ref,ref
KWS_10991__34614,#000000,ref,ref
KWS_10983__9242,#000000,ref,ref
KeioHC_114__1821,#000000,ref,ref
IF_099__41852,#000000,ref,ref
S_7G49__1206,#000000,ref,ref
S_7G12__8760,#000000,ref,ref
KWS_10545__31748,#000000,ref,ref
KeioHC_7__234193,#000000,ref,ref
S_7G27__62381,#000000,ref,ref
S_7G47__40327,#000000,ref,ref
KWS_10656__53491,#000000,ref,ref
S_6G3__105376,#000000,ref,ref
KWS_10652__193827,#000000,ref,ref
S_7G41__52862,#000000,ref,ref
KWS_10919__202560,#000000,ref,ref
S_6G14__1999,#000000,ref,ref
KWS_10915__172223,#000000,ref,ref
KeioHC_115__53210,#000000,ref,ref
KeioHC_10__6636,#000000,ref,ref
KWS_10478__49881,#000000,ref,ref
KWS_10633__3596,#000000,ref,ref
KWS_10476__139475,#000000,ref,ref
IF_126__67163,#000000,ref,ref
S_7G30__24529,#000000,ref,ref
KWS_10984__44245,#000000,ref,ref
KWS_10661__21071,#000000,ref,ref
IF_020__121687,#000000,ref,ref
KWS_10486__160172,#000000,ref,ref
S_7G20__179602,#000000,ref,ref
IF_095__61518,#000000,ref,ref
IF_177__21817,#000000,ref,ref
S_6G2__146529,#000000,ref,ref
IF_178__11059,#000000,ref,ref
IF_068-2__13241,#000000,ref,ref
S_7G29__1087,#000000,ref,ref
IF_085__19633,#000000,ref,ref
KWS_10465__73582,#000000,ref,ref
IF_032__40451,#000000,ref,ref
S_6G7__27527,#000000,ref,ref
KWS_10454__145285,#000000,ref,ref
KWS_10633__6697,#000000,ref,ref
IF_101__148353,#000000,ref,ref
IF_089__92100,#000000,ref,ref
IF_009__12175,#000000,ref,ref
KWS_10467__74862,#000000,ref,ref
KWS_10917__174272,#000000,ref,ref
S_6G6__21255,#000000,ref,ref
IF_151__40635,#000000,ref,ref
IF_148__36882,#000000,ref,ref
KWS_11002__98792,#000000,ref,ref
KWS_10648__52645,#000000,ref,ref
IF_007__70762,#000000,ref,ref
KWS_10633__16733,#000000,ref,ref
IF_092__15752,#000000,ref,ref
KWS_10656__17554,#000000,ref,ref
S_7G44__28131,#000000,ref,ref
KeioHC_10__155804,#000000,ref,ref
IF_027__26362,#000000,ref,ref
KWS_10477__13622,#000000,ref,ref
S_7G49__60522,#000000,ref,ref
KWS_10551__3694,#000000,ref,ref
S_7G6__2233,#000000,ref,ref
S_7G34__138087,#000000,ref,ref
KeioHC_13__224258,#000000,ref,ref
IF_167__24697,#000000,ref,ref
KWS_11009__5271,#000000,ref,ref
IF_072__18940,#000000,ref,ref
S_7G7__5374,#000000,ref,ref
KWS_10480__12445,#000000,ref,ref
KWS_10461__4008,#000000,ref,ref
IF_087-2__201546,#000000,ref,ref
KWS_10478__192038,#000000,ref,ref
S_7G33__118315,#000000,ref,ref
S_7G30__7051,#000000,ref,ref
S_7G8__52116,#000000,ref,ref
IF_022__140897,#000000,ref,ref
S_6G15__49535,#000000,ref,ref
IF_110__11193,#000000,ref,ref
S_7G38__10302,#000000,ref,ref
S_7G44__5898,#000000,ref,ref
S_7G26__18341,#000000,ref,ref
KeioHC_K2__23624,#000000,ref,ref
KWS_10661__26743,#000000,ref,ref
IF_082__54370,#000000,ref,ref
S_7G39__94406,#000000,ref,ref
KWS_10644__11193,#000000,ref,ref
S_7G32__27877,#000000,ref,ref
KWS_10638__132434,#000000,ref,ref
KeioHC_2__171089,#000000,ref,ref
S_7G47__11309,#000000,ref,ref
KWS_10550__49406,#000000,ref,ref
IF_049__18349,#000000,ref,ref
IF_062__182212,#000000,ref,ref
IF_162__295197,#000000,ref,ref
KWS_10784__58759,#000000,ref,ref
IF_178__47788,#000000,ref,ref
KeioHC_107__13173,#000000,ref,ref
IF_091__114153,#000000,ref,ref
IF_162__241437,#000000,ref,ref
KWS_10636__258794,#000000,ref,ref
KeioHC_13__13112,#000000,ref,ref
KWS_10915__57637,#000000,ref,ref
IF_132__165943,#000000,ref,ref
S_6G15__212468,#000000,ref,ref
KWS_10555__65947,#000000,ref,ref
IF_099__154591,#000000,ref,ref
IF_042-2__128683,#000000,ref,ref
KWS_10478__12792,#000000,ref,ref
IF_053__34532,#000000,ref,ref
IF_087__49506,#000000,ref,ref
S_7G3__27537,#000000,ref,ref
KeioHC_2__220244,#000000,ref,ref
KWS_10896__6395,#000000,ref,ref
KWS_10461__16105,#000000,ref,ref
IF_077__292634,#000000,ref,ref
KeioHC_102__88478,#000000,ref,ref
IF_088-2__84945,#000000,ref,ref
KeioHC_2__59484,#000000,ref,ref
IF_009__236273,#000000,ref,ref
S_6G7__45157,#000000,ref,ref
