ID,prevalence,Group
IF_150__141023,0.851852,E
KWS_11009__k141_121230,0,E
IF_030-2__19357,0.203704,E
KWS_10641__47065,0,E
S_6G14__25092,0.0925926,E
IF_059__1729,0.666667,E
S_7G28__171155,0.888889,E
IF_087__2667,0.0740741,E
KWS_10985__k141_115466,0.037037,E
KWS_10459__189900,0.0185185,E
KWS_10547__18163,0.111111,E
S_7G34__35304,0.722222,E
IF_092-2__6697,0.407407,E
IF_022__214989,0.240741,E
IF_012__279532,0,E
KeioHC_12__189388,0.166667,E
S_7G31__67163,0.314815,E
IF_104__k141_81810,0.0555556,E
S_7G30__3596,0.685185,E
KeioHC_7__9060,0.259259,E
KWS_10984__88369,0.166667,E
KWS_11000__84656,0.166667,E
IF_128__36597,0.203704,E
IF_164re__31484,0,E
IF_093__16564,0.388889,E
KWS_11003__14458,0.388889,E
IF_173__7488,0,E
IF_100__43939,0.037037,E
KWS_10636__k141_15331,0.222222,E
S_6G11__k141_103064,0.296296,E
S_6G7__57087,0.0185185,E
S_6G6__21255,0.314815,E
IF_020-2__11524,0.814815,E
S_6G2__134962,0.0925926,E
IF_030-2__120197,0.277778,E
KWS_10567__125765,0.259259,E
S_7G47__190759,0.0185185,E
IF_065-2__k141_101873,0.148148,E
KeioHC_9__39776,0.685185,E
IF_095__208761,0,E
KeioHC_14__16870,0.333333,E
KWS_10999__104058,0.0740741,E
IF_028__27063,0.62963,E
IF_155__16870,0.0925926,E
KeioHC_15__38139,0,E
S_7G27__10902,0.962963,E
S_6G15__k141_8635,0.981481,E
KWS_10910__204925,0.0185185,E
S_6G1__42191,0.0555556,E
IF_057re__14026,0.259259,E
IF_101__23542,0.0925926,E
KWS_10648__133286,0.0185185,E
KWS_10461__44896,0.037037,E
IF_170__47388,0.0185185,E
IF_093__2410,0,E
S_6G1__113521,0.148148,E
IF_067__58878,0.0185185,E
KWS_10638__19423,0.037037,E
IF_140__11672,0.037037,E
KWS_10641__k141_21241,0,E
IF_073wa__16583,0.185185,E
KWS_10476__95364,0.703704,E
IF_114__265927,0.518519,E
KWS_10550__77414,0.0555556,E
KeioHC_124__65211,0.259259,E
KWS_10476__10438,0,E
IF_121wa__111404,0.0555556,E
S_6G11__9946,0.62963,E
S_6G14__7051,0.0925926,E
KWS_10897__8385,0.0555556,E
KWS_10543__61391,0.333333,E
IF_049__k141_21465,0.0925926,E
IF_165__39358,0.0185185,E
S_7G2__60312,0.0185185,E
KWS_11008__19993,0.0185185,E
KWS_10649__k141_31852,0.037037,E
KWS_10910__82437,0.0185185,E
S_7G29__13257,0.185185,E
KWS_10633__6697,0.037037,E
S_7G18__122370,0.12963,E
KWS_10648__902,0,E
IF_030-2__35497,0.0185185,E
IF_101__10918,0.0185185,E
S_6G12__289988,0.0185185,E
KWS_10993__12238,0,E
IF_130__171,0.0185185,E
KWS_10987__k141_30382,0.166667,E
KWS_10997__133400,0.0555556,E
S_7G8__k141_91970,0,E
S_6G11__75251,0.0925926,E
IF_100-2__k141_18033,0.185185,E
IF_148__k141_14737,0,E
IF_099__34970,0.240741,E
S_7G1__43172,0.037037,E
IF_025__36764,0.148148,E
S_7G10__1093,0.111111,E
KeioHC_5__23896,0.166667,E
S_7G16__28471,0,E
IF_030-2__14414,0.240741,E
S_7G30__220697,0.740741,E
KWS_10632__14836,0.444444,E
IF_086__k141_59579,0.518519,E
S_7G10__2015,0.388889,E
S_7G25__89,0.0925926,E
KWS_10915__246368,0.0185185,E
IF_62-2__65056,0.5,E
S_7G34__58269,0.814815,E
IF_151__k141_67430,0.111111,E
S_6G6__14233,0.611111,E
KWS_10648__194112,0.0925926,E
IF_121wa__79017,0.148148,E
S_7G21__41852,0.037037,E
IF_073-2wa__3133,0.259259,E
S_6G6__k141_157021,0.0555556,E
IF_076__k141_75305,0.037037,E
IF_008__3116,0.259259,E
IF_148__k141_79956,0.166667,E
KWS_10452__211928,0.037037,E
KeioHC_7__12951,0.925926,E
IF_160__17108,0,E
S_7G10__k141_108677,0.111111,E
KWS_10463__127927,0.0555556,E
KWS_10639__153869,0.166667,E
KWS_10633__k141_68498,0,E
IF_109__25807,0.351852,E
KWS_10481__83245,0.0925926,E
KWS_11000__k141_115083,0.0185185,E
,0,E
,0.37037,E
,0.314815,E
,0,E
,0.0555556,E
,0.111111,E
,0.314815,E
,0.111111,E
,0.259259,E
,0,E
,0,E
,0.203704,E
,0.37037,E
,0.0185185,E
,0.037037,E
,0.203704,E
,0.203704,E
,0.0740741,E
,0.703704,E
,0.037037,E
,0.185185,E
,0.518519,E
,0.0555556,E
,0.0740741,E
,0.0740741,E
,0.0185185,E
,0.037037,E
,0.111111,E
,0.222222,E
,0.0555556,E
,0.037037,E
,0.333333,E
,0.12963,E
,0.314815,E
,0.166667,E
,0.111111,E
,0.037037,E
,0.722222,E
,0.796296,E
,0.314815,E
,0.0185185,E
,0,E
,0.166667,E
,0.148148,E
,0.111111,E
,0.185185,E
,0.296296,E
,0.037037,E
,0.0740741,E
,0.0185185,E
,0.0925926,E
,0,E
,0.185185,E
,0.203704,E
,0.425926,E
,0.0555556,E
,0,E
,0.277778,E
,0.0555556,E
,0.185185,E
,0,E
,0.0925926,E
,0.0555556,E
,0,E
,0.240741,E
,0.0925926,E
,0.222222,E
,0.203704,E
,0.0555556,E
,0.240741,E
,0.222222,E
,0.0740741,E
,0.166667,E
,0.981481,E
,0.0740741,E
,0.277778,E
,0.12963,E
,0.037037,E
,0,E
,0.703704,E
,0,E
,0.0185185,E
,0.0555556,E
,0.0925926,E
,0.240741,E
,0.12963,E
,0.240741,E
,0,E
,0.296296,E
,0.12963,E
,0.0740741,E
,0.0925926,E
,0.0740741,E
,0.0555556,E
,0.259259,E
,0.037037,E
,0.388889,E
,0.814815,E
,0.0925926,E
,0.740741,E
,0.814815,E
,0.0740741,E
,0.0555556,E
,0.0185185,E
,0.0740741,E
,0.388889,E
,0,E
,0.0185185,E
,0.037037,E
,0.0185185,E
,0.0740741,E
,0.907407,E
,0,E
,0,E
,0.740741,E
,0.0555556,E
,0.0740741,E
,0.0185185,E
,0.203704,E
,0.611111,E
,0,E
,0.314815,E
,0.0740741,E
,0,E
,0,E
,0.037037,E
,0.240741,E
,0.537037,E
,0.666667,E
,0.277778,E
,0.240741,E
,0.0185185,E
,0.0555556,E
,0.0925926,E
,0.0925926,E
,0,E
,0.388889,E
,0.740741,E
,0,E
,0.203704,E
,0,E
,0.111111,E
,0.944444,E
,0,E
,0,E
,0.0185185,E
,0,E
,0.111111,E
,0.203704,E
,0.0185185,E
,0.814815,E
,0.0555556,E
,0.0185185,E
,0.111111,E
,0,E
,0.0185185,E
,0.444444,E
,0.0555556,E
,0.388889,E
,0.0185185,E
,0.666667,E
,0.685185,E
,0.0185185,E
,0.203704,E
,0.0185185,E
,0,E
,0.166667,E
,0.0185185,E
,0.333333,E
,0.0740741,E
,0.611111,E
,0.148148,E
,0,E
,0.222222,E
,0.796296,E
,0.0555556,E
,0,E
,0.240741,E
,1,E
,0.351852,E
,0.222222,E
,0,E
,0.0555556,E
,0.407407,E
,0.148148,E
,0.0555556,E
,0.0555556,E
,0.166667,E
,0,E
,0.0555556,E
,0.0740741,E
,0.222222,E
,0.296296,E
,0.944444,E
,0.111111,E
,0.314815,E
,0.0555556,E
,0.0185185,E
,0.537037,E
,0.592593,E
,0,E
,0,E
,0.388889,E
,0.037037,E
,0.944444,E
,0.0555556,E
,0.185185,E
,0.037037,E
,0,E
,0.666667,E
,0.037037,E
,0.296296,E
,0.0185185,E
,0.314815,E
,0.037037,E
,0.537037,E
,0.12963,E
,0.166667,E
,0.277778,E
,0.518519,E
,0.0925926,E
,0.444444,E
,0.037037,E
,0.796296,E
,0.0740741,E
,0.0925926,E
,0,E
,0.037037,E
,0,E
,0,E
,0.0555556,E
,0.907407,E
,0.0185185,E
,0.0555556,E
,0.0185185,E
,0,E
,0.111111,E
,0.0555556,E
,0,E
,0.203704,E
,0.388889,E
,0.296296,E
,0.0555556,E
,0.0185185,E
,0.0185185,E
,0.0555556,E
,0,E
,0.166667,E
,0,E
,0,E
,0,E
,0.0925926,E
,0.0740741,E
,0.0185185,E
,0.12963,E
,0,E
,0,E
,0.240741,E
,0.0185185,E
,0.833333,E
,0.574074,E
,0,E
,0.12963,E
,0.203704,E
,0.37037,E
,0.166667,E
,0.0185185,E
,0,E
,0.0185185,E
,0.0555556,E
,0.203704,E
,0,E
,0,E
,0.111111,E
,0.277778,E
,0.0740741,E
,0.888889,E
,0.12963,E
,0.277778,E
,0.0925926,E
,0.351852,E
,0.0185185,E
,0.407407,E
,0.203704,E
,0.222222,E
,0.0185185,E
,0.0555556,E
,0.0925926,E
,0.0185185,E
,0,E
,0.0555556,E
,0.203704,E
,0.5,E
,0,E
,0.111111,E
,0,E
,0.12963,E
,0.203704,E
,0.148148,E
,0.037037,E
,0.0925926,E
,0.111111,E
,0.0740741,E
,0.166667,E
,0.277778,E
,0.222222,E
,0,E
,0.240741,E
,0.0185185,E
,0.851852,E
,0,E
,0,E
,0.759259,E
,0,E
,0.203704,E
,0.5,E
,0,E
,0.0555556,E
,0.0925926,E
,0.5,E
,0,E
,0.0925926,E
,0.12963,E
,0.111111,E
,0.333333,E
,0.185185,E
,0.037037,E
,0.0555556,E
,0.185185,E
,0.037037,E
,0.0555556,E
,0,E
,0.0555556,E
,0.0555556,E
,0.0185185,E
,0.0555556,E
,0.981481,E
,0.0740741,E
,0.37037,E
,0,E
,0,E
,0,E
,0.203704,E
,0.0185185,E
,0.037037,E
,0.0185185,E
,0.222222,E
,0.037037,E
,0.296296,E
,0.722222,E
,0.12963,E
,0.333333,E
,0.037037,E
,0.0185185,E
,0.0555556,E
,0.703704,E
,0.259259,E
,0.0740741,E
,0.0555556,E
,0.351852,E
,0.0555556,E
,0,E
,0.12963,E
,0.277778,E
,0.037037,E
,0.12963,E
,0.722222,E
,0,E
,0.148148,E
,0.0925926,E
,0.5,E
,0.0185185,E
,0,E
,0,E
,0.037037,E
,0.592593,E
,0,E
,0.740741,E
,0.185185,E
,0.203704,E
,0.111111,E
,0.0185185,E
,0.148148,E
,0.314815,E
,0.0555556,E
,0.037037,E
,0.277778,E
,0.111111,E
,0.351852,E
,0,E
,0.240741,E
,0.12963,E
,0.148148,E
,0.037037,E
,0.166667,E
,0.037037,E
,0.0925926,E
,0.111111,E
,0.777778,E
,0.12963,E
,0.0925926,E
,0.111111,E
,0.0925926,E
,0,E
,0,E
,0.592593,E
,0.296296,E
,0,E
,0.685185,E
,0.0555556,E
,0.0555556,E
,0.185185,E
,0.12963,E
,0.185185,E
,0.0185185,E
,0.703704,E
,0.407407,E
,0,E
,0.0185185,E
,0.0185185,E
,0.0740741,E
,0.0555556,E
,0.12963,E
,0.0925926,E
,0.388889,E
,0,E
,0.148148,E
,0.037037,E
,0.814815,E
,0.0185185,E
,0.185185,E
,0.0740741,E
,0.37037,E
,0.685185,E
,0.37037,E
,0.037037,E
,0.0555556,E
,0.87037,E
,0.222222,E
,0.148148,E
,0.0925926,E
,0.0555556,E
,0.185185,E
,0.0925926,E
,0,E
,0.0555556,E
,0.166667,E
,0.037037,E
,0.0185185,E
,0,E
,0.166667,E
,0.0555556,E
,0.0925926,E
,0.0740741,E
,0.240741,E
,0.0555556,E
,0,E
,0.314815,E
,0.759259,E
,0.0555556,E
,0.0740741,E
,0.0185185,E
,0.037037,E
,0.0185185,E
,0.12963,E
,0.185185,E
,0.12963,E
,0.0185185,E
,0.166667,E
,0.0555556,E
,0.351852,E
,0.111111,E
,0.166667,E
,0.0740741,E
,0.0185185,E
,0.037037,E
,0.518519,E
,0.0925926,E
,0.166667,E
,0.166667,E
,0.037037,E
,0.111111,E
,0.037037,E
,0.0185185,E
,0.111111,E
,0.037037,E
,0.0555556,E
,0.0925926,E
,0.111111,E
,0.0555556,E
,0.0555556,E
,0.0185185,E
,0.0925926,E
,0,E
,0.518519,E
,0,E
,0.185185,E
,0.314815,E
,0.037037,E
,0,E
,0.185185,E
,0.388889,E
,0.37037,E
,0.481481,E
,0.222222,E
,0.037037,E
,0.037037,E
,0.0185185,E
,0.537037,E
