ID,Color,HostFamily
S_7G17__2015,#FFBE7A,Bacteroidota
IF_137__17782,#FFBE7A,Bacteroidota
IF_131__157394,#FFBE7A,Bacteroidota
KWS_10659__295347,#FFBE7A,Bacteroidota
IF_079__159568,#FFBE7A,Bacteroidota
IF_014-2__68787,#FFBE7A,Bacteroidota
S_7G40__40325,#FFBE7A,Bacteroidota
IF_004__33468,#FFBE7A,Bacteroidota
KWS_10461__30922,#FFBE7A,Bacteroidota
KWS_10911__131312,#FFBE7A,Bacteroidota
KWS_10631__51171,#FFBE7A,Bacteroidota
KWS_10906__182785,#FFBE7A,Bacteroidota
KWS_10910__268259,#FFBE7A,Bacteroidota
IF_178__96492,#FFBE7A,Bacteroidota
S_6G7__13241,#FFBE7A,Bacteroidota
S_7G31__53117,#FFBE7A,Bacteroidota
IF_107__64048,#FFBE7A,Bacteroidota
IF_163__10007,#FFBE7A,Bacteroidota
S_6G10__215692,#FFBE7A,Bacteroidota
IF_117__14341,#FFBE7A,Bacteroidota
IF_128__200524,#FFBE7A,Bacteroidota
KeioHC_117__7073,#FFBE7A,Bacteroidota
IF_170__51480,#FFBE7A,Bacteroidota
IF_067__77867,#FFBE7A,Bacteroidota
IF_125__128324,#FFBE7A,Bacteroidota
KWS_10480__9401,#FFBE7A,Bacteroidota
IF_073-2wa__7481,#FFBE7A,Bacteroidota
S_6G6__10302,#FFBE7A,Bacteroidota
S_6G8__234474,#FFBE7A,Bacteroidota
IF_027__107331,#FFBE7A,Bacteroidota
IF_154rewa__128324,#FFBE7A,Bacteroidota
S_7G10__36957,#FFBE7A,Bacteroidota
KWS_10459__19984,#FFBE7A,Bacteroidota
KWS_10547__43914,#FFBE7A,Bacteroidota
KWS_10477__5620,#FFBE7A,Bacteroidota
KWS_10477__85794,#FFBE7A,Bacteroidota
KWS_10486__34524,#FFBE7A,Bacteroidota
IF_012__196093,#FFBE7A,Bacteroidota
IF_128__99328,#FFBE7A,Bacteroidota
KWS_10549__3116,#FFBE7A,Bacteroidota
IF_177__145740,#FFBE7A,Bacteroidota
IF_175re__19640,#FFBE7A,Bacteroidota
KWS_10984__274635,#FFBE7A,Bacteroidota
KWS_10477__31430,#FFBE7A,Bacteroidota
S_7G46__23588,#FFBE7A,Bacteroidota
IF_171__36970,#FFBE7A,Bacteroidota
KWS_10639__123108,#FFBE7A,Bacteroidota
S_7G50__124942,#FFBE7A,Bacteroidota
IF_183__46012,#FFBE7A,Bacteroidota
S_7G40__210801,#FFBE7A,Bacteroidota
S_7G5__168670,#FFBE7A,Bacteroidota
IF_101__185459,#FFBE7A,Bacteroidota
KWS_10641__280569,#FFBE7A,Bacteroidota
S_7G21__85706,#FFBE7A,Bacteroidota
IF_177__220561,#FFBE7A,Bacteroidota
IF_184__157371,#FFBE7A,Bacteroidota
IF_148__71063,#FFBE7A,Bacteroidota
KWS_10648__107729,#FFBE7A,Bacteroidota
KWS_10563__124571,#FFBE7A,Bacteroidota
KWS_10994__53708,#FFBE7A,Bacteroidota
IF_022__11237,#FFBE7A,Bacteroidota
KWS_11000__210659,#FFBE7A,Bacteroidota
KWS_10911__17208,#FFBE7A,Bacteroidota
IF_101__213139,#FFBE7A,Bacteroidota
IF_012__25848,#FFBE7A,Bacteroidota
IF_007__34273,#FFBE7A,Bacteroidota
IF_012__100408,#FFBE7A,Bacteroidota
S_7G39__213572,#FFBE7A,Bacteroidota
IF_022__102157,#FFBE7A,Bacteroidota
S_6G11__183632,#FFBE7A,Bacteroidota
IF_068-2__8917,#FFBE7A,Bacteroidota
S_6G13__164481,#FFBE7A,Bacteroidota
KWS_10996__5951,#FFBE7A,Bacteroidota
IF_073-2wa__19650,#FFBE7A,Bacteroidota
IF_030-2__99739,#FFBE7A,Bacteroidota
IF_163__279857,#FFBE7A,Bacteroidota
S_7G38__194335,#FFBE7A,Bacteroidota
S_7G40__76121,#FFBE7A,Bacteroidota
IF_025__198611,#FFBE7A,Bacteroidota
IF_166__133748,#FFBE7A,Bacteroidota
S_6G10__106195,#FFBE7A,Bacteroidota
IF_008__22284,#FFBE7A,Bacteroidota
KeioHC_121__73984,#FFBE7A,Bacteroidota
S_6G6__16662,#FFBE7A,Bacteroidota
KWS_10984__57153,#FFBE7A,Bacteroidota
IF_093__47126,#FFBE7A,Bacteroidota
S_6G3__124267,#FFBE7A,Bacteroidota
IF_033__6849,#FFBE7A,Bacteroidota
IF_068-2__161967,#FFBE7A,Bacteroidota
IF_117__67990,#FFBE7A,Bacteroidota
KeioHC_115__4439,#FFBE7A,Bacteroidota
IF_019__85189,#FFBE7A,Bacteroidota
KeioHC_17__195598,#FFBE7A,Bacteroidota
IF_087-2__11346,#FFBE7A,Bacteroidota
IF_012__6609,#FFBE7A,Bacteroidota
KWS_10896__81285,#FFBE7A,Bacteroidota
IF_104__51778,#FFBE7A,Bacteroidota
KWS_10552__6708,#FFBE7A,Bacteroidota
KWS_11004__189261,#FFBE7A,Bacteroidota
IF_068-2__70550,#FFBE7A,Bacteroidota
