ID,Color,Family
IF_059__1729,#2ca02c,Myoviridae
IF_153__40575,#2ca02c,Myoviridae
KWS_10906__159368,#2ca02c,Myoviridae
KWS_11007__3596,#2ca02c,Myoviridae
S_6G2__1846,#2ca02c,Myoviridae
S_7G7__12567,#2ca02c,Myoviridae
IF_072__38069,#2ca02c,Myoviridae
KWS_10469__27587,#2ca02c,Myoviridae
KeioHC_U__86150,#2ca02c,Myoviridae
IF_117__229378,#2ca02c,Myoviridae
IF_065-2__5387,#2ca02c,Myoviridae
KWS_11003__3596,#2ca02c,Myoviridae
IF_005__24883,#2ca02c,Myoviridae
S_7G29__13257,#2ca02c,Myoviridae
KeioHC_122__28724,#2ca02c,Myoviridae
S_6G3__2627,#2ca02c,Myoviridae
KWS_10466__145374,#2ca02c,Myoviridae
KeioHC_3__2889,#2ca02c,Myoviridae
IF_169__7922,#2ca02c,Myoviridae
IF_165__68587,#2ca02c,Myoviridae
KWS_10632__125029,#2ca02c,Myoviridae
S_6G7__46756,#2ca02c,Myoviridae
KWS_10545__31748,#2ca02c,Myoviridae
S_7G41__52862,#2ca02c,Myoviridae
KWS_10984__44245,#2ca02c,Myoviridae
KWS_10661__21071,#2ca02c,Myoviridae
IF_177__21817,#2ca02c,Myoviridae
IF_089__92100,#2ca02c,Myoviridae
KWS_10917__174272,#2ca02c,Myoviridae
IF_072__18940,#2ca02c,Myoviridae
KeioHC_K2__23624,#2ca02c,Myoviridae
KWS_10550__49406,#2ca02c,Myoviridae
KWS_10784__58759,#2ca02c,Myoviridae
IF_042-2__128683,#2ca02c,Myoviridae
IF_082__111626,#2ca02c,Myoviridae
KWS_10643__3405,#2ca02c,Myoviridae
KeioHC_113__131747,#2ca02c,Myoviridae
KeioHC_5__186525,#2ca02c,Myoviridae
IF_030-2__5712,#2ca02c,Myoviridae
IF_092-2__89044,#2ca02c,Myoviridae
S_7G4__269683,#2ca02c,Myoviridae
IF_110__1241,#2ca02c,Myoviridae
IF_016__6498,#2ca02c,Myoviridae
KWS_10549__4986,#2ca02c,Myoviridae
KWS_10547__59915,#2ca02c,Myoviridae
IF_100__8443,#2ca02c,Myoviridae
KWS_10912__149392,#2ca02c,Myoviridae
KWS_11001__20018,#2ca02c,Myoviridae
KeioHC_113__20227,#2ca02c,Myoviridae
KWS_10987__82306,#2ca02c,Myoviridae
IF_127__217685,#2ca02c,Myoviridae
IF_026__69974,#2ca02c,Myoviridae
KWS_10546__157475,#2ca02c,Myoviridae
S_6G5__38730,#2ca02c,Myoviridae
IF_096__26684,#2ca02c,Myoviridae
IF_002-2re__141637,#2ca02c,Myoviridae
IF_068__5085,#2ca02c,Myoviridae
KWS_10466__19578,#2ca02c,Myoviridae
KWS_10648__21704,#2ca02c,Myoviridae
IF_068__15103,#2ca02c,Myoviridae
S_7G39__12951,#2ca02c,Myoviridae
S_7G24__19357,#2ca02c,Myoviridae
IF_087__221574,#2ca02c,Myoviridae
KWS_10911__27908,#2ca02c,Myoviridae
IF_029__5712,#2ca02c,Myoviridae
KWS_10476__56768,#2ca02c,Myoviridae
KWS_10480__37844,#2ca02c,Myoviridae
IF_179__27908,#2ca02c,Myoviridae
KeioHC_3__178401,#2ca02c,Myoviridae
IF_087-2__46011,#2ca02c,Myoviridae
IF_014-2__165141,#2ca02c,Myoviridae
S_7G8__90914,#2ca02c,Myoviridae
KWS_10996__38337,#2ca02c,Myoviridae
KeioHC_114__19357,#2ca02c,Myoviridae
KeioHC_10__235227,#2ca02c,Myoviridae
IF_100-2__35998,#2ca02c,Myoviridae
IF_100-2__7922,#2ca02c,Myoviridae
IF_003__92365,#2ca02c,Myoviridae
KWS_10549__91657,#2ca02c,Myoviridae
IF_050__12985,#2ca02c,Myoviridae
IF_129__25690,#2ca02c,Myoviridae
IF_003__175336,#2ca02c,Myoviridae
KWS_10653__55812,#2ca02c,Myoviridae
IF_132__10689,#2ca02c,Myoviridae
IF_123__170,#2ca02c,Myoviridae
IF_112__65567,#2ca02c,Myoviridae
IF_123__5557,#2ca02c,Myoviridae
IF_118__30547,#2ca02c,Myoviridae
S_6G10__3552,#2ca02c,Myoviridae
IF_122__180251,#2ca02c,Myoviridae
IF_104__41181,#2ca02c,Myoviridae
S_7G47__6825,#2ca02c,Myoviridae
KWS_10550__35998,#2ca02c,Myoviridae
KWS_11009__51470,#2ca02c,Myoviridae
IF_137__21704,#2ca02c,Myoviridae
KWS_11008__164985,#2ca02c,Myoviridae
KeioHC_108__1237,#2ca02c,Myoviridae
S_6G6__14233,#2ca02c,Myoviridae
IF_091__89554,#2ca02c,Myoviridae
IF_122__6498,#2ca02c,Myoviridae
S_7G7__187835,#2ca02c,Myoviridae
IF_166__23170,#2ca02c,Myoviridae
KWS_10661__83205,#2ca02c,Myoviridae
KWS_10653__226292,#2ca02c,Myoviridae
KWS_10896__59243,#2ca02c,Myoviridae
KWS_10997__37197,#2ca02c,Myoviridae
S_7G49__158021,#2ca02c,Myoviridae
KWS_10985__71943,#2ca02c,Myoviridae
IF_137__156975,#2ca02c,Myoviridae
KWS_10562__26684,#2ca02c,Myoviridae
KWS_11008__51470,#2ca02c,Myoviridae
KWS_10903__10689,#2ca02c,Myoviridae
S_7G24__27908,#2ca02c,Myoviridae
S_7G7__19404,#2ca02c,Myoviridae
KWS_10915__36570,#2ca02c,Myoviridae
KWS_10548__19611,#2ca02c,Myoviridae
IF_007__21071,#2ca02c,Myoviridae
IF_053__30004,#2ca02c,Myoviridae
KWS_10646__97159,#2ca02c,Myoviridae
KeioHC_115__205416,#2ca02c,Myoviridae
KWS_11004__34321,#2ca02c,Myoviridae
KWS_10661__163433,#2ca02c,Myoviridae
S_6G7__32791,#2ca02c,Myoviridae
IF_068-2__128683,#2ca02c,Myoviridae
KeioHC_10__33505,#2ca02c,Myoviridae
IF_137__6557,#2ca02c,Myoviridae
IF_187__264679,#2ca02c,Myoviridae
KWS_11003__281258,#2ca02c,Myoviridae
S_7G16__75012,#2ca02c,Myoviridae
KWS_10552__117419,#2ca02c,Myoviridae
IF_067__58878,#2ca02c,Myoviridae
IF_073wa__13758,#2ca02c,Myoviridae
S_6G2__112957,#2ca02c,Myoviridae
KWS_10915__51470,#2ca02c,Myoviridae
IF_076__103876,#2ca02c,Myoviridae
KWS_10661__48879,#2ca02c,Myoviridae
S_6G11__42166,#2ca02c,Myoviridae
IF_030-2__19357,#2ca02c,Myoviridae
S_7G26__27908,#2ca02c,Myoviridae
KWS_10784__114518,#2ca02c,Myoviridae
KeioHC_112__75669,#2ca02c,Myoviridae
IF_123__7982,#2ca02c,Myoviridae
KWS_10476__283142,#2ca02c,Myoviridae
KeioHC_113__25690,#2ca02c,Myoviridae
KeioHC_I2__269456,#2ca02c,Myoviridae
KeioHC_9__75267,#2ca02c,Myoviridae
KWS_10550__133261,#2ca02c,Myoviridae
KWS_10466__39245,#2ca02c,Myoviridae
KWS_10465__172345,#2ca02c,Myoviridae
IF_148__7982,#2ca02c,Myoviridae
IF_128__108857,#2ca02c,Myoviridae
KWS_10912__235376,#2ca02c,Myoviridae
IF_033__73755,#2ca02c,Myoviridae
IF_130__14799,#2ca02c,Myoviridae
KWS_10466__17737,#2ca02c,Myoviridae
KWS_10466__30547,#2ca02c,Myoviridae
IF_028__38897,#2ca02c,Myoviridae
KWS_10896__20227,#2ca02c,Myoviridae
KWS_10552__4803,#2ca02c,Myoviridae
IF_071-2__19611,#2ca02c,Myoviridae
KWS_10894__11092,#2ca02c,Myoviridae
IF_148__1764,#2ca02c,Myoviridae
KWS_10644__12611,#2ca02c,Myoviridae
IF_143__132190,#2ca02c,Myoviridae
S_6G12__289988,#2ca02c,Myoviridae
KWS_10633__157915,#2ca02c,Myoviridae
IF_051__116194,#2ca02c,Myoviridae
IF_071-2__1475,#2ca02c,Myoviridae
KeioHC_112__120325,#2ca02c,Myoviridae
KWS_10995__27908,#2ca02c,Myoviridae
KeioHC_116__3405,#2ca02c,Myoviridae
KWS_11002__172479,#2ca02c,Myoviridae
S_7G10__19357,#2ca02c,Myoviridae
IF_122__1237,#2ca02c,Myoviridae
KWS_10648__23598,#2ca02c,Myoviridae
IF_013__77149,#2ca02c,Myoviridae
IF_016__10689,#2ca02c,Myoviridae
IF_019__k141_74328,#2ca02c,Myoviridae
IF_025__k141_136936,#2ca02c,Myoviridae
IF_042__k141_177059,#2ca02c,Myoviridae
IF_059__k141_1596,#2ca02c,Myoviridae
IF_064__k141_60824,#2ca02c,Myoviridae
IF_065__k141_123836,#2ca02c,Myoviridae
IF_071-2__k141_60107,#2ca02c,Myoviridae
IF_073-2wa__k141_97607,#2ca02c,Myoviridae
IF_086-2__k141_18587,#2ca02c,Myoviridae
IF_086__k141_59579,#2ca02c,Myoviridae
IF_087-2__k141_8205,#2ca02c,Myoviridae
IF_087-3__k141_43200,#2ca02c,Myoviridae
IF_091__k141_92153,#2ca02c,Myoviridae
IF_096__k141_82194,#2ca02c,Myoviridae
IF_101__k141_3791,#2ca02c,Myoviridae
IF_104__k141_131689,#2ca02c,Myoviridae
IF_151__k141_4021,#2ca02c,Myoviridae
IF_165__k141_110440,#2ca02c,Myoviridae
IF_187__k141_58452,#2ca02c,Myoviridae
KWS_10463__k141_150070,#2ca02c,Myoviridae
KWS_10486__k141_151731,#2ca02c,Myoviridae
KWS_10550__k141_28891,#2ca02c,Myoviridae
KWS_10552__k141_83902,#2ca02c,Myoviridae
KWS_10552__k141_121372,#2ca02c,Myoviridae
KWS_10639__k141_238427,#2ca02c,Myoviridae
KWS_10649__k141_116051,#2ca02c,Myoviridae
KWS_10649__k141_30670,#2ca02c,Myoviridae
KWS_10903__k141_115497,#2ca02c,Myoviridae
KWS_10984__k141_24139,#2ca02c,Myoviridae
KWS_10984__k141_36665,#2ca02c,Myoviridae
KWS_10988__k141_48066,#2ca02c,Myoviridae
KWS_10993__k141_69530,#2ca02c,Myoviridae
KWS_11009__k141_121230,#2ca02c,Myoviridae
KeioHC_10__k141_96450,#2ca02c,Myoviridae
KeioHC_110__k141_74738,#2ca02c,Myoviridae
KeioHC_15__k141_16814,#2ca02c,Myoviridae
KeioHC_3__k141_33342,#2ca02c,Myoviridae
KeioHC_3__k141_3086,#2ca02c,Myoviridae
KeioHC_3__k141_16271,#2ca02c,Myoviridae
KeioHC_4__k141_4959,#2ca02c,Myoviridae
KeioHC_7__k141_30051,#2ca02c,Myoviridae
S_6G11__k141_54992,#2ca02c,Myoviridae
S_6G14__k141_158348,#2ca02c,Myoviridae
S_7G12__k141_5956,#2ca02c,Myoviridae
S_7G14__k141_59539,#2ca02c,Myoviridae
S_7G31__k141_68888,#2ca02c,Myoviridae
S_7G31__k141_44800,#2ca02c,Myoviridae
S_7G31__k141_89889,#2ca02c,Myoviridae
S_7G31__k141_79943,#2ca02c,Myoviridae
S_7G31__k141_22311,#2ca02c,Myoviridae
S_7G31__k141_6423,#2ca02c,Myoviridae
S_7G31__k141_60898,#2ca02c,Myoviridae
S_7G32__k141_4792,#2ca02c,Myoviridae
S_7G44__k141_137867,#2ca02c,Myoviridae
S_7G45__k141_65890,#2ca02c,Myoviridae
IF_122__140885,#1f77b4,Siphoviridae
IF_009__5958,#1f77b4,Siphoviridae
IF_177__100141,#1f77b4,Siphoviridae
IF_014-2__71591,#1f77b4,Siphoviridae
S_7G30__241206,#1f77b4,Siphoviridae
KWS_10637__102745,#1f77b4,Siphoviridae
IF_088__13575,#1f77b4,Siphoviridae
KWS_10900__29312,#1f77b4,Siphoviridae
S_7G17__2015,#1f77b4,Siphoviridae
IF_019__65089,#1f77b4,Siphoviridae
IF_059__230959,#1f77b4,Siphoviridae
KWS_10648__133286,#1f77b4,Siphoviridae
IF_025__139801,#1f77b4,Siphoviridae
IF_139__3596,#1f77b4,Siphoviridae
KWS_10454__25253,#1f77b4,Siphoviridae
KWS_10911__50484,#1f77b4,Siphoviridae
S_7G18__7969,#1f77b4,Siphoviridae
IF_042-2__18586,#1f77b4,Siphoviridae
KWS_10459__254903,#1f77b4,Siphoviridae
IF_092__7351,#1f77b4,Siphoviridae
IF_173__58845,#1f77b4,Siphoviridae
S_7G29__9019,#1f77b4,Siphoviridae
IF_008__21147,#1f77b4,Siphoviridae
S_7G32__53117,#1f77b4,Siphoviridae
KWS_10563__69936,#1f77b4,Siphoviridae
IF_073wa__16583,#1f77b4,Siphoviridae
KeioHC_12__189388,#1f77b4,Siphoviridae
KWS_10555__206890,#1f77b4,Siphoviridae
KWS_10641__21598,#1f77b4,Siphoviridae
IF_171__36840,#1f77b4,Siphoviridae
S_7G39__19158,#1f77b4,Siphoviridae
IF_045__24144,#1f77b4,Siphoviridae
IF_137__17782,#1f77b4,Siphoviridae
KWS_11000__101415,#1f77b4,Siphoviridae
KeioHC_106__2015,#1f77b4,Siphoviridae
IF_148__221055,#1f77b4,Siphoviridae
S_7G7__166732,#1f77b4,Siphoviridae
KWS_10915__246368,#1f77b4,Siphoviridae
IF_167__125452,#1f77b4,Siphoviridae
IF_131__157394,#1f77b4,Siphoviridae
IF_164re__216024,#1f77b4,Siphoviridae
KWS_10904__18699,#1f77b4,Siphoviridae
KWS_10461__23522,#1f77b4,Siphoviridae
IF_112__138489,#1f77b4,Siphoviridae
IF_159__40288,#1f77b4,Siphoviridae
IF_081__63927,#1f77b4,Siphoviridae
IF_013__164075,#1f77b4,Siphoviridae
KWS_10549__125231,#1f77b4,Siphoviridae
KWS_10915__25253,#1f77b4,Siphoviridae
IF_013__114412,#1f77b4,Siphoviridae
KWS_10659__295347,#1f77b4,Siphoviridae
S_7G24__178554,#1f77b4,Siphoviridae
IF_112__201741,#1f77b4,Siphoviridae
S_7G31__78640,#1f77b4,Siphoviridae
KeioHC_118__5425,#1f77b4,Siphoviridae
KWS_10655__44785,#1f77b4,Siphoviridae
IF_002-2re__59499,#1f77b4,Siphoviridae
KWS_10999__104058,#1f77b4,Siphoviridae
IF_079__159568,#1f77b4,Siphoviridae
IF_117__231835,#1f77b4,Siphoviridae
IF_017__273977,#1f77b4,Siphoviridae
IF_185__85006,#1f77b4,Siphoviridae
KWS_10661__133839,#1f77b4,Siphoviridae
IF_125__119060,#1f77b4,Siphoviridae
IF_111__4985,#1f77b4,Siphoviridae
IF_005__36960,#1f77b4,Siphoviridae
KWS_10984__76379,#1f77b4,Siphoviridae
KWS_10546__152958,#1f77b4,Siphoviridae
IF_137__46299,#1f77b4,Siphoviridae
IF_016__15221,#1f77b4,Siphoviridae
S_7G17__107987,#1f77b4,Siphoviridae
S_7G46__2015,#1f77b4,Siphoviridae
S_6G16__37548,#1f77b4,Siphoviridae
IF_012__497,#1f77b4,Siphoviridae
S_7G16__28471,#1f77b4,Siphoviridae
KWS_10997__77380,#1f77b4,Siphoviridae
IF_130__173296,#1f77b4,Siphoviridae
KWS_10480__2240,#1f77b4,Siphoviridae
KWS_10466__22230,#1f77b4,Siphoviridae
KWS_10984__88369,#1f77b4,Siphoviridae
S_7G2__60312,#1f77b4,Siphoviridae
IF_091__24478,#1f77b4,Siphoviridae
IF_185__98209,#1f77b4,Siphoviridae
IF_083__49981,#1f77b4,Siphoviridae
KWS_10894__277835,#1f77b4,Siphoviridae
S_7G7__88314,#1f77b4,Siphoviridae
IF_137__21431,#1f77b4,Siphoviridae
KWS_10477__167216,#1f77b4,Siphoviridae
IF_002-2re__77959,#1f77b4,Siphoviridae
KeioHC_10__101314,#1f77b4,Siphoviridae
S_7G28__3584,#1f77b4,Siphoviridae
KWS_11009__135373,#1f77b4,Siphoviridae
IF_158__232605,#1f77b4,Siphoviridae
S_7G31__18163,#1f77b4,Siphoviridae
KWS_10562__159189,#1f77b4,Siphoviridae
IF_038__225614,#1f77b4,Siphoviridae
KWS_10647__18608,#1f77b4,Siphoviridae
IF_082__85033,#1f77b4,Siphoviridae
S_7G4__227526,#1f77b4,Siphoviridae
KWS_10468__181164,#1f77b4,Siphoviridae
IF_103__8135,#1f77b4,Siphoviridae
KWS_10894__90448,#1f77b4,Siphoviridae
KWS_10900__184980,#1f77b4,Siphoviridae
IF_107__4880,#1f77b4,Siphoviridae
KWS_10465__85607,#1f77b4,Siphoviridae
IF_178__126661,#1f77b4,Siphoviridae
IF_031__1280,#1f77b4,Siphoviridae
KeioHC_117__12491,#1f77b4,Siphoviridae
IF_063__53423,#1f77b4,Siphoviridae
S_7G47__31764,#1f77b4,Siphoviridae
S_7G7__48609,#1f77b4,Siphoviridae
IF_069__29556,#1f77b4,Siphoviridae
KeioHC_3__111107,#1f77b4,Siphoviridae
S_7G20__45604,#1f77b4,Siphoviridae
KWS_10563__18116,#1f77b4,Siphoviridae
IF_014-2__68787,#1f77b4,Siphoviridae
KeioHC_15__223377,#1f77b4,Siphoviridae
IF_088-2__946,#1f77b4,Siphoviridae
KWS_10906__256839,#1f77b4,Siphoviridae
S_7G40__40325,#1f77b4,Siphoviridae
IF_123__184432,#1f77b4,Siphoviridae
KWS_10463__127927,#1f77b4,Siphoviridae
S_7G4__31036,#1f77b4,Siphoviridae
IF_116__51788,#1f77b4,Siphoviridae
S_7G47__239039,#1f77b4,Siphoviridae
KWS_10565__37514,#1f77b4,Siphoviridae
IF_068__39456,#1f77b4,Siphoviridae
KeioHC_106__148496,#1f77b4,Siphoviridae
IF_079__37514,#1f77b4,Siphoviridae
KWS_10989__31979,#1f77b4,Siphoviridae
S_6G11__180386,#1f77b4,Siphoviridae
IF_171__243173,#1f77b4,Siphoviridae
IF_088__282451,#1f77b4,Siphoviridae
IF_101-2__1638,#1f77b4,Siphoviridae
IF_004__33468,#1f77b4,Siphoviridae
IF_086__23916,#1f77b4,Siphoviridae
KWS_10552__208139,#1f77b4,Siphoviridae
S_7G15__4574,#1f77b4,Siphoviridae
KeioHC_K2__269550,#1f77b4,Siphoviridae
S_7G32__213019,#1f77b4,Siphoviridae
KWS_10461__30922,#1f77b4,Siphoviridae
S_6G10__2015,#1f77b4,Siphoviridae
S_7G16__42191,#1f77b4,Siphoviridae
KWS_10897__136992,#1f77b4,Siphoviridae
IF_070__2015,#1f77b4,Siphoviridae
IF_099__18028,#1f77b4,Siphoviridae
IF_053__101339,#1f77b4,Siphoviridae
IF_132__183639,#1f77b4,Siphoviridae
KWS_10911__131312,#1f77b4,Siphoviridae
KWS_10631__51171,#1f77b4,Siphoviridae
KWS_10906__182785,#1f77b4,Siphoviridae
IF_036__69543,#1f77b4,Siphoviridae
S_7G42__110732,#1f77b4,Siphoviridae
IF_042-2__271934,#1f77b4,Siphoviridae
S_7G40__63539,#1f77b4,Siphoviridae
KWS_10632__91960,#1f77b4,Siphoviridae
IF_128__94008,#1f77b4,Siphoviridae
KeioHC_115__52860,#1f77b4,Siphoviridae
KWS_10460__165175,#1f77b4,Siphoviridae
IF_187__56544,#1f77b4,Siphoviridae
KWS_10481__236815,#1f77b4,Siphoviridae
S_7G10__2015,#1f77b4,Siphoviridae
IF_104__16754,#1f77b4,Siphoviridae
IF_148__195757,#1f77b4,Siphoviridae
IF_055-2__776,#1f77b4,Siphoviridae
IF_041__286240,#1f77b4,Siphoviridae
KWS_11002__18608,#1f77b4,Siphoviridae
S_7G51__20737,#1f77b4,Siphoviridae
KWS_10910__268259,#1f77b4,Siphoviridae
S_7G50__203075,#1f77b4,Siphoviridae
KWS_10567__125765,#1f77b4,Siphoviridae
IF_171__20297,#1f77b4,Siphoviridae
KWS_10989__164691,#1f77b4,Siphoviridae
KeioHC_I2__72659,#1f77b4,Siphoviridae
S_7G31__67163,#1f77b4,Siphoviridae
IF_171__108666,#1f77b4,Siphoviridae
KWS_10895__207199,#1f77b4,Siphoviridae
KeioHC_124__177389,#1f77b4,Siphoviridae
S_7G5__8135,#1f77b4,Siphoviridae
S_7G34__2015,#1f77b4,Siphoviridae
IF_068-2__274569,#1f77b4,Siphoviridae
IF_079__235299,#1f77b4,Siphoviridae
S_7G2__165273,#1f77b4,Siphoviridae
KeioHC_117__20517,#1f77b4,Siphoviridae
IF_178__96492,#1f77b4,Siphoviridae
KWS_10641__252095,#1f77b4,Siphoviridae
S_6G7__13241,#1f77b4,Siphoviridae
IF_042__22720,#1f77b4,Siphoviridae
S_6G6__2008,#1f77b4,Siphoviridae
IF_025__13674,#1f77b4,Siphoviridae
S_7G50__32416,#1f77b4,Siphoviridae
KWS_10477__16249,#1f77b4,Siphoviridae
IF_088-2__13139,#1f77b4,Siphoviridae
S_7G15__68607,#1f77b4,Siphoviridae
KWS_11003__59104,#1f77b4,Siphoviridae
KWS_10467__7217,#1f77b4,Siphoviridae
S_6G14__169340,#1f77b4,Siphoviridae
IF_166__13575,#1f77b4,Siphoviridae
KWS_10452__29556,#1f77b4,Siphoviridae
KWS_10656__9374,#1f77b4,Siphoviridae
KWS_10481__5958,#1f77b4,Siphoviridae
IF_100-2__237090,#1f77b4,Siphoviridae
IF_047__15042,#1f77b4,Siphoviridae
KWS_10548__214064,#1f77b4,Siphoviridae
S_6G12__104673,#1f77b4,Siphoviridae
S_7G10__95741,#1f77b4,Siphoviridae
S_7G31__53117,#1f77b4,Siphoviridae
IF_107__64048,#1f77b4,Siphoviridae
