Metagenome	Streptococcus_mitis	Propionibacterium_acnes	Haemophilus_parainfluenzae	Lactobacillus_crispatus	Bacteroides_unclassified	Corynebacterium_matruchotii	Corynebacterium_accolens	Rothia_dentocariosa	Prevotella_melaninogenica	Staphylococcus_epidermidis	Bacteroides_vulgatus	Alistipes_putredinis	Neisseria_flavescens	Streptococcus_parasanguinis	Rothia_mucilaginosa	Lactobacillus_iners	Lactobacillus_jensenii	Streptococcus_sanguinis	Veillonella_unclassified	Prevotella_copri	Streptococcus_salivarius	Veillonella_parvula	Neisseria_mucosa	Bacteroides_ovatus	Veillonella_atypica	Streptococcus_infantis	Eubacterium_rectale	Gemella_haemolysans	Campylobacter_concisus	Bacteroides_stercoris	Capnocytophaga_gingivalis	Parabacteroides_merdae	Capnocytophaga_sputigena	Actinomyces_viscosus	Lactobacillus_gasseri	Neisseria_sicca	Haemophilus_influenzae	Veillonella_dispar	Bacteroides_caccae	Streptococcus_australis	Staphylococcus_aureus	Bacteroides_xylanisolvens	Faecalibacterium_prausnitzii	Lautropia_mirabilis	Actinomyces_oris	Dialister_invisus	Propionibacterium_unclassified	Neisseria_elongata	Alistipes_shahii	Ruminococcus_bromii
SRS013705	0.25264	0	11.2418	0	0.07109	0.02609	0	0.01239	24.10228	0	0	0	4.21231	6.2168	0.52323	0	0	0.03203	5.22226	0	8.30263	0.56299	0.01543	0	6.93081	1.18289	0	0.01924	7.19619	0	0.54577	0	0.3075	0.00332	0	0.00555	0.00574	1.24807	0	1.34732	0	0	0	0.03808	0.00535	0.00389	0	0	0	0
SRS013711	20.22755	0.04597	5.44589	0	0.16406	0.16407	0	0.12265	9.32247	0	0	0	1.06038	4.78197	0.47936	0	0	1.27692	0.80906	0.4166	6.28196	1.64673	0.11225	0	3.39376	2.2099	0	14.97021	5.43467	0	0.55874	0.03369	0.51779	0.09584	0	0.21168	0.27579	0.56952	0.02279	1.14882	0	0	0.00869	0.66045	0.08966	0.16966	0.00214	0	0	0.00264
SRS013723	0.38572	9.00E-05	4.90453	0	0.03447	37.74969	0	1.4969	0.03935	0	0	0	5.10152	0.01179	0.00106	0	0	2.14688	1.24129	5.00E-05	0.00103	2.09786	0.2267	0	0.00548	0.03772	0	0.0301	0.16301	0	2.06416	0	4.27691	0.86714	0	0.40003	0.01363	0.00785	0	0.02169	0	0	0	4.15946	0.5647	0.09079	0	0.05707	0	0
SRS013800	0.00881	0	0	0	23.10423	0	0	0	0	0	2.13004	12.71008	0	0.00326	0	0	0	0.0019	0	0	0	0.01532	0	0.95955	0.04222	0	0.20781	0	0	6.27607	0	11.7065	0	0	0	0	0	0.00219	0.05199	0	0	0.94246	0.14609	0	0	0	0	0	1.55262	0
SRS013818	1.15196	0.01759	18.68671	0	0.02777	0.04437	0	0.12612	10.49886	0	0	0.00541	3.88906	15.79078	8.82676	0	0	0.19468	1.73016	0	11.32497	0.73701	0.08404	0	6.54006	4.13094	0	0.0609	2.29824	0.00154	0.01849	0.00438	0.00923	0.02321	0	0.18466	0.02339	1.88097	0	0.34261	0	0	0	0.01565	0.01232	0.03206	0.00149	0.00451	0	0
SRS013825	39.99426	0.26616	17.61293	0	0.19384	0.03834	0	1.21043	0.82396	0	0	0.06978	0.15317	1.378	13.30063	0	0	1.21152	0	0	1.11374	0.8786	0.40933	0	1.04599	0.91887	0	1.87392	0.34237	0.00595	0.01391	0.03819	0.00697	0.14692	0	1.02269	0.25962	0.15793	0	8.29199	0	0	0	0.1451	0.11099	0.0635	0	0	0.00647	0
SRS013836	0.42701	0.00218	2.51534	0	0.29213	10.63558	0	2.43375	0.29294	0	0	0	0.14378	0.00972	0.16205	0	0	1.79465	0.90805	0	0.00679	2.43037	0.7079	0	0.11934	0.05087	0	0.01922	0.88117	0	2.55046	0	0.92478	2.11995	0	1.57105	0.00144	0.00457	0	0.01108	0	0	0	0.38587	1.70286	1.38362	0.00272	0.19	0	0
SRS013876	0	30.14451	0	0	0	0	59.60906	0	0	6.97544	0	0	0	0.00304	0.01349	0	0	0	0.00287	0.11682	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.01369	0	0	0
SRS013879	1.73965	0.00569	23.42706	0	0.15299	0.00319	0	0.05612	3.84853	0	0	0	32.44089	0.51932	8.0489	0	0	0.0753	4.609	0	0.0131	0.47428	1.4319	0	0.05844	6.88013	0	0.10222	0.77421	0	0.16288	0	0.66268	0.0038	0	0.04058	0.07982	0.12268	0	3.58878	0	0	0	0.00465	0.0058	0.00318	0	0.05102	0	0
SRS013881	42.40302	0	19.27968	0	0.02067	0	0	0.62356	0.17886	0	0	0	1.02228	0.02337	1.38463	0	0	0.48421	0.133	0	0	0.15914	18.36133	0	0.00053	1.32336	0	4.14504	0.05298	0	2.15935	0	1.0569	0.06225	0	0.14517	2.15555	0.00247	0	0.58211	0	0	0	0.07184	0.10119	0.00282	0.00343	0.39178	0	0
SRS013942	21.55008	0.00616	30.78791	0	0.18872	0.01451	0	0.14051	1.13603	0	0	0	3.37311	0.4182	1.37408	0	0	1.39437	2.0061	0	0.03198	1.8461	4.47083	0	0.43698	2.28174	0	1.32234	0.46544	0	0.20335	0	0.58407	0.07202	0.05752	4.82561	2.46345	0.15025	0	3.08508	0	0	0.01357	0.24754	0.02491	0.03879	0.00472	0.8333	0	0
SRS013945	8.79915	0.00104	42.96938	0	0.00611	0.00144	0	0.20045	0.00856	0	0	0	0.06515	0.05373	10.39042	0	0	2.03124	0.28909	0	0	1.82821	6.94247	0	0	0.30624	0	2.57698	0.01623	0	0.10261	0	0.17047	0.57532	0	10.70293	0.04986	0.00143	0	0.34582	0	0	0	7.75693	0.18498	0	0	0.09961	0	0
SRS013946	48.50827	0	14.11018	0	0.23615	0	0	0.00062	0	0	0	0	0	0	0.00223	0	0	0.04517	0.06082	0	0	0.01747	0.02467	0	0	0.00179	0	4.59311	10.95875	0	0	0	0.011	0.00328	0	0.02112	0.55728	0	0	0.00042	0	0	0	0.00237	0.00259	0	0	0	0	0
SRS013947	7.98765	0	42.00133	0	0.03911	0.00528	0	0.01214	2.94692	0	0	0	6.29699	3.03228	5.12967	0	0	0.04913	7.10937	0	0.47338	0.9556	0.13991	0	0.45429	5.0888	0	2.15443	0.61553	0	0.06513	0	0.04177	0.01211	0	0.11086	0.26694	0.34279	0	8.14755	0	0	0	0.02397	0.00205	0.00063	0.00193	0.01656	0	0
SRS013948	2.16387	0	16.10937	0	0.05604	0.00351	0	0.0077	7.58404	0	0	0	29.62496	2.58803	3.92847	0	0	0.32604	5.57644	0	0.54235	0.45144	0.15558	0	2.1508	4.41322	0	0.66035	2.54408	0	0.95252	0	0.50447	0.01585	0	0.10282	0.03758	1.98749	0	4.14717	0	0	0	0.12569	0	0	0	0.04814	0	0
SRS013949	2.13979	0.00031	11.62312	0	0.01996	5.89123	0	3.05231	0.0044	0	0	0	0.08187	0.00418	0.87954	0	0	4.63502	0.19619	0	0	2.70907	22.93341	0	0	0.09397	0	0.02096	0.05554	0	2.55894	0	1.27762	2.64803	0	9.45019	0.04286	0.001	0	0.07058	0	0	0	2.20138	1.0854	0.00058	0.00027	4.79803	0	0
SRS013950	0.84843	0	2.80227	0	0.41412	6.2599	0	0.39915	0.02112	0	0	0	0.00215	0.00195	0.01919	0	0	1.17444	0	0	0	6.43511	1.33023	0	0	0.00277	0	0.03853	0.08192	0	2.17608	0	4.04485	1.31056	0.00639	2.07799	0.01436	0	0	0.00147	0	0	0	0.65545	1.07313	3.62095	0	1.88214	0	0
SRS013951	0.01066	0	0.00015	0	10.21899	9.00E-05	0	0.00229	0	0	1.20431	2.66255	0	0.02363	0	0	0	0	0.00431	0	0	0.00468	0	0.11523	0	0.0024	17.78728	0	0	0.6665	0	2.0854	0	0	0	0	0	0	1.12135	0.03238	0	0.6971	13.64286	0	0	0.48311	0	0	0.52242	1.75423
