Metagenome	Streptococcus_mitis	Propionibacterium_acnes	Haemophilus_parainfluenzae	Lactobacillus_crispatus	Bacteroides_unclassified	Corynebacterium_matruchotii	Corynebacterium_accolens	Rothia_dentocariosa	Prevotella_melaninogenica	Staphylococcus_epidermidis	Bacteroides_vulgatus	Alistipes_putredinis	Neisseria_flavescens	Streptococcus_parasanguinis	Rothia_mucilaginosa	Lactobacillus_iners	Lactobacillus_jensenii	Streptococcus_sanguinis	Veillonella_unclassified	Prevotella_copri	Streptococcus_salivarius	Veillonella_parvula	Neisseria_mucosa	Bacteroides_ovatus	Veillonella_atypica	Streptococcus_infantis	Eubacterium_rectale	Gemella_haemolysans	Campylobacter_concisus	Bacteroides_stercoris	Capnocytophaga_gingivalis	Parabacteroides_merdae	Capnocytophaga_sputigena	Actinomyces_viscosus	Lactobacillus_gasseri	Neisseria_sicca	Haemophilus_influenzae	Veillonella_dispar	Bacteroides_caccae	Streptococcus_australis	Staphylococcus_aureus	Bacteroides_xylanisolvens	Faecalibacterium_prausnitzii	Lautropia_mirabilis	Actinomyces_oris	Dialister_invisus	Propionibacterium_unclassified	Neisseria_elongata	Alistipes_shahii	Ruminococcus_bromii
SRS014476	3.30603	0	1.58978	0	0.08026	36.58692	0	18.98089	0.00404	0	0	0	0.04414	0.00378	0.00807	0	0	1.46162	0.07627	0	0.00032	0.40137	0.94156	0	0	0.03509	0	0.14545	0.31779	0	2.74908	0	2.08892	3.16103	0	1.57736	0.21532	0	0	0.00856	0	0	0	0.93603	2.32304	0.38665	0	1.65476	0	0
SRS014477	7.03245	0	2.98341	0	0.54716	11.16871	0	19.62953	0.12446	0	0	0	0.01733	0	0.00421	0	0	1.63585	0	0	0	0.357	0.68832	0	0	0	0	0.24256	0.24092	0	3.30209	0	1.71351	2.16246	0	1.45365	0.36064	0	0	0	0	0	0	0.77445	1.25491	0.35848	0	3.41247	0	0
SRS014494	0	0	0	69.36821	0.05593	0	0	0	0	0	1.51831	0.08593	0	0	0	20.04268	5.69356	0	0	0.60335	0	0	0	0.38247	0	0	1.21459	0	0	0	0	0.03887	0	0	0	0	0	0	0.20887	0	0	0.04331	0.04088	0	0	0	0	0	0	0.16011
SRS014573	1.01844	0	22.13987	0	0.05587	0.00961	0	0.01364	2.06556	0	0	0	15.67332	2.80302	3.8558	0	0	0.05592	5.63854	0	5.10068	0.88265	0.04604	0	1.35251	6.39367	0	0.2665	4.56414	0	1.21503	0	0.21181	0.00291	0	0.03485	0.04699	0.92751	0	8.8686	0	0	0	0.01087	0.00037	0	0	0.00856	0	0
SRS014575	24.10116	0.05895	32.21132	0	0	0.58376	0	2.80421	0.24053	0	0	0	7.34148	0.63068	4.34279	0	0	1.76764	1.17118	0	0.34827	0.62978	0.76878	0	0.18492	2.62941	0	3.74918	0.40314	0	0.3659	0	0.11775	0.59261	0	0.79474	4.3796	0.08097	0	3.1365	0	0	0	0.9575	0.21979	0	0	0.10902	0	0
SRS014578	1.53655	0.00011	4.12496	0	0.0085	7.9154	0	18.86368	0.0029	0	0	0	0.02418	0.00195	0.309	0	0	12.64668	0.19499	0	0	1.41364	0.31438	0	0	0.03367	0	0.01766	0.12733	0	8.91071	0	3.70271	4.31751	0	0.51993	0.16661	0	0	0.01664	0	0	0	10.04628	1.59107	0	0	2.12139	0	0
SRS014613	0.00536	0	0.12642	0	44.52915	0	0	0	0	0	0	13.13155	0	0.00197	0	0	0	0	0.00507	0	0	0	0	1.47854	0	0	9.14248	0	0	0	0	6.73238	0	0	0	0	0	0	2.86723	0.00551	0	2.2488	2.03889	0	0	1.80283	0	0	1.46445	0
SRS014629	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	99.83299	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
SRS014682	0.00417	10.04899	0	0	0	0	86.11727	0	0	1.26545	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
SRS014683	0	0	0.00255	0	13.3931	0	0	0	0	0	3.5934	30.7493	0	0.0344	0	0	0	0	0.01943	0	0.00219	0.09974	0	1.29172	0.01003	0	1.96153	0	0	19.74132	0	3.97987	0	0	0	0	0	0.03571	8.47278	0	0	0.9899	1.76161	0	0	0	0.00057	0	0.0283	0
SRS014684	1.14053	0	1.92802	0	0.05763	0.00303	0	0.01615	14.41564	0	0	0	0	10.51452	2.01328	0	0	0.00325	9.27113	0	3.02425	0.95237	0	0	7.23273	7.48474	0	0.13411	5.51536	0	0.01149	0	0.01518	0.008	0	0	0.01109	14.38536	0	0.01207	0	0	0	0	0.00258	0.04902	0	0	0	0
SRS014686	43.01594	0	6.19198	0	0.06261	0.13584	0	2.17869	4.78506	0	0	0	0	4.90577	3.49095	0	0	0.11242	1.06671	0	1.21651	4.40437	0	0	0.9642	2.84726	0	3.88174	1.31727	0	0.21535	0	0.07042	1.33931	0	0	0.19148	2.71623	0	0.01117	0	0	0	0.00157	0.50236	0.06063	0	0	0	0
SRS014687	74.78622	0	0.0469	0	0	0	0	0.00039	0.00487	0	0	0	0	0.09841	0.02084	0	0	0.00273	0.02586	0	0.0016	0.00765	0	0	0.0113	0.05905	0	9.18158	0.00116	0	0	0	0	0	0	0	9.32546	0.03088	0	0.00031	0	0	0	0	0	0	0	0	0	0
SRS014689	1.70353	0	0.70424	0	0.13896	0.02133	0	0.10455	15.77958	0	0	0	0	9.32469	0.95345	0	0	0.00381	2.58479	0	4.63788	0.76566	0	0	16.07864	3.74339	0	0.16856	6.14812	0	0.01722	0	0.02207	0.02353	0	0	0.01632	8.55183	0	0.00807	0	0	0	0	0.01049	0.44334	0	0	0	0
SRS014690	12.24941	0	8.56371	0	0.00696	5.01837	0	15.85546	1.65476	0	0	0	0	2.00983	0.23614	0	0	2.70996	0.39785	0	0.00817	8.54401	0	0	0.07086	0.07536	0	0.69248	0.20587	0	8.73618	0	8.17505	1.75197	0	0	0.08247	0.08	0	0.0008	0	0	0	0.06985	0.78375	0.0118	0.00048	0	0	0
SRS014691	6.64833	0	0.31111	0	0.52841	2.71599	0	4.39921	1.75646	0	0	0	0	0.52852	0.00851	0	0	1.44968	0.29479	0	0.01094	8.80991	0	0	0.01399	0.03867	0	1.02626	0.1233	0	2.05342	0	1.94823	0.43373	0	0	0.06116	0.04776	0	0	0	0	0	0	0.26736	4.75534	0	0	0	0
SRS014888	0.65688	0.00216	40.65536	0.00304	0.02482	0.0723	0	0.03337	0.45544	0	0	0	2.42077	0.36717	25.18831	0	0	0.04245	5.06773	0	0.25771	0.76359	0.05218	0	0.11012	4.91468	0	0.0762	0.28836	0	0.8776	0	0.70847	0.02305	0	0.04194	0.02876	0.23074	0	8.7614	0	0	0	0.12696	0.02746	0	0.00266	0.03785	0	0
SRS014890	70.58741	0.14227	9.05285	0	0	3.01801	0	1.4913	0.04305	0	0	0	0.49641	0.00887	1.40672	0	0	1.41279	0.47184	0	0	0.2644	0.43639	0	0	0.44529	0	1.36155	0.11093	0	0.24721	0	0.41953	0.52188	0	1.04168	0.2996	0	0	1.20727	0	0	0	0.50452	0.82305	0	0.03333	0.04792	0	0
SRS014894	0.47013	0	13.11638	0	0	10.79758	0	4.59758	0.14192	0	0	0	0.03894	0	0.00816	0	0	6.48266	0	0	0	0.39132	2.05608	0	0	0.01902	0	0.03945	0.006	0	3.98631	0	3.01595	8.31077	0	1.87451	0.00976	0	0	0.01328	0	0	0	18.93644	9.55321	0	0	1.73605	0	0
SRS014901	0.66821	38.32201	0.44236	0	0	0	49.81332	0.2677	0	5.4378	0	0	0	0	0	0	0	0.0022	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.06592	0	0	0.04956	0.02071	0	0	0	0	0
SRS014923	0.00702	0.02833	0.00445	0	7.95755	0	0	0	0.00443	0	0.64867	4.46527	0	0.00439	0	0	0	0.01013	0	0	0.00945	0.40035	0	1.14251	0.00697	0.01087	2.69949	0	0.00275	6.64193	0	0.97947	0	0	0	0	0	0.0028	1.09866	0.02941	0	0.33411	1.23783	0	0	24.6692	0.00985	0	1.02222	21.96925
SRS014979	0	0	0	0	5.60155	0	0	0	0	0	1.3677	2.00189	0	0	0	0	0	0	0	0	0.00264	0	0	1.63932	0	0	48.30183	0	0	0	0	0.36095	0	0	0	0	0	0	0.78737	0	0	0.48448	2.07582	0	0	0	0	0	1.00153	0
SRS015038	0.5204	0	1.88215	0	0.05877	0.00323	0	0.03354	8.9673	0	0	0	0.65874	7.67319	4.14737	0	0	0.02116	0	0	7.93008	0.34744	0.19255	0	21.66515	3.10927	0	0.13816	13.36407	0	0.03172	0	0.03221	0.01242	0	0.02108	0.02207	4.26876	0	0.05131	0	0	0	0.00097	0.0171	0	0	0.0015	0	0
SRS015040	49.78747	0	8.72259	0	0.00509	0.00441	0	1.42328	0.17456	0	0	0	0.05134	0.10564	1.77372	0	0	0.45717	0.23355	0	0.07426	2.20745	0.54857	0	0.0878	0.25325	0	15.01035	0.06426	0	0.28202	0	0.34743	0.12357	0	0.49081	0.87643	0.03083	0	0.01173	0	0	0	0.03207	0.20852	0	0	0.00304	0	0
SRS015044	1.22794	0.00041	5.69855	0	0.01979	24.79052	0	7.25799	0.05163	0	0	0	1.40976	0.01224	0.01416	0	0	11.36847	0.64403	0	0.0089	7.15631	9.01038	0	0.0059	0.04099	0	0.08411	0.52763	0	2.52938	0	7.00637	1.96249	0	0.77942	0.03582	0.00398	0	0.05909	0	0	0	0.43938	1.86409	0.0399	0	0.30893	0	0
SRS015051	0.27624	95.29273	0	0	0	0	0	0	0	0.90238	0	0	0	0	0	0	0	0.03755	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1.25633	0	0	0	0	0	0	0	0	0
SRS015054	0	0	0	96.04777	0	0	0	0	0	0	0	0	0	0	0	0	2.88951	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
SRS015055	11.19599	0.10498	6.50094	0	0.12193	0.33291	0	1.23367	2.15432	0	0	0	0.97168	6.2974	3.38116	0	0	0.81753	0	0	2.61995	1.28414	2.28658	0	10.33443	2.85867	0	0.27704	7.63095	0	0.0837	0	0.07164	0.42198	0	3.22881	0.17985	3.37031	0	0.55604	0	0	0	0.26279	0.22729	0.10354	0.00338	0.10108	0	0
SRS015057	0.2464	0	0.53696	0	0.09589	0.00214	0	0.00374	4.15945	0	0	0	0.11536	26.56832	1.11838	0	0	0.00241	0	0	8.87321	1.11093	0.00158	0	11.63366	4.89766	0	0.01563	5.14942	0	8.00E-05	0	0.00023	0.00027	0	0.00184	0.00032	4.34694	0	0.14348	0	0	0	0	0	0.01345	0	0	0	0
SRS015059	26.97639	0	4.38483	0	0	5.00122	0	9.7384	0	0	0	0	0.4127	3.15511	9.26123	0	0	0.98234	0.7846	0	1.42885	0.55511	0.84764	0	0.16823	2.78715	0	2.43227	0.09531	0	0	0	0	7.106	0	0.89637	0	0.03199	0	2.99487	0	0	0	0.60465	3.26211	0	0.07365	0	0	0
SRS015060	58.69081	0.01011	10.50138	0	0.008	1.19617	0	1.79131	0.00516	0	0	0	0.14241	0.10953	0.33445	0	0	2.74043	0.96431	0	0.05719	1.56122	2.82002	0.00262	0.01165	0.04528	0	1.36775	0.92843	0	0.15875	0	0.08964	2.97839	0	4.46113	1.69123	0.0057	0	0.00877	0	0.00225	0	0.45876	0.55144	0	0.0041	0.04991	0	0
SRS015061	5.50911	0.00749	1.30557	0	1.62908	0	0	0	1.50595	0	0	0	0.32397	7.73937	1.79185	0	0	0.06792	0.228	0	3.56007	0.20521	12.0557	0	2.04481	2.52936	0	1.17318	1.28995	0	0.04453	0	0	0	0	0	2.64528	0.58126	0	0.19466	0	0	0	0	0	0	0.00499	0	0	0
SRS015062	0.85274	0	0.13383	0	0.37714	0	0.0857	0.00426	0.13468	0	0	0	0	0.62565	0.17386	0	0	0	0.11144	0	0.16033	0.01711	0.3294	0	0.22458	0.28249	0	0.08786	0.24028	0	0.0375	0	0	0	0	0	3.78218	0.04977	0	0	0	0	0	0	0	0	0	0	0	0
SRS015063	0.69022	0.00109	0.8251	0	0.0007	15.48927	0	33.2749	0	0	0	0	0.29508	0.01362	0.0108	0	0	3.5901	0.11779	0	0.00305	0.22056	4.88426	0	0	0.01313	0	0.00666	0.01428	0	2.06813	0	0.40167	11.29186	0	6.71855	0.00319	0	0	0.01367	0	0	0	3.55895	6.89369	0	0	2.54468	0	0
SRS015065	0.00697	0	0	0	1.74759	0	0	0	0	0	10.04643	9.75866	0	0.03575	0	0	0	0	0.0016	0	0	0.00146	0	2.60995	0	0	15.93097	0	0	6.7588	0	1.18585	0	0	0	0	0	0	0.67023	0	0	0.9136	7.04211	0	0	12.66595	0	0	0.27046	0.02655
SRS015071	0	0	0	39.09055	0	0	0	0	0	0	0	0	0	0	0	40.23917	0.04152	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
SRS015072	0	0	0	63.07849	0	0	0	0	0	0	0	0	0	0	0	34.53694	0.2518	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
SRS015073	0	0	0	28.91385	0	0	0	0	0	0	0	0	0	0	0	69.24261	0.25304	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
SRS015133	0	0	0.00672	0	17.50914	0	0	0	0	0	3.67306	7.33258	0	0.04655	0	0	0	0.00145	0.00329	0	0.00675	0.00151	0	0	0	0	1.08786	0	0	0	0	1.24291	0	0	0	0	0	0	0	0	0	0.00387	14.62041	0	0	9.07193	0	0	2.11536	15.03765
SRS015154	24.71618	0.00451	25.65636	0	0.02443	1.248	0	0.87805	0.38324	0	0	0	0.85983	0.30521	10.81816	0	0	1.9498	0	0	0.11719	1.22643	5.09874	0	0.07557	0.68844	0	9.38771	0.08226	0	0.13124	0	0.30685	0.63074	0	0.63912	2.68484	0.07118	0	3.73954	0	0	0	0.11351	1.41608	0	0.00697	0.07816	0	0
SRS015158	0.97649	0.01651	7.88891	0	0	13.57644	0	13.55983	0.01287	0	0	0	0.04727	0.01336	0.03576	0	0	14.13865	0	0	0.00225	0.6507	15.36114	0	0	0.05974	0	0.0477	0.03167	0	1.7378	0	7.65115	5.13147	0	2.42248	0.0831	0.00246	0	0.13144	0	0	0	0.61951	5.60452	0	0.00074	1.7658	0	0
SRS015168	0	0	0	98.21638	0	0	0	0	0	0	0	0	0	0	0	0.91375	0.23563	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.00789	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
SRS015190	0.00267	0	0	0	27.58027	0	0	0	0	0	37.62994	4.95424	0	0.00145	0	0	0	0	0.00014	0	0	0.00162	0	4.51661	0	0	0.95543	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3.79991	0.09713	0	0	0	0	0	0.05806	4.38788
SRS015209	0.06957	0	1.3708	0.0007	0.06363	0	0	0.01352	18.13466	0	0.0036	0.0029	0.01901	19.31857	2.627	0	0	0.00577	0.65618	0	4.10381	0.68283	0.01056	0	14.95462	1.23798	0	0.02084	3.65492	9.00E-05	0.01313	0	0.02459	0.00751	0	0.01586	0.00182	4.92685	0	0.2801	0	0	0	0.00558	0.00664	0.005	0	0	0	0.00278
SRS015215	1.48856	0.00023	3.66467	0	0.04429	19.54842	0	0.44676	0.41233	0	0	0	0.00159	0.11784	0	0	0	5.57057	0	0	0.00749	20.23571	0.17037	0	0.09226	0.07017	0	0.06662	0.22508	0	1.47	0	1.79369	1.56688	0	0.36794	0.01168	0.03369	0	0.00382	0	0	0	0.31318	2.2638	0.0557	0	0	0	0
SRS015217	0.05563	0.00164	0.00549	0	9.07004	0	0	0	0	0	2.47517	1.00874	0	0.05771	0.0021	0.02874	0	0.00915	0	0	0.01007	0	0	0.63848	0	0	53.74824	0.00528	0	0	0	0.94559	0	0	0	0	0	0	0	0.00589	0	0.50422	2.68644	0	0	0.01863	0.00419	0	1.0802	0.19997
SRS015225	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	88.9862	7.37295	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1.59141	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
SRS015264	0	0.03886	0.01483	0	25.78595	0	0	0	0	0	9.88458	9.72643	0	0.3326	0	0	0	0.00105	0	0	0.1467	0.0384	0	11.50253	0.21362	0	3.88671	0	0	0	0	2.01146	0	0	0	0	0	0.02068	3.06827	0	0	3.16994	4.4267	0	0	10.63488	0	0	0.65008	0
SRS015269	0.20012	4.35403	0	0	0.0958	0	7.5565	0	0	0.72412	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.97043	0	0	0
SRS015272	0.11894	0	0.40814	0	0.01968	0.00214	0	0.00846	5.99016	0	0	0	1.25745	21.22418	2.01995	0	0	0.01184	0	0	20.15438	0.5065	0	0	17.48928	0.93603	0	0.00353	2.2864	0	0	0	0	0.0039	0	0	0.00048	4.51922	0	0.00998	0	0	0	0.00026	0.00237	0	0.00024	0	0	0
SRS015274	29.10781	0.16502	4.22039	0	0	0.17376	0	7.74719	0.71222	0	0	0	1.65624	5.087	1.39982	0	0	1.33383	0.61797	0	7.00794	2.16939	0	0	1.96028	0.44362	0	0.46554	0.80056	0	0	0	0.00496	1.57707	0	0	0.21317	0.83563	0	0.08821	0	0	0	0.33585	0.69454	0	0.02597	0	0	0
SRS015278	0.81038	0	0.15997	0	0.0087	37.47226	0	11.06467	0	0	0	0	0	0.05535	0.00427	0	0	3.47965	0.95098	0	0.02975	5.6785	0	0.00033	0.04293	0.00383	0	0.00045	0.17247	0	1.6404	0	2.0056	8.71172	0	0	0.0013	0.09249	0	5.00E-05	0	0	0	0.18698	4.28923	0.03388	0	0.02408	0	0
SRS015369	0.00168	0	0	0.00056	11.64823	0	0	0	0	0	40.13534	2.51923	0	0.00393	0	0	0	0	0	0	0	0	0	21.97074	0	0	0.76584	0	0	0	0	3.30049	0	0	0	0	0	0	0	0	0	9.38973	0.01034	0	0	0	0	0	0.26072	0
SRS015374	53.24131	0.00678	22.49226	0	0	0.07523	0	1.55596	0.03787	0	0	0	0	0.09883	0.44392	0	0	0.9497	0.02684	0	0.06494	0.15966	0.75146	0	0.06697	0.08835	0	16.19844	0.02387	0	0.00642	0	0.03158	0.28182	0	1.57363	0.32575	0.0094	0	0	0	0	0	0.11374	0.18355	0	0.01208	0.01888	0	0
SRS015378	4.83357	0.0004	8.50191	0	0	25.34838	0	33.13392	0.00014	0	0	0	0	0.10368	0.01787	0	0	8.58453	0.00735	0	0.00891	0.06833	1.38891	0	0.00158	0.03042	0	1.26094	0.0023	0	0.11598	0	0.1583	4.29533	0	2.72788	0.05707	0	0	0.00212	0	0	0	0.43876	2.97328	0	0.00051	1.31397	0	0
SRS015381	0	9.82527	0	0	0	0.0051	0	0	0	82.95343	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
SRS015395	0.57239	0.00072	1.39626	0	0.01214	0.04706	0	0.06743	2.57673	0	0	0	0.23839	33.20675	19.2629	0	0	0.11343	3.09352	0	18.5924	0.22862	0.12989	0	2.62472	2.8006	0	0.15459	2.06372	0	0.00662	0	0.01177	0.01067	0	0.26056	0.00735	2.21214	0	0.03841	0	0	0	0.0129	0.0129	0	0	0.00648	0	0
SRS015425	0	0	0	99.92071	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
SRS015430	0	24.28111	0	0	0	0	31.96278	0	0	21.86286	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.04113	0	0	0	0	0	6.13815	0	0	0
SRS015434	0.62294	0	21.76137	0	0.07501	0.00124	0	0.00436	5.31556	0	0	0	18.60575	0.67102	3.60744	0	0	0.00712	5.79412	0	1.28746	1.16947	0.19026	0	2.02583	3.8817	0	0.10763	4.375	0	3.89956	0	1.67598	0.00189	0	0.02654	0.05069	1.06793	0	3.01038	0	0	0	0.03427	0	0.034	0	0.00635	0	0
SRS015436	43.03685	0	14.10392	0	0.02639	0.0068	0	0.89315	0.29591	0	0	0	1.46896	0.06915	0.32827	0	0	0.40121	0.39214	0	0.04458	0.91896	1.60144	0	0.03887	1.61907	0	10.01406	0.19854	0	0.39771	0	0.50308	0.1082	0	0.33108	9.49298	0.0328	0	0.50375	0	0	0	0.04042	0.37338	0.01561	0.00177	0.01277	0	0
SRS015440	1.42331	0.00013	4.42836	0	0.00158	9.65266	0	17.82681	0.06534	0	0	0	0.42572	0.00095	0.0583	0	0	3.04714	0.42936	0	0	0.79684	19.53905	0	0	0.13644	0	1.08653	0.05999	0	1.78727	0	1.41116	4.88825	0	3.43114	0.63062	0.00125	0	0.06113	0	0	0	14.21422	2.99095	0	0	0.94182	0	0
SRS015450	0	9.8447	0	0	0	0	17.39517	0	0	46.47193	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	6.5609	0	0	0
SRS015470	1.86635	0.00062	5.64722	0	0.0116	9.5446	0	18.37483	0.09455	0	0	0	0.47442	0.00123	0.0479	0	0	3.73641	0.01657	0	5.00E-05	1.58283	18.85139	0.0086	0.00015	0.22004	0	1.6623	0.08011	0	2.35064	0.0006	1.87744	3.69804	0	3.51191	0.79429	0.00293	0	0.07804	0	0	0	9.83028	2.39914	0.00041	0.00124	0.84589	0	0
SRS015537	0.07967	0	0.36105	0	0.00197	0.05549	0	0.086	4.28449	0	0	0	0.07636	42.02958	8.58739	0	0	0.02391	6.01619	0	19.04017	0.60106	0.00939	0	3.0196	0.53155	0	0.02233	0.96188	0	0.02023	0	0.03105	0.00636	0	0.02092	0.00419	2.78786	0	0.10405	0	0	0	0.0038	0.0062	0.00442	0	0.009	0	0
SRS015574	0.4119	0	0.33543	0	0.02843	22.1855	0	13.69325	0.8056	0	0	0	0.86534	0.02968	0.01063	0	0	0.86285	1.07766	0	0.01045	4.7751	0.40979	0	0.01227	0.00073	0	0.00852	0.12143	0	1.97058	0	4.5508	1.54124	0	0.717	0.00564	0.00598	0	0.00198	0	0	0	0.58725	1.52825	0.36267	0.00017	0.52155	0	0
SRS015578	0.00047	0	1.35741	0	16.10011	0	0	0	0	0	26.90736	0	0	0.09142	0	0	0	0.00535	0.07429	0	0.03617	1.21202	0	12.29953	0.26454	0.00228	9.10766	0	0.00113	0	0	0	0	0	0	0	0	0.09408	0	0.00386	0.00126	0.00483	2.18837	0	0	5.82731	0	0	0	0.86728
SRS015640	0	63.16117	0	0	0	0	9.40126	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	12.80348	0	0	0
SRS015644	0.76421	0.00013	19.22077	0	0.01088	0.00275	0	0.05709	3.75647	0	0	0	13.1567	10.19853	17.4078	0	0	0.02173	5.38856	0	4.84595	0.18974	0.12575	0	0.69212	6.59308	0	0.06162	1.92243	0	0.04302	0	0.01708	0.00199	0	0.008	0.09238	1.14361	0	2.64236	0	0	0	0.00242	0.00075	0	0.00017	0.00555	0	0
SRS015646	77.5837	0	1.3019	0	0.00143	0.0008	0	0.19523	0.13434	0	0	0	0.24277	0.0924	0.14726	0	0	0.08197	0.03993	0	0.0655	0.01181	0.35232	0	0.04668	0.21828	0	3.32675	0.05486	0	0.01778	0	0.01886	0.00165	0	0.02323	13.64911	0.01508	0	0.11252	0	0	0	0	0	0	0	0.0007	0	0
SRS015650	6.81809	0.00136	5.33474	0	0.03045	0.03225	0	40.02448	0.00873	0	0	0	0.03915	0.00792	0.09748	0	0	20.54366	0.09972	0	0.00363	0.3859	10.91756	0	0	0.14369	0	0.17841	0.00404	0	0.55936	0	0.13402	1.14319	0	0.10261	0.62318	0	0	0.09867	0	0	0	3.85235	1.4948	0	0.00198	0.52511	0	0
SRS015663	0.00078	0	0.00419	0	0	0	0	0	0	0	3.30544	15.17797	0	0.00994	0	0	0	0	0.00518	0	0.00752	0.00985	0	0.52013	0	0.00061	1.82675	0	0	1.36591	0	3.14652	0	0	0	0	0	0	1.0975	0.00124	0	0.04122	3.18591	0	0	8.43858	0	0	1.49542	5.95961
SRS015745	23.05663	0	28.85058	0	0.03021	1.96861	0	1.05786	0.29457	0	0	0	1.24847	0.18712	4.02151	0	0	0.74903	0.43135	0	0.02774	2.11625	1.56914	0	0.02939	0.64075	0	5.96495	0.19948	0	1.97896	0	0.41572	2.43795	0	2.60155	8.09699	0.03535	0	1.0603	0	0	0	0.39714	0.56465	0.03667	0	0.03626	0	0
SRS015752	0.18403	42.43609	0	0	0	0	38.25882	0	0	11.67602	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2.01381	0	0	0
SRS015755	3.59996	0	10.04592	0	0.04894	20.39717	0	3.10176	0.0366	0	0	0	0.45949	0.00629	0.04587	0	0	1.73176	0.01081	0	0	0.96777	4.26026	0	0	0.06007	0	0.46974	0.06419	0	7.76984	0	3.48906	4.09005	0	7.07116	0.99824	0	0	0.01934	0	0	0	2.70968	1.71351	0	0	10.10242	0	0
SRS015762	0.66729	0.00166	26.82419	0	0.21449	0.00189	0	0.00977	8.46009	0.00083	0	0	4.60438	1.94853	1.20117	0	0	0.0106	8.4167	0	1.11216	1.44658	0.04173	0	2.91313	4.72007	0	0.12339	5.82768	0	1.96953	0	0.03819	0.0028	0	0.03545	0.35818	0.70564	0	1.86422	0	0	0	0.00475	0.00154	0.35389	0.00058	0.01937	0	0
SRS015782	0.0035	0	0.00337	0	0	0	0	0	0	0	3.82752	18.35678	0	0.02191	0	0	0	0	0.00366	9.36264	0.00045	0.0072	0	0.19744	0	0.00168	16.78044	0	0	1.93964	0	9.36477	0	0	0	0	0	0	4.17439	0.00524	0	0.78172	1.45604	0	0	0	0	0	4.4616	0.23404
SRS015793	0	42.28566	0	0	0	0	52.39914	0	0	3.15247	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
SRS015794	0.00256	0	0.01826	0	10.11816	0	0	0	0	0	0.59195	17.38649	0	0.00134	0	0	0	0	0.00078	22.42174	0	0	0	14.59595	0	0.00117	1.43549	0	0	4.21225	0	0	0	0	0	0	0	0	0	0.00601	0	1.14125	0.35707	0	0	16.36131	0	0	0.14067	0
SRS015797	0.22692	0	19.13787	0	0.14592	0	0	0.00379	9.19445	0	0	0	18.27112	0.99617	1.0559	0	0	0.00334	16.70423	0	0.73107	1.80209	0.1257	0	0.53128	2.80136	0	0.0635	2.86238	0	5.11099	0	3.48986	0	0	0.00972	0.03321	0.45536	0	1.45432	0	0	0	0	0	0	0	0.0129	0	0
