ID	log2FC	log2CPM	PValue	FDR	level	MeanA	MeanB	KO1	KO2	KO3	KO4	KO5	KO6	WT1	WT2	WT3	WT4	WT5	WT6
ASV_57	-0.137	12.339	0.796058486134876	0.898767030050142	NotSig	0.309	0.359	0.213	0.148	0.265	0.095	0.911	0.219	0.457	0.232	0.371	0.316	0.2	0.576
ASV_92	-0.165	11.447	0.799516683173439	0.898767030050142	NotSig	0.172	0.193	0.07	0.305	0.016	0.422	0.028	0.189	0.119	0.333	0.177	0.267	0.135	0.126
ASV_27	0.061	12.91	0.820346149615649	0.915865906762676	NotSig	0.512	0.503	0.582	0.696	0.527	0.316	0.399	0.555	0.457	0.475	0.643	0.509	0.32	0.614
ASV_80	0.095	11.397	0.835148590753182	0.917211014235484	NotSig	0.176	0.17	0.283	0.084	0.104	0.156	0.324	0.104	0.143	0.061	0.297	0.16	0.217	0.145
ASV_621	-0.08	10.744	0.837629696633116	0.917211014235484	NotSig	0.105	0.113	0.125	0.067	0.14	0.064	0.088	0.145	0.122	0.129	0.147	0.162	0.03	0.09
ASV_153	-0.083	10.699	0.85691374481679	0.917211014235484	NotSig	0.1	0.11	0.098	0.098	0.249	0.048	0.044	0.063	0.073	0.135	0.13	0.176	0.06	0.087
ASV_78	-0.14	11.643	0.858103820101193	0.917211014235484	NotSig	0.197	0.222	0.283	0.207	0.148	0.22	0.135	0.186	0.019	0	0.285	0.259	0.393	0.377
ASV_130	0.126	10.989	0.859603599865429	0.917211014235484	NotSig	0.138	0.129	0.082	0.204	0.039	0.146	0.021	0.336	0.027	0.055	0.255	0.052	0.041	0.344
ASV_110	-0.091	11.443	0.868223483218205	0.917211014235484	NotSig	0.168	0.186	0.037	0.101	0.164	0.281	0.365	0.06	0.154	0.349	0.191	0.171	0.157	0.096
ASV_124	-0.076	11.006	0.871042436778926	0.917211014235484	NotSig	0.126	0.137	0.155	0.084	0.327	0.077	0.039	0.071	0.113	0.121	0.166	0.151	0.089	0.18
ASV_67	-0.072	10.736	0.871309035560165	0.917211014235484	NotSig	0.103	0.11	0.094	0.092	0.101	0.09	0.153	0.087	0.073	0.042	0.061	0.094	0.265	0.126
ASV_36	0.067	12.948	0.874478866726014	0.917211014235484	NotSig	0.535	0.505	0.591	0.185	0.27	0.655	0.515	0.993	0.673	0.871	0.333	0.421	0.436	0.295
ASV_149	0.144	10.787	0.879270219948204	0.917211014235484	NotSig	0.115	0.108	0.021	0.445	0	0.074	0.116	0.033	0.189	0.024	0.294	0.05	0.046	0.044
ASV_102	0.05	11.502	0.883448645613319	0.917211014235484	NotSig	0.186	0.187	0.131	0.201	0.127	0.183	0.331	0.142	0.157	0.14	0.255	0.242	0.146	0.183
ASV_101	-0.062	11.168	0.894186422630607	0.922483461321449	NotSig	0.145	0.152	0.25	0.274	0.031	0.074	0.083	0.156	0.162	0.098	0.2	0.11	0.149	0.194
ASV_158	0.029	10.677	0.954438034792191	0.978449054535391	NotSig	0.105	0.104	0.122	0.131	0.065	0.225	0.013	0.074	0.095	0.061	0.083	0.099	0.073	0.213
ASV_127	0.013	11.047	0.963245354677046	0.981306205077241	NotSig	0.135	0.136	0.113	0.182	0.088	0.159	0.127	0.139	0.105	0.145	0.122	0.19	0.146	0.106
ASV_144	0.01	10.556	0.978149760881918	0.989687388221785	NotSig	0.094	0.094	0.137	0.042	0.049	0.125	0.124	0.087	0.138	0.098	0.089	0.083	0.089	0.068
ASV_53	0.006	12.284	0.983615686453553	0.989687388221785	NotSig	0.324	0.33	0.287	0.506	0.408	0.324	0.166	0.252	0.267	0.264	0.371	0.413	0.273	0.393
ASV_68	0.001	11.818	0.99702536240429	0.99702536240429	NotSig	0.232	0.239	0.226	0.252	0.301	0.148	0.205	0.26	0.151	0.219	0.48	0.127	0.179	0.281
