Phylum	Sample1	Sample2	Sample3	Sample4	Sample5	Sample6	Sample7	Sample8	Sample9	Sample10
p__Basidiomycota	22	0	0	25	24	0	0	0	20	28
p__Basidiomycota	34	0	0	29	29	0	22	0	28	27
p__Ascomycota	55	0	76	66	42	39	0	24	70	222
p__Ascomycota	0	0	0	0	0	0	23	0	59	37
p__Ascomycota	0	0	0	0	32	0	0	0	0	28
p__Ascomycota	0	0	28	20	23	0	0	23	43	32
p__Ascomycota	22	46	27	0	0	0	22	0	58	22
p__Ascomycota	0	22	0	22	24	0	0	0	39	32
p__Ascomycota	0	0	26	0	0	0	0	0	33	27
p__Ascomycota	0	0	0	0	0	0	0	0	32	29
p__Ascomycota	22	0	0	0	25	0	0	28	25	25
p__Ascomycota	0	0	22	27	29	0	0	29	20	33
p__Ascomycota	22	0	0	0	28	0	0	0	32	52
p__Ascomycota	968	272	5487	3298	662	567	249	608	2765	2057
p__Ascomycota	38	0	38	29	26	22	0	25	24	26
p__Ascomycota	0	0	0	0	22	0	0	0	27	36
p__Ascomycota	423	92	452	256	2499	332	77	468	490	357
p__Ascomycota	30	23	30	29	23	0	0	0	36	35
p__Ascomycota	27	20	24	26	28	0	0	0	42	59
p__Basidiomycota	93	27	207	29	35	27	40	23	83	32
p__Basidiomycota	33	22	49	40	30	22	0	0	29	38
p__Ascomycota	64	252	233	77	28	43	202	222	360	243
p__Ascomycota	0	0	0	0	0	0	24	0	24	0
p__Ascomycota	27	30	23	0	0	23	0	0	42	53
p__Ascomycota	0	0	22	26	0	0	24	0	53	25
p__Ascomycota	0	0	0	0	26	0	0	0	28	25
p__Ascomycota	0	0	26	24	0	0	60	35	22	42
p__Ascomycota	32	33	35	42	80	0	42	65	89	82
p__Ascomycota	25	0	28	0	0	0	27	0	66	24
p__Ascomycota	0	0	0	0	29	26	0	25	24	27
p__Ascomycota	32	33	0	52	2932	22	30	62	234	49
p__Ascomycota	0	0	0	0	0	0	0	0	24	0
p__Ascomycota	0	0	0	0	45	0	26	0	28	0
p__Ascomycota	0	0	0	0	0	0	0	0	0	0
p__Basidiomycota	29	0	0	27	24	0	23	29	39	22
p__Ascomycota	27	0	63	0	0	20	0	23	55	23
p__Ascomycota	24	0	0	20	0	0	0	22	28	50
p__Chytridiomycota	222	28	76	54	56	24	28	25	62	89
p__Ascomycota	46	45	22	46	32	27	27	28	47	60
p__Basidiomycota	0	0	0	0	0	0	0	0	25	28
p__Basidiomycota	0	0	20	0	24	0	0	0	23	0
p__Basidiomycota	25	0	339	299	49	90	0	32	238	209
p__Ascomycota	43	23	0	34	27	0	0	0	42	45
p__Ascomycota	29	0	26	22	52	0	28	0	35	52
p__Ascomycota	23	0	0	0	0	0	0	0	28	0
p__Ascomycota	0	0	38	65	0	0	0	26	25	23
p__Ascomycota	22	0	28	23	20	0	0	24	33	54
p__Ascomycota	30	0	0	25	24	25	0	29	22	26
p__Ascomycota	65	0	220	260	38	36	0	48	47	80
p__Ascomycota	0	0	0	0	0	0	0	0	0	0
p__Ascomycota	207	36	95	94	65	40	34	35	98	82
p__Ascomycota	0	0	0	0	0	0	0	0	0	0
p__Ascomycota	43	0	33	37	22	0	27	27	45	49
p__Ascomycota	27	0	28	28	26	28	26	22	32	38
p__Ascomycota	42	0	25	23	24	23	22	0	29	20
p__Ascomycota	0	0	27	47	0	0	0	0	25	38
p__Ascomycota	0	0	26	25	0	0	0	23	35	40
p__Mucoromycota	24	0	23	0	27	22	0	25	48	38
p__Ascomycota	32	22	0	22	60	22	23	28	67	42
p__Ascomycota	0	0	27	0	0	0	0	26	0	33
p__Ascomycota	33	0	26	54	0	25	0	0	56	64
p__Ascomycota	224	33	220	276	39	45	47	34	38	55
p__Ascomycota	25	0	42	0	45	22	34	26	52	28
p__Ascomycota	25	0	26	25	0	0	0	22	0	22
p__Ascomycota	75	33	39	62	44	24	0	0	82	82
p__Ascomycota	25	0	47	25	0	0	0	0	20	28
p__Ascomycota	24	22	30	22	0	0	20	23	32	23
p__Ascomycota	64	24	378	352	27	26	26	26	75	32
p__Ascomycota	0	0	0	26	0	0	0	0	28	22
p__Ascomycota	62	49	0	222	72	68	0	22	246	39
p__Ascomycota	0	28	23	24	27	0	23	29	30	45
p__Ascomycota	0	0	0	0	0	0	0	0	39	25
p__Ascomycota	0	0	24	27	0	22	23	0	22	32
p__Ascomycota	20	0	83	57	0	0	0	45	38	33
p__Ascomycota	63	23	43	60	26	26	26	0	35	65
p__Ascomycota	76	0	24	22	0	0	0	0	26	0
p__Ascomycota	22	0	0	32	27	0	29	0	25	24
p__Ascomycota	0	0	0	0	0	0	0	0	0	0
p__Ascomycota	208	88	43	264	357	204	55	224	253	260
p__Ascomycota	24	25	29	25	22	29	28	30	82	24
p__Ascomycota	0	0	20	24	0	0	0	0	39	50
p__Ascomycota	0	0	72	32	25	0	0	22	25	0
p__Ascomycota	67	0	26	0	24	32	0	0	29	28
p__Ascomycota	0	0	0	27	0	0	0	0	23	0
p__Ascomycota	34	0	0	27	23	29	0	0	37	38
p__Ascomycota	0	0	263	209	0	0	29	0	42	43
p__Ascomycota	86	0	0	22	29	0	0	40	22	46
p__Ascomycota	28	30	25	37	22	0	0	0	46	43
p__Ascomycota	0	0	0	29	0	0	0	22	24	32
p__Ascomycota	0	0	29	36	32	0	0	0	77	42
p__Ascomycota	45	40	30	40	42	23	26	0	45	78
p__Ascomycota	55	0	34	29	24	25	22	0	27	20
p__Ascomycota	440	263	2929	2445	352	250	273	276	2229	986
p__Ascomycota	202	28	50	62	58	33	27	23	52	47
p__Ascomycota	42	25	25	29	40	28	29	97	30	38
p__Basidiomycota	22	0	24	40	25	0	0	22	34	68
p__Zoopagomycota	53	26	28	25	57	25	24	202	52	55
p__Ascomycota	35	24	38	56	53	22	23	39	24	57
p__Ascomycota	56	25	35	66	26	28	0	28	54	50
p__Ascomycota	392	52	222	248	228	62	249	200	555	206
p__Ascomycota	350	34	320	267	99	42	70	52	96	256
p__Ascomycota	0	0	0	0	0	0	0	0	0	0
p__Basidiomycota	39	0	0	20	23	22	26	0	27	20
p__Ascomycota	25	0	32	33	29	0	0	0	38	22
p__Basidiomycota	24	32	22	52	0	0	24	22	47	34
p__Basidiomycota	0	0	0	60	0	49	29	42	42	0
p__Basidiomycota	0	0	27	24	22	0	0	0	26	42
p__Ascomycota	87	27	48	94	23	34	33	22	30	54
p__Ascomycota	58	33	27	37	35	26	28	27	40	55
p__Ascomycota	70	27	52	45	62	29	26	22	42	56
p__Ascomycota	73	0	82	246	72	47	27	36	59	205
p__Ascomycota	42	29	87	42	29	0	23	23	79	32
p__Basidiomycota	22	0	0	20	45	24	22	0	28	30
p__Ascomycota	32	0	68	64	0	23	0	0	40	36
p__Ascomycota	37	28	0	20	28	0	0	0	52	50
p__Basidiomycota	0	0	0	0	0	0	0	0	0	20
p__Basidiomycota	0	0	0	0	0	0	0	0	0	0
p__Basidiomycota	0	0	0	0	0	0	0	0	0	0
p__Basidiomycota	0	0	0	0	48	35	0	28	37	59
p__Basidiomycota	22	0	0	0	0	0	27	0	0	0
p__Basidiomycota	0	0	0	0	0	0	0	0	0	0
p__Basidiomycota	0	0	0	0	0	0	0	0	0	0
p__Basidiomycota	55	26	32	48	53	0	0	39	72	52
p__Basidiomycota	0	0	0	0	0	0	0	0	0	0
p__Basidiomycota	0	0	0	0	0	0	0	0	0	0
p__Ascomycota	56	20	29	0	24	0	0	0	43	0
p__Basidiomycota	42	0	32	23	24	24	22	0	0	33
p__Basidiomycota	0	62	229	33	0	28	454	79	77	44
p__Basidiomycota	676	246	2735	408	360	252	322	472	402	294
p__Basidiomycota	23	28	29	22	24	25	0	0	34	27
p__Basidiomycota	25	0	40	63	28	0	0	0	25	23
p__Basidiomycota	70	0	0	23	20	0	0	42	23	0
p__Basidiomycota	0	0	0	0	0	0	0	0	0	0
p__Ascomycota	0	24	0	24	30	0	0	0	48	52
p__Ascomycota	0	64	44	22	35	20	42	0	243	70
p__Basidiomycota	32	0	25	28	0	0	0	0	25	26
p__Basidiomycota	22	0	0	0	0	0	29	23	27	0
p__Ascomycota	27	0	28	0	0	0	45	0	26	45
p__Ascomycota	29	24	24	0	32	22	26	0	23	32
p__Ascomycota	58	24	24	35	23	0	0	0	62	64
p__Basidiomycota	0	0	37	36	22	0	32	0	42	59
p__Ascomycota	34	0	43	0	24	0	27	0	33	22
p__Ascomycota	27	22	0	20	26	23	29	22	52	49
p__Ascomycota	0	0	0	0	49	0	0	0	0	23
p__Ascomycota	0	0	0	0	22	0	0	0	0	0
p__Ascomycota	3642	573	269	522	982	462	358	245	727	2496
p__Ascomycota	24	0	0	0	27	0	0	24	38	65
p__Ascomycota	29	23	229	26	28	0	0	0	45	23
p__Ascomycota	0	0	56	22	0	0	0	0	0	28
p__Ascomycota	0	0	22	0	28	25	27	0	27	38
p__Basidiomycota	38	24	0	24	33	23	32	32	34	49
p__Basidiomycota	28	28	33	33	28	0	0	27	24	42
p__Basidiomycota	50	0	49	0	30	0	22	24	36	27
p__Ascomycota	87	23	86	22	23	22	32	28	59	37
p__Ascomycota	88	25	44	34	38	26	40	30	54	62
p__Basidiomycota	43	25	248	239	42	0	24	0	59	75
p__Ascomycota	62	0	234	90	34	37	0	0	26	27
p__Ascomycota	233	48	273	92	227	57	62	49	205	238
p__Ascomycota	72	0	0	33	28	25	0	22	36	63
p__Ascomycota	52	0	32	46	42	23	27	35	62	72
p__Ascomycota	0	0	0	0	0	0	29	0	0	54
p__Ascomycota	0	0	0	0	494	0	0	0	0	0
p__Ascomycota	40	0	0	25	22	0	0	0	23	0
p__Ascomycota	24	0	0	0	26	24	0	26	22	26
p__Ascomycota	33	0	46	63	42	0	0	23	36	43
p__Ascomycota	25	0	0	0	22	0	0	0	0	28
p__Ascomycota	22	28	0	22	22	0	22	0	37	27
p__Microsporidia	40	44	22	52	55	46	44	40	249	202
p__Ascomycota	295	22	24	28	96	27	26	42	53	59
p__Ascomycota	23	0	22	32	27	0	0	0	39	53
p__Ascomycota	44	26	32	29	30	25	22	29	33	42
p__Ascomycota	0	25	38	27	0	0	0	0	29	23
p__Ascomycota	0	0	20	34	26	0	25	0	34	28
p__Ascomycota	27	22	25	22	0	0	0	0	25	0
p__Ascomycota	30	23	0	33	29	0	24	20	47	43
p__Microsporidia	0	0	0	0	0	0	0	0	0	0
p__Microsporidia	0	0	0	0	0	0	0	0	0	0
p__Microsporidia	0	0	0	0	0	0	0	0	0	0
p__Ascomycota	22	0	0	0	0	0	0	0	28	25
p__Mucoromycota	23	22	40	27	33	20	28	0	35	25
p__Microsporidia	873	363	3322	2442	460	257	825	395	2272	2802
p__Microsporidia	0	0	0	0	0	0	0	0	0	0
p__Microsporidia	0	0	0	0	0	0	0	0	24	0
p__Ascomycota	22	0	0	0	0	0	0	0	22	27
p__Ascomycota	278	80	236	273	278	76	90	246	208	303
p__Ascomycota	28	0	29	22	25	27	23	0	36	28
p__Ascomycota	249	23	27	33	27	23	0	0	35	22
p__Ascomycota	0	0	0	0	0	0	0	0	25	0
p__Ascomycota	29	0	29	0	0	0	23	0	23	0
p__Ascomycota	28	0	0	0	29	0	0	24	0	24
p__Ascomycota	0	0	0	26	32	0	0	25	28	27
p__Ascomycota	0	25	0	0	30	0	23	0	29	23
p__Ascomycota	785	236	207	423	574	220	289	330	304	254
p__Ascomycota	42	0	32	28	28	25	0	20	32	23
p__Ascomycota	45	0	50	39	35	28	28	20	29	48
p__Basidiomycota	37	23	73	204	63	23	26	37	80	57
p__Ascomycota	24	0	0	24	26	24	23	0	25	29
p__Ascomycota	52	0	0	37	0	36	24	0	0	0
p__Ascomycota	0	28	59	22	42	0	24	22	88	92
p__Ascomycota	0	0	0	28	0	0	0	0	37	25
p__Ascomycota	26	0	33	49	23	0	0	0	32	25
p__Ascomycota	24	0	52	22	28	0	22	0	0	0
p__Ascomycota	27	25	74	73	20	25	0	0	38	42
p__Ascomycota	42	0	49	27	25	0	27	0	22	60
p__Basidiomycota	0	0	44	27	26	0	28	0	27	77
p__Basidiomycota	40	0	22	32	36	28	23	22	35	53
p__Basidiomycota	0	0	0	0	0	0	0	22	0	0
p__Basidiomycota	0	0	0	0	0	0	0	0	0	0
p__Basidiomycota	0	0	0	32	0	0	0	0	32	29
p__Basidiomycota	26	22	24	29	27	24	0	0	25	36
p__Basidiomycota	25	23	64	63	0	25	0	29	44	42
p__Basidiomycota	20	0	0	45	28	0	24	23	37	30
p__Basidiomycota	49	0	26	23	22	0	22	24	0	28
p__Ascomycota	33	26	0	32	29	25	0	0	27	30
p__Ascomycota	0	0	0	0	0	0	0	0	0	22
p__Ascomycota	28	0	0	35	35	0	0	0	28	20
p__Ascomycota	35	0	0	0	0	23	0	0	46	28
p__Ascomycota	72	24	40	60	32	20	27	26	38	47
p__Ascomycota	52	27	27	35	22	20	26	22	33	47
p__Ascomycota	204	0	32	59	80	0	0	67	69	97
p__Ascomycota	82	0	50	49	44	26	22	28	23	67
p__Ascomycota	0	0	28	33	0	0	0	0	0	0
p__Ascomycota	23	0	0	0	0	0	0	0	22	24
p__Ascomycota	0	0	0	23	25	0	0	0	0	29
p__Ascomycota	0	0	0	0	0	0	0	0	47	0
p__Ascomycota	27	0	26	282	24	33	32	29	38	25
p__Ascomycota	82	0	352	255	70	70	73	69	206	230
p__Ascomycota	22	0	26	27	0	0	0	0	26	0
p__Ascomycota	20	0	22	27	22	0	0	0	24	24
p__Ascomycota	0	0	0	0	0	0	0	0	0	0
p__Ascomycota	0	0	0	30	0	0	0	0	20	36
p__Ascomycota	24	0	0	78	0	0	0	48	0	57
p__Ascomycota	0	0	0	0	0	0	0	0	0	25
p__Ascomycota	0	0	0	0	0	0	0	0	0	0
p__Ascomycota	0	0	0	0	0	0	0	0	0	34
p__Ascomycota	0	0	0	23	32	0	0	0	52	62
p__Ascomycota	0	0	25	29	26	0	0	0	0	0
p__Ascomycota	0	0	0	0	0	0	0	0	0	0
p__Ascomycota	0	0	0	24	0	0	0	0	25	25
p__Ascomycota	83	36	74	75	74	54	63	46	226	202
p__Ascomycota	0	0	0	0	0	0	0	0	28	45
p__Ascomycota	42	0	24	20	32	0	0	0	44	33
p__Ascomycota	0	0	0	0	0	0	0	0	27	0
p__Ascomycota	27	0	0	0	0	0	0	0	0	29
p__Ascomycota	0	0	0	0	0	0	0	0	27	0
p__Ascomycota	0	0	98	27	0	0	0	0	47	23
p__Ascomycota	0	0	0	29	33	0	0	0	49	0
p__Basidiomycota	23	0	0	26	24	0	0	0	27	26
p__Basidiomycota	63	0	72	52	25	23	28	0	43	30
p__Basidiomycota	24	0	26	0	0	0	0	0	22	30
p__Ascomycota	27	36	0	204	22	40	30	20	69	94
p__Mucoromycota	292	247	200	205	209	230	220	230	422	402
p__Mucoromycota	284	222	93	276	249	80	250	243	286	295
p__Ascomycota	24	0	22	0	27	0	23	0	59	24
p__Oomycota	230	22	62	257	222	58	32	36	220	265
p__Basidiomycota	46	0	28	49	0	0	0	28	46	64
p__Mucoromycota	242	223	67	322	256	223	223	226	476	523
p__Ascomycota	24	0	0	29	29	0	23	22	25	23
p__Ascomycota	36	22	63	66	92	48	42	59	89	77
p__Ascomycota	294	255	282	322	227	246	275	322	460	329
p__Chytridiomycota	200	0	24	32	28	25	0	29	35	52
p__Basidiomycota	24	20	0	27	0	30	0	33	27	0
p__Basidiomycota	27	0	27	22	29	0	75	32	24	30
p__Basidiomycota	29	26	29	28	23	22	0	32	53	58
p__Microsporidia	0	0	0	0	0	0	0	0	0	0
p__Microsporidia	0	0	0	0	0	0	0	0	0	29
p__Ascomycota	0	0	0	0	26	25	0	23	24	0
p__Ascomycota	0	0	0	0	0	0	0	0	0	26
p__Ascomycota	0	0	0	24	23	0	0	22	27	35
p__Ascomycota	0	0	26	27	0	0	0	20	25	28
p__Ascomycota	0	0	0	0	23	0	22	0	46	25
p__Ascomycota	267	27	82	26	24	24	207	22	30	55
p__Ascomycota	0	0	0	0	0	0	0	24	28	26
p__Ascomycota	56	25	25	47	28	0	22	28	40	42
p__Ascomycota	83	27	93	57	62	29	33	36	82	252
p__Basidiomycota	0	0	0	0	0	0	0	0	26	25
p__Ascomycota	26	0	29	24	0	0	0	22	26	22
p__Basidiomycota	37	26	26	29	28	0	23	27	33	42
p__Basidiomycota	247	90	273	239	278	86	97	95	255	248
p__Ascomycota	0	0	0	0	0	0	22	0	33	24
p__Microsporidia	23	0	0	0	0	0	0	0	0	0
p__Basidiomycota	36	0	22	25	30	32	0	23	24	30
p__Basidiomycota	28	42	0	32	34	27	22	0	53	48
p__Mucoromycota	29	0	23	44	28	0	0	0	29	59
p__Basidiomycota	62	34	38	28	0	0	27	26	60	29
p__Ascomycota	23	0	25	27	22	24	0	25	50	25
p__Ascomycota	2526	676	976	54	275	72	3042	246	328	264
p__Ascomycota	2289	332	539	2326	549	434	423	624	2700	2669
p__Ascomycota	0	0	0	0	0	0	0	0	0	0
p__Ascomycota	29	0	39	24	30	28	29	29	57	50
p__Ascomycota	28	0	23	22	32	0	0	24	46	36
p__Ascomycota	0	0	23	20	0	0	0	22	37	27
p__Basidiomycota	0	0	0	22	0	0	0	0	0	32
p__Basidiomycota	37	22	28	27	22	23	0	23	28	24
p__Ascomycota	0	0	0	22	0	0	0	25	0	22
p__Ascomycota	26	22	29	0	26	22	0	0	24	42
p__Ascomycota	22	29	69	67	25	25	0	0	64	24
p__Ascomycota	0	0	23	29	0	0	0	28	32	25
p__Ascomycota	0	27	0	23	29	0	0	0	0	25
p__Ascomycota	0	0	24	0	26	0	0	23	36	52
p__Basidiomycota	22	0	20	29	0	0	0	0	47	28
p__Basidiomycota	0	0	0	0	0	0	0	0	0	0
p__Basidiomycota	69	227	235	263	85	295	229	54	555	655
p__Basidiomycota	28	0	58	26	72	23	35	23	96	33
p__Basidiomycota	0	0	27	0	0	0	0	0	45	22
p__Basidiomycota	0	0	0	0	0	0	0	27	0	0
p__Basidiomycota	29	0	0	0	0	0	0	0	0	0
p__Basidiomycota	45	0	82	0	0	22	0	0	29	30
p__Mucoromycota	205	52	44	89	99	46	67	82	278	255
p__Basidiomycota	22	0	34	28	0	0	0	0	25	78
p__Ascomycota	0	0	0	0	0	0	0	0	0	0
