ID	log2FC	log2CPM	PValue	FDR	level	MeanA	MeanB	KO1	KO2	KO3	KO4	KO5	KO6	WT1	WT2	WT3	WT4	WT5	WT6
ASV_54	1.009	12.29	0.0167332600613818	0.108951324277061	Enriched	0.42	0.208	0.358	0.771	0.275	0.288	0.39	0.435	0.251	0.068	0.189	0.143	0.37	0.228
ASV_17	0.531	13.876	0.0173963240367923	0.108951324277061	Enriched	1.135	0.785	1.308	0.827	0.875	1.114	1.119	1.569	0.892	0.804	0.746	0.831	0.717	0.719
ASV_40	-2.479	12.596	0.0180428944662649	0.108951324277061	Depleted	0.115	0.641	0.009	0.119	0.015	0.178	0.362	0.008	2.454	0.159	0.049	0.122	0.682	0.381
ASV_10	0.795	14.381	0.0192064680001247	0.111682054667392	Enriched	1.711	0.991	1.082	1.004	1.768	1.993	2.626	1.791	0.884	1.527	0.678	0.709	1.396	0.754
ASV_119	-0.87	11.036	0.0219689985993954	0.121724868710083	Depleted	0.091	0.168	0.123	0.08	0.167	0.076	0.033	0.065	0.104	0.211	0.164	0.216	0.184	0.129
ASV_1	-0.617	16.02	0.0224842114177861	0.121724868710083	Depleted	3.351	5.156	3.34	5.433	2.094	3.585	2.726	2.927	6.238	6.594	4.694	5.414	3.82	4.177
ASV_34	-1.071	12.935	0.0253606064904188	0.128928588727896	Depleted	0.321	0.672	0.283	0.625	0.246	0.53	0.051	0.189	0.785	0.942	0.639	0.617	0.685	0.365
ASV_18	-0.663	13.656	0.0254572372647438	0.128928588727896	Depleted	0.636	1.001	0.691	0.896	0.485	0.698	0.447	0.6	1.194	1.293	0.612	0.779	1.348	0.781
ASV_60	0.606	12.3	0.0265728519385527	0.130373054823524	Enriched	0.38	0.252	0.358	0.285	0.344	0.367	0.567	0.36	0.232	0.258	0.219	0.225	0.256	0.325
ASV_89	-0.686	11.396	0.0285210530296536	0.135691070474412	Depleted	0.128	0.208	0.165	0.188	0.098	0.097	0.082	0.141	0.115	0.239	0.189	0.273	0.192	0.239
ASV_88	2.405	11.595	0.0314740279784831	0.141522689637718	Enriched	0.336	0.061	0.28	0.415	0.015	0.052	0.005	1.25	0.142	0.031	0.036	0.116	0	0.04
ASV_69	2.713	12.273	0.0315496441867525	0.141522689637718	Enriched	0.554	0.081	0.054	0.039	0.01	3.141	0.008	0.073	0.195	0.029	0.014	0.095	0.021	0.134
ASV_91	2.101	11.125	0.037122762860377	0.161896493585533	Enriched	0.227	0.052	0.547	0.202	0.177	0.307	0	0.127	0.029	0.039	0.003	0.184	0.053	0.005
ASV_95	-0.686	11.681	0.0421930768210037	0.179035488132367	Depleted	0.156	0.252	0.165	0.177	0.228	0.136	0.095	0.135	0.288	0.216	0.191	0.146	0.357	0.311
ASV_70	0.947	11.934	0.049060178770904	0.191296726322178	Enriched	0.331	0.169	0.283	0.119	0.151	0.254	0.195	0.982	0.144	0.127	0.249	0.162	0.157	0.174
ASV_77	-0.627	11.845	0.0491928604458498	0.191296726322178	Depleted	0.182	0.282	0.301	0.185	0.169	0.176	0.082	0.179	0.211	0.263	0.391	0.298	0.213	0.319
ASV_93	-1.324	11.647	0.0494021166921023	0.191296726322178	Depleted	0.112	0.284	0.021	0.028	0.195	0.178	0.162	0.089	0.152	0.112	0.093	0.135	0.61	0.601
ASV_104	0.558	11.516	0.0511072626820181	0.191296726322178	NotSig	0.215	0.147	0.189	0.205	0.213	0.199	0.288	0.197	0.144	0.174	0.15	0.127	0.197	0.091
ASV_107	0.497	11.251	0.0521523718697968	0.191296726322178	NotSig	0.177	0.126	0.195	0.158	0.157	0.184	0.146	0.222	0.093	0.091	0.175	0.152	0.125	0.121
ASV_137	0.493	11.113	0.0534247204729386	0.191296726322178	NotSig	0.159	0.114	0.147	0.149	0.208	0.173	0.144	0.13	0.104	0.096	0.12	0.133	0.133	0.097
ASV_159	-1.043	10.63	0.0536118213896551	0.191296726322178	NotSig	0.064	0.131	0.165	0.108	0.015	0.034	0.018	0.041	0.104	0.088	0.23	0.146	0.12	0.099
ASV_106	-0.819	10.778	0.0578656746757757	0.201886909424373	NotSig	0.078	0.137	0.156	0.086	0.054	0.079	0.049	0.043	0.222	0.078	0.153	0.214	0.061	0.097
ASV_43	0.863	11.508	0.0593519361611321	0.202570738636907	NotSig	0.236	0.13	0.436	0.34	0.105	0.147	0.116	0.273	0.131	0.047	0.205	0.13	0.075	0.193
ASV_140	0.584	10.906	0.0622189956278683	0.207364478774567	NotSig	0.14	0.094	0.111	0.1	0.126	0.136	0.203	0.165	0.051	0.109	0.101	0.1	0.133	0.072
ASV_8	-0.599	14.484	0.0643961625698691	0.207364478774567	NotSig	1.161	1.772	1.527	1.393	1.56	1.112	0.488	0.884	1.693	1.985	1.511	2.849	1.217	1.38
ASV_46	-0.512	12.549	0.0647188500633999	0.207364478774567	NotSig	0.314	0.448	0.394	0.337	0.216	0.446	0.177	0.314	0.347	0.531	0.473	0.498	0.365	0.475
ASV_109	-1.803	11.243	0.0692523273814903	0.21745230797788	NotSig	0.067	0.234	0.144	0.155	0.036	0.055	0.005	0.005	0.462	0.06	0.251	0.281	0	0.349
ASV_128	-0.505	10.775	0.078154955513855	0.240066584011266	NotSig	0.089	0.126	0.117	0.105	0.09	0.076	0.041	0.103	0.101	0.133	0.161	0.111	0.109	0.142
ASV_3	-0.502	15.345	0.0795144328451922	0.240066584011266	NotSig	2.185	3.126	1.707	1.272	2.307	2.365	3.147	2.313	2.78	4.672	2.784	3.247	3.21	2.061
ASV_105	1.333	11.404	0.0826069802092827	0.240066584011266	NotSig	0.234	0.096	0.114	0.05	0.103	0.163	0.821	0.151	0.011	0.026	0.082	0.068	0.136	0.255
ASV_162	0.689	10.59	0.0850974448152575	0.240066584011266	NotSig	0.116	0.072	0.129	0.124	0.151	0.136	0.031	0.122	0.077	0.036	0.126	0.049	0.056	0.089
ASV_44	0.687	12.774	0.0863055478243379	0.240066584011266	NotSig	0.539	0.338	0.475	0.279	0.585	0.522	0.958	0.417	0.377	0.541	0.257	0.141	0.456	0.255
ASV_132	1.122	11.035	0.0872767191761092	0.240066584011266	NotSig	0.173	0.081	0.018	0.064	0.572	0.181	0.062	0.143	0.072	0.114	0.093	0.038	0.061	0.11
ASV_85	0.79	11.695	0.0889902281693806	0.240066584011266	NotSig	0.265	0.151	0.162	0.29	0.131	0.246	0.205	0.554	0.112	0.081	0.131	0.1	0.362	0.118
ASV_72	-0.834	11.95	0.089607995414286	0.240066584011266	NotSig	0.18	0.323	0.277	0.141	0.133	0.205	0.077	0.249	0.093	0.33	0.27	0.831	0.242	0.169
ASV_22	0.381	13.098	0.0902161048195204	0.240066584011266	NotSig	0.625	0.487	0.589	0.564	0.798	0.632	0.583	0.587	0.414	0.458	0.634	0.433	0.434	0.548
ASV_87	0.537	11.585	0.0920725860823102	0.240923266915378	NotSig	0.224	0.157	0.099	0.191	0.295	0.241	0.3	0.216	0.168	0.127	0.178	0.152	0.17	0.145
ASV_172	0.706	9.46	0.115101882453627	0.295986961075753	NotSig	0.05	0.03	0.093	0.072	0.018	0.037	0.028	0.051	0.021	0.013	0.049	0.024	0.027	0.048
ASV_123	0.382	11.078	0.117082461953759	0.295986961075753	NotSig	0.151	0.116	0.174	0.169	0.103	0.144	0.157	0.157	0.104	0.12	0.137	0.106	0.128	0.102
ASV_32	-0.383	12.831	0.118771837883901	0.295986961075753	NotSig	0.401	0.525	0.535	0.42	0.375	0.367	0.3	0.406	0.513	0.577	0.661	0.417	0.37	0.615
ASV_62	0.563	12.332	0.12150777860655	0.296418877789633	NotSig	0.384	0.262	0.277	0.218	0.413	0.414	0.593	0.387	0.147	0.364	0.15	0.265	0.381	0.266
ASV_21	-0.556	13.215	0.122721191441568	0.296418877789633	NotSig	0.486	0.719	0.436	1.02	0.508	0.312	0.259	0.379	0.571	0.825	0.544	0.787	0.996	0.588
ASV_100	1.024	11.455	0.132564737368248	0.315343390406287	NotSig	0.227	0.116	0.237	0.05	0.098	0.155	0.757	0.068	0.088	0.018	0.137	0.162	0.101	0.191
ASV_16	-0.579	13.811	0.13649214785542	0.319839809153745	NotSig	0.729	1.087	0.694	0.686	1.337	0.708	0.365	0.582	1.138	0.749	0.664	0.85	2.182	0.942
ASV_50	0.577	12.806	0.142570150867462	0.328481349882538	NotSig	0.546	0.362	0.385	0.213	0.336	0.86	0.626	0.855	0.534	0.499	0.213	0.338	0.29	0.298
ASV_47	0.348	12.821	0.14436441491653	0.328481349882538	NotSig	0.512	0.405	0.487	0.423	0.48	0.506	0.547	0.63	0.328	0.336	0.355	0.576	0.392	0.446
ASV_116	1.51	11.537	0.154960118386505	0.347553408381161	NotSig	0.26	0.094	0.021	0.091	0.021	0.021	1.371	0.032	0.158	0.052	0.071	0.011	0.224	0.051
ASV_20	-0.936	13.707	0.163135291436695	0.360735785289593	NotSig	0.584	1.095	0.568	1.203	0.221	0.682	0.4	0.433	0.67	0.767	0.292	0.368	4.161	0.309
ASV_66	-0.46	11.617	0.177057131672858	0.386082912119982	NotSig	0.165	0.228	0.21	0.307	0.1	0.131	0.108	0.133	0.251	0.187	0.311	0.211	0.168	0.242
ASV_52	-0.444	12.422	0.18656726267341	0.401247400544183	NotSig	0.29	0.4	0.21	0.442	0.462	0.215	0.18	0.233	0.334	0.572	0.355	0.349	0.344	0.448
ASV_49	-0.528	12.513	0.231392738162666	0.485167631447802	NotSig	0.3	0.438	0.286	0.498	0.498	0.131	0.121	0.265	0.481	0.203	0.358	0.779	0.352	0.456
ASV_133	0.322	10.97	0.235224660724157	0.485167631447802	NotSig	0.137	0.11	0.159	0.13	0.098	0.194	0.098	0.146	0.128	0.101	0.139	0.084	0.101	0.105
ASV_38	-0.624	12.844	0.236548806451112	0.485167631447802	NotSig	0.369	0.561	0.34	0.158	0.213	0.561	0.375	0.568	0.585	1.608	0.191	0.336	0.405	0.244
ASV_134	0.337	11.177	0.237948456187776	0.485167631447802	NotSig	0.159	0.126	0.129	0.158	0.167	0.191	0.146	0.162	0.101	0.104	0.09	0.143	0.202	0.115
ASV_75	-0.471	11.697	0.24342132967474	0.488733468993779	NotSig	0.172	0.243	0.195	0.191	0.085	0.11	0.288	0.165	0.171	0.114	0.224	0.452	0.288	0.207
ASV_98	0.505	11.48	0.245923210512793	0.488733468993779	NotSig	0.209	0.145	0.183	0.127	0.157	0.215	0.231	0.341	0.136	0.104	0.077	0.078	0.354	0.121
ASV_59	0.262	12.241	0.257191851261184	0.493898155476722	NotSig	0.331	0.278	0.295	0.365	0.344	0.351	0.305	0.325	0.243	0.323	0.292	0.265	0.301	0.244
ASV_35	-0.252	12.932	0.261519759817684	0.493898155476722	NotSig	0.449	0.541	0.442	0.415	0.559	0.517	0.4	0.362	0.473	0.549	0.566	0.511	0.527	0.617
ASV_118	0.436	11	0.263220769188263	0.493898155476722	NotSig	0.146	0.107	0.147	0.124	0.1	0.11	0.11	0.284	0.075	0.125	0.101	0.092	0.2	0.048
ASV_163	-0.345	10.547	0.263656933485069	0.493898155476722	NotSig	0.08	0.101	0.075	0.13	0.069	0.084	0.046	0.073	0.142	0.075	0.112	0.092	0.085	0.102
ASV_151	0.559	10.659	0.264251242420667	0.493898155476722	NotSig	0.118	0.08	0.268	0.171	0.033	0.113	0.054	0.07	0.112	0.073	0.123	0.078	0.027	0.067
ASV_15	0.225	13.865	0.281212937029372	0.519416836630722	NotSig	1.019	0.88	0.968	1.164	1.132	0.884	0.945	1.022	0.785	0.708	0.85	0.99	0.962	0.985
ASV_76	-0.579	11.831	0.29684458050469	0.541913943479492	NotSig	0.181	0.277	0.156	0.127	0.275	0.168	0.19	0.17	0.093	0.484	0.115	0.747	0.091	0.132
ASV_147	0.421	10.801	0.306770881359819	0.553598027281513	NotSig	0.125	0.093	0.135	0.194	0.128	0.06	0.062	0.17	0.045	0.114	0.06	0.087	0.17	0.081
ASV_58	-0.246	12.372	0.312275255452037	0.557127444386021	NotSig	0.303	0.364	0.274	0.271	0.38	0.241	0.357	0.295	0.331	0.408	0.372	0.384	0.333	0.357
ASV_180	-0.323	10.575	0.317483792955825	0.560055679708591	NotSig	0.082	0.104	0.072	0.111	0.08	0.089	0.049	0.092	0.099	0.086	0.161	0.073	0.059	0.145
ASV_94	0.715	11.55	0.325825191666531	0.565894751512504	NotSig	0.223	0.143	0.123	0.05	0.059	0.079	0.963	0.062	0.136	0.083	0.262	0.114	0.131	0.132
ASV_64	0.341	12.142	0.32800269036712	0.565894751512504	NotSig	0.316	0.25	0.174	0.26	0.344	0.438	0.334	0.346	0.187	0.33	0.194	0.26	0.394	0.137
ASV_71	0.473	12.024	0.335465190083303	0.568535465078436	NotSig	0.296	0.219	0.171	0.171	0.357	0.212	0.734	0.127	0.166	0.127	0.158	0.265	0.386	0.209
ASV_81	-0.313	11.805	0.336775785046462	0.568535465078436	NotSig	0.199	0.249	0.21	0.072	0.249	0.265	0.205	0.192	0.195	0.32	0.251	0.262	0.213	0.255
ASV_12	-0.499	13.613	0.347301193187153	0.576350766278301	NotSig	0.65	0.932	0.096	0.326	1.583	0.826	0.493	0.576	0.769	0.775	0.653	0.552	1.257	1.586
ASV_155	0.568	10.592	0.348747278958208	0.576350766278301	NotSig	0.113	0.077	0.102	0.171	0.08	0.034	0.056	0.233	0.021	0.021	0.085	0.23	0.048	0.056
ASV_74	0.225	11.795	0.361117505373621	0.59057758691311	NotSig	0.238	0.206	0.228	0.243	0.228	0.212	0.3	0.214	0.19	0.203	0.221	0.195	0.229	0.196
ASV_103	0.397	11.377	0.371185768964129	0.600695501421194	NotSig	0.19	0.142	0.153	0.16	0.033	0.226	0.164	0.406	0.2	0.135	0.145	0.13	0.149	0.094
ASV_13	-0.292	13.938	0.374956427638707	0.600695501421194	NotSig	0.89	1.102	0.508	0.5	0.973	0.947	1.373	1.041	1.02	0.749	1.153	0.76	1.54	1.388
ASV_126	-0.303	11.018	0.386514590897925	0.612957482535093	NotSig	0.114	0.142	0.138	0.127	0.126	0.108	0.074	0.111	0.118	0.047	0.197	0.127	0.144	0.22
ASV_136	-0.35	10.872	0.396541806469222	0.622570636156678	NotSig	0.1	0.13	0.096	0.069	0.051	0.094	0.203	0.084	0.069	0.099	0.172	0.235	0.125	0.081
ASV_42	0.312	12.754	0.402324628285371	0.625395709314884	NotSig	0.477	0.393	0.295	0.771	0.68	0.33	0.465	0.322	0.398	0.525	0.41	0.471	0.149	0.405
ASV_108	0.253	11.076	0.406593268404284	0.625834736661496	NotSig	0.143	0.122	0.162	0.075	0.146	0.126	0.216	0.135	0.083	0.122	0.109	0.138	0.144	0.134
ASV_23	0.399	13.33	0.417530467770358	0.633941056434392	NotSig	0.735	0.569	0.367	1.216	1.306	0.236	0.49	0.793	0.425	0.601	0.342	1.334	0.4	0.314
ASV_48	0.291	12.319	0.421838468138552	0.633941056434392	NotSig	0.35	0.291	0.31	0.169	0.511	0.375	0.442	0.298	0.15	0.205	0.268	0.346	0.461	0.314
ASV_138	-0.274	10.923	0.423973317997523	0.633941056434392	NotSig	0.107	0.13	0.114	0.122	0.164	0.073	0.059	0.111	0.176	0.094	0.098	0.089	0.157	0.164
ASV_99	-0.319	11.327	0.441815493969839	0.645091349468859	NotSig	0.143	0.175	0.135	0.075	0.095	0.21	0.108	0.235	0.315	0.258	0.09	0.157	0.115	0.118
ASV_83	0.356	11.797	0.442461583925738	0.645091349468859	NotSig	0.252	0.194	0.331	0.091	0.115	0.236	0.298	0.441	0.198	0.406	0.093	0.162	0.189	0.118
ASV_150	-0.189	10.827	0.443757106640999	0.645091349468859	NotSig	0.104	0.119	0.108	0.097	0.1	0.094	0.1	0.122	0.101	0.104	0.172	0.13	0.104	0.105
ASV_157	0.408	10.759	0.487084474689289	0.689930436582775	NotSig	0.118	0.091	0.084	0.05	0.251	0.079	0.175	0.068	0.021	0.036	0.044	0.124	0.216	0.102
ASV_61	-0.237	12.107	0.487587146095391	0.689930436582775	NotSig	0.251	0.301	0.225	0.221	0.162	0.197	0.485	0.216	0.31	0.364	0.331	0.254	0.197	0.352
ASV_14	-0.155	13.967	0.487785213125401	0.689930436582775	NotSig	0.96	1.082	0.902	0.874	0.903	0.96	1.158	0.966	0.94	1.431	1.131	1.272	0.844	0.872
ASV_97	0.326	11.575	0.525907665356836	0.737209852330564	NotSig	0.207	0.168	0.192	0.064	0.239	0.084	0.483	0.181	0.155	0.307	0.071	0.114	0.173	0.188
ASV_26	-0.475	12.987	0.530847522462662	0.737549212625114	NotSig	0.432	0.599	0.505	0.5	0.311	1.033	0.159	0.084	0.996	0.2	0.462	0.244	0.027	1.664
ASV_113	0.191	11.222	0.537882541495285	0.74076806153298	NotSig	0.156	0.139	0.09	0.265	0.144	0.176	0.128	0.135	0.123	0.13	0.189	0.114	0.117	0.161
ASV_11	-0.14	14.043	0.544396256590136	0.743219237257837	NotSig	1.016	1.135	0.947	0.951	0.824	0.923	1.438	1.014	1.124	1.295	1.38	1.115	0.866	1.028
ASV_28	-0.245	13.236	0.550573132484807	0.745172256897541	NotSig	0.565	0.664	0.685	0.758	0.139	1.038	0.318	0.454	0.924	0.819	0.546	0.663	0.506	0.523
ASV_143	-0.198	10.795	0.568022965863152	0.762218851628332	NotSig	0.1	0.115	0.102	0.061	0.085	0.097	0.151	0.105	0.168	0.146	0.055	0.095	0.125	0.102
ASV_142	-0.199	10.746	0.618091705537909	0.821973889589901	NotSig	0.098	0.113	0.123	0.133	0.098	0.079	0.036	0.119	0.056	0.088	0.156	0.07	0.093	0.215
ASV_114	0.136	11.597	0.627830194967149	0.821973889589901	NotSig	0.2	0.185	0.186	0.152	0.228	0.239	0.264	0.13	0.176	0.172	0.189	0.189	0.162	0.22
ASV_31	-0.162	13.011	0.635900536936408	0.821973889589901	NotSig	0.499	0.553	0.523	0.464	0.457	0.716	0.146	0.687	0.649	0.479	0.582	0.492	0.722	0.392
ASV_135	-0.242	10.879	0.641829664123713	0.821973889589901	NotSig	0.107	0.124	0.063	0.196	0.062	0.121	0.013	0.187	0.214	0.091	0.117	0.07	0.096	0.158
ASV_4	-0.184	15.199	0.642084413955855	0.821973889589901	NotSig	2.242	2.543	4.308	1.106	1.373	1.99	3.304	1.369	2.999	3.767	1.494	1.561	2.962	2.475
ASV_65	0.117	11.875	0.64483808212898	0.821973889589901	NotSig	0.245	0.227	0.213	0.257	0.205	0.291	0.216	0.287	0.211	0.268	0.254	0.179	0.181	0.268
ASV_29	0.173	13.18	0.649202307701578	0.821973889589901	NotSig	0.615	0.551	0.34	0.31	0.89	0.498	0.996	0.655	0.475	0.598	0.311	0.501	0.887	0.534
ASV_84	0.456	11.701	0.668729685077787	0.835513734637069	NotSig	0.248	0.172	0.126	0.296	0.105	0.005	0.023	0.93	0.566	0	0.101	0.168	0.067	0.132
ASV_129	0.182	11.097	0.673251130088656	0.835513734637069	NotSig	0.141	0.127	0.063	0.075	0.262	0.157	0.162	0.13	0.061	0.096	0.101	0.097	0.202	0.201
ASV_30	0.102	12.942	0.675861428655463	0.835513734637069	NotSig	0.518	0.483	0.52	0.329	0.439	0.53	0.521	0.768	0.505	0.52	0.549	0.473	0.402	0.451
ASV_45	0.165	12.703	0.685128413178759	0.840352819289572	NotSig	0.438	0.4	0.31	0.705	0.606	0.281	0.513	0.214	0.497	0.354	0.339	0.736	0.216	0.258
ASV_9	-0.127	14.322	0.693587706953544	0.8441338759047	NotSig	1.251	1.36	1.034	2.214	0.908	1.164	0.693	1.49	1.57	0.845	1.199	1.163	2.008	1.374
ASV_25	0.296	13.289	0.710659431558413	0.858257928882083	NotSig	0.678	0.578	0.349	0.37	2.925	0.155	0.082	0.187	0.377	0.075	0.798	0.66	0.554	1.001
ASV_125	0.222	11.045	0.728419065121552	0.869595242135429	NotSig	0.139	0.121	0.036	0.323	0.144	0.228	0.033	0.07	0.072	0.224	0.161	0.07	0.019	0.183
ASV_145	-0.163	10.939	0.739072371738714	0.869595242135429	NotSig	0.112	0.127	0.024	0.105	0.069	0.176	0.223	0.073	0.091	0.07	0.104	0.108	0.205	0.185
ASV_122	-0.105	11.023	0.751464506910533	0.869595242135429	NotSig	0.124	0.133	0.129	0.218	0.098	0.115	0.049	0.133	0.15	0.101	0.142	0.138	0.112	0.156
ASV_148	0.135	10.658	0.752795699530365	0.869595242135429	NotSig	0.103	0.095	0.168	0.171	0.095	0.05	0.046	0.087	0.075	0.06	0.172	0.095	0.045	0.123
ASV_19	0.167	13.428	0.756075229244778	0.869595242135429	NotSig	0.74	0.669	0.625	1.988	0.316	0.459	0.352	0.703	0.911	0.302	1.609	0.319	0.471	0.4
ASV_57	-0.163	12.368	0.758162863979046	0.869595242135429	NotSig	0.306	0.353	0.21	0.147	0.262	0.094	0.904	0.216	0.451	0.229	0.366	0.311	0.197	0.566
ASV_121	-0.111	10.689	0.758818778169133	0.869595242135429	NotSig	0.097	0.104	0.144	0.097	0.113	0.079	0.031	0.119	0.096	0.091	0.117	0.057	0.133	0.132
ASV_90	-0.241	11.361	0.787438716844775	0.888579175656325	NotSig	0.144	0.178	0.072	0.017	0.105	0.108	0.506	0.06	0.016	0.052	0.295	0.008	0.437	0.258
ASV_154	0.118	10.843	0.788369241270375	0.888579175656325	NotSig	0.117	0.108	0.093	0.235	0.046	0.131	0.095	0.1	0.163	0.117	0.082	0.168	0.037	0.081
ASV_92	-0.172	11.482	0.79236359612666	0.888579175656325	NotSig	0.17	0.19	0.069	0.301	0.015	0.417	0.028	0.187	0.118	0.328	0.175	0.262	0.133	0.123
ASV_7	-0.133	14.674	0.811963844149369	0.90410158532944	NotSig	1.543	1.741	0.649	0.365	3.162	0.962	3.332	0.787	2.134	2.39	1.494	0.582	1.545	2.3
ASV_117	0.085	10.784	0.836033151923839	0.905430985818231	NotSig	0.111	0.105	0.144	0.075	0.146	0.06	0.09	0.149	0.131	0.117	0.148	0.152	0.029	0.056
ASV_153	-0.096	10.734	0.83724968237962	0.905430985818231	NotSig	0.099	0.108	0.096	0.097	0.246	0.047	0.044	0.062	0.072	0.133	0.128	0.173	0.059	0.086
ASV_78	-0.158	11.68	0.840588275517053	0.905430985818231	NotSig	0.194	0.219	0.28	0.205	0.146	0.218	0.133	0.184	0.019	0	0.281	0.254	0.386	0.37
ASV_110	-0.105	11.47	0.84605096597281	0.905430985818231	NotSig	0.166	0.183	0.036	0.1	0.162	0.278	0.362	0.06	0.152	0.343	0.189	0.168	0.154	0.094
ASV_124	-0.088	11.042	0.851145899035544	0.905430985818231	NotSig	0.124	0.135	0.153	0.083	0.323	0.076	0.039	0.07	0.112	0.12	0.164	0.149	0.088	0.177
ASV_67	-0.082	10.765	0.852061061787525	0.905430985818231	NotSig	0.102	0.108	0.093	0.091	0.1	0.089	0.151	0.087	0.072	0.042	0.06	0.092	0.261	0.123
ASV_27	0.049	12.945	0.856383539901811	0.905430985818231	NotSig	0.507	0.495	0.574	0.688	0.521	0.312	0.395	0.549	0.451	0.468	0.634	0.501	0.314	0.604
ASV_80	0.08	11.425	0.859294375075901	0.905430985818231	NotSig	0.174	0.168	0.28	0.083	0.103	0.155	0.321	0.103	0.142	0.06	0.292	0.157	0.213	0.142
ASV_36	0.066	12.977	0.875745971566255	0.911859287151998	NotSig	0.529	0.497	0.583	0.182	0.267	0.648	0.511	0.982	0.665	0.858	0.328	0.414	0.429	0.29
