Pathway	Healthy01	Healthy02	Healthy03	Healthy04	Healthy05	Healthy06	Healthy07	Healthy08	Healthy09	Healthy10	Healthy11	Healthy12	Healthy13	Healthy14	Healthy15	Healthy16	Healthy17	Healthy18	Healthy19	Healthy20	Patients01	Patients02	Patients03	Patients04	Patients05	Patients06	Patients07	Patients08	Patients09	Patients10	Patients11	Patients12	Patients13	Patients14	Patients15	Patients16	Patients17	Patients18	Patients19	Patients20
Pathway11	22378.82553	6444.19348	3804.880709	31548.70902	21953.52853	15932.42419	13697.20435	24342.99088	25555.97302	14421.02952	11146.34007	25281.34712	48740.86108	29403.08983	24374.8922	5429.717528	5184.586432	10299.6982	23673.41071	24224.2922	16762.4329	20746.21512	28362.36306	16304.73235	38886.84619	44034.2617	19913.19144	10197.5941	20620.20425	15855.55772	32764.70698	11651.13649	16666.59489	33123.31004	31235.48388	36385.01819	34141.77374	7449.560914	37814.84628	5209.090144
Pathway12	32002.70727	14814.40415	9344.172237	42425.327	36933.60932	20207.35157	28858.06435	55597.96974	65780.79307	47174.00279	23445.58702	42222.19991	238186.9141	45593.32837	38896.39059	15206.85526	9821.023356	19874.83279	43058.80184	22296.29059	23595.60607	115062.697	53756.80835	31930.99418	84081.56511	299364.5165	57641.90115	41037.53673	37909.07864	26510.41365	82919.82792	11096.0644	39090.26436	41378.86856	44717.98578	71568.68861	35614.88199	19134.98572	54053.03432	7713.343594
Pathway13	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Pathway14	4541.127955	703.9780831	518.1145623	8126.308035	3593.638103	2473.383217	3005.607129	5057.829649	3108.21772	1517.835351	3337.670652	6323.070905	1745.904066	4006.5916	4220.728851	634.9101056	881.5714407	1757.903607	4695.836401	4220.22225	4319.0977	3093.357098	3400.600199	3013.153126	11869.53779	5772.779537	2730.165455	584.3388353	3874.212842	4082.901152	1335.958426	3658.86405	2701.823757	7386.920509	5669.381908	6144.165846	8115.834838	774.9080377	6593.236964	1290.921485
Pathway15	1790.761491	803.6725509	382.7960985	2178.387085	2125.074987	1775.429047	1596.106678	1480.825886	1832.612833	1439.471673	1685.99359	2232.190054	3728.179141	1910.999722	2214.332584	1008.155513	684.9887754	1737.04123	1520.71257	2204.222524	3168.431261	2464.662971	3438.881109	1991.662691	2570.998235	6108.612065	1850.367208	457.8379746	2247.828111	1959.939302	2601.127233	547.9874618	1328.128341	1053.493056	1110.643501	1273.571872	1738.874814	2240.257648	1740.009582	340.0825682
Pathway16	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Pathway17	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.775193798	0	0	0	0	0	0	0	0	0
Pathway18	582.422609	635.3598525	225.8699315	1057.607463	588.045698	531.9210918	710.7976534	1552.393969	957.9954416	639.9196758	237.7561134	793.1478431	1239.963928	1491.546489	593.2672785	549.8440258	351.1234959	1124.140298	1272.472644	592.2622225	1824.112912	388.100677	3981.91368	1313.912642	1509.336147	1944.304665	1969.581195	1876.476483	3446.234777	1199.645236	3305.787429	273.1961483	806.6269283	1633.661398	2002.990807	2403.001085	1510.965246	1186.185318	1335.401879	208.8699697
Pathway19	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1.289374991	0	0	0	0	0	0	0	0	0
Pathway20	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Pathway21	0	25.17868473	11.50627615	0	0	0	2.169678924	0	202.6264968	265.3122062	2.713757209	47.67248312	44.84492446	0	16.87316502	54.25452539	0	29.18539224	88.43683364	6.22206502	20.39748954	634.2429192	2.612538766	58.43633438	275.8323589	1547.658514	232.1567071	53.82191682	31.41274966	21.44351464	2231.339479	0	74.96096426	46.01255657	63.82519978	76.9454788	551.5419868	7.800544427	25.43481286	0
Pathway22	28724.89745	10519.48265	5695.765705	44930.53325	25161.02437	23966.16878	24173.23108	36978.68756	33835.56104	17558.25255	18648.58963	38112.67911	45308.92515	38172.69209	27845.3736	9095.489008	9465.369607	16452.18106	34457.25865	22245.2226	32803.81756	27795.0307	38492.52656	18702.91795	49358.0804	62771.13924	27156.45915	29675.98681	25041.0452	21901.29619	49871.23016	24786.50564	19813.74769	43769.66985	42783.97964	49719.29686	46144.85541	12318.87781	43684.31798	6463.280459
Pathway23	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	88.53414678	0	0	0	1.073256315	0	0	3.037875706	0	2.938232606	0	0	0	19.65448914	0	0	0
Pathway24	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1.289374991	0	0	0	0	0	0	0	0	0
Pathway25	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.677497298	0	0	0	0	0	0	0	0	0
Pathway26	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Pathway27	660.954095	660.5914799	1137.819019	696.358062	944.8366488	310.7544342	549.1074147	798.3234753	740.3787028	1017.316179	1195.678091	687.5290143	2659.277073	1264.246074	842.0391986	442.5834844	2301.899845	787.0066145	653.4192634	242.0290926	462.4487318	679.8238834	1825.287083	715.6345971	280.9483083	3078.422157	1412.390021	624.978809	266.6055528	545.770913	1864.737762	277.7533464	702.9316027	538.8320437	996.8277282	1265.443906	390.5399861	164.4708655	572.2968278	739.9067632
Pathway28	1314.928283	330.8900368	316.0002425	1903.801489	1690.960817	169.7917592	1148.430818	1935.934755	4967.992379	3588.713094	1189.23577	1523.597866	3715.157811	973.5368666	1103.245892	644.1377325	185.6752707	940.2671049	1508.6791	2.245292	952.0188719	9582.552416	1042.821017	1795.410556	5093.713376	41466.32899	6579.519238	1765.630009	1111.245242	2749.503758	5015.223048	908.2277148	3914.299534	2041.531351	1971.906475	9871.301471	1164.406262	1500.265021	7849.930219	272.0178048
Pathway29	52306.00728	17024.80019	11088.49857	84356.4664	46805.30287	42534.12136	44289.50773	60412.54968	53114.27394	29848.48349	36143.72464	75085.83503	78523.18946	66155.34742	50682.715	12709.99832	16518.03276	26247.16261	56818.53469	50622.205	51130.93997	34320.68108	54466.23964	33730.64163	75929.14277	77651.24673	44147.80357	26440.87505	37438.9515	35704.93931	70296.749	41469.87846	35375.23073	72961.2785	75242.99989	84089.82934	76412.17725	14784.2065	78622.68743	15025.53786
Pathway30	32167.65933	11036.89564	6508.924539	51675.60154	29165.85571	22937.07415	23836.98639	45076.57611	39724.18785	20833.33627	18113.0059	37779.05211	94161.17757	47179.52508	31961.68318	10438.7598	9240.12773	20601.54459	36458.94691	20960.62202	30570.99952	33702.67049	46791.84556	20771.82985	53778.73201	81050.75013	32046.3034	14976.01987	32580.97514	22841.01892	41183.06049	25173.0775	24229.87321	44265.02367	48244.69577	53589.18169	47303.96905	10128.58873	39463.47064	6927.399126
Pathway31	40769.54727	14740.71888	8197.520783	68752.98337	39272.03544	33970.30478	38854.13936	53202.16011	42209.19402	25709.89198	28831.23495	61983.73055	61364.9349	52140.30071	38073.7415	11061.64858	11946.50397	22938.11595	47073.55879	22022.2405	43828.71993	21971.81982	44911.84918	27186.24328	59743.03671	42235.26577	33271.48976	22358.69877	29712.29899	28341.99097	67231.56389	35693.87584	30608.31453	56688.81183	60267.82493	66151.46844	60797.40651	12582.66898	60858.20338	10230.05575
Pathway32	446.4880016	80.85938382	147.9693573	1043.022742	163.0624042	50.1173034	315.4557215	1411.762519	2013.941947	766.9111922	637.2907586	319.6103018	4687.138504	353.2560313	207.5176293	249.5169958	109.6358078	102.3466749	400.6419761	202.5026292	282.8712306	6218.071231	1329.942705	642.4613027	2530.116915	10997.97475	1829.268053	463.2027327	294.7928567	724.1307494	1204.810407	282.3858241	1334.393606	654.8379915	355.0008959	2336.915497	431.3128848	468.2442674	1726.153001	8.684416624
Pathway33	123.3916394	11.98129384	190.7007542	270.3683038	51.28939642	20.80317085	100.9067138	1990.595364	384.7446831	187.5469337	193.1750655	82.99563558	2147.543838	110.0054437	40.10865651	244.7681868	15.55267779	47.24107767	157.0290103	40.0026565	21.71879679	101.4648453	220.0505417	165.5972165	168.1748724	821.49298	153.4715604	83.11133819	97.58885761	134.1069026	236.6342676	71.2638024	127.8820273	30.86304673	43.66204865	459.8108768	43.14688507	96.80171246	419.8486732	6.549846374
Pathway34	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.611877693	0	0	0	0	0	0	0	0	0
Pathway35	335.3066799	179.4348826	218.7740065	593.8491351	9.097128838	168.8111569	258.6348526	897.3218173	457.9086171	212.6951419	107.8735767	441.0481165	235.6275997	724.4676894	185.3546405	149.1975017	149.8037158	620.1507382	679.2251654	25.2546405	563.9995585	2530.603547	1455.689724	448.7827921	785.9198371	3451.49969	1524.771892	354.5245024	315.975614	418.579641	560.1575648	172.2803226	1383.584133	999.3391501	1743.676559	2032.20944	666.6668889	242.039304	525.9260644	96.01858386
Pathway36	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Pathway37	10740.91799	2734.342781	1548.219366	13824.28884	8889.497323	8210.236795	5365.754688	11364.48817	9581.957092	4130.512915	5305.129704	11514.96533	12675.36108	13607.73789	11123.17569	2263.26767	2789.517212	4468.249485	10090.48928	22.02569	7383.770094	4627.874557	9094.707432	4987.207469	14506.21418	8721.127908	6108.474939	5594.080526	8014.934128	6393.771104	12298.68693	8702.121718	4315.363037	14183.79261	13635.07771	13515.10956	15307.5316	2126.80423	14273.18711	2063.635858
Pathway38	1209.589748	348.4255935	194.5827187	2113.924255	1039.583449	898.31011	391.6678445	1221.94923	1006.000262	34.86258802	521.4818369	1109.077794	555.3375465	2495.143589	1427.980658	148.1160351	216.5182995	107.5200037	1190.506169	422.920652	576.7616593	386.5380254	36.37322088	123.1249709	245.6549481	118.969644	1156.712283	0	113.8900022	36.286971	8335.260624	404.4757726	323.5862121	748.5021718	2994.278111	2626.478398	895.1504951	18.27616178	2337.765199	66.21752482
Pathway39	10796.24057	6788.049305	4575.272858	11821.66092	10520.25222	11245.73136	8516.823939	8958.750932	14960.4392	10167.26466	10316.80823	11092.51027	12600.25138	15340.47874	9953.068354	6995.379435	9483.611379	11426.73715	7647.313881	9952.062254	11027.07751	25259.08046	13099.54872	9670.66078	12526.61615	40665.72221	20113.02127	5440.964929	5342.769867	8146.444072	10556.73882	6877.883033	8391.850842	17833.47491	12280.1854	16329.06145	12083.80627	2651.448185	10141.14737	1843.625509
Pathway40	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	12.60504202	0	0	0	0	0	0	0	0	0	0	0	0	0	2.032332238	0	0	0	0	0	0	0	0	0
Pathway41	765.9770283	101.6390408	49.67906928	1452.245554	503.365734	460.0933086	274.4945372	265.4308779	555.1262493	324.6010251	297.795931	823.2605873	4096.126279	1590.384575	942.4071602	169.2354376	104.8735662	370.7892988	402.8298641	942.4020602	515.8388085	546.4275987	1399.427156	609.716001	403.8094674	2398.165099	1014.868658	386.3003684	311.1256087	358.3628178	990.5184726	285.9044702	432.3314899	715.2544749	1173.341223	1362.350708	547.9129543	116.2529141	1045.22675	157.7689889
Pathway42	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Pathway43	5.915370332	93.81655546	14.80111008	187.150054	40.82957638	140.4024122	42.02329774	108.0499575	128.2531009	0	18.91099905	57.36892132	136.3339379	84.06869736	0	118.6449354	22.06559025	295.5400009	148.2352718	0	117.1231952	43.41948661	854.4599065	189.6192	39.61598689	0	113.7527586	13.84906206	215.646194	195.9659153	0	24.95483063	38.5611899	58.1061553	50.85627361	631.2838143	16.49175412	43.68827072	0	0
Pathway44	36.99343496	14.77162906	7.329842932	64.37560611	0	0	39.40128673	14.25279859	159.6645861	91.26215052	52.42053637	14.96166745	25.32401875	18.16329424	30.12746558	12.48056237	1.822760596	38.30187984	71.0477922	20.02246552	15.78650255	1174.450543	2.548651477	53.88824879	513.6233572	522.6781866	225.2973782	25.86746741	48.02232802	126.5342834	2676.066393	34.88372093	272.3014326	76.81962837	30.03285084	623.0125862	176.4925013	53.93489477	376.3970451	0
Pathway45	0	5.988023952	106.2759763	7.204610951	4.322766571	63.21995783	51.05519285	0	231.8683455	306.5538496	74.45201213	31.05277253	29.66498822	18.54998861	29.05049851	23.72776062	120.4788395	69.6683556	118.1413003	29.0504925	41.70149694	1750.884972	65.23868959	86.63529261	514.3471248	2461.399669	489.3503261	261.6091826	19.23215127	80.30180009	53.60823069	9.852216749	440.0037879	245.4721573	74.34218878	333.9694679	46.85751217	66.58891728	205.816787	2.856459072
Pathway46	11500.94886	2684.294815	1900.786505	16898.6665	10461.59705	9840.124135	8817.402951	12078.76523	12766.2914	7519.251379	5898.805026	14072.21116	23587.72131	13466.61455	12952.69832	2396.450576	2136.316206	4939.434759	9970.437568	2952.69222	8283.90301	16841.83819	16752.45931	8866.581134	26617.22409	48782.99593	11436.3232	6601.280839	11566.62945	8368.613893	12111.13411	5348.571898	6384.054849	13397.15841	12045.93112	15272.90562	14514.71489	5057.839964	15962.87728	2566.839345
Pathway47	22572.76518	6361.596433	3846.837788	33782.42027	18740.81066	17744.12339	15978.73328	25088.5689	22362.12448	11402.60823	14655.99085	28234.28444	35320.38028	27610.57552	24518.18164	5293.162885	5381.409649	9804.263363	22354.27236	24502.02064	19052.61139	11561.36072	23176.23485	12047.94096	37323.57831	38874.38209	17888.91476	10515.66007	16747.03082	14290.68012	31497.93652	16288.87893	13959.15094	30283.40698	29106.59908	33495.18505	34266.70432	4980.473939	33259.5155	4481.94877
Pathway48	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Pathway49	2407.298306	1308.9596	2487.479427	3836.541247	2320.536741	1935.120891	2622.135275	3637.860211	10271.34785	6087.047407	2764.07574	3291.899503	6408.663958	3880.50775	2558.412531	1137.594372	3812.901906	1985.000487	3892.630973	2552.40252	2318.302642	10263.09697	6469.661405	2692.107997	6088.840414	40232.28184	5970.52818	3103.269479	3429.401925	2059.15631	6584.294367	780.0848364	3623.302522	4039.506249	5904.050455	6828.540727	2876.330708	1471.124466	3382.320443	3034.747267
Pathway50	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4.761904762	0	0	0
Pathway51	0	7.752653796	7.241335327	0	175.101941	28.63288739	52.20025327	328.0737385	558.4681976	1102.142338	5.095541401	83.88239944	7566.647184	305.5654075	129.328888	44.03240093	0	0	255.3364646	29.222222	32.34701091	0	280.5037692	474.8460185	55.63070801	705.129593	34.36552828	164.3348738	10.95360825	81.53266419	167.6063072	11.87083733	8.985009363	52.41441151	72.65846681	0	0	40.86207452	27.96166841	66.4901977
Pathway52	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Pathway53	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Pathway54	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Pathway55	31.61250514	78.50355238	25.8235457	147.9703615	77.98678935	91.8625902	206.3482701	231.6813338	0	155.4400814	36.04103143	278.4155299	460.8037004	137.4339214	90.64883199	42.10139141	18.09954751	80.12730528	107.813386	90.64222099	186.36142	0	264.3975831	271.6436257	931.490005	349.5657316	8.14479638	668.1623855	1471.288238	31.3601231	424.9136886	0	45.5983151	0	86.52850521	0	369.0561898	175.8724784	15.18950467	109.8647293
Pathway56	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Pathway57	88.23529412	17.35268873	42.76517678	242.613463	12.93103448	23.62204724	0	16.90377523	361.3900013	190.2396054	22.72727273	209.8867772	86.23672727	402.1527774	71.67380252	29.10805764	0	18.1543532	96.16364028	20.62220252	113.0887397	1513.570116	18.18181818	23.11503662	450	2968.841081	425.1315913	246.6500164	33.31502335	59.09090909	0	50.81237957	499.6303441	226.8720761	505.1963589	702.8564907	172.123128	46.51468514	211.2161915	46.34042428
Pathway58	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Pathway59	1481.440362	1209.618075	1774.699721	1684.172717	4273.115532	1468.578397	4313.064451	13303.54042	9637.667429	3708.07169	1816.612254	2403.423305	69686.63244	5150.105038	3026.562512	1013.257215	849.8294995	1471.229417	2140.589384	2026.562502	938.8187993	13363.57371	3569.395521	2344.127594	6562.147688	21864.6851	4240.340128	1736.479832	962.7543556	1609.988599	991.3410373	508.2709489	2641.209061	3155.533163	2686.444059	6151.556821	855.5576983	1305.199566	3738.268021	509.6476589
Pathway60	0	0	1.836117652	0	0	0	1.215460785	1.588290494	49.69688376	6.431688397	4.945229222	1.392847446	5.337225473	1.549333633	1.073760275	0	0	0	0	0.022260225	3.207716467	56.80630089	2.523377946	4.719207173	13.05752225	629.0946277	46.55825307	13.98941567	2.082292433	5.158793494	0	0	9.455670262	21.37236613	7.444363486	76.30216204	5.013451762	8.434217641	19.32010241	0
Pathway61	2363.90974	2920.098658	6440.043389	3363.928088	12686.89834	2530.312279	10828.12119	50438.00432	22542.88228	11272.79515	5172.444405	5589.074386	145367.8424	9940.730443	6257.676466	4464.921372	1538.444368	5082.777224	4815.921306	6252.626466	2306.240006	46011.69453	8137.753556	4603.714646	20088.07278	77695.30814	15355.58687	6063.746741	2541.377582	5745.987814	6039.897006	1307.750788	9926.471717	6651.281023	6178.575649	18678.94117	2191.91077	3441.772378	12624.49357	1864.392835
Pathway62	10498.98894	4526.491229	3234.710966	20615.36407	12687.20592	11502.9306	10837.63968	16220.05109	14564.53754	14722.72502	8334.252589	18344.51922	17148.0915	17897.50902	13339.16641	4994.226691	3766.606639	9690.282032	13258.87716	2229.0664	12686.47852	19866.36275	21411.10327	9704.269708	19960.53632	58705.69078	16522.97912	14398.77906	12153.24564	10325.30118	30723.24575	7898.942519	12582.297	13180.89611	17387.10096	18987.72383	16239.36547	6763.824226	14696.22674	2776.569362
Pathway63	3610.638638	159.5598625	215.416673	4575.966052	2393.450497	2370.36028	1446.617841	1646.182512	2140.032778	363.9822079	1087.351612	2646.472585	3442.533287	4222.532658	3468.944825	501.3337867	522.3071548	779.7997798	1663.00142	2462.944225	1097.233624	1809.415402	2822.677711	1474.259318	5794.820521	2363.29403	1538.521938	148.3061361	1268.770086	1211.807344	1336.508223	791.4651109	601.3309033	3357.49618	2554.078505	3188.623342	2758.472406	265.0611246	3500.978266	412.3387646
Pathway64	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Pathway65	0	0	21.05788696	0	0	0	0	0	0	0	0	0	0	0	0	0	11.73948132	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Pathway66	7430.810128	2145.29823	1556.127191	9902.472584	6510.562526	5853.450719	4328.45603	12620.71203	9161.231636	5703.722115	4038.341449	7630.947391	17717.12692	9372.94683	7874.401834	2531.546948	1570.580587	5077.139843	8855.681624	2224.400224	7346.057438	9103.369235	14864.34339	7157.988968	16051.17271	34682.75419	10161.69356	5600.700101	7111.493135	6400.616131	9886.657754	5511.873491	7507.872518	12946.18622	12292.93643	15145.06569	11492.0658	3846.748521	11714.08908	1972.870312
Pathway67	1080.261542	460.0917739	361.846033	1969.316763	1269.975128	548.5759507	933.0751613	1301.197763	2326.440814	4186.965587	750.3174198	2784.500887	2627.453321	2565.506059	789.5541365	561.0085771	486.5148979	765.5755467	2047.738526	229.5540265	1455.301333	9084.887299	3732.936269	2020.542865	4606.56698	22965.85388	4027.093023	3789.132295	1817.650633	1502.65129	3320.811688	226.799438	2781.349862	1383.470288	2145.302177	3831.106611	1742.538567	1253.016648	2197.42087	366.7467943
Pathway68	0	0	11.86649474	2.074842259	0	0	9.185251124	0	105.7404269	69.07430689	31.48425787	6.547216424	13.87275112	5.843082617	33.00736151	0	0	0	32.68600075	22.0022605	35.96792402	1108.817964	20.88195513	32.67663968	376.8178411	1573.316757	219.2075055	233.6442858	7.853403141	68.66800975	8.172533319	0	158.4783986	121.7726506	32.18000375	100.5564947	40.185426	33.12024629	37.18924166	0
Pathway69	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.677497298	0	0	0	0	0	0	0	0	0
Pathway70	3950.844872	1016.745964	1847.811808	4525.478296	4708.633015	2776.660797	3759.251826	13483.08918	11052.80087	10467.15686	2671.179771	6048.7046	25241.08291	5696.348956	4153.892047	1812.354813	1018.042562	2421.287111	4572.929067	4052.292042	2064.979747	30434.28294	11766.06055	4321.54138	14180.16413	65985.78112	12027.02455	5365.710507	2997.458321	3255.157124	7532.530215	1015.729698	7521.338771	5511.204478	6036.477383	8462.563233	3534.001964	1964.936327	4951.876279	1139.973471
Pathway71	2235.317053	528.8479225	853.8964928	3044.11559	4109.282199	1552.305646	2453.111481	6993.204995	5525.718434	3950.69611	1703.430938	3937.429851	23339.52808	3396.952265	3294.760708	743.0337311	368.9628103	1207.691393	2416.686942	2294.260202	859.1691686	7703.833506	6203.696734	2419.898045	6161.004263	20368.24227	4090.688174	2159.619743	2250.226168	1875.476886	1280.677828	659.0209556	1969.922635	2151.298716	2212.094766	3764.164649	2759.948996	907.1399238	4648.312064	712.839063
Pathway72	5505.564371	926.0602952	1185.399637	7932.233431	5303.58891	3993.716367	3732.59882	9130.575452	8726.798226	7342.910833	3114.932624	7029.520009	21335.58159	7341.137935	7713.579533	1496.841436	887.6394116	2211.033807	5159.336029	2202.529522	2734.100245	14834.79231	8216.157097	4661.435565	12341.09317	36870.59819	8186.736143	4197.130553	5674.72605	4275.068891	4694.092184	1780.14131	5958.498967	5602.243612	6964.151193	9529.660143	6571.460028	1757.272566	8786.358682	1053.464361
Pathway73	4054.662474	530.448968	388.7288662	5300.55405	2970.002365	2879.12971	1697.580003	3316.842479	3152.796776	1664.598898	2213.89765	3713.629527	8508.998309	3894.18548	4790.355905	456.463974	597.3058558	544.4296449	2206.764046	4290.255905	550.2499092	2451.679157	1033.085761	1598.163911	3602.784184	3118.968122	1132.729458	419.7846101	737.6927312	912.5810738	4164.095321	811.6354272	212.9077604	2002.821626	1947.751701	1992.58934	3251.544043	275.2806934	4885.290317	451.5905696
