Sample,grazing,depth,2-Ethyl-2-Hydroxybutyric acid,4-Pyridoxic acid,"5-Androstane-3,17-dione",1H-Indole-3-Acetic Acid,4-Pyridoxate,Azelaic acid,4-Oxopentanoate,Prostaglandin E2,Homovanillic acid,20-Carboxy-Leukotriene B4,Deoxycholic acid,Isoleucine,Indolelactic acid,Leu-Pro,Thymine,p-Acetaminobenzaldehyde,Mandelonitrile,Hexadecanamide,Indole-3-carboxylic acid,7-Ketodeoxycholic acid,L-Serine,choline chloride,2-Quinolinecarboxylic acid,Palmitoleic acid,Glutamine,Opthalmic acid,D-Methionine,D(-)-Arginine,Lysine,Dl-Homoserine,"N,N-Dimethylglycine",Glu-Leu,N-Methylalanine,Gamma-Caprolactone,1-Linoleoyl-Rac-Glycerol,o-Toluidine,Diisooctyl phthalate,5-Hydroxyindole-3-acetic acid,Tetrahydro-11-deoxycortisol
MGA3,MG,A,4436249.261,2780906.266,1378364.21,4821404.471,151916510.8,13190159.19,7793421.298,4347843.815,605869.7097,2803736.601,955510464,14714819.63,1693772.731,17496298.93,8699428.297,31926439.75,16952039.06,455317481.9,81813769.54,6804154.062,14598893.13,4167710.363,11183391.33,2819925.932,1980502.41,9246273.563,143577162.4,30086622.75,58250347.47,58619521.96,38930116.82,5770637.358,2723775.7,4997435.545,55050433.47,5043091.321,23355742.34,260821777.7,10060900.62
MGB1,MG,B,4060105.078,3154916.559,1108516.416,6283254.678,172072263.7,11329074.06,9044735.809,4055259.407,998904.0974,4007857.082,1218481839,8812038.542,60645.48215,16633849.69,4168046.028,667231.4007,38300869.79,482693194.8,184785106.1,11493490.51,10539735.04,2966573.279,1964512.001,3449318.736,1093169.678,8714164.242,169806487.4,54966385.06,81282337.03,59055034.43,44568613.62,8119258.375,2636931.03,3235992.481,25989690.16,6825216.914,51998265.8,122818108.9,3335170.94
MGB2,MG,B,3992123.521,4238137.323,2301996.556,8682164.014,190053540.5,9201789.543,8246061.498,4432871.281,3654386.699,6753663.572,733395767,5526863.641,2794027.955,25569741.16,5085532.362,21944011.12,11141523.43,484087501.8,107704316.9,9642054.586,21698850.88,4291642.299,18829111.27,1906054.909,3118823.758,5424660.252,112174421.6,43232068.69,51592844,44163199.78,41022383.85,6490888.341,1589083.632,9802392.078,82024979.85,2227280.179,13132283.96,270726428.2,18764224.7
MGB3,MG,B,6110339.169,5220755.173,2643997.844,12571472.56,247647955.2,16332048.77,16352856.86,5244486.807,1560992.279,5434985.99,1520319950,9508155.431,292055.7004,29690500.49,6503592.944,33490984.79,31122902.4,901653337.9,143841341.7,8551913.484,27791558.55,4876516.255,20543895.06,6929787.15,1274348.523,12563311.85,252989438.1,81165587.32,93781289.88,78721051.25,50482580.38,12096970.12,3723037.519,11924321.97,37864630.88,5411513.733,16149454.19,399270981,4728483.863
MGC1,MG,C,6098352.819,4448925.474,1610176.611,8722015.154,234098716.8,16002101.51,10996272.55,5475804.944,1390925.161,8665447.026,1592362478,22888673.22,1175899.391,105332144.2,5241004.662,12013021.97,22470716.88,793178214,256340402.9,13992470.17,34012536.09,5055905.198,6452562.591,4220935.14,1601669.636,8635278.269,612342184.5,414809739.6,391629381.8,147084849.3,99095078.7,19038864.48,9963401.31,8389950.485,45540541.88,9824078.049,52309308.45,141980772.9,4784471.072
MGC2,MG,C,3186794.994,3537570.452,403669.5404,1975530.668,185250876.3,13790294.51,12696324.51,4355676.995,756057.2234,6188110.47,2031937667,6233582.559,507455.7182,38952325.46,17079314.58,22697984.78,1375574.264,794874843.8,123406649,11648378.7,25584753.48,4459098.039,8245754.847,3428816.847,3784231.677,12517854.96,209800873.7,44104188.17,107450136,98466457.41,43232114.25,9094894.02,3138781.91,4935107.91,75799149.6,10791921.48,11323594.35,256486963.2,16950822.93
MGC3,MG,C,5611691.723,4406317.878,1586215.628,8392153.358,232659399.3,15545917.07,11249320.21,4763787.864,1348486.733,8523216.903,1191243764,8664342.644,2885705.198,109173531,11308785.28,10408556.91,28810235.93,573263736,301067428.4,11880528.98,40526943.11,8216451.087,16271552.31,3602703.246,2551979.454,8435420.477,457551835.8,255535742.4,249731212.1,115504177.9,101463707.6,12120729.85,6788213.429,7109292.228,73306560.72,8788149.177,37625814.26,395628695.7,15060291.44
HGA1,HG,A,4032037.802,3698478.474,3537522.039,4817609.901,196641290.9,16192764.08,17188700.22,6094300.802,2132494.944,5882135.078,1242353925,6600104.921,470855.333,38078026.82,6554958.993,27009157.7,24148473.12,655511798,68325081.59,6515210.307,20131317.24,4652111.945,4255262.208,3318791.544,1380931.422,11576518.61,185349107.3,43066052.21,61697552.12,58240845.66,40807607.55,8647082.537,2959869.522,4450619.037,79795317.56,11661442.86,31629192.11,174288236.4,15251182.74
HGA2,HG,A,6126983.234,3813754.259,1830146.759,6641011.674,210542645.6,17768711.61,11538552.6,6015997.238,973242.3882,5336817.386,454566120.5,6990990.731,5874340.155,283370537.6,9332075.06,2258320.692,19855334.37,604529533.5,199821560.3,1945536.54,60721336.91,6836195.274,24651053.3,2388372.039,3924159.855,5261708.412,631602447.9,528445122.9,494025578.7,163738687.5,128746381.9,25079057,9085644.986,3964993.814,72629176.02,14749657.22,11809926.52,377639338.7,11170813.29
HGA3,HG,A,6488149.448,3609046.052,1793725.161,6648048.098,199692509.4,18235325.55,9842063.073,6269950.34,972284.2991,7096804.604,971005463,11811614.51,263822.4789,45456185.39,11973096.04,12463870.53,28860728.76,773194942.2,252010775.9,12645683.1,33949237.83,4314155.61,3204487.383,6807794.562,1639017.378,10577487.54,694280417.1,190249036.1,252118324.8,149525873.9,124966299,22387220.13,15771860.19,3695469.749,36871951.83,11788926.27,33909159.8,135296209.9,9807480.539
HGB1,HG,B,2782725.861,1063631.669,1410109.503,6032382.3,113571960.3,7116649.005,10404780.9,1843909.859,14446529.76,1959331.595,286738391.4,6444118.533,18279895.92,48570056.04,10573211.92,1020885.632,1854160.262,521889747.3,198904990.1,3814480.944,35349424.02,7549943.072,26468265.02,1756795.791,14306303.78,2854640.148,135169078.4,104986664.4,73914778.13,73017855.17,57763391.57,6534172.697,2035675.178,2479995.714,73385783.3,7715282.585,557793.5789,313001810.1,13050577.08
HGB2,HG,B,3408609.89,2789212.583,1337359.844,6150448.856,162499448.6,10936737.24,10527671.96,4076898.938,17085490.91,6451076.001,1236486108,4863905.162,6123721.946,46369802.82,12007915.42,2583872.396,8148965.13,596386200.8,255563528.4,3741799.682,21755348.42,7088261.675,26195332.56,2045998.581,2276029.59,2763367.055,186363291.5,56586961.26,67808922.12,52050422.16,47993171.55,9119582.844,3005508.615,3064115.903,121316816.3,10985229.53,8326052.613,369086915,25869259.19
HGB3,HG,B,4701122.861,3315392.946,1400357.249,8149969.716,190699700.1,12602519.83,10030390.56,4297460.421,7057361.328,4564138.56,896572954.1,6356916.533,2818655.538,34618205.55,8823416.961,30698590.94,3182288.507,546960782.7,237199711.8,4771659.566,31817865.65,6143420.04,12053922.92,3244127.46,5932335.431,6769350.696,385724956.7,91200852.6,178683955.5,128459715.3,44974336.26,10490158.03,6716176.371,6430465.664,97645926.26,7028014.559,20435891.61,298129697.9,24259712.58
HGC1,HG,C,4317892.989,2852507.802,1558713.506,6285270.419,183481784.7,11228907.81,10856153.13,4714762.889,13442145.02,5427399.297,758064158.1,6490176.864,19822957.67,39318193.46,13027724.52,3566765.015,6688498.007,556833725.7,146235350.3,4357006.167,33837777.21,6959796.195,23677976.69,1559449.1,5687566.959,6207974.727,166280989.7,71119704.09,76565422.08,77972113.29,41065971.66,9636355.557,2546255.976,2964754.094,103699915.2,4071954.368,2250276.813,370358804.4,20143906.37
HGC2,HG,C,4848009.827,1955697.005,259583.8547,3123536.399,144640645.6,14072693.38,10347511.01,4709250.572,1527011.825,6890526.24,701583138.3,7547416.851,33102744.48,26557819.02,12060241.26,1220294.354,4201015.398,635639126,186773096.6,3637765.461,34821659.94,8953243.019,30649359.71,2670042.285,13394425.26,5595087.626,122921471.9,51457958.73,80398767.32,77421017.85,54439910.16,7829003.135,2128251.108,2698157.214,124350278.3,9928579.716,7945129.016,426184265,29380321.46
HGC3,HG,C,6050437.167,3641207.976,1701339.134,6475083.083,194395787.4,17666039.52,10367995.01,6057543.737,760528.6614,2949307.676,337441501.4,11983756.97,841623.8742,85424403.9,25230776.55,695104.6349,2904416.087,547629416.4,290055501.3,5757315.552,40246368.84,7253223.789,47987636.31,3083131.701,1806873.492,8642792.858,601169296.4,278487321.2,307400283,68057041.71,131864591.8,35163763.41,9096960.609,11505712.43,83352193.23,8742878.49,23203425.47,534784148.7,10704119.76
