Sample,grazing,depth,metabolite1,metabolite2,metabolite3,metabolite4,metabolite5,metabolite6,metabolite7,metabolite8,metabolite9,metabolite10,metabolite11,metabolite12,metabolite13,metabolite14,metabolite15,metabolite16,metabolite17,metabolite18,metabolite19,metabolite20,metabolite21,metabolite22,metabolite23,metabolite24,metabolite25,metabolite26,metabolite27,metabolite28,metabolite29,metabolite30,metabolite31,metabolite32,metabolite33,metabolite34,metabolite35,metabolite36,metabolite37,metabolite38,metabolite39
MCA2,MC,A,648828.2588,4010664.825,7692368.403,11845807.74,140361763.7,4427341.116,7447208.861,251759559.1,7873284.344,9833104.814,48419450.68,2643329.209,6057096.657,16719371.33,85830921.29,109159125,1220097.839,329350385.8,352296748.6,421068298.6,3507805.608,2616106.57,1592248.026,16434035.53,4557463.516,40480891.27,1297024.36,2542502.839,133214373.5,403019689,13236889.58,1505547.128,6221383.373,188913691.7,3916226.77,4660660.487,303044080.3,3557878.257,4084655.489
MCA3,MC,A,648189.5327,4179966.893,6561375.382,12156883.7,133128339.6,4432032.065,6538320.359,90197473.25,22606106.53,7859284.181,24581301.22,2463646.499,10514573.46,14924813.42,83310866.02,99683915.95,1195816.774,168078883.2,126832690.7,462853611.4,7051658.361,1092678.252,4538529.708,2136324.922,2876103.74,22632825.22,8430455.401,2406030.701,168007183.9,515463294.8,19240485.84,8309247.021,7982064.025,30304123.59,175881.6526,7874409.67,647336975.3,4731203.069,4325432.965
MCB1,MC,B,9631019.837,1229273.239,6936520.603,4744432.67,75714640.22,4021588.2,8700384.719,208667873.4,371862.3859,5143521.723,48923855.53,1653330.476,1357116.785,4356115.131,38508927.71,48678570.11,940073.0022,49276518.75,69991109.61,90112718.96,1903093.432,9537535.856,1171197.194,17645510.01,5033295.381,23566282.68,2542987.296,709087.7792,132603326.7,347926498.2,1236106.841,680590.4212,7048807.944,32380037.36,12186597.28,4296079.022,191158927.6,1306221.063,1855150.574
MCB2,MC,B,11390327.27,2717932.625,7018447.972,7291158.158,108332965.7,4100299.237,17246172.79,246057943.3,5550701.742,7323486.35,80877877.56,2042743.935,2003672.41,6079721.896,31995447.7,34700281.44,891573.2295,45205948.08,37724640.84,124242194.3,1842244.703,1517353.06,1363999.054,17463555.04,4725507.783,14503565.61,2494533.121,1859475.055,170375685.6,397590800.5,5432643.42,1722581.597,8005276.949,30913201.88,4082481.297,3242603.441,824324071.8,4300717.334,2272406.593
MCB3,MC,B,4704907.552,2864973.614,6686927.042,8401679.886,127133133.4,5433313.144,16173141.72,198753131.9,13623927.74,4685343.039,65097284.17,4286977.109,4477450.914,6993438.684,29982890.84,85639810.22,933571.4993,119122637,60800568.4,257149971.1,4512900.464,3954890.287,2162751.64,8035948.611,4095613.36,21211910.43,3181106.377,2210261.964,158133141.2,364640521.8,2121525.671,20465727.29,5882277.974,23078803.7,1879103.692,4237944.355,597715302.7,3042759.04,3134081.907
MCC1,MC,C,8961430.01,3143175.259,7237435.42,7485938.542,122321189.8,4190180.279,13429270.91,246905869.6,1500184.542,2714636.245,69133276.81,1976502.729,1697503.984,6424237.038,27377314.44,51981408.86,1039142.337,51043614.72,47413136.06,110853993.1,4138649.818,3791711.306,1039632.733,15785317.79,4639864.13,22558518.14,2904670.778,1901671.868,97490233.52,371222483.8,4458998.671,2377843.343,8685149.681,26212128.97,13215305.11,4326784.576,505376105.4,3618266.198,2878595.326
MCC2,MC,C,1018007.883,3139500.381,6898340.674,9381795.586,96427097.04,2082357.599,19586880.97,284122843.3,5296752.677,6619053.144,82900185.56,1798771.476,1418834.072,5219335.423,36293273.44,51614011.9,173055.9031,53599178.21,34305305.82,81947647.91,3730058.417,8929616.84,1780028.19,20432906.47,5968828.679,23214439.96,2425176.974,1303798.003,124515397.7,423759417.3,2800676.932,813529.5693,8040160.839,17705212.68,22068496.32,5031611.234,467722092.2,4593684.16,3232006.551
MCC3,MC,C,507019.1076,4038362.491,6911996.674,11777359.68,129597191.6,4316722.055,7136079.84,356522765.8,15468950.31,5828585.66,55568128.82,7670474.955,6064640.406,23442508.94,87909727.89,45371361.14,1134226.089,204933522,185658214.1,400779530.9,5761861.905,1204582.328,2055421.134,31991757.54,4835482.526,26830912.56,3838210.368,2427471.984,193370334.2,365086277.6,1936277.391,463403.0899,16820517.7,56949602.6,561082.5828,7989171.31,224961000.9,1966205.117,4033624.778
MGA1,MG,A,707794.2389,6090559.972,8145144.503,16571552.02,192581319.6,5230114.559,6943489.033,61142966.04,23689413.08,10528071.33,37180545.96,7121568.507,1197823.276,4769714.907,36516600.43,67497466.23,3163781.949,54465966.49,28220808.31,183461074.6,11716674.89,1310214.155,4743863.84,2531007.815,2473221.454,11997964.76,9763318.094,4403277.568,41414878.79,508262155.3,13396380.5,57358107.14,5719573.955,14694438.39,68544.95728,10173745.18,1359507076,6150353.341,4105277.283
MGA2,MG,A,1089581.945,4338527.882,8994086.339,12796574.43,139239342.3,4915248.517,12007484.85,234700206.5,12557679.73,4566864.785,67687824.86,5714977.434,2301422.186,5270419.622,36030688.89,42411303.32,1376396.918,66360363.51,50634530.19,143469630.5,8434944.505,684089.4987,3021853.529,11276738.57,4147384.467,13000388.08,5232956.848,2554602.259,63236916.91,391944047.3,15565253.89,34625732.66,4911463.411,17243334.57,946456.6505,9105273.458,850515916.9,5441883.299,4385784.803
MGA3,MG,A,605869.7097,4347843.815,7793421.298,13190159.19,151916510.8,4821404.471,10060900.62,260821777.7,23355742.34,5043091.321,55050433.47,4997435.545,2723775.7,5770637.358,38930116.82,58619521.96,1378364.21,58250347.47,30086622.75,143577162.4,9246273.563,1980502.41,2819925.932,11183391.33,4167710.363,14598893.13,6804154.062,2780906.266,81813769.54,455317481.9,16952039.06,31926439.75,8699428.297,17496298.93,1693772.731,14714819.63,955510464,2803736.601,4436249.261
MGB1,MG,B,998904.0974,4055259.407,9044735.809,11329074.06,172072263.7,6283254.678,3335170.94,122818108.9,51998265.8,6825216.914,25989690.16,3235992.481,2636931.03,8119258.375,44568613.62,59055034.43,1108516.416,81282337.03,54966385.06,169806487.4,8714164.242,1093169.678,3449318.736,1964512.001,2966573.279,10539735.04,11493490.51,3154916.559,184785106.1,482693194.8,38300869.79,667231.4007,4168046.028,16633849.69,60645.48215,8812038.542,1218481839,4007857.082,4060105.078
MGB2,MG,B,3654386.699,4432871.281,8246061.498,9201789.543,190053540.5,8682164.014,18764224.7,270726428.2,13132283.96,2227280.179,82024979.85,9802392.078,1589083.632,6490888.341,41022383.85,44163199.78,2301996.556,51592844,43232068.69,112174421.6,5424660.252,3118823.758,1906054.909,18829111.27,4291642.299,21698850.88,9642054.586,4238137.323,107704316.9,484087501.8,11141523.43,21944011.12,5085532.362,25569741.16,2794027.955,5526863.641,733395767,6753663.572,3992123.521
MGB3,MG,B,1560992.279,5244486.807,16352856.86,16332048.77,247647955.2,12571472.56,4728483.863,399270981,16149454.19,5411513.733,37864630.88,11924321.97,3723037.519,12096970.12,50482580.38,78721051.25,2643997.844,93781289.88,81165587.32,252989438.1,12563311.85,1274348.523,6929787.15,20543895.06,4876516.255,27791558.55,8551913.484,5220755.173,143841341.7,901653337.9,31122902.4,33490984.79,6503592.944,29690500.49,292055.7004,9508155.431,1520319950,5434985.99,6110339.169
MGC1,MG,C,1390925.161,5475804.944,10996272.55,16002101.51,234098716.8,8722015.154,4784471.072,141980772.9,52309308.45,9824078.049,45540541.88,8389950.485,9963401.31,19038864.48,99095078.7,147084849.3,1610176.611,391629381.8,414809739.6,612342184.5,8635278.269,1601669.636,4220935.14,6452562.591,5055905.198,34012536.09,13992470.17,4448925.474,256340402.9,793178214,22470716.88,12013021.97,5241004.662,105332144.2,1175899.391,22888673.22,1592362478,8665447.026,6098352.819
MGC2,MG,C,756057.2234,4355676.995,12696324.51,13790294.51,185250876.3,1975530.668,16950822.93,256486963.2,11323594.35,10791921.48,75799149.6,4935107.91,3138781.91,9094894.02,43232114.25,98466457.41,403669.5404,107450136,44104188.17,209800873.7,12517854.96,3784231.677,3428816.847,8245754.847,4459098.039,25584753.48,11648378.7,3537570.452,123406649,794874843.8,1375574.264,22697984.78,17079314.58,38952325.46,507455.7182,6233582.559,2031937667,6188110.47,3186794.994
MGC3,MG,C,1348486.733,4763787.864,11249320.21,15545917.07,232659399.3,8392153.358,15060291.44,395628695.7,37625814.26,8788149.177,73306560.72,7109292.228,6788213.429,12120729.85,101463707.6,115504177.9,1586215.628,249731212.1,255535742.4,457551835.8,8435420.477,2551979.454,3602703.246,16271552.31,8216451.087,40526943.11,11880528.98,4406317.878,301067428.4,573263736,28810235.93,10408556.91,11308785.28,109173531,2885705.198,8664342.644,1191243764,8523216.903,5611691.723
MHA1,MH,A,2132494.944,6094300.802,17188700.22,16192764.08,196641290.9,4817609.901,15251182.74,174288236.4,31629192.11,11661442.86,79795317.56,4450619.037,2959869.522,8647082.537,40807607.55,58240845.66,3537522.039,61697552.12,43066052.21,185349107.3,11576518.61,1380931.422,3318791.544,4255262.208,4652111.945,20131317.24,6515210.307,3698478.474,68325081.59,655511798,24148473.12,27009157.7,6554958.993,38078026.82,470855.333,6600104.921,1242353925,5882135.078,4032037.802
MHA2,MH,A,973242.3882,6015997.238,11538552.6,17768711.61,210542645.6,6641011.674,11170813.29,377639338.7,11809926.52,14749657.22,72629176.02,3964993.814,9085644.986,25079057,128746381.9,163738687.5,1830146.759,494025578.7,528445122.9,631602447.9,5261708.412,3924159.855,2388372.039,24651053.3,6836195.274,60721336.91,1945536.54,3813754.259,199821560.3,604529533.5,19855334.37,2258320.692,9332075.06,283370537.6,5874340.155,6990990.731,454566120.5,5336817.386,6126983.234
MHA3,MH,A,972284.2991,6269950.34,9842063.073,18235325.55,199692509.4,6648048.098,9807480.539,135296209.9,33909159.8,11788926.27,36871951.83,3695469.749,15771860.19,22387220.13,124966299,149525873.9,1793725.161,252118324.8,190249036.1,694280417.1,10577487.54,1639017.378,6807794.562,3204487.383,4314155.61,33949237.83,12645683.1,3609046.052,252010775.9,773194942.2,28860728.76,12463870.53,11973096.04,45456185.39,263822.4789,11811614.51,971005463,7096804.604,6488149.448
MHB1,MH,B,14446529.76,1843909.859,10404780.9,7116649.005,113571960.3,6032382.3,13050577.08,313001810.1,557793.5789,7715282.585,73385783.3,2479995.714,2035675.178,6534172.697,57763391.57,73017855.17,1410109.503,73914778.13,104986664.4,135169078.4,2854640.148,14306303.78,1756795.791,26468265.02,7549943.072,35349424.02,3814480.944,1063631.669,198904990.1,521889747.3,1854160.262,1020885.632,10573211.92,48570056.04,18279895.92,6444118.533,286738391.4,1959331.595,2782725.861
MHB2,MH,B,17085490.91,4076898.938,10527671.96,10936737.24,162499448.6,6150448.856,25869259.19,369086915,8326052.613,10985229.53,121316816.3,3064115.903,3005508.615,9119582.844,47993171.55,52050422.16,1337359.844,67808922.12,56586961.26,186363291.5,2763367.055,2276029.59,2045998.581,26195332.56,7088261.675,21755348.42,3741799.682,2789212.583,255563528.4,596386200.8,8148965.13,2583872.396,12007915.42,46369802.82,6123721.946,4863905.162,1236486108,6451076.001,3408609.89
MHB3,MH,B,7057361.328,4297460.421,10030390.56,12602519.83,190699700.1,8149969.716,24259712.58,298129697.9,20435891.61,7028014.559,97645926.26,6430465.664,6716176.371,10490158.03,44974336.26,128459715.3,1400357.249,178683955.5,91200852.6,385724956.7,6769350.696,5932335.431,3244127.46,12053922.92,6143420.04,31817865.65,4771659.566,3315392.946,237199711.8,546960782.7,3182288.507,30698590.94,8823416.961,34618205.55,2818655.538,6356916.533,896572954.1,4564138.56,4701122.861
MHC1,MH,C,13442145.02,4714762.889,10856153.13,11228907.81,183481784.7,6285270.419,20143906.37,370358804.4,2250276.813,4071954.368,103699915.2,2964754.094,2546255.976,9636355.557,41065971.66,77972113.29,1558713.506,76565422.08,71119704.09,166280989.7,6207974.727,5687566.959,1559449.1,23677976.69,6959796.195,33837777.21,4357006.167,2852507.802,146235350.3,556833725.7,6688498.007,3566765.015,13027724.52,39318193.46,19822957.67,6490176.864,758064158.1,5427399.297,4317892.989
MHC2,MH,C,1527011.825,4709250.572,10347511.01,14072693.38,144640645.6,3123536.399,29380321.46,426184265,7945129.016,9928579.716,124350278.3,2698157.214,2128251.108,7829003.135,54439910.16,77421017.85,259583.8547,80398767.32,51457958.73,122921471.9,5595087.626,13394425.26,2670042.285,30649359.71,8953243.019,34821659.94,3637765.461,1955697.005,186773096.6,635639126,4201015.398,1220294.354,12060241.26,26557819.02,33102744.48,7547416.851,701583138.3,6890526.24,4848009.827
MHC3,MH,C,760528.6614,6057543.737,10367995.01,17666039.52,194395787.4,6475083.083,10704119.76,534784148.7,23203425.47,8742878.49,83352193.23,11505712.43,9096960.609,35163763.41,131864591.8,68057041.71,1701339.134,307400283,278487321.2,601169296.4,8642792.858,1806873.492,3083131.701,47987636.31,7253223.789,40246368.84,5757315.552,3641207.976,290055501.3,547629416.4,2904416.087,695104.6349,25230776.55,85424403.9,841623.8742,11983756.97,337441501.4,2949307.676,6050437.167
