contig_id	type
IF_099::1696	ref
KeioHC_114::40313	ref
S_7G4::1427	ref
IF_047-2::123521	ref
KeioHC_15::34441	ref
IF_065::3600	ref
IF_092::7351	Novel
S_7G28::2233	ref
S_6G3::2978	ref
S_6G1::5054	ref
KWS_10549::139974	ref
S_7G34::181834	ref
IF_150::2015	ref
IF_173::58845	Novel
IF_026::7851	ref
KWS_10644::49880	ref
S_7G29::9019	Novel
KeioHC_3::14138	ref
IF_008::21147	Novel
IF_101::2667	ref
S_7G32::53117	Novel
KWS_10911::150681	ref
IF_130::283130	ref
KWS_10563::69936	Novel
IF_002-2re::42246	ref
KWS_10549::210612	ref
KeioHC_10::22832	ref
KWS_10547::18163	ref
KeioHC_5::9066	ref
IF_073wa::16583	Novel
IF_184::189426	ref
IF_064::23489	ref
IF_096::222343	ref
IF_079::20062	ref
KWS_10988::12445	ref
KeioHC_12::189388	Novel
KWS_10648::106127	ref
KWS_10555::206890	Novel
KWS_10641::21598	Novel
KWS_10993::12238	ref
IF_079::13241	ref
IF_038::149388	ref
S_7G21::12409	ref
IF_171::36840	Novel
IF_173::49398	ref
S_7G29::12792	ref
IF_115::2661	ref
KWS_10983::38532	ref
S_6G11::9946	ref
KWS_10558::13727	ref
S_7G39::19158	Novel
S_7G30::288237	ref
IF_045::24144	Novel
IF_167::902	ref
IF_069::264563	ref
IF_100::2784	ref
S_7G30::36074	ref
KWS_10998::27877	ref
IF_127::3596	ref
IF_137::17782	Novel
S_6G10::54370	ref
KWS_10539::1459	ref
IF_117::21488	ref
S_6G14::102469	ref
KWS_11000::101415	Novel
KWS_10476::148502	ref
IF_104::5032	ref
KeioHC_120::58214	ref
KWS_10463::214911	ref
IF_130::47763	ref
S_6G7::57087	ref
IF_008::4919	ref
IF_178::210252	ref
IF_132::1618	ref
IF_093::105652	ref
KWS_10477::86087	ref
IF_130::12085	ref
KeioHC_106::2015	Novel
KWS_10991::20934	ref
IF_148::221055	Novel
IF_008::281254	ref
S_7G7::166732	Novel
KWS_10911::40255	ref
S_7G44::112039	ref
KWS_10915::246368	Novel
KWS_10632::43010	ref
IF_165::39358	ref
S_6G7::288414	ref
KWS_10563::10051	ref
KWS_10636::8258	ref
S_7G14::105652	ref
IF_167::125452	Novel
IF_022::2015	ref
IF_072::5159	ref
IF_025::8760	ref
KWS_10655::7139	ref
IF_128::164550	ref
IF_131::157394	Novel
IF_164re::216024	Novel
IF_083::74216	ref
KWS_10984::30031	ref
KWS_10784::181200	ref
IF_102::2233	ref
KWS_11000::51489	ref
S_7G46::15474	ref
IF_028::56698	ref
IF_076::68097	ref
S_7G20::29785	ref
S_7G21::41852	ref
KWS_10643::4072	ref
S_7G10::48151	ref
KWS_10452::2661	ref
KWS_10638::18163	ref
IF_068::36870	ref
IF_057re::141941	ref
S_7G24::9063	ref
KWS_10904::18699	Novel
IF_072::78590	ref
KWS_10985::130067	ref
KeioHC_I2::90832	ref
KWS_10461::23522	Novel
KeioHC_113::160178	ref
KWS_10911::6636	ref
IF_129::3577	ref
IF_160::177420	ref
S_7G47::19700	ref
KWS_10905::633	ref
IF_159::26584	ref
IF_028::5199	ref
IF_108::999	ref
IF_145::35771	ref
S_7G45::67864	ref
IF_112::138489	Novel
KWS_10473::1696	ref
S_7G34::1955	ref
KeioHC_103::4072	ref
KWS_10999::1475	ref
KeioHC_113::6636	ref
S_7G20::209615	ref
KWS_10461::93234	ref
KeioHC_4::22885	ref
S_7G26::17997	ref
KWS_10661::88314	ref
IF_162::2667	ref
IF_019::32582	ref
IF_049::18909	ref
S_7G14::69861	ref
KWS_11008::219840	ref
S_7G51::9801	ref
KWS_10920::18163	ref
KWS_10661::31748	ref
IF_159::40288	Novel
IF_162::1095	ref
IF_081::63927	Novel
IF_166::5696	ref
KWS_10467::130451	ref
IF_169::20578	ref
KWS_11009::17005	ref
KeioHC_106::35825	ref
KWS_10636::80623	ref
IF_068-2::14911	ref
IF_183::21688	ref
IF_101::76071	ref
KWS_10567::52272	ref
KWS_10983::2630	ref
IF_013::164075	Novel
IF_132::2015	ref
KWS_10549::125231	Novel
IF_131::2765	ref
KWS_10467::56708	ref
S_6G16::102631	ref
KeioHC_18::191511	ref
KWS_10915::25253	Novel
KWS_10476::10438	ref
IF_013::114412	Novel
IF_045::149344	ref
S_7G38::999	ref
IF_121wa::3746	ref
KeioHC_13::3694	ref
KeioHC_15::113986	ref
IF_166::889	ref
S_7G12::4402	ref
KWS_10659::295347	Novel
S_7G24::178554	Novel
IF_001::3110	ref
IF_074::5271	ref
IF_112::201741	Novel
KeioHC_121::25550	ref
KWS_10644::17671	ref
KWS_10983::85588	ref
S_7G31::78640	Novel
IF_121wa::35302	ref
KeioHC_9::134679	ref
KWS_10465::9070	ref
KeioHC_118::5425	Novel
IF_166::46254	ref
KWS_10638::46427	ref
KWS_10909::82721	ref
S_6G7::43019	ref
IF_148::4072	ref
KWS_10655::44785	Novel
S_7G28::124352	ref
S_7G8::166123	ref
KWS_10996::27824	ref
KWS_10906::12512	ref
S_7G3::304	ref
IF_002-2re::59499	Novel
KWS_10999::104058	Novel
S_7G6::52302	ref
KWS_10560::84526	ref
KWS_10467::5553	ref
IF_079::159568	Novel
S_7G26::2233	ref
IF_151::131955	ref
IF_117::231835	Novel
IF_017::273977	Novel
S_7G50::132477	ref
KWS_10567::5337	ref
KWS_10543::117270	ref
IF_185::85006	Novel
KWS_10661::133839	Novel
IF_042::10037	ref
S_6G2::11532	ref
IF_125::119060	Novel
KWS_10469::14645	ref
IF_166::2840	ref
KWS_10983::5281	ref
S_6G6::35392	ref
KWS_10555::16692	ref
S_7G29::9946	ref
IF_009::116792	ref
KWS_10633::72055	ref
IF_111::4985	Novel
KWS_10656::168343	ref
S_7G30::264798	ref
IF_005::36960	Novel
IF_097::77970	ref
KWS_10984::76379	Novel
S_6G5::72071	ref
IF_130::2746	ref
KeioHC_5::3624	ref
S_7G6::122621	ref
IF_101::10918	ref
S_7G6::90919	ref
IF_042-2::74017	ref
S_7G51::21071	ref
IF_029::39483	ref
KWS_10989::213127	ref
KWS_10546::152958	Novel
S_6G15::2148	ref
KWS_10655::304	ref
IF_137::46299	Novel
IF_149::2015	ref
IF_132::278980	ref
KWS_10648::17853	ref
KWS_10468::67163	ref
KWS_10985::9946	ref
IF_085::1840	ref
KWS_10478::133878	ref
KWS_10903::18163	ref
IF_091::80025	ref
IF_046::12220	ref
IF_099::114793	ref
IF_022::51451	ref
KWS_10919::53491	ref
KWS_10661::2627	ref
S_7G47::85725	ref
IF_047::1074	ref
KWS_10661::17598	ref
KWS_10545::2824	ref
KWS_10559::124768	ref
IF_016::15221	Novel
S_7G17::107987	Novel
S_7G46::2015	Novel
S_6G16::37548	Novel
S_7G40::18119	ref
IF_038::16995	ref
KWS_11002::103783	ref
KWS_10984::16816	ref
IF_171::3899	ref
IF_132::116872	ref
IF_130::99728	ref
S_7G31::278	ref
IF_012::497	Novel
IF_107::49114	ref
IF_138::223368	ref
IF_067::208555	ref
S_6G2::5785	ref
S_7G16::28471	Novel
KWS_10993::100130	ref
IF_087-3::261525	ref
S_7G21::45626	ref
KWS_10481::6636	ref
S_6G6::36187	ref
KWS_10481::38905	ref
S_7G15::13241	ref
S_7G16::122308	ref
IF_176::255117	ref
KWS_10993::19077	ref
IF_065-2::53229	ref
IF_122::1466	ref
KeioHC_123::743	ref
KWS_10996::20379	ref
S_7G15::2015	ref
KWS_10560::7129	ref
KWS_10997::77380	Novel
KWS_10639::27912	ref
KeioHC_110::20584	ref
IF_130::173296	Novel
S_7G17::29486	ref
IF_079::13971	ref
KWS_10480::2240	Novel
IF_008::24384	ref
S_7G18::1908	ref
IF_013::27616	ref
IF_065::145849	ref
S_6G12::2978	ref
S_7G25::9657	ref
KWS_10466::22230	Novel
IF_085::176987	ref
KWS_10652::67850	ref
KWS_10984::88369	Novel
KeioHC_102::95741	ref
KeioHC_108::6527	ref
S_7G17::795	ref
IF_167::19225	ref
S_7G2::60312	Novel
KWS_10912::114382	ref
KWS_10661::1823	ref
IF_091::24478	Novel
S_7G27::2521	ref
IF_185::98209	Novel
KWS_10477::3600	ref
S_6G2::167050	ref
IF_101::889	ref
IF_177::7263	ref
IF_083::49981	Novel
KWS_10632::18940	ref
KWS_10894::277835	Novel
S_6G3::68926	ref
S_7G7::88314	Novel
S_6G4::47763	ref
IF_175re::1364	ref
S_7G42::204402	ref
IF_137::21431	Novel
KWS_10648::33397	ref
KWS_10997::90507	ref
KWS_10548::9636	ref
KWS_10478::43433	ref
KWS_10995::19633	ref
IF_102::260260	ref
KWS_10637::14814	ref
S_7G34::30854	ref
KWS_10477::167216	Novel
IF_002-2re::77959	Novel
KWS_10638::16689	ref
IF_074::63713	ref
S_7G15::27200	ref
KeioHC_10::101314	Novel
KeioHC_106::229830	ref
S_6G16::2015	ref
KWS_10784::180334	ref
S_7G28::18163	ref
S_7G26::133400	ref
IF_093::18093	ref
S_6G7::126565	ref
KWS_10638::79587	ref
IF_125::249015	ref
S_6G6::8580	ref
S_7G28::3584	Novel
KWS_10636::1206	ref
IF_095::3055	ref
KWS_10911::8135	ref
KWS_11009::135373	Novel
IF_101-2::60532	ref
S_7G39::2233	ref
IF_158::232605	Novel
IF_009::2569	ref
IF_023::304	ref
IF_047::17299	ref
KWS_10563::288	ref
KWS_10911::52533	ref
S_7G21::304	ref
IF_112::31595	ref
S_7G27::10902	ref
IF_079::10812	ref
S_7G31::18163	Novel
IF_121wa::79017	ref
KWS_10656::2024	ref
IF_127::11309	ref
KWS_10567::3721	ref
S_6G16::13257	ref
IF_047-2::1219	ref
S_6G12::89470	ref
KWS_10562::159189	Novel
KWS_10452::205168	ref
S_6G16::229508	ref
IF_099::5433	ref
KWS_10911::44852	ref
KWS_10917::272526	ref
S_7G5::39776	ref
S_6G12::22778	ref
IF_038::225614	Novel
S_7G5::2015	ref
KeioHC_11::286224	ref
S_7G6::40255	ref
KWS_10647::18608	Novel
IF_082::85033	Novel
S_7G21::90666	ref
S_7G4::11012	ref
S_7G4::227526	Novel
IF_101::133630	ref
IF_002-2re::5963	ref
KWS_10468::181164	Novel
IF_103::8135	Novel
KWS_10894::90448	Novel
IF_134::1119	ref
IF_117::16887	ref
KWS_10461::213188	ref
S_7G6::233559	ref
IF_107::141652	ref
KWS_10653::2862	ref
KeioHC_U::80729	ref
IF_089::42443	ref
KeioHC_113::9753	ref
IF_185::28361	ref
KWS_10900::184980	Novel
IF_091::169258	ref
KWS_10912::20489	ref
IF_107::4880	Novel
KWS_10897::3061	ref
S_7G45::2862	ref
KWS_10465::85607	Novel
IF_072::79425	ref
KWS_10551::126965	ref
IF_178::126661	Novel
IF_031::1280	Novel
KeioHC_117::12491	Novel
KWS_10461::44896	ref
IF_091::108828	ref
KWS_10644::202928	ref
IF_008::161414	ref
S_7G39::201270	ref
KWS_10911::47230	ref
IF_063::53423	Novel
S_7G29::17737	ref
IF_059::1729	ref
S_6G5::2070	ref
KWS_10551::79901	ref
S_7G47::31764	Novel
KWS_10633::181850	ref
IF_175re::30564	ref
IF_153::40575	ref
S_7G7::48609	Novel
KWS_10906::159368	ref
IF_175re::35631	ref
S_7G31::64772	ref
KeioHC_5::1147	ref
IF_065::16806	ref
KWS_10984::2824	ref
KWS_10896::192992	ref
KWS_11007::3596	ref
KWS_10986::68554	ref
S_6G2::1846	ref
KWS_10452::154002	ref
S_7G1::43172	ref
S_7G4::203278	ref
KWS_10565::16522	ref
IF_069::29556	Novel
S_6G11::3694	ref
S_7G7::12567	ref
IF_072::38069	ref
KWS_10896::33995	ref
IF_090::2233	ref
KWS_10637::278	ref
IF_180::8135	ref
KWS_10459::285285	ref
IF_087-2::2661	ref
IF_087::2667	ref
KeioHC_3::111107	Novel
KWS_10469::27587	ref
IF_110::170113	ref
KWS_10655::1650	ref
S_7G30::3596	ref
S_7G20::45604	Novel
IF_099::743	ref
KWS_10563::18116	Novel
IF_014-2::68787	Novel
KeioHC_15::223377	Novel
S_7G6::2530	ref
IF_036::21543	ref
S_6G10::11780	ref
IF_027::9063	ref
IF_088-2::946	Novel
S_6G16::14333	ref
IF_127::57305	ref
IF_148::85717	ref
KWS_10486::3596	ref
KeioHC_U::86150	ref
S_7G25::89	ref
KWS_10906::256839	Novel
KeioHC_113::2337	ref
S_7G40::40325	Novel
IF_173::26924	ref
S_7G5::222898	ref
IF_081::26676	ref
KWS_10656::75596	ref
IF_123::184432	Novel
KWS_10539::8876	ref
KWS_10463::127927	Novel
S_7G4::31036	Novel
KWS_10893::14018	ref
S_7G31::2630	ref
IF_62-2::65056	ref
S_6G7::2233	ref
KWS_10469::99554	ref
IF_116::51788	Novel
S_7G47::239039	Novel
S_7G44::15812	ref
IF_065::1908	ref
IF_115::29973	ref
S_7G8::46352	ref
KWS_10656::87228	ref
S_7G45::247302	ref
KWS_10984::229824	ref
S_7G39::52990	ref
KeioHC_120::24133	ref
IF_117::229378	ref
S_7G27::2784	ref
IF_065::1169	ref
S_6G15::156592	ref
KWS_10565::37514	Novel
S_7G4::70527	ref
IF_065-2::5387	ref
KeioHC_110::59065	ref
IF_068::39456	Novel
KeioHC_106::148496	Novel
KWS_10558::37313	ref
KWS_10469::9636	ref
KWS_10486::31779	ref
KeioHC_9::39776	ref
IF_101::1765	ref
IF_130::19879	ref
IF_079::37514	Novel
IF_176::213019	ref
S_6G14::114382	ref
KWS_10477::64999	ref
KeioHC_110::153650	ref
KeioHC_110::83879	ref
IF_103::18087	ref
S_7G28::2015	ref
KWS_11003::3596	ref
IF_039::6737	ref
IF_139::2015	ref
KWS_10989::31979	Novel
KWS_10661::14834	ref
S_6G11::180386	Novel
KWS_10989::71591	ref
S_6G11::75251	ref
IF_112::2233	ref
S_7G19::16540	ref
KWS_10638::4965	ref
IF_150::6608	ref
IF_051::38268	ref
KeioHC_14::4727	ref
IF_171::243173	Novel
IF_005::24883	ref
IF_088::282451	Novel
IF_016::27350	ref
S_7G6::4985	ref
IF_101-2::1638	Novel
IF_053::83829	ref
IF_063::12070	ref
KWS_10638::33701	ref
KeioHC_9::68782	ref
IF_116::165218	ref
KWS_10909::107934	ref
KeioHC_102::207872	ref
S_7G29::13257	ref
IF_116::29855	ref
IF_004::33468	Novel
IF_005::165580	ref
KWS_10461::4055	ref
IF_086::23916	Novel
KWS_10552::208139	Novel
IF_019::197	ref
S_7G15::4574	Novel
KeioHC_7::9060	ref
IF_104::156484	ref
S_7G3::10051	ref
KeioHC_K2::269550	Novel
KWS_10461::18498	ref
IF_081::2015	ref
IF_065-2::88192	ref
KeioHC_124::65211	ref
KeioHC_122::28724	ref
IF_086::47238	ref
S_7G32::494	ref
KWS_10461::83237	ref
S_6G3::2627	ref
S_7G32::213019	Novel
IF_025::34186	ref
IF_138::2015	ref
S_7G31::143861	ref
S_6G6::69023	ref
KWS_10461::30922	Novel
IF_052::2015	ref
S_6G10::2015	Novel
S_7G5::5898	ref
S_6G14::4878	ref
IF_071::16639	ref
S_7G16::42191	Novel
KWS_10466::145374	ref
S_6G6::63067	ref
IF_081::174139	ref
KeioHC_2::51057	ref
S_7G5::21762	ref
KeioHC_3::2889	ref
KWS_10550::27841	ref
S_7G18::17299	ref
KWS_10897::136992	Novel
S_7G21::2120	ref
IF_169::7922	ref
KWS_10984::2233	ref
IF_130::171	ref
IF_178::3345	ref
KWS_10992re::2865	ref
S_6G5::60534	ref
KeioHC_12::87664	ref
S_6G13::39764	ref
IF_070::2015	Novel
IF_088-2::125437	ref
IF_099::18028	Novel
IF_087-2::35442	ref
KeioHC_10::2521	ref
S_6G16::62701	ref
S_7G46::44275	ref
IF_100::66804	ref
IF_053::101339	Novel
IF_132::183639	Novel
KWS_10911::131312	Novel
KWS_10631::51171	Novel
KWS_10986::19077	ref
IF_082::61732	ref
KWS_10906::182785	Novel
KWS_10540::4677	ref
KWS_10988::64230	ref
IF_086::20930	ref
IF_122::11878	ref
IF_023::95	ref
KWS_10997::47522	ref
IF_165::68587	ref
IF_036::69543	Novel
KWS_10637::2233	ref
KWS_10632::125029	ref
S_7G42::110732	Novel
IF_042-2::271934	Novel
S_7G40::63539	Novel
S_7G34::58269	ref
KWS_10632::91960	Novel
S_7G21::2015	ref
IF_128::94008	Novel
KeioHC_115::52860	Novel
KWS_10460::165175	Novel
S_6G7::46756	ref
IF_164re::10619	ref
KeioHC_K2::262700	ref
IF_187::56544	Novel
KWS_10481::236815	Novel
KWS_10641::50324	ref
IF_104::30909	ref
S_7G10::2015	Novel
KeioHC_109::104258	ref
IF_164re::126073	ref
KeioHC_10::21735	ref
IF_104::16754	Novel
S_6G7::101074	ref
KWS_10784::18163	ref
KWS_11000::59065	ref
S_6G3::2233	ref
IF_061-2::47177	ref
S_7G17::33633	ref
S_6G16::63533	ref
S_7G29::2189	ref
KWS_10991::34614	ref
KWS_10983::9242	ref
IF_148::195757	Novel
KeioHC_114::1821	ref
IF_099::41852	ref
S_7G49::1206	ref
S_7G12::8760	ref
IF_055-2::776	Novel
KWS_10545::31748	ref
IF_041::286240	Novel
KWS_11002::18608	Novel
S_7G51::20737	Novel
KWS_10910::268259	Novel
KeioHC_7::234193	ref
S_7G27::62381	ref
S_7G47::40327	ref
S_7G50::203075	Novel
KWS_10656::53491	ref
S_6G3::105376	ref
KWS_10652::193827	ref
KWS_10567::125765	Novel
S_7G41::52862	ref
KWS_10919::202560	ref
S_6G14::1999	ref
KWS_10915::172223	ref
IF_171::20297	Novel
KWS_10989::164691	Novel
KeioHC_I2::72659	Novel
KeioHC_115::53210	ref
KeioHC_10::6636	ref
KWS_10478::49881	ref
KWS_10633::3596	ref
KWS_10476::139475	ref
IF_126::67163	ref
S_7G31::67163	Novel
IF_171::108666	Novel
S_7G30::24529	ref
KWS_10984::44245	ref
KWS_10661::21071	ref
KWS_10895::207199	Novel
IF_020::121687	ref
KeioHC_124::177389	Novel
KWS_10486::160172	ref
S_7G5::8135	Novel
S_7G20::179602	ref
IF_095::61518	ref
S_7G34::2015	Novel
IF_177::21817	ref
IF_068-2::274569	Novel
S_6G2::146529	ref
IF_178::11059	ref
IF_068-2::13241	ref
IF_079::235299	Novel
S_7G2::165273	Novel
S_7G29::1087	ref
IF_085::19633	ref
KWS_10465::73582	ref
IF_032::40451	ref
S_6G7::27527	ref
KWS_10454::145285	ref
KeioHC_117::20517	Novel
IF_178::96492	Novel
KWS_10633::6697	ref
KWS_10641::252095	Novel
IF_101::148353	ref
S_6G7::13241	Novel
IF_089::92100	ref
IF_009::12175	ref
KWS_10467::74862	ref
IF_042::22720	Novel
KWS_10917::174272	ref
S_6G6::21255	ref
IF_151::40635	ref
IF_148::36882	ref
KWS_11002::98792	ref
KWS_10648::52645	ref
IF_007::70762	ref
S_6G6::2008	Novel
IF_025::13674	Novel
KWS_10633::16733	ref
IF_092::15752	ref
KWS_10656::17554	ref
S_7G50::32416	Novel
S_7G44::28131	ref
KeioHC_10::155804	ref
IF_027::26362	ref
KWS_10477::13622	ref
KWS_10477::16249	Novel
S_7G49::60522	ref
KWS_10551::3694	ref
S_7G6::2233	ref
S_7G34::138087	ref
KeioHC_13::224258	ref
IF_088-2::13139	Novel
IF_167::24697	ref
KWS_11009::5271	ref
IF_072::18940	ref
S_7G15::68607	Novel
KWS_11003::59104	Novel
S_7G7::5374	ref
KWS_10480::12445	ref
KWS_10461::4008	ref
KWS_10467::7217	Novel
IF_087-2::201546	ref
S_6G14::169340	Novel
KWS_10478::192038	ref
IF_166::13575	Novel
S_7G33::118315	ref
S_7G30::7051	ref
KWS_10452::29556	Novel
S_7G8::52116	ref
KWS_10656::9374	Novel
IF_022::140897	ref
KWS_10481::5958	Novel
IF_100-2::237090	Novel
S_6G15::49535	ref
IF_047::15042	Novel
IF_110::11193	ref
S_7G38::10302	ref
S_7G44::5898	ref
KWS_10548::214064	Novel
S_6G12::104673	Novel
S_7G10::95741	Novel
S_7G31::53117	Novel
IF_107::64048	Novel
KWS_10915::174411	Novel
S_7G42::131343	Novel
S_7G26::18341	ref
KWS_10915::70408	Novel
KeioHC_K2::23624	ref
KWS_11006::27824	Novel
KWS_10903::41523	Novel
KWS_10661::23445	Novel
KWS_10661::26743	ref
IF_161::36505	Novel
IF_082::54370	ref
S_7G39::94406	ref
KWS_10644::11193	ref
S_7G32::27877	ref
KWS_10989::92355	Novel
KWS_10638::132434	ref
KWS_10644::207832	Novel
KeioHC_2::171089	ref
S_7G7::282990	Novel
S_7G47::11309	ref
KWS_10550::49406	ref
IF_049::18349	ref
KeioHC_120::58283	Novel
IF_062::182212	ref
S_7G19::114221	Novel
IF_162::295197	ref
KWS_10784::58759	ref
IF_178::47788	ref
IF_028::49201	Novel
KeioHC_107::13173	ref
IF_091::114153	ref
S_7G44::231406	Novel
KWS_11002::75875	Novel
IF_032::32306	Novel
KeioHC_114::157717	Novel
IF_162::241437	ref
KWS_10636::258794	ref
IF_061::2410	Novel
KeioHC_13::13112	ref
KWS_10917::69145	Novel
KWS_10915::57637	ref
IF_068::37810	Novel
IF_132::165943	ref
S_6G15::212468	ref
KWS_10555::65947	ref
IF_125::18900	Novel
IF_099::154591	ref
IF_042-2::128683	ref
IF_013::93369	Novel
KWS_10478::12792	ref
IF_077::51920	Novel
IF_053::34532	ref
IF_087::49506	ref
S_7G3::27537	ref
KeioHC_2::220244	ref
KWS_10896::6395	ref
IF_042::143067	Novel
IF_163::10007	Novel
KWS_10461::16105	ref
IF_077::292634	ref
KeioHC_102::88478	ref
S_6G10::215692	Novel
IF_088-2::84945	ref
KeioHC_2::59484	ref
IF_009::236273	ref
KWS_10906::239442	Novel
IF_101::133839	Novel
S_6G7::45157	ref
KeioHC_12::135867	Novel
IF_122::6659	Novel
KeioHC_106::200672	ref
KWS_10545::238221	ref
IF_012::80267	ref
S_6G5::130094	Novel
KWS_10469::131832	Novel
KWS_10560::83817	Novel
IF_121wa::42694	ref
IF_060::28881	ref
IF_013::16730	Novel
IF_179::130228	ref
IF_121wa::20136	ref
KWS_11003::14458	ref
KWS_10459::67887	Novel
IF_036::6708	Novel
S_7G3::38830	Novel
IF_082::111626	ref
KWS_10560::178821	Novel
IF_177::8829	ref
IF_064::24534	ref
KWS_11003::149242	ref
S_6G10::123017	Novel
KWS_10911::40404	ref
IF_030-2::153898	Novel
KWS_10903::11269	Novel
KWS_10468::36509	Novel
IF_073-2wa::185459	Novel
S_7G15::113474	Novel
KeioHC_9::42989	Novel
KeioHC_108::110129	ref
KWS_10481::83245	Novel
KWS_10461::221368	Novel
S_7G10::53746	ref
KWS_10643::3405	ref
IF_117::14341	Novel
IF_042-2::98864	Novel
S_7G6::218063	Novel
IF_064::17799	ref
IF_122::32	Novel
S_7G16::342	ref
KWS_10997::22752	ref
IF_128::200524	Novel
IF_130::163986	Novel
IF_140::106677	Novel
KeioHC_113::268141	ref
KeioHC_I2::95072	Novel
IF_004::12188	ref
S_7G31::6708	ref
S_7G42::185836	Novel
KeioHC_117::7073	Novel
KeioHC_K2::169156	ref
KeioHC_120::198204	Novel
IF_057re::14026	Novel
IF_012::165645	ref
S_6G5::45485	Novel
KWS_10639::188465	Novel
KWS_10911::124942	Novel
KeioHC_4::55362	ref
IF_163::120680	ref
KWS_10469::119965	Novel
IF_048::76245	ref
S_6G1::45899	ref
IF_047-2::39847	ref
S_7G20::59111	ref
KWS_10463::234343	Novel
KWS_10476::132079	Novel
KeioHC_113::131747	ref
KWS_10631::20492	Novel
IF_064::120845	ref
S_6G3::129960	ref
IF_068::100597	ref
IF_067::62674	Novel
IF_114::25813	ref
KeioHC_5::186525	ref
IF_064::274203	ref
KeioHC_2::9793	Novel
KeioHC_124::77198	ref
IF_030-2::5712	ref
IF_092-2::89044	ref
IF_107::17534	Novel
KWS_10476::64213	ref
S_7G4::269683	ref
IF_005::121874	ref
S_7G44::179222	ref
KWS_10632::14836	Novel
IF_048::36448	Novel
IF_001::19225	ref
KWS_10896::156149	ref
KWS_10904::154764	Novel
KWS_10649::97224	Novel
IF_176::18956	ref
KWS_10652::17489	ref
S_7G4::20916	Novel
IF_073wa::51406	Novel
KWS_10656::150838	Novel
IF_170::51480	Novel
S_7G38::12928	ref
IF_110::1241	ref
IF_067::77867	Novel
KWS_10468::31299	Novel
IF_077::8455	Novel
IF_016::6498	ref
IF_015::36054	ref
KWS_10549::139362	ref
KWS_10480::190706	Novel
KWS_11002::109205	Novel
KWS_10648::168375	Novel
IF_125::52484	Novel
IF_068::12188	ref
IF_125::128324	Novel
KeioHC_110::13952	ref
KeioHC_15::19541	ref
KWS_10651::54552	ref
IF_166::12306	ref
KWS_10480::9401	Novel
KWS_10549::4986	ref
IF_055-2::39701	ref
IF_032::152289	Novel
KWS_11007::49707	ref
KWS_10547::59915	ref
S_6G3::34970	ref
IF_100::8443	ref
S_6G7::11434	ref
IF_185::50056	ref
KWS_10538::17551	ref
IF_087-2::63063	Novel
IF_187::115714	Novel
S_7G26::41372	ref
IF_157::80625	ref
KWS_10480::111496	ref
KWS_10784::10302	ref
S_7G4::191182	Novel
S_6G14::7051	ref
KWS_10912::149392	ref
KWS_10639::26763	Novel
S_7G3::202327	ref
KWS_10985::94362	ref
KWS_10465::76550	ref
KWS_11006::76349	Novel
IF_027::31626	Novel
KWS_10983::32306	Novel
IF_184::61774	Novel
IF_121wa::12097	Novel
KWS_10661::31344	ref
S_7G18::18608	ref
KWS_10997::15768	Novel
IF_117::103964	ref
KWS_10477::131586	ref
KWS_10558::78299	ref
S_7G39::182564	ref
KWS_11001::20018	ref
KWS_10481::120637	Novel
KWS_11007::232854	ref
KWS_10633::218432	Novel
KWS_10546::57071	Novel
IF_155::14193	ref
