#OTUID	DN1BS	DN1R	DN1RS	DN2BS	DN2R	DN2RS	DN3BS	DN3R	DN3RS	DN4BS	DN4R	DN4RS	DN5BS	DN5R	DN5RS	DN6BS	DN6R	DN6RS	DN7BS	DN7R	DN7RS	DW1BS	DW1R	DW1RS	DW2BS	DW2R	DW2RS	DW3BS	DW3R	DW3RS	DW4BS	DW4R	DW4RS	DW5BS	DW5R	DW5RS	DW6BS	DW6R	DW6RS	DW7BS	DW7R	DW7RS	ZN1BS	ZN1R	ZN1RS	ZN2BS	ZN2R	ZN2RS	ZN3BS	ZN3R	ZN3RS	ZN4BS	ZN4R	ZN4RS	ZN5BS	ZN5R	ZN5RS	ZN6BS	ZN6R	ZN6RS	ZN7BS	ZN7R	ZN7RS	ZW1BS	ZW1R	ZW1RS	ZW2BS	ZW2R	ZW2RS	ZW3BS	ZW3R	ZW3RS	ZW4BS	ZW4R	ZW4RS	ZW5BS	ZW5R	ZW5RS	ZW6BS	ZW6R	ZW6RS	ZW7BS	ZW7R	ZW7RS
ASV_93	55	36	41	88	159	1028	81	6	64	32	5	42	240	74	137	8	6	68	478	1089	2328	164	15	165	153	7	954	4	4	71	82	116	426	336	333	463	3278	749	2109	3491	282	4969	160	5	26	0	1	2	16	10	40	72	1611	5700	5977	5	47	1152	2	46	8742	398	1282	66	7	25	15	2	3	208	8	282	33	20	30	10702	1224	46	634	59	241	6722	553	7969
ASV_12	2	7	5	17	405	191	14	25	13	103	807	113	18	3	10	9331	2663	5152	2682	3820	2516	4	2	1	108	873	258	13	6	13	4	141	25	4797	166	401	25	253	13	6878	138	966	48	6	520	7458	7188	3918	198	24	200	11	132	207	178	0	3	103	4	98	12	2	5	4667	186	618	53	282	214	165	88	35	2618	554	2133	3	2	3	2074	132	407	12	2	5
ASV_21	1076	163	468	450	86	358	495	532	1269	1055	353	473	411	26	117	65	34	36	17	353	276	419	38	268	478	53	264	21	291	1044	1000	975	2059	1685	693	1555	68	71	332	320	1535	505	1851	1211	1278	1311	1851	1556	633	99	390	5227	13	46	29	3553	3445	135	16	319	79	37	271	929	661	1174	2518	591	3748	86	31	240	2464	2036	3456	124	175	3300	1833	2957	2356	77	17	66
ASV_16	479	14130	521	1353	91	6	1477	11044	74	39	2860	116	67	12	23	4	7	3	42	5019	66	344	1304	152	252	3006	18	5	8	74	61	4541	175	153	12715	634	38	4442	19	240	12	41	3	1	5	1	3	9	35	1	8	8	0	5	0	5	8	24	2	15	178	135	55	2	1	2	3	2	2	144	1679	69	1	0	5	89	273	2	90	699	15	32	37	101
ASV_18	1	1	7	11017	12770	98	10633	63	310	10	3	0	31	2	7	2	12	10	2	1	0	4	9052	817	9	5	758	84	14	1218	11	0	5	22	0	2	1	2	0	3	48	2	4	32	7	4	0	3	0	1	7	1	3	0	3	3	11	4	3	9	3760	7791	8451	0	0	1	0	0	14	2	1	4	4	1	7	0	1	0	2	3	0	3	2	5
ASV_32	338	356	691	176	2136	1392	200	2031	4280	561	1383	1869	605	2237	4078	67	342	163	8	173	80	226	1779	1459	191	2816	1211	6	1389	3716	221	1752	562	133	770	885	59	218	187	27	43	352	150	38	366	12	31	55	14	7	23	203	242	1591	497	1236	786	453	477	2109	1069	1259	4991	74	212	348	349	285	115	35	359	484	303	1124	689	313	1164	802	55	967	119	134	315	433
ASV_20	4	4	16	2	2	16	7	3	20	18	0	14	45	9	28	160	44	270	5454	2488	2427	1	4	2	4	3	4	5	3	24	18	1	501	7	0	1	57	56	113	2601	25	526	877	76	405	9408	1647	4363	15372	535	3930	160	10	3	4	191	793	5	2	23	0	1	2	1449	23	394	1336	40	805	1186	33	532	14	0	555	3	6	684	0	1	1	6	2	5
ASV_14	61	1397	776	215	0	0	78	0	11	2	0	1	21	0	8	2	1	0	2	6	0	4	0	9	7	13	1	54116	1926	5	24	2	2	39	13	1	1	0	3	5	1	7	0	0	0	0	0	0	0	0	3	0	3	1	2	0	0	2	0	2	0	1	1	0	1	0	8	4	0	0	1	0	0	2	8	4	0	2	2	1	7	6	1	0
ASV_17	13	0	4	4872	2	6	4746	10979	3143	130	489	120	92	3	7	19	3	10	8	171	60	1	2	0	15	86	12	3486	1641	3536	12285	1900	5250	1158	14	78	122	471	28	3	3	5	5	2	5	5	6	18	2	1	1	4	2	9	4	1	3	7	2	3	22	0	6	4	2	6	6	0	10	59	0	4	4	0	4	13	0	5	35	8	27	6	1	8
ASV_27	163	5469	119	705	1	11	698	1311	98	198	63	493	142	78	239	146	22	4	24	15	6	0	5	4	16	3	2	2	3	116	349	5251	2059	3	1	1	39	4096	37	0	3	140	0	1	339	6	0	19	4	0	6	12	4	4	2	11992	708	12	194	19	274	54	14	69	518	407	1	1	4	6	5	11	2	0	3	38	161	737	432	3037	886	325	5751	17
ASV_26	414	598	328	55	1	12	75	28	32	3182	1558	1007	7331	605	1294	76	90	106	6	9	31	813	72	524	547	3	17	747	199	23	755	290	568	18	61	23	34	22	44	158	146	415	323	543	350	434	1709	602	4462	3122	1689	233	9	11	14	134	279	153	21	207	297	75	68	891	294	357	195	49	105	1169	1349	1135	830	92	375	15	0	220	1038	61	425	98	43	199
ASV_23	431	1292	413	280	404	3340	283	1083	983	2724	12814	887	132	41	311	26	12	38	11	96	263	147	132	447	166	3300	3782	44	133	893	1257	113	1280	280	732	1487	3143	420	903	13	7	52	24	1	45	6	5	11	27	9	80	7	76	110	24	0	6	2	1	5	14	2	14	6	14	40	24	2	105	49	1	231	9	10	36	16	7	5	5	3	7	12	5	4
ASV_29	3	0	4	10	153	28	3	5	3	4	2	3	2	6	4	2094	4862	1974	6	1	3	1	5	1	1	8	28	8	11	4	3	47	4	6	2	2	140	674	124	1794	5541	679	4407	8404	108	81	1011	175	3	3	16	5	0	3	2	1	3	1	1	4	11	1	5	33	82	73	1048	5304	3997	1468	954	68	4	1	2	1	1	2	13	0	1	1	0	1
ASV_25	351	345	484	686	3	7	552	4685	925	59	1018	129	85	1	8	4	4	5	10	3	6	4	1	2	44	694	3	6	7	1713	2	4	3	211	7419	346	3	1	15	9387	1988	1386	3	1	328	65	613	189	2	0	15	712	575	1048	4044	460	702	2	0	6	7	0	2	158	36	281	3	0	3	3	1	2	780	100	423	2	1	834	4	1	1	36	98	69
ASV_24	15	4	5	13	3	4	12	4	16	0	0	13	17	5	7	2	1	7	10	11	44	36	11	89	53	10	6	3	4	8	40	110	64	10	5	29	1578	207	664	1010	283	2151	4	0	0	0	3	0	0	2	67	7	2939	6659	3710	7	3	37	1	1	180	20	70	4	3	5	1	2	0	17	1	35	2	1	15	16303	1820	2	47	3	34	1365	202	3343
ASV_28	933	158	266	958	46	6	1080	32	244	279	128	125	100	3	60	153	18	39	98	2	100	1027	107	788	723	1	13	9	187	240	1943	2378	388	1187	252	263	45	4	32	979	20	516	395	9	60	212	432	372	30	38	39	788	11	27	228	1992	1745	1090	129	417	562	80	118	81	12	38	269	224	207	282	68	41	1268	922	739	535	251	1502	5319	820	1591	1244	21	797
ASV_30	602	9	100	2644	16	1287	2992	46	898	2827	50	1623	895	101	480	584	2	1211	116	67	929	439	110	324	326	8	1453	147	77	790	6412	181	2604	1350	54	385	3238	31	385	546	10	296	119	1	9	13	1	4	31	0	9	29	0	37	19	1	3	10	2	13	137	1	16	49	3	13	3	0	4	62	5	12	23	1	14	132	5	6	61	0	19	329	1	284
ASV_270	990	6	188	660	9	635	684	19	343	2417	43	1203	993	28	404	1096	34	878	144	95	189	962	202	640	581	38	587	157	74	276	1439	791	699	1623	91	540	995	62	272	1387	17	877	513	6	112	380	1	217	298	17	205	298	34	138	219	7	113	129	45	211	867	478	73	529	2	162	64	1	38	1092	15	272	164	13	176	565	841	145	643	47	170	597	16	584
ASV_31	3	0	1	0	2	0	2	5	0	0	0	2	4	6	10	4	0	0	1	0	2	0	1	0	0	0	1	1	0	2	1	0	0	6	0	4	0	0	0	1	1	0	2	2	0	3	2	0	5	0	1	0	19995	9952	1786	2	3	5	1	5	1	1	2	1	0	2	90	514	106	1	1	3	21	1	31	5	1	3	2	1	0	15	1	9
ASV_36	0	3	1	4	6	1	0	1	1	3	0	2	0	0	0	0	13	7	0	0	0	3	6794	627	19	2	9	2	0	1	0	0	0	0	1	0	1	1	0	0	17	1	0	30	7	0	0	0	0	1	3	0	0	0	3	0	0	0	0	13	4298	9006	10383	0	0	2	2	0	1	0	0	5	5	0	37	6	2	0	0	3	3	3	1	17
ASV_35	172	88	22	3255	192	35	3661	266	384	51	79	43	145	7	36	1708	89	143	233	66	455	889	78	89	641	118	39	7	34	349	415	354	41	491	8	140	37	56	80	389	7	88	1338	11	58	366	83	211	83	10	41	910	71	469	1711	157	357	688	0	503	660	15	43	90	53	77	525	293	330	229	87	66	243	14	168	267	63	303	2144	140	641	460	263	523
ASV_34	0	0	4	0	0	0	1	5	5	0	0	0	0	4	14	0	0	0	1	0	4	2	1	6	6	9	4	8	0	1	1	1	25	1	2	0	5	0	3	0	0	2	0	0	0	0	0	1	0	0	1	6	3	2	8	0	1	9514	119	4154	2	0	0	7	2	0	7	0	0	1	0	4	0	1	2	16200	5	6	4	2	6	17	4	4
ASV_39	0	0	0	2	8	0	0	0	0	0	8	3	0	0	0	0	0	3	0	2	0	0	0	0	1	0	0	0	0	0	0	6	1	0	0	0	0	0	1	0	0	0	19	8809	0	0	9	50	0	10568	129	0	3	0	2	0	4	0	0	0	4	1	0	1	6	0	0	7	0	14	9906	72	16	201	43	0	0	2	0	0	1	3	0	0
ASV_33	0	0	4	0	0	0	3	2	0	2	0	3	0	7	7	2	0	2	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	0	1	1	0	0	0	1	0	17150	10711	1751	1	2	1	0	6	0	1	1	0	0	3	6	8	1	0	0	0	0	0	1	3	0	0	1	0	0	0	1	1
ASV_53	116	35	37	11	132	3110	22	5	31	872	148	116	740	61	147	112	91	227	7	51	72	27	16	127	59	418	3103	1	55	24	360	64	279	36	2	40	231	175	160	83	36	144	331	42	95	7	0	8	470	128	159	1174	24	233	187	232	1298	33	9	59	2004	239	488	231	40	84	7	0	12	200	108	188	894	79	422	1197	153	1046	600	16	202	1535	138	2611
ASV_46	0	2	0	0	0	1	0	5	0	0	0	0	1	1	5	0	1	0	2	1102	15	1	4	1	0	3	1	4	0	0	0	8	6	0	6	4	6	3	0	0	2	5	203	1	138	41	2017	397	361	128	438	22	0	3	0	4	93	89	10	53	2	0	1	105	218	188	34	7	58	1948	3388	1991	1281	11543	1519	1	0	85	233	285	308	1	1	0
ASV_43	0	2	0	0	0	0	0	0	15	0	4	0	16	2	2	0	5	5	0	3	0	0	7	1	0	12	1	1	0	0	0	2	1	1	5	0	29	2477	16	66	4695	172	15	18	2	18	1	22	1	4	0	2612	45	21	37	274	18	10	19	69	0	1	0	5	288	2	0	0	0	0	0	3	22	2121	66	12	15	20	208	6578	147	269	7781	76
ASV_40	22	0	1	0	1	26	0	2	0	7	0	2	0	0	1	64	28	89	2	28	10	4	0	0	17	0	5	2	0	0	3	1	3	0	0	4	5	1	3	658	109	470	5	2	6072	2	1	2	8	0	1	0	0	2	2	0	0	0	0	0	0	0	1	13034	350	6962	7	0	6	6	0	0	1	0	1	1	3	3	0	0	0	7	0	5
ASV_44	57	33	80	17	149	801	27	34	83	613	152	259	62	43	54	99	1336	241	1	103	46	7	5	96	13	10	1034	1	34	77	202	148	177	23	4860	80	297	946	369	6	1	21	79	648	120	8	1	8	227	2685	82	13	36	78	29	100	142	290	1394	599	17	0	33	136	6875	203	9	105	25	9	7	47	13	14	21	11	511	138	14	8	11	115	199	77
ASV_38	0	0	1	8	2	0	0	0	2	0	1	0	0	0	0	0	0	0	1	0	0	6273	5362	1716	14218	1	0	11	2	0	1	0	0	1	0	2	0	0	1	3	5	5	0	1	0	0	1	0	0	0	0	0	0	2	1	0	0	4	0	0	3	0	22	0	0	0	0	0	4	0	0	0	0	0	2	1	0	1	2	0	1	53	0	1
ASV_41	97	39	50	9	0	44	11	4	37	1	18	6	106	2	22	6	0	7	4	2	1	1	1	0	11	0	42	8	2	23	8	0	0	25	1	19	13	0	4	17	0	1	758	7	25	1311	6653	6827	10	35	6	83	61	101	160	160	110	296	58	143	46	56	15	6	14	31	1311	1935	5064	8	11	11	16	0	42	3	1	131	418	427	517	26	59	98
ASV_42	4	54	58	0	29	0	0	5	3	0	10	0	4	172	0	1	63	1	37	10437	121	0	2	8	0	11	0	0	1	0	0	2	2	15	2102	120	13	59	9	12	1719	65	2	0	194	0	2	14	1	52	141	5	4	0	0	109	69	5	22	11	0	6	1	1	1002	214	1	5	7	15	1763	41	0	379	92	4	0	62	73	401	71	4	6675	9
ASV_45	261	1790	377	753	0	8	741	133	4129	16	162	23	487	241	83	2	1	6	0	12	5	20	473	488	62	1	7	8	22	12043	46	0	23	99	1	3	0	2	3	3	3	18	55	0	9	18	44	57	38	0	11	14	1	1	1	2	2	0	3	17	31	29	19	14	0	6	3	0	38	100	0	25	4	0	1	656	1700	4	9	3	6	47	115	65
ASV_47	0	0	0	1	6	5	0	4	0	13	371	163	0	247	68	9	203	1	0	6	0	1	3	2	1	315	1	0	7676	1	80	6355	184	1	10	5	0	0	1	17	8453	61	0	0	0	0	91	2	0	0	2	0	0	0	0	1	2	0	0	0	1	0	0	0	1	0	0	0	1	0	0	0	0	0	3	0	0	0	1	258	10	4	426	3
ASV_50	0	3	2	3	3	0	0	1	4	307	0	2	3	0	0	8995	265	4434	2	1	4	3	0	13	1	6	1	19	2	2	1	99	6	1	3	5	10	5	15	103	1	40	6	1	0	931	116	274	1300	38	413	63	0	3	1	0	36	1	0	1	2	0	2	5	0	0	2613	33	634	2692	147	868	90	2	8	1	0	53	5	0	10	2	1	0
ASV_48	10	2	1	237	2	1	322	19	17	0	1	3	7	396	88	2	14	1	4956	927	3106	0	1	2	2	13	0	5	1	19	0	11	0	2707	734	260	3	0	3	1588	272	35	142	34	1	255	531	33	153	54	160	243	4	2	0	326	72	516	349	837	16	0	5	3	1	4	186	210	121	0	0	0	692	48	205	1101	72	55	799	77	58	708	70	137
ASV_54	5	38	1	0	1	1	5	0	2	0	0	0	1	0	0	0	0	0	2	26	2	0	1	0	0	1	0	0	0	1	0	0	0	1	0	0	0	1	0	0	0	0	4	3	135	0	2	1	0	0	1	16	100	291	431	5	2	4	18679	70	0	0	4	64	282	146	6	0	8	10	0	1	271	314	2117	15	6	4	0	22	0	0	2	2
ASV_51	0	1	1	0	0	1	2	9	7	2	4	4	3	3	5	0	0	2	62	372	97	1	1	4	0	2	5	2	1	12	1	0	2	3	0	1	37	843	130	398	86	509	619	90	236	787	5084	1605	598	689	1751	160	4	11	4	54	154	78	125	31	100	18	145	43	29	269	577	2750	892	426	17	374	1006	299	1059	2	0	130	8	4	51	19	1	15
ASV_52	0	0	2	1	1	0	0	3	0	3	0	0	0	0	0	1	1	11	0	1	2	4	7	1	0	1	4	52	2372	8	1	0	1	1	0	1	1	0	0	397	1490	507	6	36	169	10	845	18	1	180	29	2	1	1	1	1	27	2	2	3	3798	2292	644	112	2056	187	235	5743	1278	0	4	6	0	3	6	0	1	35	3	0	2	1	1	0
ASV_57	2	2	2	0	3	17	5	0	2	2	2	1	4156	2427	708	36	230	138	0	346	7	1	7	1	5	105	18	6	2674	3	48	57	42	9	6	3	0	0	1	311	2258	374	89	859	141	7	62	25	1	1	0	188	0	10	0	147	154	2	0	1	2	0	2	313	721	124	49	13	25	0	1	2	671	2134	1536	11	3	163	1	4	7	5	2	3
ASV_71	100	137	81	57	180	133	66	18	19	54	276	54	116	61	118	421	318	167	6	35	70	17	1	11	21	1	129	7	88	15	316	239	278	6	1	14	2	4	7	102	11	99	187	107	110	39	296	261	116	40	119	577	26	658	301	2254	1228	209	333	357	347	439	183	58	29	133	1069	576	878	321	146	168	652	69	653	51	34	1148	1530	306	1005	57	10	168
ASV_55	0	0	1	1	11	3	0	0	0	1	5	5	0	0	0	1	0	0	3	0	0	0	0	0	0	10	0	0	0	0	0	0	1	0	0	0	1	0	3	1	4	0	977	7356	946	0	4	2	36	4534	746	0	0	0	3	1	1	0	0	0	6	5	1	645	3754	1065	0	116	10	0	4	2	0	0	0	0	0	0	0	0	0	0	1	1
ASV_88	324	42	327	380	8	78	394	418	576	191	715	433	479	147	402	352	436	725	116	75	153	432	54	212	325	26	99	10	92	609	464	118	511	208	13	303	332	221	231	138	41	239	152	18	147	122	11	88	146	108	128	416	38	99	40	186	236	838	193	1200	487	327	717	202	85	147	56	18	80	104	25	46	342	83	463	51	12	269	225	29	140	164	56	266
ASV_59	0	0	0	0	0	1	0	0	0	23	0	28	0	0	1	6	4	32	0	0	6	0	0	2	0	0	0	9	0	0	0	2	0	0	9	9	0	0	9	0	0	2	0	2	0	0	6	0	0	160	1	0	2	0	0	2	0	0	0	0	0	137	0	0	2	0	3	2	0	1	2157	11	3	17099	15	0	0	2	0	0	7	2	0	5
ASV_70	800	7	183	701	45	230	857	177	494	369	68	243	3096	57	1509	1301	22	354	64	29	97	314	6	75	307	2	240	3593	314	463	147	23	96	1688	124	769	112	8	34	6	1	13	1	4	12	0	1	6	22	0	30	12	35	64	140	0	2	4	0	4	5	0	3	9	1	9	0	0	1	63	3	56	35	1	38	7	0	1	15	1	5	5	0	3
ASV_56	24	4	24	38	3	83	47	24	126	6	0	64	13	33	218	8	6	35	4	2	111	1	5	65	10	3	83	3	2	142	76	1	39	64	21	740	54	26	377	56	3	162	64	3	3671	5	3	233	23	0	164	11	4	2984	2	12	277	42	8	2472	34	7	915	17	12	3932	13	2	438	94	11	398	34	1	51	46	5	311	57	2	84	20	1	130
ASV_58	632	196	560	41	9	170	62	79	519	99	57	134	2	1	4	70	318	238	43	1	22	43	265	443	118	0	225	0	41	420	17	0	167	43	131	147	1966	3383	5809	23	13	413	15	1	18	0	0	3	0	0	2	4	0	7	1	41	70	85	31	130	21	85	172	0	0	23	0	0	1	1	1	0	2	0	1	91	13	58	21	0	14	356	274	443
ASV_819	305	206	855	5	5	13	3	27	45	1	12	177	34	97	444	51	123	93	48	6	52	959	131	779	935	44	6	3	10	47	18	133	269	35	70	240	301	277	520	65	381	408	600	156	777	926	121	655	400	102	468	457	1	2	5	394	452	16	0	32	6	2	89	549	115	610	379	100	797	102	82	109	293	134	474	12	6	460	157	90	278	18	1	3
ASV_63	792	571	2778	101	336	267	103	408	1326	75	180	1482	40	147	504	1	7	20	1	5	32	237	539	2878	277	359	206	103	341	1120	176	198	728	92	266	867	16	16	78	3	0	30	8	5	41	2	1	6	1	0	3	6	3	30	2	4	5	2	0	4	12	1	59	3	0	35	26	1	13	0	0	4	3	1	52	43	72	11	10	2	1	8	0	11
ASV_68	463	427	489	785	0	4	716	5796	1106	27	709	125	77	2	2	1	2	0	0	3	2	1	2	0	42	33	1	7	2	2042	1	1	0	5	26	12	0	1	6	2	2	2	3	1	282	1	20	16	1	2	0	1164	10	17	46	820	1049	3	1	2	5	0	1	125	28	254	0	0	5	0	1	0	15	1	9	0	1	1253	0	0	0	14	0	1
ASV_61	19	2	7	1209	13	182	1443	59	290	167	35	212	196	35	123	581	366	676	9	0	56	71	225	6	47	4111	181	3	32	233	864	187	621	702	201	552	106	1	35	115	4	124	128	6	10	0	0	3	15	11	63	108	28	153	475	4	20	12	0	26	396	15	24	6	11	15	4	0	1	390	178	441	35	299	151	70	14	18	19	31	21	267	127	147
ASV_62	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	1	0	0	0	3	2	0	1	3	0	0	1	0	4	0	0	0	0	0	2	6	410	0	24	1	0	0	0	0	0	0	0	1	1	0	31	5	0	1	85	0	29	59	0	13	1	0	6	0	0	0	1	1	3	0	0	1	67	2	0	2	0	5	2866	19	14163
ASV_67	2	9	10	0	1	14	5	2	5	15	1	19	5	5	1	0	6	0	225	143	539	0	6	5	0	8	4	4	0	6	2	0	1	3	0	0	3	4	1	0	4	0	1	1	795	4	1	3	70	51	68	4	758	6031	6911	4	0	1	1	6	0	0	7	717	1	1029	0	0	4	35	0	123	2	1	0	3	1	0	2	2	0	0	4	7
ASV_69	130	111	29	128	8	11	86	77	34	248	292	90	126	88	91	30	12	63	12	92	91	25	24	106	68	55	18	3	71	35	696	210	356	182	915	71	581	286	147	284	39	133	492	32	77	104	260	70	180	189	89	243	130	101	200	113	250	97	5	50	468	53	70	702	184	117	84	35	32	467	336	65	828	155	142	463	316	334	873	104	117	1012	605	1170
ASV_60	271	1233	268	992	22	801	966	10	478	43	363	90	76	1	9	0	1	2	0	3	0	119	2327	3034	176	1	2913	7	3	1510	20	1	17	49	0	12	7	0	0	47	5	48	10	0	2	185	148	302	13	0	12	4	4	0	2	0	1	0	0	0	15	0	14	6	0	5	1	1	7	73	0	2	0	0	0	198	588	1	10	0	4	5	0	3
